"SITE_ID","VISIT_NO","MCYST_TL_UGL","SITE_TYPE","LAKE_SAMP","BASINAREA_KM2","BASINAREA_HA","BASINAREA_LU_KM2","MISSDATA_KM2_BSN","NLCD11_KM2_BSN","NLCD12_KM2_BSN","NLCD21_KM2_BSN","NLCD22_KM2_BSN","NLCD23_KM2_BSN","NLCD24_KM2_BSN","NLCD31_KM2_BSN","NLCD32_KM2_BSN","NLCD41_KM2_BSN","NLCD42_KM2_BSN","NLCD43_KM2_BSN","NLCD51_KM2_BSN","NLCD52_KM2_BSN","NLCD71_KM2_BSN","NLCD72_KM2_BSN","NLCD73_KM2_BSN","NLCD74_KM2_BSN","NLCD81_KM2_BSN","NLCD82_KM2_BSN","NLCD90_KM2_BSN","NLCD91_KM2_BSN","NLCD92_KM2_BSN","NLCD93_KM2_BSN","NLCD94_KM2_BSN","NLCD95_KM2_BSN","NLCD96_KM2_BSN","NLCD97_KM2_BSN","NLCD98_KM2_BSN","NLCD99_KM2_BSN","LANDUSE_KM2_BSN","PCT_OPENH20_BSN","PCT_ICESNOW_BSN","PCT_WATER_BSN","PCT_DEVOPEN_BSN","PCT_DEVLOW_BSN","PCT_DEVMED_BSN","PCT_DEVHIGH_BSN","PCT_DEVELOPED_BSN","PCT_BARREN_BSN","PCT_DECID_BSN","PCT_CONIF_BSN","PCT_MIXED_BSN","PCT_FOREST_BSN","PCT_SHRUBLAND_BSN","PCT_GRASS_BSN","PCT_PASTURE_BSN","PCT_CROPS_BSN","PCT_AGRIC_BSN","PCT_WDYWET_BSN","PCT_EMHERBWET_BSN","PCT_WETLAND_BSN","FLAG_LU_BASIN","COMMENT_LU_BASIN","SECMEAN","DATE_COL","LAT_DD","LON_DD","LAKEAREA","LAKENAME","AREA_HA","DEPTHMAX","ELEV_PT","HUC_2","HUC_8","PTL","NTL","TURB","ANC","DOC","COND","CHLA","DEPTH_SURF","TEMP_SURF","DO_SURF","COND_SURF","PH_SURF","DEPTH_BOT","TEMP_BOT","DO_BOT","COND_BOT","PH_BOT"
"NLA06608-0013",1,0.05,"PROB_Lake","Target_Sampled",93.76924728,9376.924728,93.76924728,0,0.821,0,8.835,4.963,2.431,1.324,4.038,0,10.471,32.594,0.297,0,0,0,0,0,0,1.502,8.745,14.891,0,0,0,0,2.85,0,0,0,0,93.762,0.9,0,0.9,9.4,5.3,2.6,1.4,18.7,4.3,11.2,34.8,0.3,46.3,0,0,1.6,9.3,10.9,15.9,3,18.9,"","",0.65,"9/4/2007",39.97428032,-74.56255123,0.371402558,"Mirror Lake",37.14025576,2.3,15.44,2,2040202,28,384,4.21,14.9,4.79,48,16.03,0,27.3,NA,51.5,5.9,1.8,22.8,NA,41.3,4.8
"NLA06608-0014",1,0.05,"PROB_Lake","Target_Sampled",7.066625128,706.6625128,7.066625128,0,0.652,0,0.356,0,0,0,0,0,0,0,0,0,0,1.542,0,0,0,0.927,2.635,0.041,0,0,0,0,0.924,0,0,0,0,7.077,9.2,0,9.2,5,0,0,0,5,0,0,0,0,0,0,21.8,13.1,37.3,50.4,0.6,13.1,13.7,"","",0.85,"8/6/2007",47.83492738,-100.5756807,0.128095286,"Unnamed Lake",12.80952857,1.7,498.4,9,9010003,175,4147,7.1,29010.7,41.27,8722,8.75,0,20.9,7.7,9080,9.4,1.7,21.7,7.2,9080,9.4
"NLA06608-0015",1,0.05,"PROB_Lake","Target_Sampled",68562.98157,6856298.157,68562.98157,0,306.036,1.29,596.462,391.289,98.656,14.581,689.072,0,1576.317,18491.612,371.607,0,30660.867,12909.935,0,0,0,1131.967,426.767,648.642,0,0,0,0,247.902,0,0,0,0,68563.002,0.4,0,0.4,0.9,0.6,0.1,0,1.6,1,2.3,27,0.5,29.8,44.7,18.8,1.7,0.6,2.3,0.9,0.4,1.3,"","",0.37,"7/10/2007",33.0071076,-107.2747938,1.739929805,"Caballo Reservoir",173.9929805,7,1275.36,13,13030101,109,470,32.7,2896.4,3.78,744,20,0,25.2,8.9,NA,7.9,6.5,23.1,6.1,NA,8
"NLA06608-0016",1,0.29,"PROB_Lake","Target_Sampled",42.28744418,4228.744418,42.28744418,0,6.783,0,2.489,0.256,0.011,0,0.063,0,0.059,0,0,0,0,26.157,0,0,0,0.766,5.189,0.503,0,0,0,0,0,0,0,0,0,42.276,16,0,16,5.9,0.6,0,0,6.5,0.1,0.1,0,0,0.1,0,61.9,1.8,12.3,14.1,1.2,0,1.2,"","",0.54,"6/27/2007",41.03025217,-100.7797567,6.410233086,"Lake Maloney",641.0233086,6.3,916,10,10190018,6,490,16.5,3256.4,4.69,1060,13,0,23.5,7.1,1100,8.2,6.2,23.6,6.8,1090,8.1
"NLA06608-0019",1,0.88,"PROB_Lake","Target_Sampled",91.69963217,9169.963217,91.69963217,0,11.254,0,2.679,0.156,0.005,0,0,0,0.069,0,0,0,1.183,48.361,0,0,0,16.7,9.851,0,0,0,0,0,1.445,0,0,0,0,91.703,12.3,0,12.3,2.9,0.2,0,0,3.1,0,0.1,0,0,0.1,1.3,52.7,18.2,10.7,28.9,0,1.6,1.6,"","",0.35,"6/11/2007",46.36688788,-99.51185877,1.033135279,"Doyles Lake",103.3135279,1.2,600.25,10,10130104,801,7047,45.5,8136.3,44.99,3327,4.03,0,22.9,7.4,3373,8.38,0.5,22.9,2.1,3373,8.38
"NLA06608-0020",1,0.05,"PROB_Lake","Target_Sampled",53.75406649,5375.406649,53.75406649,0,2.86,0,1.937,0.477,0,0,0,0,13.393,0,0,0,0,0.391,0,0,0,1.468,33.229,0.005,0,0,0,0,0,0,0,0,0,53.76,5.3,0,5.3,3.6,0.9,0,0,4.5,0,24.9,0,0,24.9,0,0.7,2.7,61.8,64.5,0,0,0,"","",0.69,"6/11/2007",39.40817838,-87.81380832,2.962001459,"Mill Creek Lake",296.2001459,14.9,184.92,5,5120111,30,605,4.55,1757.1,5.03,214,20.24,0,25.2,8.6,214,8,14,8.4,0,220,6.6
"NLA06608-0021",1,0.05,"PROB_Lake","Target_Sampled",241.6641707,24166.41707,241.6641707,0,42.431,0,15.881,4.563,0.942,0.23,0.17,0,43.017,3.165,17.358,0,14.957,1.283,0,0,0,64.72,29.727,2.948,0,0,0,0,0.259,0,0,0,0,241.651,17.6,0,17.6,6.6,1.9,0.4,0.1,9,0.1,17.8,1.3,7.2,26.3,6.2,0.5,26.8,12.3,39.1,1.2,0.1,1.3,"","",7.1,"7/27/2007",42.77191973,-77.3095481,42.26925272,"Canandaigua Lake",4226.925272,53,209.55,4,4140201,7,390,0.574,2238.3,2.92,367,2.29,0,27.78,8.92,369,7.96,26,5.6,11.2,371,6.6
"NLA06608-0023",1,0.05,"PROB_Lake","Target_Sampled",0.743655017,74.36550165,0.743655017,0,0.077,0,0.046,0.085,0.154,0.266,0.002,0,0.035,0,0,0,0.059,0.017,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.751,10.4,0,10.4,6.2,11.4,20.7,35.8,74.1,0.3,4.7,0,0,4.7,7.9,2.3,0,0,0,1.3,0,1.3,"","",0.95,"8/9/2007",31.14849172,-97.745332,0.062072217,"Birdbath Lake",6.20722172,3,265.85,12,12070202,12,349,3.79,1461.7,3.88,176,2.78,0,29.4,7.8,168,8.2,2.5,28.9,7.5,168,8.2
"NLA06608-0024",1,0.26,"PROB_Lake","Target_Sampled",2170.026762,217002.6762,2170.026762,0,120.67,0,74.029,131.378,22.086,9.221,1.188,0,296.645,106.191,101.275,0,192.24,0.032,0,0,0,766.346,79.346,268.409,0,0,0,0,0.953,0,0,0,0,2170.009,5.6,0,5.6,3.4,6.1,1,0.4,10.9,0.1,13.7,4.9,4.7,23.3,8.9,0,35.3,3.7,39,12.4,0,12.4,"","",0.9,"7/11/2007",32.1220497,-95.48843409,95.30145112,"Lake Palestine",9530.145112,12.9,105.13,12,12020001,35,860,5.68,592.6,8.2,181,44.15,0,27.8,7.1,176.2,7.1,12.4,21,0.1,270.6,7.1
"NLA06608-0025",1,0.05,"PROB_Lake","Target_Sampled",6.838269982,683.8269982,6.838269982,0,0.179,0,0.392,0.06,0.021,0.016,0,0,4.633,0.737,0.313,0,0.036,0.05,0,0,0,0.386,0.004,0.01,0,0,0,0,0,0,0,0,0,6.837,2.6,0,2.6,5.7,0.9,0.3,0.2,7.1,0,67.8,10.8,4.6,83.2,0.5,0.7,5.6,0.1,5.7,0.1,0,0.1,"","",3.55,"6/18/2007",35.20132137,-81.34573084,0.114812351,"Kings Mountian #1 Lake",11.48123514,8,245.48,3,3050105,10,195,1.56,669.7,3.43,85,1.3,0,28.7,NA,87.3,7.6,7.5,11.2,NA,98.7,7
"NLA06608-0029",1,0.17,"PROB_Lake","Target_Sampled",18.7698932,1876.98932,18.7698932,0,0.543,0,0.869,0.928,0.09,0.002,0.096,0,3.426,0.338,0.113,0,0,0,0,0,0,3.304,8.466,0.392,0,0,0,0,0.195,0,0,0,0,18.762,2.9,0,2.9,4.6,4.9,0.5,0,10,0.5,18.3,1.8,0.6,20.7,0,0,17.6,45.1,62.7,2.1,1,3.1,"","",0.27,"7/2/2007",38.75601051,-75.21503793,0.731003742,"Red Mill Pond",73.10037419,1.7,1.87,2,2040207,247,2106,25.1,604.7,4.12,142,123.12,0,24.7,8.2,158,7.7,1.5,24.5,8.1,156,7.6
"NLA06608-0031",1,0.05,"PROB_Lake","Target_Sampled",12.16141233,1216.141233,12.16141233,0,0.215,0,1.001,0.012,0,0,0,0,7.368,0.072,0,0,0.006,0.14,0,0,0,2.527,0.812,0.01,0,0,0,0,0,0,0,0,0,12.163,1.8,0,1.8,8.2,0.1,0,0,8.3,0,60.6,0.6,0,61.2,0,1.2,20.8,6.7,27.5,0.1,0,0.1,"","",0.98,"6/13/2007",39.77645357,-81.51745185,0.242495358,"Caldwell Lake",24.24953577,4.9,241.93,5,5030201,32,428,8.82,2761.9,3.83,357,5.26,0,25.3,8.4,302,7.7,4.5,11,0.5,207.6,6.5
"NLA06608-0033",1,0.05,"PROB_Lake","Target_Sampled",5.519077524,551.9077524,5.519077524,0,0,0,0.168,0.086,0,0,0,0,0,3.272,0,0,0.94,0.149,0,0,0,0,0,0.812,0,0,0,0,0.087,0,0,0,0,5.514,0,0,0,3,1.6,0,0,4.6,0,0,59.3,0,59.3,17,2.7,0,0,0,14.7,1.6,16.3,"","",0.7,"7/17/2007",47.31108363,-121.2990598,0.151644835,"Swamp",15.16448355,1.4,732.43,17,17030001,67,835,12.2,1040.1,10.11,110,8.92,0,21.5,1.8,101.3,6.7,0.9,19.4,0.2,127.3,6.5
"NLA06608-0036",1,0.05,"PROB_Lake","Target_Sampled",1.224605698,122.4605698,1.224605698,0,0.068,0,0,0,0,0,0,0,1.078,0.065,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.224,5.6,0,5.6,0,0,0,0,0,0,88,5.3,1.1,94.4,0,0,0,0,0,0,0,0,"","",2.23,"7/12/2007",37.47735404,-88.32737922,0.120276054,"Whoople Cat Lake",12.02760537,5,113.39,5,5140203,8,178,1.57,1147.2,4.07,134,5.07,0,30.5,8.3,136,8.2,4.5,20.1,0.4,196,7.8
"NLA06608-0037",1,0.14,"PROB_Lake","Target_Sampled",37.25673266,3725.673266,37.25673266,0,2.812,0,2.054,0.419,0.023,0,0.011,0,24.773,0.603,0.325,0,0.246,0.076,0,0,0,4.142,0.391,1.199,0,0,0,0,0.183,0,0,0,0,37.257,7.5,0,7.5,5.5,1.1,0.1,0,6.7,0,66.5,1.6,0.9,69,0.7,0.2,11.1,1,12.1,3.2,0.5,3.7,"","",2.9,"7/13/2007",41.69699293,-73.36398551,2.36955581,"Lake Waramaug",236.955581,13,211.27,1,1100005,14,239,2.59,468.8,3.38,98,8.02,0,25.4,8.8,104,9.1,13,9.1,0.3,191,7.3
"NLA06608-0038",1,0.05,"PROB_Lake","Target_Sampled",25.86530737,2586.530737,25.86530737,0,3.02,0,0.699,0.438,0.14,0.058,0.036,0,10.645,3.191,5.372,0,0.721,0.064,0,0,0,0.01,0.459,1.006,0,0,0,0,0.01,0,0,0,0,25.869,11.7,0,11.7,2.7,1.7,0.5,0.2,5.1,0.1,41.2,12.3,20.8,74.3,2.8,0.2,0,1.8,1.8,3.9,0,3.9,"","",4.45,"7/12/2007",44.79759122,-71.86971736,2.206478779,"Island Pond",220.6478779,11.3,358.73,1,1110000,4,158,0.549,341.1,3.27,60,4.33,0.2,20.3,8.6,59.2,7.6,11,8.5,6.2,60.6,6.8
"NLA06608-0041",1,0.05,"PROB_Lake","Target_Sampled",2083.774493,208377.4493,2083.774493,0,17.224,0,81.603,10.617,2.627,0.791,22.801,0,1613.586,82.2,175.258,0,0.023,2.021,0,0,0,46.284,26.585,0.607,0,0,0,0,1.527,0,0,0,0,2083.754,0.8,0,0.8,3.9,0.5,0.1,0,4.5,1.1,77.4,3.9,8.4,89.7,0,0.1,2.2,1.3,3.5,0,0.1,0.1,"","",9.48,"6/12/2007",38.22694093,-80.85405519,10.71509332,"Summersville Lake",1071.509332,43,501.84,5,5050005,1,476,0.601,269.7,1.24,83,0.88,0,24.86,11.78,83.7,7.07,30,9.75,13.68,49.8,7.25
"NLA06608-0042",1,0.05,"PROB_Lake","Target_Sampled",87.79963746,8779.963746,87.79963746,0,1.854,0.614,0,0,0,0,0.513,0,0.556,44.292,0,0,10.792,29.13,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,87.806,2.1,0.7,2.8,0,0,0,0,0,0.6,0.6,50.4,0,51,12.3,33.2,0,0,0,0.1,0,0.1,"","",3.38,"6/22/2007",44.45823517,-107.0403753,0.777184868,"Willow Park Reservoir",77.7184868,13.6,2626,10,10090206,15,213,0.791,151.3,4.78,22,2.21,0,13.8,8.9,NA,7.6,13,7.2,6,NA,6.5
"NLA06608-0043",1,0.05,"PROB_Lake","Target_Sampled",150.9026147,15090.26147,150.9026147,0,8.379,0,6.135,4.66,0.518,0.124,0,0,7.655,0.347,0.035,0,3.223,1.75,0,0,0,22.583,67.001,28.17,0,0,0,0,0.333,0,0,0,0,150.913,5.6,0,5.6,4.1,3.1,0.3,0.1,7.6,0,5.1,0.2,0,5.3,2.1,1.2,15,44.4,59.4,18.7,0.2,18.9,"","",1.85,"7/31/2007",41.553395,-85.44424168,0.242471918,"Messick Lake",24.24719175,16.5,273.03,4,4050001,9,645,3.74,3442.4,7.22,438,5.41,0,26.8,7.9,NA,8.4,16,5.9,0,NA,7.3
"NLA06608-0044",1,0.05,"PROB_Lake","Target_Sampled",202.3008717,20230.08717,202.3008717,0,5.412,0,0.353,0.054,0,0,0,0,0.285,0.096,0,0,0.009,186.303,0,0,0,0,0,0.697,0,0,0,0,9.078,0,0,0,0,202.287,2.7,0,2.7,0.2,0,0,0,0.2,0,0.1,0,0,0.1,0,92.1,0,0,0,0.3,4.5,4.8,"","",0.12,"7/18/2007",42.4048448,-101.7024805,2.198023543,"Steverson Lake",219.8023543,1.6,1097.9,10,10150004,601,4108,121,2901.6,16.68,274,135.61,0,24.7,7.6,262,8.7,1.2,24.4,5.6,264,8.4
"NLA06608-0045",1,0.05,"PROB_Lake","Target_Sampled",42.17876613,4217.876613,42.17876613,0,0.472,0,1.016,0.05,0,0,0.179,0,13.716,6.818,2.06,0,1.024,1.311,0,0,0,13.746,0.46,1.269,0,0,0,0,0.058,0,0,0,0,42.179,1.1,0,1.1,2.4,0.1,0,0,2.5,0.4,32.5,16.2,4.9,53.6,2.4,3.1,32.6,1.1,33.7,3,0.1,3.1,"","",0.86,"6/26/2007",37.29320486,-77.88986113,0.288381982,"Beaver Pond",28.83819816,2.1,65.73,2,2080207,54,648,9.45,872.2,4.79,103,20.16,0,29.1,10.17,97,7.45,2,21.7,0.83,276,6.8
"NLA06608-0048",1,0.05,"PROB_Lake","Target_Sampled",0.452342891,45.23428911,0.452342891,0,0.059,0,0.056,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.191,0.057,0,0,0,0,0.03,0,0,0,0,0.453,13,0,13,12.4,0,0,0,12.4,0,13.3,0,0,13.3,0,0,0,42.2,42.2,12.6,6.6,19.2,"","",0.28,"8/2/2007",36.7872968,-89.17572548,0.056179483,"Nolen Blue Hole",5.61794831,3,92.55,8,8020201,111,773,16.7,1851.1,4.77,224,54,0,29.9,6,NA,8.6,2.5,28.8,0,NA,7.5
"NLA06608-0049",1,0.05,"PROB_Lake","Target_Sampled",4.044261315,404.4261315,4.044261315,0,0.085,0,0,0,0,0,0.007,0,0,2.492,0,0,0.478,0.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.047,2.1,0,2.1,0,0,0,0,0,0.2,0,61.6,0,61.6,11.8,24.4,0,0,0,0,0,0,"","",2.53,"8/15/2007",45.06232667,-117.1533553,0.128905475,"Clear Creek Reservoir",12.89054746,3.7,2107.88,17,17050201,15,256,1.55,829.8,1.88,92,1.14,0,18.7,8.2,87,8.2,3,16.7,8.4,88,8.1
"NLA06608-0050",1,0.05,"PROB_Lake","Target_Sampled",0.852790765,85.27907651,0.852790765,0,0.102,0,0,0,0,0,0,0,0.489,0.023,0.202,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0.851,12,0,12,0,0,0,0,0,0,57.3,2.7,23.7,83.7,0,0,0,0,0,4.1,0,4.1,"","",1.5,"7/2/2007",43.44601793,-71.80868659,0.119790709,"Adder Pond",11.97907093,4.9,196.17,1,1070003,16,303,1.78,122.7,5.14,26,3.95,0.9,21,7.82,NA,6.64,4.9,8.36,0.47,NA,5.6
"NLA06608-0053",1,0.05,"PROB_Lake","Target_Sampled",3161.13308,316113.308,3161.13308,0,210.504,0,106.738,44.427,14.887,3.686,3.594,0,1065.51,534.276,282.496,0,98.945,6.065,0,0,0,423.336,137.222,208.22,0,0,0,0,21.209,0,0,0,0,3161.115,6.7,0,6.7,3.4,1.4,0.5,0.1,5.4,0.1,33.7,16.9,8.9,59.5,3.1,0.2,13.4,4.3,17.7,6.6,0.7,7.3,"","",0.85,"8/23/2007",43.55819295,-73.43960723,4.709098,"South Bay Lake Champlain",470.73915,5.3,28.85,2,2010001,29,246,8.12,1442.4,2.88,196,6.26,0,21.1,7.55,193,7.6,5,21.1,7.37,193,7.83
"NLA06608-0057",1,0.17,"PROB_Lake","Target_Sampled",134.9799567,13497.99567,134.9799567,0,1.112,0,9.708,2.566,0.302,0.072,0.027,0,38.304,11.275,2.08,0,0.646,4.006,0,0,0,59.972,4.349,0.555,0,0,0,0,0,0,0,0,0,134.974,0.8,0,0.8,7.2,1.9,0.2,0.1,9.4,0,28.4,8.4,1.5,38.3,0.5,3,44.4,3.2,47.6,0.4,0,0.4,"","",0.5,"6/16/2007",34.96189211,-80.51686138,0.530283936,"Lake Lee",53.02839363,3.7,149.57,3,3040105,218,1756,15.4,978.5,9.7,158,125.4,0,25,NA,160.1,7.38,3.3,22.6,NA,247.6,7
