SITE_ID,VISIT_NO,SAMPLE_CATEGORY,OTU_OE5,ABUND_OE5
NLA06608-0004,2,P,Synechocystis,7447.759782
NLA06608-0004,2,P,Synedra,38.79041553
NLA06608-0004,2,P,Trichocerca,0.002034171
NLA06608-0005,1,P,Achnanthidium,4.119241192
NLA06608-0005,1,P,Asterionella,14.82926829
NLA06608-0005,1,P,Chlorella,3.295392954
NLA06608-0005,1,P,Chromulina,0.823848238
NLA06608-0005,1,P,Chroomonas,8.238482385
NLA06608-0005,1,P,Chrysochromulina,16.47696477
NLA06608-0005,1,P,Chrysosphaerella,16.47696477
NLA06608-0005,1,P,Chydoridae,1.47725E-05
NLA06608-0005,1,P,Coccomyxa,0.823848238
NLA06608-0005,1,P,Cryptomonas,1.647696477
NLA06608-0005,1,P,Cyclopidae,0.000310222
NLA06608-0005,1,P,Cymbella,1.647696477
NLA06608-0005,1,P,Daphnia_mendotae_complex,0.004180614
NLA06608-0005,1,P,Dinobryon,92.27100271
NLA06608-0005,1,P,Discostella,1.647696477
NLA06608-0005,1,P,Gymnodinium,4.943089431
NLA06608-0005,1,P,Kellicottia_longispina,2.9545E-05
NLA06608-0005,1,P,Keratella_cceo,2.9545E-05
NLA06608-0005,1,P,Lyngbya,12.35772358
NLA06608-0005,1,P,Microcystis,55.19783198
NLA06608-0005,1,P,Navicula,2.471544715
NLA06608-0005,1,P,Oocystis,1.647696477
NLA06608-0005,1,P,Oscillatoria,2.471544715
NLA06608-0005,1,P,Peridinium,2.471544715
NLA06608-0005,1,P,Ploesoma,0.000679534
NLA06608-0005,1,P,Polyarthra,8.86349E-05
NLA06608-0005,1,P,Pyrenomonas,11.53387534
NLA06608-0005,1,P,Scenedesmus,0.823848238
NLA06608-0005,1,P,Staurosira,13.18157182
NLA06608-0005,1,P,Synchaeta,0.00023636
NLA06608-0005,1,P,Synedra,0.823848238
NLA06608-0005,1,P,Tetraedron,3.295392954
NLA06608-0005,2,D,Aphanothece,750.617284
NLA06608-0005,2,D,Bosmina,1.17718E-05
NLA06608-0005,2,D,Botryococcus,0.938271605
NLA06608-0005,2,D,Chroomonas,2.814814815
NLA06608-0005,2,D,Chrysochromulina,3.75308642
NLA06608-0005,2,D,Chydoridae,3.53155E-05
NLA06608-0005,2,D,Coccomyxa,1.87654321
NLA06608-0005,2,D,Cosmarium,3.75308642
NLA06608-0005,2,D,Crucigenia,4.691358025
NLA06608-0005,2,D,Cryptomonas,1.87654321
NLA06608-0005,2,D,Cyclopidae,3.53155E-05
NLA06608-0005,2,D,Discostella,0.938271605
NLA06608-0005,2,D,Golenkinia,0.938271605
NLA06608-0005,2,D,Gymnodinium,1.87654321
NLA06608-0005,2,D,Hexarthra,2.35437E-05
NLA06608-0005,2,D,Kellicottia_longispina,0.000306067
NLA06608-0005,2,D,Keratella_cceo,7.0631E-05
NLA06608-0005,2,D,Lagerheimia,1.87654321
NLA06608-0005,2,D,Navicula,1.87654321
NLA06608-0005,2,D,Oocystis,1.87654321
NLA06608-0005,2,D,Peridinium,0.938271605
NLA06608-0005,2,D,Planktosphaeria,6.567901235
NLA06608-0005,2,D,Ploesoma,7.0631E-05
NLA06608-0005,2,D,Puncticulata,0.938271605
NLA06608-0005,2,D,Pyrenomonas,10.32098765
NLA06608-0005,2,D,Synchaeta,0.000541504
NLA06608-0005,2,D,Synedra,5.62962963
NLA06608-0005,2,D,Tetraedron,0.938271605
NLA06608-0005,2,P,Achnanthidium,1.608465608
NLA06608-0005,2,P,Ankistrodesmus,4.825396825
NLA06608-0005,2,P,Chlorella,6.433862434
NLA06608-0005,2,P,Chroococcus,6.433862434
NLA06608-0005,2,P,Chroomonas,4.825396825
NLA06608-0005,2,P,Chrysochromulina,17.69312169
NLA06608-0005,2,P,Cosmarium,1.608465608
NLA06608-0005,2,P,Cryptomonas,3.216931217
NLA06608-0005,2,P,Cyclopidae,5.88591E-05
NLA06608-0005,2,P,Discostella,1.608465608
NLA06608-0005,2,P,Gymnodinium,1.608465608
NLA06608-0005,2,P,Kellicottia_longispina,0.000164806
NLA06608-0005,2,P,Keratella_cceo,4.70873E-05
NLA06608-0005,2,P,Microcystis,4125.714286
NLA06608-0005,2,P,Navicula,1.608465608
NLA06608-0005,2,P,Oscillatoria,98.11640212
NLA06608-0005,2,P,Peridinium,1.608465608
NLA06608-0005,2,P,Planktosphaeria,12.86772487
NLA06608-0005,2,P,Ploesoma,0.000588591
NLA06608-0005,2,P,Polyphemus,1.17718E-05
NLA06608-0005,2,P,Pyrenomonas,11.25925926
NLA06608-0005,2,P,Synchaeta,0.003201936
NLA06608-0005,2,P,Synechococcus,442.3280423
NLA06608-0005,2,P,Synedra,3.216931217
NLA06608-0006,1,P,Anabaena,1035.783258
NLA06608-0006,1,P,Ankistrodesmus,3.983781762
NLA06608-0006,1,P,Aphanocapsa,23.90269057
NLA06608-0006,1,P,Asterionella,25.89458145
NLA06608-0006,1,P,Cryptomonas,13.94323617
NLA06608-0006,1,P,Cylindrospermopsis,131.4647981
NLA06608-0006,1,P,Dinobryon,37.84592673
NLA06608-0006,1,P,Nephrocytium,7.967563523
NLA06608-0006,1,P,Nitzschia,57.76483554
NLA06608-0006,1,P,Peridinium,5.975672642
NLA06608-0006,1,P,Selenastrum,125.4891255
NLA06608-0006,1,P,Synedra,3.983781762
NLA06608-0006,1,P,Tabellaria,37.84592673
NLA06608-0006,1,P,Trachelomonas,9.959454404
NLA06608-0006,1,P,Volvox,199.1890881
NLA06608-0006,2,D,Amphidinium complex,11.95134528
NLA06608-0006,2,D,Anabaena,7170.807171
NLA06608-0006,2,D,Aphanocapsa,49.79727202
NLA06608-0006,2,D,Asterionella,9.959454404
NLA06608-0006,2,D,Closterium,1.991890881
NLA06608-0006,2,D,Cryptomonas,3.983781762
NLA06608-0006,2,D,Cyclotella,1.991890881
NLA06608-0006,2,D,Cylindrospermopsis,87.64319875
NLA06608-0006,2,D,Dinobryon,131.4647981
NLA06608-0006,2,D,Nitzschia,57.76483554
NLA06608-0006,2,D,Oocystis,7.967563523
NLA06608-0006,2,D,Peridinium,11.95134528
NLA06608-0006,2,D,Radiococcus,31.87025409
NLA06608-0006,2,D,Selenastrum,9.959454404
NLA06608-0006,2,D,Sphaerocystis,21.91079969
NLA06608-0006,2,D,Staurastrum,1.991890881
NLA06608-0006,2,D,Synedra,7.967563523
NLA06608-0006,2,D,Tabellaria,25.89458145
NLA06608-0006,2,D,Trachelomonas,5.975672642
NLA06608-0006,2,P,Anabaena,2908.160686
NLA06608-0006,2,P,Aphanocapsa,47.80538114
NLA06608-0006,2,P,Asplanchna,0.000741725
NLA06608-0006,2,P,Bosmina,1.97828E-05
NLA06608-0006,2,P,Ceriodaphnia,5.93485E-05
NLA06608-0006,2,P,Chaoborus,6.59428E-06
NLA06608-0006,2,P,Coelastrum,79.67563523
NLA06608-0006,2,P,Conochilidae,0.002225175
NLA06608-0006,2,P,Cryptomonas,5.975672642
NLA06608-0006,2,P,Cyclopidae,0.000916605
NLA06608-0006,2,P,Daphnia_catawba_pulex_complex,0.001134217
NLA06608-0006,2,P,Daphnia_mendotae_complex,1.31886E-05
NLA06608-0006,2,P,Diaptomidae,0.000191234
NLA06608-0006,2,P,Dinobryon,1.991890881
NLA06608-0006,2,P,Elakatothrix,7.967563523
NLA06608-0006,2,P,Eremosphaera,3.983781762
NLA06608-0006,2,P,Euglena,1.991890881
NLA06608-0006,2,P,Filinia,0.000556294
NLA06608-0006,2,P,Hexarthra,0.001298019
NLA06608-0006,2,P,Kellicottia_longispina,0.001576165
NLA06608-0006,2,P,Keratella_cceo,0.007973543
NLA06608-0006,2,P,Kirchneriella,9.959454404
NLA06608-0006,2,P,Mallomonas,1.991890881
NLA06608-0006,2,P,Microcystis,1195.134528
NLA06608-0006,2,P,Nitzschia,69.71618083
NLA06608-0006,2,P,Oocystis,31.87025409
NLA06608-0006,2,P,Pandorina,1.991890881
NLA06608-0006,2,P,Peridinium,23.90269057
NLA06608-0006,2,P,Selenastrum,105.5702167
NLA06608-0006,2,P,Sida,1.97828E-05
NLA06608-0006,2,P,Synchaeta,0.001205303
NLA06608-0006,2,P,Synedra,5.975672642
NLA06608-0006,2,P,Synura,3.983781762
NLA06608-0006,2,P,Tabellaria,11.95134528
NLA06608-0006,2,P,Trachelomonas,5.975672642
NLA06608-0006,2,P,Trichocerca,0.004728496
NLA06608-0007,1,P,Anabaena,20.96576911
NLA06608-0007,1,P,Aphanizomenon,68.88752709
NLA06608-0007,1,P,Aphanocapsa,2198.410647
NLA06608-0007,1,P,Aphanothece,531.6320025
NLA06608-0007,1,P,Asplanchna,3.23168E-05
NLA06608-0007,1,P,Chaoborus,1.61584E-05
NLA06608-0007,1,P,Chlamydomonas,16.4731043
NLA06608-0007,1,P,Chroococcus,8.98532962
NLA06608-0007,1,P,Chydoridae,8.07919E-05
NLA06608-0007,1,P,Coliothecidae,0.002899579
NLA06608-0007,1,P,Conochilidae,0.002042885
NLA06608-0007,1,P,Cosmarium,4.49266481
NLA06608-0007,1,P,Crucigenia,1.497554937
NLA06608-0007,1,P,Cryptomonas,34.44376354
NLA06608-0007,1,P,Cyclopidae,0.001244195
NLA06608-0007,1,P,Daphnia_catawba_pulex_complex,0.000129267
NLA06608-0007,1,P,Daphnia_mendotae_complex,0.000759444
NLA06608-0007,1,P,Diaphanosoma,0.000129267
NLA06608-0007,1,P,Diaptomidae,3.23168E-05
NLA06608-0007,1,P,Dinobryon,23.96087899
NLA06608-0007,1,P,Filinia,0.000175732
NLA06608-0007,1,P,Gastropus,4.3933E-05
NLA06608-0007,1,P,Gloeocystis,305.5012071
NLA06608-0007,1,P,Hexarthra,0.000241632
NLA06608-0007,1,P,Holopedium_gibberum,0.000888711
NLA06608-0007,1,P,Kellicottia_longispina,0.000109833
NLA06608-0007,1,P,Keratella_cceo,0.000702928
NLA06608-0007,1,P,Komma,124.2970597
NLA06608-0007,1,P,Lecanidae,2.19665E-05
NLA06608-0007,1,P,Merismopedia,733.801919
NLA06608-0007,1,P,Oocystis,13.47799443
NLA06608-0007,1,P,Peridinium,4.49266481
NLA06608-0007,1,P,Ploesoma,0.000197699
NLA06608-0007,1,P,Polyarthra,0.000263598
NLA06608-0007,1,P,Quadrigula,10.48288456
NLA06608-0007,1,P,Rhabdoderma,34.44376354
NLA06608-0007,1,P,Rhabdoglea,20.96576911
NLA06608-0007,1,P,Scenedesmus,122.7995048
NLA06608-0007,1,P,Spondylosium,1.497554937
NLA06608-0007,1,P,Tabellaria,16.4731043
NLA06608-0007,1,P,Trichocerca,0.000571129
NLA06608-0007,2,P,Anabaena,549.050931
NLA06608-0007,2,P,Aphanizomenon,106.7599033
NLA06608-0007,2,P,Aphanocapsa,6045.660807
NLA06608-0007,2,P,Ceratium,3.05028295
NLA06608-0007,2,P,Chaoborus,1.5218E-05
NLA06608-0007,2,P,Chlamydomonas,57.95537605
NLA06608-0007,2,P,Coliothecidae,0.001322412
NLA06608-0007,2,P,Cosmarium,9.15084885
NLA06608-0007,2,P,Cryptomonas,36.6033954
NLA06608-0007,2,P,Cyclopidae,0.000760899
NLA06608-0007,2,P,Daphnia_catawba_pulex_complex,0.00022827
NLA06608-0007,2,P,Daphnia_mendotae_complex,0.002678363
NLA06608-0007,2,P,Daphnia_parvula,1.5218E-05
NLA06608-0007,2,P,Diaptomidae,9.13078E-05
NLA06608-0007,2,P,Dinobryon,9.15084885
NLA06608-0007,2,P,Gastropus,3.62305E-05
NLA06608-0007,2,P,Gloeocystis,301.9780121
NLA06608-0007,2,P,Holopedium_gibberum,1.5218E-05
NLA06608-0007,2,P,Kellicottia_bostoniensis,3.62305E-05
NLA06608-0007,2,P,Kellicottia_longispina,0.000543457
NLA06608-0007,2,P,Keratella_cceo,0.002681053
NLA06608-0007,2,P,Keratella_hiemalis,1.81152E-05
NLA06608-0007,2,P,Komma,189.1175429
NLA06608-0007,2,P,Merismopedia,878.4814896
NLA06608-0007,2,P,Oocystis,1085.90073
NLA06608-0007,2,P,Polyarthra,9.05761E-05
NLA06608-0007,2,P,Pompholyx,0.000217383
NLA06608-0007,2,P,Quadrigula,36.6033954
NLA06608-0007,2,P,Scenedesmus,12.2011318
NLA06608-0007,2,P,Tabellaria,12.2011318
NLA06608-0007,2,P,Trichocerca,3.62305E-05
NLA06608-0008,1,P,Anabaena,1324.607436
NLA06608-0008,1,P,Asplanchna,0.000153631
NLA06608-0008,1,P,Brachionus_angularis,0.019050244
NLA06608-0008,1,P,Brachionus_havanaensis,0.003226251
NLA06608-0008,1,P,Ceriodaphnia,0.000188349
NLA06608-0008,1,P,Chaoborus,0.000345307
NLA06608-0008,1,P,Chlamydomonas,2.987836321
NLA06608-0008,1,P,Chlorella,2.987836321
NLA06608-0008,1,P,Chroococcus,79.67563523
NLA06608-0008,1,P,Conochilidae,0.000768155
NLA06608-0008,1,P,Cosmarium,0.99594544
NLA06608-0008,1,P,Cryptomonas,20.91485425
NLA06608-0008,1,P,Cyclopidae,0.00389255
NLA06608-0008,1,P,Daphnia_mendotae_complex,0.003515852
NLA06608-0008,1,P,Daphnia_parvula,0.000973138
NLA06608-0008,1,P,Diaphanosoma,3.13915E-05
NLA06608-0008,1,P,Diaptomidae,0.001255661
NLA06608-0008,1,P,Eremosphaera,0.99594544
