SITE_ID,VISIT_NO,DATEZOOP,SAMPLED_ZOOP,INDXSAMP_ZOOP,SAMPLE_CATEGORY,SAMPLE_ID,SAMPLE_TYPE,DEPTHMAX,DEPTH_X,DEPTH_OF_TOW,FLAG_ZOOP_FLD,COMMENT_ZOOP_FLD,JAR_NO,VISIT_ID
NLA06608-0004,2,9/11/2007,Yes,NO,P,503316,ZOOF,6,6,5,,,1,7474
NLA06608-0004,2,9/11/2007,Yes,NO,D,508535,ZOOC,6,6,5,,,1,7474
NLA06608-0004,2,9/11/2007,Yes,NO,D,508536,ZOOF,6,6,5,,,1,7474
NLA06608-0005,1,7/18/2007,Yes,YES,P,502965,ZOOC,6.1,6.1,5.1,,,1,7475
NLA06608-0005,1,7/18/2007,Yes,YES,P,502966,ZOOF,6.1,6.1,5.1,,,1,7475
NLA06608-0005,2,8/22/2007,Yes,NO,P,511075,ZOOC,6.9,6.9,6.4,,,1,7476
NLA06608-0005,2,8/22/2007,Yes,NO,P,511076,ZOOF,6.9,6.9,6.4,,,1,7476
NLA06608-0005,2,8/22/2007,Yes,NO,D,517316,ZOOC,6.9,6.9,6.4,,,1,7476
NLA06608-0005,2,8/22/2007,Yes,NO,D,517315,ZOOF,6.9,6.9,6.4,,,1,7476
NLA06608-0006,1,7/17/2007,Sample lost,YES,P,508845,ZOOC,25.3,25.3,23.75,,,1,7477
NLA06608-0006,1,7/17/2007,Sample lost,YES,P,508846,ZOOF,25.3,25.3,23.75,,,1,7477
NLA06608-0006,2,8/30/2007,Yes,NO,P,510045,ZOOC,23.8,23.8,22.85,,,1,7478
NLA06608-0006,2,8/30/2007,Yes,NO,P,510046,ZOOF,23.8,23.8,22.85,,,1,7478
NLA06608-0006,2,8/30/2007,Sample lost,NO,D,513975,ZOOC,23.8,23.8,22.85,,,1,7478
NLA06608-0006,2,8/30/2007,Sample lost,NO,D,513976,ZOOF,23.8,23.8,22.85,,,1,7478
NLA06608-0007,1,7/24/2007,Yes,YES,P,505215,ZOOC,19.2,19.2,20,,,1,7479
NLA06608-0007,1,7/24/2007,Yes,YES,P,505216,ZOOF,19.2,19.2,20,,,1,7479
NLA06608-0007,2,9/6/2007,Yes,NO,P,515805,ZOOC,19,19,18.5,,,1,7480
NLA06608-0007,2,9/6/2007,Yes,NO,P,515806,ZOOF,19,19,18.5,,,1,7480
NLA06608-0008,1,7/12/2007,Yes,YES,P,513445,ZOOC,5.5,5.5,4.8,,,1,7481
NLA06608-0008,1,7/12/2007,Yes,YES,P,513446,ZOOF,5.5,5.5,4.8,,,1,7481
NLA06608-0008,2,8/22/2007,Yes,NO,P,513935,ZOOC,5.5,5.5,5,,,1,7482
NLA06608-0008,2,8/22/2007,Yes,NO,P,513936,ZOOF,5.5,5.5,5,,,1,7482
NLA06608-0010,1,7/17/2007,Yes,YES,P,503795,ZOOC,11.8,11.7,11,,,1,7483
NLA06608-0010,1,7/17/2007,Yes,YES,P,503796,ZOOF,11.8,11.7,11,,,1,7483
NLA06608-0010,2,8/18/2007,Yes,NO,P,515415,ZOOC,11,11,11,,,1,7484
NLA06608-0010,2,8/18/2007,Yes,NO,P,515416,ZOOF,11,11,11,,,1,7484
NLA06608-0010,2,8/18/2007,Yes,NO,D,515315,ZOOC,11,11,11,,IM: SAMPLE CATEGORY CHANGED,1,7484
NLA06608-0010,2,8/18/2007,Yes,NO,D,515316,ZOOF,11,11,11,,IM: SAMPLE CATEGORY CHANGED,1,7484
NLA06608-0012,1,6/13/2007,Yes,YES,P,502615,ZOOC,3.5,3.4,3,,,1,7485
NLA06608-0012,1,6/13/2007,Yes,YES,P,502616,ZOOF,3.5,3.4,3,,,1,7485
NLA06608-0012,2,9/18/2007,Yes,NO,P,516815,ZOOC,3.4,3.4,3,,,1,7486
NLA06608-0012,2,9/18/2007,Yes,NO,P,516816,ZOOF,3.4,3.4,3,,,1,7486
NLA06608-0013,1,9/4/2007,Yes,YES,P,517186,ZOOC,2.3,2.3,1.8,,,1,7487
NLA06608-0013,1,9/4/2007,Yes,YES,P,517185,ZOOF,2.3,2.3,1.8,,,1,7487
NLA06608-0013,2,9/14/2007,Yes,NO,P,516945,ZOOC,2.3,2.3,1.8,,,1,7488
NLA06608-0013,2,9/14/2007,Yes,NO,P,516946,ZOOF,2.3,2.3,1.8,,,1,7488
NLA06608-0013,2,9/14/2007,Yes,NO,D,517665,ZOOC,2.3,2.3,1.8,,,1,7488
NLA06608-0013,2,9/14/2007,Yes,NO,D,517666,ZOOF,2.3,2.3,1.8,,,1,7488
NLA06608-0014,1,8/6/2007,Yes,YES,P,512405,ZOOC,1.7,1.7,1,IM,IM: TOW LENGTH MAY BE 2 (TWO TOWS?),1,7489
NLA06608-0014,1,8/6/2007,Yes,YES,P,512406,ZOOF,1.7,1.7,1,IM,IM: TOW LENGTH MAY BE 2 (TWO TOWS?),1,7489
NLA06608-0014,2,8/23/2007,Yes,NO,P,503245,ZOOC,1.7,1.6,1.4,IM,IM: TOW LENGTH MAY BE 2.8 (TWO TOWS?),1,7490
NLA06608-0014,2,8/23/2007,Yes,NO,P,503246,ZOOF,1.7,1.6,1.4,IM,IM: TOW LENGTH MAY BE 2.8 (TWO TOWS?),1,7490
NLA06608-0014,2,8/23/2007,Yes,NO,D,505205,ZOOC,1.7,1.6,1.4,IM,IM: TOW LENGTH MAY BE 2.8 (TWO TOWS?),1,7490
NLA06608-0014,2,8/23/2007,Yes,NO,D,505206,ZOOF,1.7,1.6,1.4,IM,IM: TOW LENGTH MAY BE 2.8 (TWO TOWS?),1,7490
NLA06608-0015,1,7/10/2007,Yes,YES,P,504786,ZOOC,7,7,6.2,,,,7491
NLA06608-0015,1,7/10/2007,Yes,YES,P,504785,ZOOF,7,7,6.5,,,1,7491
NLA06608-0015,2,8/29/2007,Yes,NO,P,507685,ZOOC,5.9,5.9,5.2,,,,7492
NLA06608-0015,2,8/29/2007,Yes,NO,P,507686,ZOOF,5.9,5.9,5.2,,,,7492
NLA06608-0015,2,8/29/2007,Yes,NO,D,510095,ZOOC,5.9,5.9,5.2,,,,7492
NLA06608-0015,2,8/29/2007,Yes,NO,D,510096,ZOOF,5.9,5.9,5.2,,,,7492
NLA06608-0016,1,6/27/2007,Yes,YES,P,514465,ZOOC,6.3,6.3,6.2,,,1,7493
NLA06608-0016,1,6/27/2007,Yes,YES,P,514466,ZOOF,6.3,6.3,6.2,,,1,7493
NLA06608-0016,2,7/11/2007,Yes,NO,P,505405,ZOOC,6.8,6.8,6.3,,,1,7494
NLA06608-0016,2,7/11/2007,Yes,NO,P,505406,ZOOF,6.8,6.8,6.3,,,1,7494
NLA06608-0016,2,7/11/2007,Yes,NO,D,504745,ZOOC,6.8,6.8,6.3,,,1,7494
NLA06608-0016,2,7/11/2007,Yes,NO,D,504746,ZOOF,6.8,6.8,6.3,,,1,7494
NLA06608-0019,1,6/11/2007,Yes,YES,P,502675,ZOOC,1.2,1.2,0.7,IM,IM: TOW LENGTH MAY BE 1.4 (TWO TOWS?),1,7496
NLA06608-0019,1,6/11/2007,Yes,YES,P,502676,ZOOF,1.2,1.2,0.7,IM,IM: TOW LENGTH MAY BE 1.4 (TWO TOWS?),1,7496
NLA06608-0019,2,8/7/2007,Yes,NO,P,504736,ZOOC,1,1,0.5,IM,IM: TOW LENGTH MAY BE 1 (TWO TOWS?),1,7497
NLA06608-0019,2,8/7/2007,Yes,NO,P,504735,ZOOF,1,1,0.5,IM,IM: TOW LENGTH MAY BE 1 (TWO TOWS?),1,7497
NLA06608-0019,2,8/7/2007,Yes,NO,D,503885,ZOOC,1,1,0.5,IM,IM: TOW LENGTH MAY BE 1 (TWO TOWS?),1,7497
NLA06608-0019,2,8/7/2007,Yes,NO,D,503886,ZOOF,1,1,0.5,IM,IM: TOW LENGTH MAY BE 1 (TWO TOWS?),1,7497
NLA06608-0020,1,6/11/2007,Yes,YES,P,515215,ZOOC,14.9,14.9,14.2,,,1,7498
NLA06608-0020,1,6/11/2007,Yes,YES,P,515216,ZOOF,14.9,14.9,14.2,,,1,7498
NLA06608-0020,2,7/2/2007,Yes,NO,P,503375,ZOOC,13.7,13.7,13,IM,IM; TOW LENGTH EST. AS DEPTH - 0.7 M BASED ON VISIT 1,1,7499
NLA06608-0020,2,7/2/2007,Yes,NO,P,503376,ZOOF,13.7,13.7,13,IM,IM; TOW LENGTH EST. AS DEPTH - 0.7 M BASED ON VISIT 1,1,7499
NLA06608-0020,2,7/2/2007,Yes,NO,D,503435,ZOOC,13.7,13.7,13,IM,IM; TOW LENGTH EST. AS DEPTH - 0.7 M BASED ON VISIT 1,1,7499
NLA06608-0020,2,7/2/2007,Yes,NO,D,503436,ZOOF,13.7,13.7,13,IM,IM; TOW LENGTH EST. AS DEPTH - 0.7 M BASED ON VISIT 1,1,7499
NLA06608-0021,1,7/27/2007,Yes,YES,P,504935,ZOOC,53,53,50,,,1,7500
NLA06608-0021,1,7/27/2007,Yes,YES,P,504936,ZOOF,53,53,50,,,1,7500
NLA06608-0021,2,8/30/2007,Yes,NO,P,504665,ZOOC,46.3,46.3,46,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",1,7501
NLA06608-0021,2,8/30/2007,Yes,NO,P,504666,ZOOF,46.3,46.3,46,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",1,7501
NLA06608-0023,1,8/9/2007,Yes,YES,P,508955,ZOOC,3,3,2.5,,,1,7502
NLA06608-0023,1,8/9/2007,Yes,YES,P,508956,ZOOF,3,3,2.5,,,1,7502
NLA06608-0023,2,9/19/2007,Yes,NO,P,516885,ZOOC,2.8,2.8,25,,,1,7503
NLA06608-0023,2,9/19/2007,Yes,NO,P,516886,ZOOF,2.8,2.8,25,,,1,7503
NLA06608-0024,1,7/11/2007,Yes,YES,P,514775,ZOOC,12.9,12.9,12.4,,,1,7504
NLA06608-0024,1,7/11/2007,Yes,YES,P,514776,ZOOF,12.9,12.9,12.4,,,1,7504
NLA06608-0024,2,8/14/2007,Yes,NO,P,504165,ZOOC,10.5,10.5,10,,,1,7505
NLA06608-0024,2,8/14/2007,Yes,NO,P,504166,ZOOF,10.5,10.5,10,,,1,7505
NLA06608-0025,1,6/18/2007,Yes,YES,P,514335,ZOOC,8,8,7,,,1,7506
NLA06608-0025,1,6/18/2007,Yes,YES,P,514336,ZOOF,8,8,7,,,1,7506
NLA06608-0025,2,7/18/2007,Yes,NO,P,509415,ZOOC,6.2,6.2,5.6,,,1,7507
NLA06608-0025,2,7/18/2007,Yes,NO,P,509416,ZOOF,6.2,6.2,5.5,,,1,7507
NLA06608-0025,2,7/18/2007,Yes,NO,D,509255,ZOOC,6.2,6.2,5.6,,,1,7507
NLA06608-0025,2,7/18/2007,Yes,NO,D,509256,ZOOF,6.2,6.2,5.5,,,1,7507
NLA06608-0029,1,7/2/2007,Yes,YES,P,505096,ZOOC,1.7,1.7,3,F1,TWO 1.5 M TOWS,1,7508
NLA06608-0029,1,7/2/2007,Yes,YES,P,505095,ZOOF,1.7,1.7,3,F1,TWO 1.5 M TOWS,1,7508
NLA06608-0029,2,9/11/2007,Yes,NO,P,505136,ZOOC,0.8,0.8,0.6,F1,2X0.3M,1,7509
NLA06608-0029,2,9/11/2007,Yes,NO,P,505135,ZOOF,0.8,0.8,0.6,F1,2X0.3M,1,7509
NLA06608-0029,2,9/11/2007,Yes,NO,D,505356,ZOOC,0.8,0.8,0.6,F1,2X0.3,1,7509
NLA06608-0029,2,9/11/2007,Yes,NO,D,505355,ZOOF,0.8,0.8,0.6,F1,2X0.3,1,7509
NLA06608-0031,1,6/13/2007,Yes,YES,P,515045,ZOOC,4.9,4.9,4.5,,,1,7510
NLA06608-0031,1,6/13/2007,Yes,YES,P,515046,ZOOF,4.9,4.9,4.5,,,1,7510
NLA06608-0031,2,9/5/2007,Yes,NO,P,509326,ZOOC,,4.8,4.3,,,1,7511
NLA06608-0031,2,9/5/2007,Yes,NO,P,509325,ZOOF,,4.8,4.3,,,1,7511
NLA06608-0033,1,7/17/2007,Yes,YES,P,506235,ZOOC,1.4,1.4,0.9,IM,IM: TOW LENGTH MAY BE 1.8 (TWO TOWS?),1,7512
NLA06608-0033,1,7/17/2007,Yes,YES,P,506236,ZOOF,1.4,1.4,0.9,IM,IM: TOW LENGTH MAY BE 1.8 (TWO TOWS?),1,7512
NLA06608-0033,2,8/28/2007,Yes,NO,P,517705,ZOOC,1.8,1.8,1.3,IM,IM: TOW LENGTH MAY BE 2.6 (TWO TOWS?),1,7513
NLA06608-0033,2,8/28/2007,Yes,NO,P,517706,ZOOF,1.8,1.8,1.3,IM,IM: TOW LENGTH MAY BE 2.6 (TWO TOWS?),1,7513
NLA06608-0033,2,8/28/2007,Yes,NO,D,508895,ZOOC,1.8,1.8,1.3,IM,IM: TOW LENGTH MAY BE 2.6 (TWO TOWS?),1,7513
NLA06608-0033,2,8/28/2007,Yes,NO,D,508896,ZOOF,1.8,1.8,1.3,IM,IM: TOW LENGTH MAY BE 2.6 (TWO TOWS?),1,7513
NLA06608-0036,1,7/12/2007,Yes,YES,P,513205,ZOOC,5,5,4,,,1,7514
NLA06608-0036,1,7/12/2007,Yes,YES,P,513206,ZOOF,5,5,4,,,1,7514
NLA06608-0036,2,7/16/2007,Yes,NO,P,513175,ZOOC,5,5,4.5,,,1,7515
NLA06608-0036,2,7/16/2007,Yes,NO,P,513176,ZOOF,5,5,4.5,,,1,7515
NLA06608-0036,2,7/16/2007,Yes,NO,D,513155,ZOOC,5,5,4.5,,,1,7515
NLA06608-0036,2,7/16/2007,Yes,NO,D,513156,ZOOF,5,5,4.5,,,1,7515
NLA06608-0037,1,7/13/2007,Yes,YES,P,508835,ZOOC,13,12.5,12,,,1,7516
NLA06608-0037,1,7/13/2007,Yes,YES,P,508836,ZOOF,13,12.5,12,,,1,7516
NLA06608-0037,2,9/5/2007,Sample lost,NO,P,517835,ZOOC,12.3,12.3,12,,,1,7517
NLA06608-0037,2,9/5/2007,Sample lost,NO,P,517836,ZOOF,12.3,12.3,12,,,1,7517
NLA06608-0037,2,9/5/2007,Yes,NO,D,516695,ZOOC,12.3,12.3,12,,,1,7517
NLA06608-0037,2,9/5/2007,Yes,NO,D,516696,ZOOF,12.3,12.3,12,,,1,7517
NLA06608-0038,1,7/12/2007,Yes,YES,P,505565,ZOOC,11.3,11.3,10.8,,,1,7518
NLA06608-0038,1,7/12/2007,Yes,YES,P,505566,ZOOF,11.3,11.3,10.8,,,1,7518
NLA06608-0038,2,8/27/2007,Sample lost,NO,P,509085,ZOOC,13.6,13.6,13.6,,,1,7519
NLA06608-0038,2,8/27/2007,Sample lost,NO,P,509086,ZOOF,13.6,13.6,13.6,,,1,7519
NLA06608-0038,2,8/27/2007,Yes,NO,D,509795,ZOOC,13.6,13.6,13.6,,,1,7519
NLA06608-0038,2,8/27/2007,Yes,NO,D,509796,ZOOF,13.6,13.6,13.6,,,1,7519
NLA06608-0041,1,6/12/2007,Yes,YES,P,502585,ZOOC,43,43,48.5,,,1,7520
NLA06608-0041,1,6/12/2007,Yes,YES,P,502586,ZOOF,43,43,48.5,F2,BUCKET HAS SMALL GAP BETWEEN NET AND BUCKET,1,7520
NLA06608-0041,2,7/11/2007,Yes,NO,P,505906,ZOOC,33,32.9,32,,,1,7521
NLA06608-0041,2,7/11/2007,Yes,NO,P,505905,ZOOF,33,32.9,32,,,1,7521
NLA06608-0041,2,7/11/2007,Yes,NO,D,502495,ZOOC,33,32.9,32,,,1,7521
NLA06608-0041,2,7/11/2007,Yes,NO,D,502496,ZOOF,33,32.9,32,,,1,7521
NLA06608-0042,1,6/22/2007,Yes,YES,P,505925,ZOOC,13.6,13.6,13.3,,,1,7522
NLA06608-0042,1,6/22/2007,Yes,YES,P,505926,ZOOF,13.6,13.6,13.3,,,1,7522
NLA06608-0042,1,6/22/2007,Yes,NO,D,502135,ZOOC,13.6,13.6,13.3,,,1,7522
NLA06608-0042,1,6/22/2007,Yes,NO,D,502136,ZOOF,13.6,13.6,13.3,,,1,7522
NLA06608-0042,2,7/6/2007,Yes,NO,P,511665,ZOOC,13.9,13.9,13.4,F1,PRESERVED WITH 99% ISOPROPYL ALCOHOL,1,7523
NLA06608-0042,2,7/6/2007,Yes,NO,P,511666,ZOOF,13.9,13.9,13.4,F1,PRESERVED WITH 99% ISOPROPYL ALCOHOL,1,7523
NLA06608-0043,1,7/31/2007,Yes,YES,P,512705,ZOOC,16.5,16.5,16,,,1,7524
NLA06608-0043,1,7/31/2007,Yes,YES,P,512706,ZOOF,16.5,16.5,15.9,,,1,7524
NLA06608-0043,2,8/15/2007,Yes,NO,P,513105,ZOOC,16.2,16.2,15.5,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",1,7525
NLA06608-0043,2,8/15/2007,Yes,NO,P,513106,ZOOF,16.2,16.2,15.5,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",1,7525
NLA06608-0044,1,7/18/2007,Yes,YES,P,503705,ZOOC,1.6,1.6,1.1,IM,IM: TOW LENGTH MAY BE 2.2 (TWO TOWS?),1,7526
NLA06608-0044,1,7/18/2007,Yes,YES,P,503706,ZOOF,1.6,1.6,1.1,IM,IM: TOW LENGTH MAY BE 2.2 (TWO TOWS?),1,7526
NLA06608-0044,2,7/30/2007,Yes,NO,P,513705,ZOOC,1.6,1.6,1.1,IM,IM: TOW LENGTH MAY BE 2.2 (TWO TOWS?),1,7527
NLA06608-0044,2,7/30/2007,Yes,NO,P,513706,ZOOF,1.6,1.6,1.1,IM,IM: TOW LENGTH MAY BE 2.2 (TWO TOWS?),2,7527
NLA06608-0044,2,7/30/2007,Yes,NO,D,504345,ZOOC,1.6,1.6,1.1,IM,IM: TOW LENGTH MAY BE 2.2 (TWO TOWS?),1,7527
NLA06608-0044,2,7/30/2007,Yes,NO,D,504346,ZOOF,1.6,1.6,1.1,IM,IM: TOW LENGTH MAY BE 2.2 (TWO TOWS?),3,7527
NLA06608-0045,1,6/26/2007,Yes,YES,P,505706,ZOOC,2.1,2.1,2.4,F1,FORGOT NARCOTIZE,1,7528
NLA06608-0045,1,6/26/2007,Yes,YES,P,505705,ZOOF,2.1,2.1,2.4,,,1,7528
NLA06608-0045,2,8/2/2007,Yes,NO,P,502075,ZOOC,2.5,2.5,2,IM,IM: TOW LENGTH ESTI. AS DEPTH - 0.5 M,1,7529
NLA06608-0045,2,8/2/2007,Yes,NO,P,502076,ZOOF,2.5,2.5,2,IM,IM: TOW LENGTH ESTIMATED AS DEPTH - 0.5 M,1,7529
NLA06608-0045,2,8/2/2007,Yes,NO,D,514115,ZOOC,2.5,2.5,2,IM,IM: TOW LENGTH ESTIMATED AS DEPTH - 0.5 M,1,7529
NLA06608-0045,2,8/2/2007,Yes,NO,D,514116,ZOOF,2.5,2.5,2,IM,IM: TOW LENGTH ESTIMATED AS DEPTH - 0.5 M,1,7529
NLA06608-0048,1,8/2/2007,Yes,YES,P,513006,ZOOC,3,3,2.5,,,1,7530
NLA06608-0048,1,8/2/2007,Yes,YES,P,513005,ZOOF,3,3,2.5,,,1,7530
NLA06608-0048,2,9/18/2007,Yes,NO,P,510545,ZOOC,3.1,3.1,2.5,,,1,7531
NLA06608-0048,2,9/18/2007,Yes,NO,P,510546,ZOOF,3.1,3.1,2.5,,,1,7531
NLA06608-0048,2,9/18/2007,Yes,NO,D,514765,ZOOC,3.1,3.1,2.5,,,1,7531
NLA06608-0048,2,9/18/2007,Yes,NO,D,514766,ZOOF,3.1,3.1,2.5,,,1,7531
NLA06608-0049,1,8/15/2007,Yes,YES,P,509746,ZOOC,3.7,3.7,3.7,,,1,7532
NLA06608-0049,1,8/15/2007,Yes,YES,P,509745,ZOOF,3.7,3.7,3.7,,,1,7532
NLA06608-0050,1,7/2/2007,Yes,YES,P,508675,ZOOC,4.9,,5,,DATA SUBMITTED IS LENGTH OF TOW,,7533
NLA06608-0050,1,7/2/2007,Yes,YES,P,508676,ZOOF,4.9,,5,,,,7533
NLA06608-0050,2,8/30/2007,Yes,NO,P,511065,ZOOC,5,,5,,,,7534
NLA06608-0050,2,8/30/2007,Yes,NO,P,511066,ZOOF,5,,5,,,,7534
NLA06608-0050,2,8/30/2007,Yes,NO,D,509636,ZOOC,5,,5,,,,7534
NLA06608-0050,2,8/30/2007,Yes,NO,D,509635,ZOOF,5,,5,,,,7534
NLA06608-0053,1,8/23/2007,Yes,YES,P,506805,ZOOC,5.3,5.3,5,,,1,7535
NLA06608-0053,1,8/23/2007,Yes,YES,P,506806,ZOOF,5.3,5.3,5,,,1,7535
NLA06608-0053,2,9/27/2007,Yes,NO,P,517545,ZOOC,5.9,5.9,5,IM,"ALL SAMPLES FOR THIS SITE, VISIT 2, ARE LISTED AS SAMPLE TYPE D",1,7536
NLA06608-0053,2,9/27/2007,Yes,NO,P,517546,ZOOF,5.9,5.9,5,IM,"ALL SAMPLES FOR THIS SITE, VISIT 2, ARE LISTED AS SAMPLE TYPE D",1,7536
NLA06608-0057,1,6/16/2007,Yes,YES,P,514815,ZOOC,3.7,3.7,2.8,,,1,7538
NLA06608-0057,1,6/16/2007,Yes,YES,P,514816,ZOOF,3.7,3.7,2.8,,,1,7538
NLA06608-0057,2,7/14/2007,Yes,NO,P,506875,ZOOC,2.7,2.7,2.2,,,1,7539
NLA06608-0057,2,7/14/2007,Yes,NO,P,506876,ZOOF,2.7,2.7,2.2,,,1,7539
NLA06608-0057,2,7/14/2007,Yes,NO,D,507295,ZOOC,2.7,2.7,2.2,,,1,7539
NLA06608-0057,2,7/14/2007,Yes,NO,D,507296,ZOOF,2.7,2.7,2.2,,,1,7539
NLA06608-0061,1,6/12/2007,Yes,YES,P,502435,ZOOC,15.3,,15.2,,,1,7541
NLA06608-0061,1,6/12/2007,Yes,YES,P,502436,ZOOF,15.3,,14.9,,,1,7541
NLA06608-0061,1,6/12/2007,Yes,NO,D,502715,ZOOC,15.3,,15.4,F1,COARSE,1,7541
NLA06608-0061,1,6/12/2007,Yes,NO,D,502716,ZOOF,15.3,,15.4,F2,FINE,1,7541
NLA06608-0061,2,8/22/2007,Yes,NO,P,509575,ZOOC,14.9,14.9,14,,,1,7542
NLA06608-0061,2,8/22/2007,Yes,NO,P,509576,ZOOF,14.9,14.9,14.2,,,1,7542
NLA06608-0062,1,8/9/2007,Yes,YES,P,512325,ZOOC,2.7,2.7,2.2,,,1,7543
NLA06608-0062,1,8/9/2007,Yes,YES,P,512326,ZOOF,2.7,2.7,2.2,,,1,7543
NLA06608-0062,2,8/27/2007,Yes,NO,P,517475,ZOOC,2.8,2.8,1.5,,,1,7544
NLA06608-0062,2,8/27/2007,Yes,NO,P,517476,ZOOF,2.8,2.8,1.5,,,1,7544
NLA06608-0062,2,8/27/2007,Yes,NO,D,517395,ZOOC,2.8,2.8,1.5,,,1,7544
NLA06608-0062,2,8/27/2007,Yes,NO,D,517396,ZOOF,2.8,2.8,1.5,,,1,7544
NLA06608-0064,1,6/18/2007,Yes,YES,P,514485,ZOOC,2.5,2.5,2,,,1,7545
NLA06608-0064,1,6/18/2007,Yes,YES,P,514486,ZOOF,2.5,2.5,2,,,1,7545
NLA06608-0064,2,8/26/2007,Yes,NO,P,513795,ZOOC,1.7,1.7,12,IM,IM: TOW LENGTH MAY BE 2.4 (TWO TOWS?),1,7546
NLA06608-0064,2,8/26/2007,Yes,NO,P,513796,ZOOF,1.7,1.7,1.2,IM,IM: TOW LENGTH MAY BE 2.4 (TWO TOWS?),1,7546
NLA06608-0064,2,8/26/2007,Yes,NO,D,513785,ZOOC,1.7,1.7,1.2,IM,IM: TOW LENGTH MAY BE 2.4 (TWO TOWS?),1,7546
NLA06608-0064,2,8/26/2007,Yes,NO,D,513786,ZOOF,1.7,1.7,1.2,IM,IM: TOW LENGTH MAY BE 2.4 (TWO TOWS?),1,7546
NLA06608-0065,1,7/17/2007,Yes,YES,P,507565,ZOOC,17.1,17.1,16.6,,,1,7547
NLA06608-0065,1,7/17/2007,Yes,YES,P,507566,ZOOF,17.1,17.1,16.6,,,1,7547
NLA06608-0065,1,7/17/2007,Yes,NO,D,507405,ZOOC,17.1,17.1,16.6,,,1,7547
NLA06608-0065,1,7/17/2007,Yes,NO,D,507406,ZOOF,17.1,17.1,16.6,,,1,7547
NLA06608-0065,2,9/12/2007,Yes,NO,P,509475,ZOOC,15.3,15.3,14.8,,,1,7548
NLA06608-0065,2,9/12/2007,Yes,NO,P,509476,ZOOF,15.3,15.3,14.8,,,1,7548
NLA06608-0065,2,9/12/2007,Yes,NO,D,504305,ZOOC,15.3,15.3,14.8,,,1,7548
NLA06608-0065,2,9/12/2007,Yes,NO,D,504306,ZOOF,15.3,15.3,14.8,,,1,7548
NLA06608-0066,1,6/12/2007,Yes,YES,P,502636,ZOOC,20.5,20.5,20,,,1,7549
NLA06608-0066,1,6/12/2007,Yes,YES,P,502635,ZOOF,20.5,20.5,20,,,1,7549
NLA06608-0066,2,9/18/2007,Yes,NO,P,517865,ZOOC,17.5,17.4,16.5,,,1,7550
