SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,BASINAREA_KM2,BASINAREA_HA,BASINAREA_LU_KM2,MISSDATA_KM2_BSN,NLCD11_KM2_BSN,NLCD12_KM2_BSN,NLCD21_KM2_BSN,NLCD22_KM2_BSN,NLCD23_KM2_BSN,NLCD24_KM2_BSN,NLCD31_KM2_BSN,NLCD32_KM2_BSN,NLCD41_KM2_BSN,NLCD42_KM2_BSN,NLCD43_KM2_BSN,NLCD51_KM2_BSN,NLCD52_KM2_BSN,NLCD71_KM2_BSN,NLCD72_KM2_BSN,NLCD73_KM2_BSN,NLCD74_KM2_BSN,NLCD81_KM2_BSN,NLCD82_KM2_BSN,NLCD90_KM2_BSN,NLCD91_KM2_BSN,NLCD92_KM2_BSN,NLCD93_KM2_BSN,NLCD94_KM2_BSN,NLCD95_KM2_BSN,NLCD96_KM2_BSN,NLCD97_KM2_BSN,NLCD98_KM2_BSN,NLCD99_KM2_BSN,LANDUSE_KM2_BSN,PCT_OPENH20_BSN,PCT_ICESNOW_BSN,PCT_WATER_BSN,PCT_DEVOPEN_BSN,PCT_DEVLOW_BSN,PCT_DEVMED_BSN,PCT_DEVHIGH_BSN,PCT_DEVELOPED_BSN,PCT_BARREN_BSN,PCT_DECID_BSN,PCT_CONIF_BSN,PCT_MIXED_BSN,PCT_FOREST_BSN,PCT_SHRUBLAND_BSN,PCT_GRASS_BSN,PCT_PASTURE_BSN,PCT_CROPS_BSN,PCT_AGRIC_BSN,PCT_WDYWET_BSN,PCT_EMHERBWET_BSN,PCT_WETLAND_BSN,FLAG_LU_BASIN,COMMENT_LU_BASIN
NLA06608-0013,1,PROB_Lake,Target_Sampled,93.76924728,9376.924728,93.76924728,0,0.821,0,8.835,4.963,2.431,1.324,4.038,0,10.471,32.594,0.297,0,0,0,0,0,0,1.502,8.745,14.891,0,0,0,0,2.85,0,0,0,0,93.762,0.9,0,0.9,9.4,5.3,2.6,1.4,18.7,4.3,11.2,34.8,0.3,46.3,0,0,1.6,9.3,10.9,15.9,3,18.9,,
NLA06608-0014,1,PROB_Lake,Target_Sampled,7.066625128,706.6625128,7.066625128,0,0.652,0,0.356,0,0,0,0,0,0,0,0,0,0,1.542,0,0,0,0.927,2.635,0.041,0,0,0,0,0.924,0,0,0,0,7.077,9.2,0,9.2,5,0,0,0,5,0,0,0,0,0,0,21.8,13.1,37.3,50.4,0.6,13.1,13.7,,
NLA06608-0015,1,PROB_Lake,Target_Sampled,68562.98157,6856298.157,68562.98157,0,306.036,1.29,596.462,391.289,98.656,14.581,689.072,0,1576.317,18491.612,371.607,0,30660.867,12909.935,0,0,0,1131.967,426.767,648.642,0,0,0,0,247.902,0,0,0,0,68563.002,0.4,0,0.4,0.9,0.6,0.1,0,1.6,1,2.3,27,0.5,29.8,44.7,18.8,1.7,0.6,2.3,0.9,0.4,1.3,,
NLA06608-0016,1,PROB_Lake,Target_Sampled,42.28744418,4228.744418,42.28744418,0,6.783,0,2.489,0.256,0.011,0,0.063,0,0.059,0,0,0,0,26.157,0,0,0,0.766,5.189,0.503,0,0,0,0,0,0,0,0,0,42.276,16,0,16,5.9,0.6,0,0,6.5,0.1,0.1,0,0,0.1,0,61.9,1.8,12.3,14.1,1.2,0,1.2,,
NLA06608-0019,1,PROB_Lake,Target_Sampled,91.69963217,9169.963217,91.69963217,0,11.254,0,2.679,0.156,0.005,0,0,0,0.069,0,0,0,1.183,48.361,0,0,0,16.7,9.851,0,0,0,0,0,1.445,0,0,0,0,91.703,12.3,0,12.3,2.9,0.2,0,0,3.1,0,0.1,0,0,0.1,1.3,52.7,18.2,10.7,28.9,0,1.6,1.6,,
NLA06608-0020,1,PROB_Lake,Target_Sampled,53.75406649,5375.406649,53.75406649,0,2.86,0,1.937,0.477,0,0,0,0,13.393,0,0,0,0,0.391,0,0,0,1.468,33.229,0.005,0,0,0,0,0,0,0,0,0,53.76,5.3,0,5.3,3.6,0.9,0,0,4.5,0,24.9,0,0,24.9,0,0.7,2.7,61.8,64.5,0,0,0,,
NLA06608-0021,1,PROB_Lake,Target_Sampled,241.6641707,24166.41707,241.6641707,0,42.431,0,15.881,4.563,0.942,0.23,0.17,0,43.017,3.165,17.358,0,14.957,1.283,0,0,0,64.72,29.727,2.948,0,0,0,0,0.259,0,0,0,0,241.651,17.6,0,17.6,6.6,1.9,0.4,0.1,9,0.1,17.8,1.3,7.2,26.3,6.2,0.5,26.8,12.3,39.1,1.2,0.1,1.3,,
NLA06608-0023,1,PROB_Lake,Target_Sampled,0.743655017,74.36550165,0.743655017,0,0.077,0,0.046,0.085,0.154,0.266,0.002,0,0.035,0,0,0,0.059,0.017,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.751,10.4,0,10.4,6.2,11.4,20.7,35.8,74.1,0.3,4.7,0,0,4.7,7.9,2.3,0,0,0,1.3,0,1.3,,
NLA06608-0024,1,PROB_Lake,Target_Sampled,2170.026762,217002.6762,2170.026762,0,120.67,0,74.029,131.378,22.086,9.221,1.188,0,296.645,106.191,101.275,0,192.24,0.032,0,0,0,766.346,79.346,268.409,0,0,0,0,0.953,0,0,0,0,2170.009,5.6,0,5.6,3.4,6.1,1,0.4,10.9,0.1,13.7,4.9,4.7,23.3,8.9,0,35.3,3.7,39,12.4,0,12.4,,
NLA06608-0025,1,PROB_Lake,Target_Sampled,6.838269982,683.8269982,6.838269982,0,0.179,0,0.392,0.06,0.021,0.016,0,0,4.633,0.737,0.313,0,0.036,0.05,0,0,0,0.386,0.004,0.01,0,0,0,0,0,0,0,0,0,6.837,2.6,0,2.6,5.7,0.9,0.3,0.2,7.1,0,67.8,10.8,4.6,83.2,0.5,0.7,5.6,0.1,5.7,0.1,0,0.1,,
NLA06608-0029,1,PROB_Lake,Target_Sampled,18.7698932,1876.98932,18.7698932,0,0.543,0,0.869,0.928,0.09,0.002,0.096,0,3.426,0.338,0.113,0,0,0,0,0,0,3.304,8.466,0.392,0,0,0,0,0.195,0,0,0,0,18.762,2.9,0,2.9,4.6,4.9,0.5,0,10,0.5,18.3,1.8,0.6,20.7,0,0,17.6,45.1,62.7,2.1,1,3.1,,
NLA06608-0031,1,PROB_Lake,Target_Sampled,12.16141233,1216.141233,12.16141233,0,0.215,0,1.001,0.012,0,0,0,0,7.368,0.072,0,0,0.006,0.14,0,0,0,2.527,0.812,0.01,0,0,0,0,0,0,0,0,0,12.163,1.8,0,1.8,8.2,0.1,0,0,8.3,0,60.6,0.6,0,61.2,0,1.2,20.8,6.7,27.5,0.1,0,0.1,,
NLA06608-0033,1,PROB_Lake,Target_Sampled,5.519077524,551.9077524,5.519077524,0,0,0,0.168,0.086,0,0,0,0,0,3.272,0,0,0.94,0.149,0,0,0,0,0,0.812,0,0,0,0,0.087,0,0,0,0,5.514,0,0,0,3,1.6,0,0,4.6,0,0,59.3,0,59.3,17,2.7,0,0,0,14.7,1.6,16.3,,
NLA06608-0036,1,PROB_Lake,Target_Sampled,1.224605698,122.4605698,1.224605698,0,0.068,0,0,0,0,0,0,0,1.078,0.065,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.224,5.6,0,5.6,0,0,0,0,0,0,88,5.3,1.1,94.4,0,0,0,0,0,0,0,0,,
NLA06608-0037,1,PROB_Lake,Target_Sampled,37.25673266,3725.673266,37.25673266,0,2.812,0,2.054,0.419,0.023,0,0.011,0,24.773,0.603,0.325,0,0.246,0.076,0,0,0,4.142,0.391,1.199,0,0,0,0,0.183,0,0,0,0,37.257,7.5,0,7.5,5.5,1.1,0.1,0,6.7,0,66.5,1.6,0.9,69,0.7,0.2,11.1,1,12.1,3.2,0.5,3.7,,
NLA06608-0038,1,PROB_Lake,Target_Sampled,25.86530737,2586.530737,25.86530737,0,3.02,0,0.699,0.438,0.14,0.058,0.036,0,10.645,3.191,5.372,0,0.721,0.064,0,0,0,0.01,0.459,1.006,0,0,0,0,0.01,0,0,0,0,25.869,11.7,0,11.7,2.7,1.7,0.5,0.2,5.1,0.1,41.2,12.3,20.8,74.3,2.8,0.2,0,1.8,1.8,3.9,0,3.9,,
NLA06608-0041,1,PROB_Lake,Target_Sampled,2083.774493,208377.4493,2083.774493,0,17.224,0,81.603,10.617,2.627,0.791,22.801,0,1613.586,82.2,175.258,0,0.023,2.021,0,0,0,46.284,26.585,0.607,0,0,0,0,1.527,0,0,0,0,2083.754,0.8,0,0.8,3.9,0.5,0.1,0,4.5,1.1,77.4,3.9,8.4,89.7,0,0.1,2.2,1.3,3.5,0,0.1,0.1,,
NLA06608-0042,1,PROB_Lake,Target_Sampled,87.79963746,8779.963746,87.79963746,0,1.854,0.614,0,0,0,0,0.513,0,0.556,44.292,0,0,10.792,29.13,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,87.806,2.1,0.7,2.8,0,0,0,0,0,0.6,0.6,50.4,0,51,12.3,33.2,0,0,0,0.1,0,0.1,,
NLA06608-0043,1,PROB_Lake,Target_Sampled,150.9026147,15090.26147,150.9026147,0,8.379,0,6.135,4.66,0.518,0.124,0,0,7.655,0.347,0.035,0,3.223,1.75,0,0,0,22.583,67.001,28.17,0,0,0,0,0.333,0,0,0,0,150.913,5.6,0,5.6,4.1,3.1,0.3,0.1,7.6,0,5.1,0.2,0,5.3,2.1,1.2,15,44.4,59.4,18.7,0.2,18.9,,
NLA06608-0044,1,PROB_Lake,Target_Sampled,202.3008717,20230.08717,202.3008717,0,5.412,0,0.353,0.054,0,0,0,0,0.285,0.096,0,0,0.009,186.303,0,0,0,0,0,0.697,0,0,0,0,9.078,0,0,0,0,202.287,2.7,0,2.7,0.2,0,0,0,0.2,0,0.1,0,0,0.1,0,92.1,0,0,0,0.3,4.5,4.8,,
NLA06608-0045,1,PROB_Lake,Target_Sampled,42.17876613,4217.876613,42.17876613,0,0.472,0,1.016,0.05,0,0,0.179,0,13.716,6.818,2.06,0,1.024,1.311,0,0,0,13.746,0.46,1.269,0,0,0,0,0.058,0,0,0,0,42.179,1.1,0,1.1,2.4,0.1,0,0,2.5,0.4,32.5,16.2,4.9,53.6,2.4,3.1,32.6,1.1,33.7,3,0.1,3.1,,
NLA06608-0048,1,PROB_Lake,Target_Sampled,0.452342891,45.23428911,0.452342891,0,0.059,0,0.056,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.191,0.057,0,0,0,0,0.03,0,0,0,0,0.453,13,0,13,12.4,0,0,0,12.4,0,13.3,0,0,13.3,0,0,0,42.2,42.2,12.6,6.6,19.2,,
NLA06608-0049,1,PROB_Lake,Target_Sampled,4.044261315,404.4261315,4.044261315,0,0.085,0,0,0,0,0,0.007,0,0,2.492,0,0,0.478,0.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.047,2.1,0,2.1,0,0,0,0,0,0.2,0,61.6,0,61.6,11.8,24.4,0,0,0,0,0,0,,
NLA06608-0050,1,PROB_Lake,Target_Sampled,0.852790765,85.27907651,0.852790765,0,0.102,0,0,0,0,0,0,0,0.489,0.023,0.202,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0.851,12,0,12,0,0,0,0,0,0,57.3,2.7,23.7,83.7,0,0,0,0,0,4.1,0,4.1,,
NLA06608-0053,1,PROB_Lake,Target_Sampled,3161.13308,316113.308,3161.13308,0,210.504,0,106.738,44.427,14.887,3.686,3.594,0,1065.51,534.276,282.496,0,98.945,6.065,0,0,0,423.336,137.222,208.22,0,0,0,0,21.209,0,0,0,0,3161.115,6.7,0,6.7,3.4,1.4,0.5,0.1,5.4,0.1,33.7,16.9,8.9,59.5,3.1,0.2,13.4,4.3,17.7,6.6,0.7,7.3,,
NLA06608-0057,1,PROB_Lake,Target_Sampled,134.9799567,13497.99567,134.9799567,0,1.112,0,9.708,2.566,0.302,0.072,0.027,0,38.304,11.275,2.08,0,0.646,4.006,0,0,0,59.972,4.349,0.555,0,0,0,0,0,0,0,0,0,134.974,0.8,0,0.8,7.2,1.9,0.2,0.1,9.4,0,28.4,8.4,1.5,38.3,0.5,3,44.4,3.2,47.6,0.4,0,0.4,,
NLA06608-0061,1,PROB_Lake,Target_Sampled,11406.00514,1140600.514,11406.00514,0,12.145,0,32.123,7.306,0.382,0.084,20.283,0,34.047,1410.887,0.077,0,9672.783,190.967,0,0,0,6.221,0.273,16.916,0,0,0,0,1.545,0,0,0,0,11406.039,0.1,0,0.1,0.3,0.1,0,0,0.4,0.2,0.3,12.4,0,12.7,84.8,1.7,0.1,0,0.1,0.1,0,0.1,,
NLA06608-0062,1,PROB_Lake,Target_Sampled,8.152610299,815.2610299,8.152610299,0,1.688,0,0.209,0,0,0,0,0,0.008,0,0,0,0,4.289,0,0,0,0.099,1.579,0.005,0,0,0,0,0.285,0,0,0,0,8.162,20.7,0,20.7,2.6,0,0,0,2.6,0,0.1,0,0,0.1,0,52.6,1.2,19.4,20.6,0.1,3.5,3.6,,
NLA06608-0064,1,PROB_Lake,Target_Sampled,14.74669434,1474.669434,14.74669434,0,0.197,0,0.137,0,0,0,0,0,0,0,0,0,0.06,3.74,0,0,0,0,10.614,0,0,0,0,0,0,0,0,0,0,14.748,1.3,0,1.3,0.9,0,0,0,0.9,0,0,0,0,0,0.4,25.4,0,72,72,0,0,0,,
NLA06608-0065,1,PROB_Lake,Target_Sampled,32.895357,3289.5357,32.895357,0.024,1.575,0,0.459,0.143,0,0,0,0,0,7.996,0,0,20.817,1.709,0,0,0,0.101,0,0.028,0,0,0,0,0.042,0,0,0,0,32.894,4.8,0,4.8,1.4,0.4,0,0,1.8,0,0,24.3,0,24.3,63.3,5.2,0.3,0,0.3,0.1,0.1,0.2,,
NLA06608-0066,1,PROB_Lake,Target_Sampled,1115.529064,111552.9064,1115.529064,0,33.953,0,77.213,6.958,2.617,0.285,9.572,0,705.01,43.776,17.499,0,0,0,0,0,0,161.504,47.205,5.595,0,0,0,0,4.353,0,0,0,0,1115.54,3,0,3,6.9,0.6,0.2,0,7.7,0.9,63.2,3.9,1.6,68.7,0,0,14.5,4.2,18.7,0.5,0.4,0.9,,
NLA06608-0068,1,PROB_Lake,Target_Sampled,35.27345254,3527.345254,35.27345254,0,0.662,0,0.16,0,0,0,10.628,0,3.424,14.136,0.597,0,0.03,4.954,0,0,0,0,0,0.645,0,0,0,0,0.033,0,0,0,0,35.269,1.9,0,1.9,0.5,0,0,0,0.5,30.1,9.7,40.1,1.7,51.5,0.1,14,0,0,0,1.8,0.1,1.9,,
NLA06608-0069,1,PROB_Lake,Target_Sampled,3.872516657,387.2516657,3.872516657,0,0.321,0,0.716,0.167,0.005,0,0,0,0,1.427,0,0,0.006,0.055,0,0,0,0.107,0,0.954,0,0,0,0,0.115,0,0,0,0,3.873,8.3,0,8.3,18.5,4.3,0.1,0,22.9,0,0,36.8,0,36.8,0.2,1.4,2.8,0,2.8,24.6,3,27.6,,
NLA06608-0071,1,PROB_Lake,Target_Sampled,28.86991168,2886.991168,28.86991168,0,4.097,0,1.572,0.028,0.006,0,0.022,0,0.158,0.032,0.84,0,0.025,0,0,0,0,0,18.804,3.062,0,0,0,0,0.237,0,0,0,0,28.883,14.2,0,14.2,5.4,0.1,0,0,5.5,0.1,0.5,0.1,2.9,3.5,0.1,0,0,65.1,65.1,10.6,0.8,11.4,,
NLA06608-0072,1,PROB_Lake,Target_Sampled,6.950936038,695.0936038,6.950936038,0,0.091,0,0.085,0.002,0.007,0,0.013,0,0.271,0.853,0.009,0,1.784,2.77,0,0,0,0.508,0.39,0.166,0,0,0,0,0,0,0,0,0,6.949,1.3,0,1.3,1.2,0,0.1,0,1.3,0.2,3.9,12.3,0.1,16.3,25.7,39.9,7.3,5.6,12.9,2.4,0,2.4,,
NLA06608-0073,1,PROB_Lake,Target_Sampled,1.898455318,189.8455318,1.898455318,0,1.476,0,0.065,0.026,0,0,0,0,0,0,0,0,0.302,0,0,0,0,0,0,0.027,0,0,0,0,0.005,0,0,0,0,1.901,77.7,0,77.7,3.4,1.4,0,0,4.8,0,0,0,0,0,15.9,0,0,0,0,1.4,0.3,1.7,,
NLA06608-0076,1,PROB_Lake,Target_Sampled,543.0103544,54301.03544,543.0103544,0,33.114,0,26.753,7.946,0.665,0.219,0.689,0,53.097,0.036,0.014,0,1.839,4.224,0,0,0,223.349,180.614,9.416,0,0,0,0,1.028,0,0,0,0,543.003,6.1,0,6.1,4.9,1.5,0.1,0,6.5,0.1,9.8,0,0,9.8,0.3,0.8,41.1,33.3,74.4,1.7,0.2,1.9,,
NLA06608-0077,1,PROB_Lake,Target_Sampled,4.730565159,473.0565159,4.730565159,0,0.866,0,0.225,0.101,0.05,0.007,0.946,0,2.05,0,0.016,0,0.113,0,0,0,0,0.01,0.005,0.336,0,0,0,0,0,0,0,0,0,4.725,18.3,0,18.3,4.8,2.1,1.1,0.1,8.1,20,43.3,0,0.3,43.6,2.4,0,0.2,0.1,0.3,7.1,0,7.1,,
NLA06608-0078,1,PROB_Lake,Target_Sampled,0.257765278,25.77652778,0.257765278,0,0.179,0,0.001,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0.011,0,0,0,0,0,0,0.062,0,0,0,0,0.267,69.4,0,69.4,0.4,0,0,0,0.4,0,0,0,0,0,0,5.4,4.3,0,4.3,0,24.1,24.1,,
NLA06608-0079,1,PROB_Lake,Target_Sampled,52.55819801,5255.819801,52.55819801,0,1.755,0,0,0,0,0,2.66,0,1.289,21.883,0.113,0,0.005,21.119,0,0,0,0,0,2.822,0,0,0,0,0.913,0,0,0,0,52.559,3.3,0,3.3,0,0,0,0,0,5.1,2.5,41.6,0.2,44.3,0,40.2,0,0,0,5.4,1.7,7.1,,
NLA06608-0080,1,PROB_Lake,Target_Sampled,4.657475601,465.7475601,4.657475601,0,0.794,0,0.164,0,0,0,0,0,0.009,0.001,0.014,0,0,0,0,0,0,0,3.301,0.365,0,0,0,0,0.011,0,0,0,0,4.659,17,0,17,3.5,0,0,0,3.5,0,0.2,0,0.3,0.5,0,0,0,70.9,70.9,7.8,0.2,8,,
NLA06608-0081,1,PROB_Lake,Target_Sampled,1.272035634,127.2035634,1.272035634,0,0.101,0,0.094,0.019,0,0,0,0,0.011,0.748,0.231,0,0.023,0.01,0,0,0,0,0,0.041,0,0,0,0,0.001,0,0,0,0,1.279,7.9,0,7.9,7.4,1.5,0,0,8.9,0,0.9,58.8,18.2,77.9,1.8,0.8,0,0,0,3.2,0.1,3.3,,
NLA06608-0083,1,PROB_Lake,Target_Sampled,17.25267257,1725.267257,17.25267257,0,2.701,0,0.405,0.004,0,0,0,0,0.012,0,0,0,0.059,7.87,0,0,0,2.254,3.546,0,0,0,0,0,0.403,0,0,0,0,17.254,15.7,0,15.7,2.3,0,0,0,2.3,0,0.1,0,0,0.1,0.3,45.6,13.1,20.6,33.7,0,2.3,2.3,,
NLA06608-0085,1,PROB_Lake,Target_Sampled,100.5353618,10053.53618,100.5353618,0,0.122,0,0.932,0.232,0.041,0,0.039,0,0,0.443,0,0,48.39,49.703,0,0,0,0.501,0.114,0.014,0,0,0,0,0,0,0,0,0,100.531,0.1,0,0.1,0.9,0.2,0,0,1.1,0,0,0.4,0,0.4,48.1,49.4,0.5,0.1,0.6,0,0,0,,
NLA06608-0086,1,PROB_Lake,Target_Sampled,153.7658083,15376.58083,153.7658083,0,1.204,0,16.778,16.999,5.186,0.482,0.417,0,3.63,40.113,10.832,0,11.819,4.636,0,0,0,31.026,2.55,6.75,0,0,0,0,1.346,0,0,0,0,153.768,0.8,0,0.8,10.9,11.1,3.4,0.3,25.7,0.3,2.4,26.1,7,35.5,7.7,3,20.2,1.7,21.9,4.4,0.9,5.3,,
NLA06608-0089,1,PROB_Lake,Target_Sampled,2824.797602,282479.7602,2824.797602,0,36.921,0,223.88,43.183,12.647,4.191,2.936,0,1687.526,308.33,89.065,0,67.94,58.388,0,0,0,270.026,11.359,8.357,0,0,0,0,0.071,0,0,0,0,2824.82,1.3,0,1.3,7.9,1.5,0.4,0.1,9.9,0.1,59.7,10.9,3.2,73.8,2.4,2.1,9.6,0.4,10,0.3,0,0.3,,
NLA06608-0090,1,PROB_Lake,Target_Sampled,1.401571063,140.1571063,1.401571063,0,0.064,0,0,0,0,0,0.005,0,0.02,0.419,0,0,0.852,0.039,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,1.405,4.6,0,4.6,0,0,0,0,0,0.4,1.4,29.9,0,31.3,60.8,2.8,0,0,0,0,0.4,0.4,,
NLA06608-0091,1,PROB_Lake,Target_Sampled,21.32231577,2132.231577,21.32231577,0,3.167,0,1.015,4.571,0.534,0.033,0,0,1.701,0.038,0,0,0.114,1.759,0,0,0,1.238,6.904,0.097,0,0,0,0,0.161,0,0,0,0,21.332,14.9,0,14.9,4.8,21.4,2.5,0.2,28.9,0,8,0.2,0,8.2,0.5,8.2,5.8,32.4,38.2,0.5,0.8,1.3,,
NLA06608-0099,1,PROB_Lake,Target_Sampled,230.9719441,23097.19441,230.9719441,0,18.341,0,11.352,8.98,1.195,0.053,0.196,0,51.163,2.759,1.198,0,5.087,2.579,0,0,0,40.155,68.347,13.082,0,0,0,0,6.484,0,0,0,0,230.971,7.9,0,7.9,4.9,3.9,0.5,0,9.3,0.1,22.2,1.2,0.5,23.9,2.2,1.1,17.4,29.6,47,5.7,2.8,8.5,,
NLA06608-0101,1,PROB_Lake,Target_Sampled,6.278542712,627.8542712,6.278542712,0,0.629,0,0.055,0,0,0,0,0,4.884,0.143,0.285,0,0.024,0,0,0,0,0.002,0.01,0.239,0,0,0,0,0.005,0,0,0,0,6.276,10,0,10,0.9,0,0,0,0.9,0,77.8,2.3,4.5,84.6,0.4,0,0,0.2,0.2,3.8,0.1,3.9,,
NLA06608-0102,1,PROB_Lake,Target_Sampled,9.556730331,955.6730331,9.556730331,0,0.488,0,0.041,0,0,0,0,0,4.793,1.347,2.166,0,0.305,0,0,0,0,0.006,0.029,0.204,0,0,0,0,0.185,0,0,0,0,9.564,5.1,0,5.1,0.4,0,0,0,0.4,0,50.2,14.1,22.7,87,3.2,0,0.1,0.3,0.4,2.1,1.9,4,,
