SITE_ID,YEAR,VISIT_NO,DATE_PROFILE,SAMPLED_PROFILE,DEPTH,METALIMNION,TEMP_FIELD,DO_FIELD,PH_FIELD,COND_FIELD,FLAG_PROFILE,COMMENT_PROFILE
NLA06608-0010,2007,1,7/17/2007,YES,11.8,,8.6,0.2,7,728,,
NLA06608-0010,2007,2,8/18/2007,YES,0,,24.7,8.8,8.5,610,,
NLA06608-0010,2007,2,8/18/2007,YES,1,,24.7,8.9,8.5,613,,
NLA06608-0010,2007,2,8/18/2007,YES,2,,24.6,9.1,8.5,613,,
NLA06608-0010,2007,2,8/18/2007,YES,3,,24.1,8.8,8.4,614,,
NLA06608-0010,2007,2,8/18/2007,YES,4,,23.8,8.6,8.3,614,,
NLA06608-0010,2007,2,8/18/2007,YES,5,,23.2,7.5,8.2,631,,
NLA06608-0010,2007,2,8/18/2007,YES,6,T,20.8,1.3,7.9,694,,
NLA06608-0010,2007,2,8/18/2007,YES,7,,16.8,0.4,7.7,717,,
NLA06608-0010,2007,2,8/18/2007,YES,8,,12.3,0.4,7.7,733,,
NLA06608-0010,2007,2,8/18/2007,YES,9,,9.9,0.4,7.7,746,,
NLA06608-0010,2007,2,8/18/2007,YES,10,B,9.2,0.4,7.5,759,,
NLA06608-0010,2007,2,8/18/2007,YES,10.5,,8.9,0.4,7.4,774,,
NLA06608-0012,2007,1,6/13/2007,YES,0.1,,26.77,5.46,7.47,196.2,,
NLA06608-0012,2007,1,6/13/2007,YES,1,,26.77,5.34,7.39,196.1,,
NLA06608-0012,2007,1,6/13/2007,YES,2,,26.61,5.21,7.35,196.7,,
NLA06608-0012,2007,1,6/13/2007,YES,3,,26.45,4.95,7.3,197,,
NLA06608-0012,2007,1,6/13/2007,YES,3.5,,25.93,3.7,7.21,203.2,,
NLA06608-0012,2007,2,9/18/2007,YES,0.1,,24.1,6.89,7.78,220.6,,
NLA06608-0012,2007,2,9/18/2007,YES,1,,24.11,6.85,7.78,221.3,,
NLA06608-0012,2007,2,9/18/2007,YES,2,,24.1,6.78,7.77,220.4,,
NLA06608-0012,2007,2,9/18/2007,YES,3,,24.09,6.74,7.77,220.6,,
NLA06608-0012,2007,2,9/18/2007,YES,3.2,,24.08,6.72,7.77,220.5,,
NLA06608-0013,2007,1,9/4/2007,YES,0,,27.3,,5.9,51.5,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0013,2007,1,9/4/2007,YES,0.5,T,26.5,,5.6,49.8,,
NLA06608-0013,2007,1,9/4/2007,YES,1,,25,,5.1,43,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0013,2007,1,9/4/2007,YES,1.5,,23.9,,4.9,41.7,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0013,2007,1,9/4/2007,YES,1.8,B,22.8,,4.8,41.3,,
NLA06608-0013,2007,2,9/14/2007,YES,0,,22.6,,6.5,44.6,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0013,2007,2,9/14/2007,YES,0.5,,22.7,,5.9,44.5,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0013,2007,2,9/14/2007,YES,1,,22.7,,5.7,44.6,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0013,2007,2,9/14/2007,YES,1.5,,22.7,,5.5,44.6,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0013,2007,2,9/14/2007,YES,1.8,,22.6,,5.4,44.3,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0014,2007,1,8/6/2007,YES,0,,20.9,7.7,9.4,9080,,
NLA06608-0014,2007,1,8/6/2007,YES,0.5,,21.7,7.7,9.4,9080,,
NLA06608-0014,2007,1,8/6/2007,YES,1,,21.7,7.7,9.4,9080,,
NLA06608-0014,2007,1,8/6/2007,YES,1.5,,21.8,7.7,9.4,9080,,
NLA06608-0014,2007,1,8/6/2007,YES,1.7,,21.7,7.2,9.4,9080,,
NLA06608-0014,2007,2,8/23/2007,YES,0,,18.1,8.4,9.4,9052,,
NLA06608-0014,2007,2,8/23/2007,YES,0.5,,18.1,8.4,9.4,9053,,
NLA06608-0014,2007,2,8/23/2007,YES,1,,18.1,8.4,9.4,9052,,
NLA06608-0014,2007,2,8/23/2007,YES,1.5,,18.1,8.4,9.4,9054,,
NLA06608-0014,2007,2,8/23/2007,YES,1.7,,18.1,8.4,9.4,9051,,
NLA06608-0015,2007,1,7/10/2007,YES,0,,25.2,8.9,7.9,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0015,2007,1,7/10/2007,YES,1,,23.6,7.1,7.9,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0015,2007,1,7/10/2007,YES,2,,23.5,6.8,8,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0015,2007,1,7/10/2007,YES,3,,23.5,6.9,8.1,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0015,2007,1,7/10/2007,YES,4,,23.4,6.8,8.1,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0015,2007,1,7/10/2007,YES,5,,23.2,6.5,8.1,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0015,2007,1,7/10/2007,YES,6,,23.1,6.2,8,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0015,2007,1,7/10/2007,YES,6.5,,23.1,6.1,8,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0015,2007,2,8/29/2007,YES,0,,25.5,7.5,8.3,617,,
NLA06608-0015,2007,2,8/29/2007,YES,1,,25.5,7.5,8.3,617,,
NLA06608-0015,2007,2,8/29/2007,YES,2,,25.5,7.5,8.3,617,,
NLA06608-0015,2007,2,8/29/2007,YES,3,,25.5,7.5,8.3,617,,
NLA06608-0015,2007,2,8/29/2007,YES,4,,25.5,7.4,8.3,617,,
NLA06608-0015,2007,2,8/29/2007,YES,5,,25.4,6.3,8.3,618,,
NLA06608-0015,2007,2,8/29/2007,YES,5.5,,25.3,5.7,8,620,,
NLA06608-0016,2007,1,6/27/2007,YES,0,,23.5,7.1,8.2,1100,,
NLA06608-0016,2007,1,6/27/2007,YES,1,,23.5,7.1,8.3,1100,,
NLA06608-0016,2007,1,6/27/2007,YES,2,,23.6,7.2,8.4,1100,,
NLA06608-0016,2007,1,6/27/2007,YES,3,,23.6,7.2,8.3,1110,,
NLA06608-0016,2007,1,6/27/2007,YES,4,,23.6,7.4,8.3,1110,,
NLA06608-0016,2007,1,6/27/2007,YES,5,,23.6,6.8,8.3,1110,,
NLA06608-0016,2007,1,6/27/2007,YES,6,,23.6,6.8,8,1110,,
NLA06608-0016,2007,1,6/27/2007,YES,6.2,,23.6,6.8,8.1,1090,,
NLA06608-0016,2007,2,7/11/2007,YES,0,,24,7.7,8.2,1046.5,,
NLA06608-0016,2007,2,7/11/2007,YES,1,,24,7.4,8.2,1046.5,,
NLA06608-0016,2007,2,7/11/2007,YES,2,,24,7.4,8.2,1046.5,,
NLA06608-0016,2007,2,7/11/2007,YES,3,,24,7.4,8.2,1046.5,,
NLA06608-0016,2007,2,7/11/2007,YES,4,,24,7.5,8.2,1046.5,,
NLA06608-0016,2007,2,7/11/2007,YES,5,,24,7.7,8.1,1056.2,,
NLA06608-0016,2007,2,7/11/2007,YES,6,,24,7.8,8.1,1056.2,,
NLA06608-0016,2007,2,7/11/2007,YES,6.3,,24,7.4,8.1,1056.2,,
NLA06608-0019,2007,1,6/11/2007,YES,0,,22.9,7.4,8.38,3373,,
NLA06608-0019,2007,1,6/11/2007,YES,0.5,,22.9,2.1,8.38,3373,,
NLA06608-0019,2007,2,8/7/2007,YES,0,,21.8,7.3,9.04,2690,,
NLA06608-0019,2007,2,8/7/2007,YES,0.5,,21,6.1,9.04,3696,,
NLA06608-0019,2007,2,8/7/2007,YES,0.9,,20.9,0.74,9.01,2990,,
NLA06608-0020,2007,1,6/11/2007,YES,0,,25.2,8.6,8,214,,
NLA06608-0020,2007,1,6/11/2007,YES,1,,25.2,8.6,8,214,,
NLA06608-0020,2007,1,6/11/2007,YES,2,,24.7,8.3,8,214,,
NLA06608-0020,2007,1,6/11/2007,YES,3,T,24.5,7.7,8,214,,
NLA06608-0020,2007,1,6/11/2007,YES,4,,22.8,3.6,7.2,216,,
NLA06608-0020,2007,1,6/11/2007,YES,5,,18.4,0.3,6.8,214,,
NLA06608-0020,2007,1,6/11/2007,YES,6,,14,0.3,6.5,209,,
NLA06608-0020,2007,1,6/11/2007,YES,7,,11.3,0.3,6.4,207,,
NLA06608-0020,2007,1,6/11/2007,YES,8,B,10.3,0.3,6.3,206,,
NLA06608-0020,2007,1,6/11/2007,YES,9,,9.6,0.3,6.3,206,,
NLA06608-0020,2007,1,6/11/2007,YES,10,,9.3,0,6.3,207,,
NLA06608-0020,2007,1,6/11/2007,YES,11,,9,0,6.4,204,,
NLA06608-0020,2007,1,6/11/2007,YES,12,,8.8,0,6.4,205,,
NLA06608-0020,2007,1,6/11/2007,YES,13,,8.7,0,6.4,208,,
NLA06608-0020,2007,1,6/11/2007,YES,14,,8.4,0,6.6,220,,
NLA06608-0020,2007,2,7/2/2007,YES,0,,27,7.4,8.5,215,,
NLA06608-0020,2007,2,7/2/2007,YES,1,,27,7.5,8.1,215,,
NLA06608-0020,2007,2,7/2/2007,YES,2,,26.6,7.6,8.2,214,,
NLA06608-0020,2007,2,7/2/2007,YES,3,T,26.4,7.5,8.1,214,,
NLA06608-0020,2007,2,7/2/2007,YES,4,,25.4,4.3,7.7,215,,
NLA06608-0020,2007,2,7/2/2007,YES,5,,19.4,0.9,7.2,219,,
NLA06608-0020,2007,2,7/2/2007,YES,6,,16.2,0.3,7.3,215,,
NLA06608-0020,2007,2,7/2/2007,YES,7,,13,0,7.3,212,,
NLA06608-0020,2007,2,7/2/2007,YES,8,,10.8,0,7.1,211,,
NLA06608-0020,2007,2,7/2/2007,YES,9,B,10,0,7,210,,
NLA06608-0020,2007,2,7/2/2007,YES,10,,9.5,0,7,208,,
NLA06608-0020,2007,2,7/2/2007,YES,11,,9.3,0,6.9,210,,
NLA06608-0020,2007,2,7/2/2007,YES,12,,9,0,6.8,211,,
NLA06608-0020,2007,2,7/2/2007,YES,13,,8.8,0,6.8,212,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",0,,27.78,8.92,7.96,369,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",1,,22.8,8.78,7.9,369,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",2,,22.8,8.7,7.9,369,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",3,,22.8,8.7,7.9,369,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",4,,22.7,8.6,7.9,369,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",5,,22.7,8.6,7.9,371,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",6,,22.7,8.6,7.9,372,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",7,,22.6,8.6,7.9,372,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",8,,22.6,8.7,7.9,372,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",9,,22.5,8.6,7.9,371,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",10,T,19.3,8.9,7.7,368,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",11,,14.4,11,7.5,372,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",12,,11.9,11.5,7.4,371,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",13,B,10.9,11.7,7.2,371,,
NLA06608-0021,2007,1,7/27/2007,"YES, PARTIAL PROFILE",14,,10,11.7,7.1,371,,
