SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,AREA_HA,SAMPLED_ASSESS,DATE_ASSESS,RES_RESIDENCES,RES_LAWNS,RES_CONSTRUCTION,RES_PIPES,RES_DUMPING,RES_ROADS,RES_BRIDGES,RES_SEWAGE,RES_STRING,REC_TRAILS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_MARINAS,REC_TRASH,REC_FILMS,REC_STRING,AGR_CROPLAND,AGR_PASTURE,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_POULTRY,AGR_FEEDLOT,AGR_WITHDRAWL,AGR_STRING,IND_INDUSTRIAL,IND_MINES,IND_OIL,IND_POWER,IND_LOGGING,IND_FIRE,IND_ODORS,IND_COMMERCIAL,IND_STRING,MAN_LIMING,MAN_TREATMENT,MAN_ANGLING,MAN_DRINKING_WATER,MAN_MACROPHYTE,MAN_LEVEL_FLUCTUATIONS,MAN_FISH_STOCKING,MAN_STRING,RES_SCORE,REC_SCORE,AGR_SCORE,IND_SCORE,MAN_SCORE,HYDRO_TYPE,OUTLET_DAMS,FLIGHT_HAZARDS,MBOAT_DENSITY,SWIMMABILITY,LAKE_LEVEL,LEVEL_CHANGES,RCH_FOREST,RCH_GRASS,RCH_SHRUB,RCH_WETLAND,RCH_BARE_GROUND,RCH_AGRICULTURE,RCH_SHOREMODS,RCH_DEVELOPMENT,MACRY_FLOAT,MACRY_SUBMERGED,MACRY_DENSITY,PRISTINE,APPEALING,BIOTIC_INTEGRITY,TROPHIC_STATE,RECREATIONAL_VALUE,GENERAL_ASSESSMENT,WILDLIFE,VISUAL_ASSESSMENT,ALGAL_ABUNDANCE,NUTRIENT_SOURCES,TROPHIC_OTHER,CONDITIONS,OBSERVATIONS,FLAG_ASSESS,COMMENT_ASSESS,PHOTOGRAPHS
NLA06608-0006,2,PROB_Lake,Target_Sampled,56.19974819,YES,8/30/2007,,L,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,H,1,0,0,0,5,RESERVOIR,ARTIFICIAL,NO,BANNED,FAIR,YES,2,75-100,,05-25,0-05,05-25,,0-05,,0-05,0-05,SPARSE,4,4,GOOD,MESOTROPHIC,GOOD,"VERY GOOD FOR WATER BODY OF THIS TYPE, WATER LEVEL DROP MORE SEVERE THAN FIRST VISIT.","APPROXIMATELY 30 COMMON MERGANSERS, FLYOVER CANADA GEESE (12), SPOTTED SANDPIPER, GULL",APPROXIMATELY 14 FT SECCHI,GREEN OR BLUE-GREEN COLONIES,VERY PROTECTED WATERSHED,,DRINKING WATER RESERVOIR. CONTACT KENNETH SKOV AT 203-574-8250 OR DON CARVER AT 860-283-8702.,"NO PUBLIC ACCESS--NO BOATING, NO FISHING, NO SWIMMING ALLOWED. IT WOULD BE GOOD IF ALLOWED. STEEP SLOPES ALONG MOST SHORES.",,"THIS WAS THE SECOND SAMPLING TRIP. THE WATER LEVE WAS DOWN ANOTHER METER FROM FIRST VISIT, EXPOSING STEEP STONY SHORES. IM: UNDER SHORELINE CHARACTERISTICS, TEAM CHOSE BOTH RARE AND SPARSE FOR GRASS CATEGORY.",Y
NLA06608-0007,1,PROB_Lake,Target_Sampled,25.4747633,YES,7/24/2007,M,M,L,,,L,,,LMML,,,,,,L,,L,M,L,L,,,,,MLL,,,,,,,,,,,,L,,,M,,LM,8,1,5,0,4,SEEPAGE,NONE,NO,LOW,GOOD,YES,1,75-100,75-100,25-75,05-25,05-25,,05-25,25-75,0-05,05-25,SPARSE,4,4,GOOD,MESOTROPHIC,GOOD,"HAS LOTS OF NATURAL SHORELINE, BUT MUCH IS DOMINATED BY REED CANARY GRASS; WATER QUALITY GREAT; NORTH SIDE IS WEEDY AND MUCKY.","BLUE HERON, 3 LOONS, FROGS, BEAVER AND ITS DAM, BLUEGILLS.","WATER IS VERY CLEAR, BUT STAINED (TANNIC ACIDS).","ON NORTH SIDE, LOW FILAMENTOUS ALGAE","AGRICULTURE, SEPTIC SYSTEMS.",,COTTAGE OWNER SAID FISHING WAS POOR.,"ONLY ACCESSIBLE BY CARRY-IN; NO BOATERS OUT, BUT MODERATE NUMBER OF DOCKED BOATS; LOW GROWING WEEDS; NO KNOWN HEALTH CONCERNS.",,IT APPEARS THIS SEEPAGE LAKE USED TO BE ABOUT 1 METER HIGHER IN WATER. MUCH OF THE EXPOSED SHORELINE IS NOW DOMINATED BY REED CANARY GRASS.,Y
NLA06608-0007,2,PROB_Lake,Target_Sampled,25.4747633,YES,9/6/2007,M,M,L,,,L,,,LMML,,,,,,L,,L,M,L,L,,,,,MLL,,,,,,,,,,,,L,,,M,,LM,8,1,5,0,4,SEEPAGE,NONE,NO,LOW,GOOD,,1.7,25-75,25-75,05-25,05-25,05-25,,25-75,25-75,0-05,25-75,SPARSE,4,4,GOOD,MESOTROPHIC,GOOD,MUCH OF THE SHORELINE IS EXPOSED AND DOMINATED BY REED CANARY GRASS DUE TO LOW LAKE LEVELS; NORTH END IS DOMINATED BY AQUATIC PLANTS.,"HEARD LOONS, FROGS, BEAVER DAMS, BASS","STAINED, BUT CLEAR WATER",LOW FILAMENTOUS ON AQUATIC PLANTS,"HISTORICAL AGRICULTURE, SEPTIC TANKS",,"CLEAR, COOL DAY. NO CONTACTS MADE.",ONLY ACCESSIBLE BY CARRY-IN; NO BOATERS OBSERVED; MODERATE NUMBER OF DOCKED BOATS; GOOD SWIMMING; NO KNOWN HEALTH CONCERNS.,,LAKE USED TO BE 4-5 FEET HIGHER.,Y
NLA06608-0008,1,PROB_Lake,Target_Sampled,48.7370362,YES,7/12/2007,L,M,L,L,L,L,L,L,LLLMLLLL,M,H,M,L,L,L,L,LLHMLML,L,L,L,L,L,L,L,LLLLLLL,L,L,L,L,L,L,L,L,LLLLLLLL,L,L,M,L,M,L,L,MLLLLML,10,15,7,8,11,DRAINAGE,ARTIFICIAL,NO,LOW,FAIR,NO,,75-100,05-25,05-25,0-05,0-05,0-05,05-25,0-05,0-05,05-25,MODERATE,2,3,GOOD,EUTROPHIC,EXCELLENT,,"KINGFISHER, FISH",WATER WAS TURBID WITH SEDIMENT AND ALGAE.,SOME CHUNKS OF BLUE GREEN ALGAE,,,,"ONE BOAT, MULTITUDE OF PEOPLE SWIMMING AT BEACH (APPROXIMATELY 20), MULTIPLE FISHERMEN, APPROXIMATELY 20.",,CURLY LEAF IN LAKE.,N
NLA06608-0008,2,PROB_Lake,Target_Sampled,48.7370362,YES,8/22/2007,,L,,,,L,L,,LLL,M,M,,,,,L,LMM,L,,,,,,,L,,,,,,,,,,,,M,,,,,M,3,7,1,0,3,RESERVOIR,ARTIFICIAL,NO,LOW,FAIR,YES,,25-75,05-25,05-25,05-25,0-05,0-05,0-05,0-05,0-05,05-25,MODERATE,2,2,FAIR,EUTROPHIC,FAIR,,"GREAT BLUE HERONS, DUCKS",,"VERY ABUNDANT ALGAE, BLUE GREEN (APHANIZOMERON?)","AGRICULTURE, RESIDENCES IN WATERSHED",,,"SAW MULTIPLE FISHERMEN, CANOES",,,N
NLA06608-0010,1,PROB_Lake,Target_Sampled,30.03733238,YES,7/17/2007,H,H,,L,,L,,,HLHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,DRAINAGE,NONE,NO,RESTRICTED,FAIR,YES,0.1,05-25,75-100,05-25,0-05,,,25-75,75-100,05-25,75-100,HIGH,3,4,FAIR,MESOTROPHIC,GOOD,"EXTENSIVE AQUATIC PLANT GROWTH, NO GAS MOTORS OR INVASIVES.","BLUE HERON, BIG FISH, FISH BEDS, GEESE, MALLARDS, SWANS.","GOOD SECCHI DEPTH, SOME ALGAE BUT NOT EXTENSIVE.",SOME GREEN COLONIES - LOOK LIKE SMOKE IN WATER - CAN'T GRAB.,LAWNS AND SEPTIC.,,GOOD FISHING ACCORDING TO RESIDENTS.,,,,N
NLA06608-0010,2,PROB_Lake,Target_Sampled,30.03733238,YES,8/18/2007,M,M,,,,L,,,MML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,0,DRAINAGE,NONE,NO,RESTRICTED,FAIR,NO,,05-25,25-75,25-75,0-05,0-05,,05-25,25-75,05-25,0-05,SPARSE,3,4,GOOD,MESOTROPHIC,FAIR,"MANY FISH, POPULATED","CARP, CRANES, DUCKS, FROGS, TURTLES",,MODERATE PHYTOPLANKTON,"LAWNS, SEPTIC, ROADS",,QUIET LAKE GOOD FISHING,"PRIVATE LAKE, ONLY ELECTRIC MOTORS",,,Y
NLA06608-0012,1,PROB_Lake,Target_Sampled,177.6575126,YES,6/13/2007,,,,,,L,,,L,,L,,,,L,,LL,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,RESERVOIR,ARTIFICIAL,NO,LOW,FAIR,NO,,75-100,0-05,0-05,05-25,0-05,0-05,0-05,0-05,05-25,0-05,MODERATE,3,3,GOOD,EUTROPHIC,EXCELLENT,NOT MUCH WILDLIFE OBSERVED.,"DUCKS, TURTLE",,,MOSTLY FROM TRIBUTARIES.,,LAKE OFFERS GOOD WATERFOWL HUNTING ACCORDING TO LOCAL FISHERMAN.,"BOATING, FISHING, DUCK BLINDS. NO ADVERSE HEALTH CONCERNS.",,,N
NLA06608-0012,2,PROB_Lake,Target_Sampled,177.6575126,YES,9/18/2007,,L,,,,L,L,,LLL,,L,,,,M,,LM,,,,,,,,,,,,,L,,,,L,,,,,,,,,3,4,0,1,0,RESERVOIR,ARTIFICIAL,NO,LOW,FAIR,NO,,75-100,05-25,05-25,0-05,05-25,0-05,0-05,0-05,05-25,0-05,SPARSE,2,2,GOOD,EUTROPHIC,GOOD,,"BLUE HERON, WHITE EGRET, CROWS, TURTLES.",,,,,,,,LITTORAL ZONE WAS COMPOSED MOSTLY OF ORGANIC MATTER. WE THINK THIS IS DUE TO HEAVY RAINFALL IN THE AREA.,N
NLA06608-0013,1,PROB_Lake,Target_Sampled,37.14025576,YES,9/4/2007,H,H,,M,,H,L,,LHMHH,L,M,,,,L,,MLL,,,,,,,,,,,,,,,,,,,,L,,,L,,LL,19,5,0,0,2,RESERVOIR,ARTIFICIAL,NO,RESTRICTED,UNSWIMMABLE,YES,0.1,05-25,25-75,25-75,,05-25,,25-75,75-100,05-25,25-75,MODERATE,2,2,FAIR,EUTROPHIC,FAIR,VERY LITTLE WILDLIFE OBSERVED. HEAVILY DEVELOPED AREA. POSSIBLE HIGH LEVEL OF NUTRIENT INPUT FROM SURROUNDING AREA.,"MINNOWS, FROGS, GEESE.",HIGH LEVEL OF ALGAE,HIGH ALGAL ABUNDANCE (CHLA=150ML),SURROUNDING AREA VERY HEAVILY DEVELOPED.,,,"NO GAS MOTORS, EASILY ACCESSIBLE. FISHING OBSERVED. NO HEALTH CONCERNS.",,,N
NLA06608-0013,2,PROB_Lake,Target_Sampled,37.14025576,YES,9/14/2007,H,H,,M,,H,L,,LHMHH,L,M,L,,,L,M,MMLLL,,,,,,,,,,,,,,,,,,,,L,,,L,,LL,19,9,0,0,2,RESERVOIR,ARTIFICIAL,NO,RESTRICTED,FAIR,YES,0.1,05-25,25-75,25-75,,05-25,,25-75,75-100,0-05,25-75,MODERATE,2,2,FAIR,EUTROPHIC,FAIR,"HEAVILY DEVELOPED SHORELINE, POSSIBLE HIGH NUTRIENT LEVELS. HIGH LEVEL OF SUBMERGED MACROPHYTES. LITTLE WILDLIFE.","MINNOWS, GEESE.",HIGH LEVEL OF ALGAE,HIGH ALGAL ABUNDANCE.,TOWN SURROUNDING LAKE,,,NO GAS MOTORS. LAKE IS EASILY ACCESSIBLE WITH SWIMMING BEACHES IN AREAS. NO HEALTH CONCERNS.,,,N
NLA06608-0014,1,PROB_Lake,Target_Sampled,12.80952857,YES,8/6/2007,,,,,,L,,,L,,,,,,,,,L,H,L,,,,,LLH,,,,,,,,,,,,,,,,,,1,0,7,0,0,SEEPAGE,NONE,NO,RESTRICTED,UNSWIMMABLE,YES,,0-05,25-75,05-25,05-25,0-05,05-25,,,05-25,05-25,MODERATE,4,3,GOOD,MESOTROPHIC,POOR,"NICE PRAIRIE LAKE; CLEAN-NO TRASH-SURROUNDED BY ROLLING PRAIRIE, PASTURE OR CROPLAND.",BIRDS; DUCKS; GROUND SQUIRRELS; VOLES; BEEHIVES. CATTLE OBSERVED IN AREA,NICE - NO MAJOR DISTURBANCES,HEAVY AMOUNTS OF ALGAE FOUND ON LAKE BED (CHARA?),WATERFOWL; COWS,BEEHIVES LOCATED 1/3 MILE EAST OF LAKE,NO PEOPLE IN AREA,GENERAL PRAIRIE LAKE - PROBABLY USED FOR LIVESTOCK (COWS) WATERING.,,,Y
NLA06608-0014,2,PROB_Lake,Target_Sampled,12.80952857,YES,8/23/2007,,,,,,L,,,L,,,,,,,,,L,H,L,,,,,LLH,,,,,,,,,,,,,,,,,,1,0,7,0,0,SEEPAGE,NONE,NO,RESTRICTED,UNSWIMMABLE,YES,-0.2,0-05,25-75,05-25,05-25,0-05,0-05,,,05-25,05-25,,4,3,GOOD,EUTROPHIC,POOR,NICE PRAIRIE LAKE; CLEAN-NO APPARENT HUMAN DISTURBANCE EXCEPT FOR AGRICULTURE IN THE BASIN,DUCKS; BIRDS; DRAGONFLIES; BUTTERFLIES; BADGER HOLE; - OLD BEAVER LODGE? SOME GULLS OBSERVED OVERHEAD; BEE HIVES 1/4 MI. UPSLOPE EAST SIDE.,TYPICAL PRAIRIE LAKE - TRASH FREE,ALGAE PRESENT ON BOTTOM - SOME WASHED ON SHORELINE,WATERFOWL; AGRICULTURAL RUNOFF.,,NO PEOPLE IN AREA,LIMITED ACCESSIBILITY - WATERFOWL PRESENT - TOO SHALLOW FOR FISH NOT SUITABLE FOR SWIMMING.,,OBSERVED CATTAIL UP ON SLOPING BANK PROBABLY INDICATIVE OF GROUND WATER/SPING SEEPAGE - THIS WAS LOCATED ON EAST SHORELINE.,Y
NLA06608-0015,1,PROB_Lake,Target_Sampled,173.9929805,YES,7/10/2007,L,,,,,M,,,LM,,M,,,L,L,L,LLML,,,L,,,,M,LM,,,,,,,,,,,,,,L,M,,ML,4,6,4,0,4,RESERVOIR,ARTIFICIAL,YES,HIGH,FAIR,,2,05-25,0-05,05-25,0-05,75-100,0-05,05-25,05-25,0-05,0-05,SPARSE,3,3,FAIR,EUTROPHIC,GOOD,"WATER TURBID, SLIGHT SCUM, SOME FOAM AT WATERLINE ONSHORE. SOME LITTER ALONG SHORELINE, BUT AREA MOSTLY WELL POLICED.","GREBES, BLUE HERON",WHAT TURBID,MOSTLY WATER COLUMN ALGAE (OBSERVED NO MATS ON SURFACE). ALSO UPSTREAM FROM RIVER.,GENERAL RUNOFF FROM SURROUNDING LAND. SAW SOME CATTLE AT WATER.,,,"EASILY ACCESSIBLE, CAMPERS PRESENT, MINIMAL BOATING USE WHILE WE SAMPLED (ON WEEKDAY), SAW ABOUT 4 OTHER CRAFT.",,,Y
NLA06608-0015,2,PROB_Lake,Target_Sampled,173.9929805,YES,8/29/2007,L,,,,,M,,,LM,,M,,,L,L,L,LLML,,,L,,,,M,LM,,,,,,,,,,,,,,L,M,,ML,4,6,4,0,4,RESERVOIR,ARTIFICIAL,YES,HIGH,FAIR,YES,2,05-25,0-05,05-25,0-05,75-100,0-05,05-25,05-25,0-05,0-05,SPARSE,3,3,FAIR,EUTROPHIC,GOOD,"SUPPORTS BIRDS, FISH, RECREATIONAL USE, AND CATTLE.","GREBES, BLUE HERON, PELICANS.","WATER GREEN, TURBID, SOME SCUM, BUT NO ALGAL MATS OR TRASH.","SUSPENDED SINGLE - CELLED ALGAE ABUNDANT, NO MATS.","RUNOFF, UPSTREAM INPUTS FROM RIVER, CATTLE.",,,EASILY ACCESSIBLE,,,
