SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,SAMPLED_OE5,INDXSAMP_OE5,OE5,FLAG_OE5,COMMENT_OE5,SAMPLED_ZOOP,SAMPLED_PHYT,WSA_ECO3,AREA_HA,SAMPLED_PHAB,SHORT_ID
NLA06608-0010,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,30.03733238,YES,
NLA06608-0012,1,PROB_Lake,Target_Sampled,YES,YES,0.753562,,,YES,YES,PLNLOW,177.6575126,YES,L0020
NLA06608-0012,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,177.6575126,YES,
NLA06608-0013,1,PROB_Lake,Target_Sampled,YES,YES,0.631016,,,YES,YES,PLNLOW,37.14025576,YES,L0022
NLA06608-0013,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,37.14025576,YES,
NLA06608-0014,1,PROB_Lake,Target_Sampled,YES,YES,0.604233,,,YES,YES,PLNLOW,12.80952857,YES,L0024
NLA06608-0014,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,12.80952857,YES,
NLA06608-0015,1,PROB_Lake,Target_Sampled,YES,YES,0.918628,,,YES,YES,WMTNS,173.9929805,YES,L0026
NLA06608-0015,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,173.9929805,YES,
NLA06608-0016,1,PROB_Lake,Target_Sampled,YES,YES,0.672424,,,YES,YES,PLNLOW,641.0233086,YES,L0028
NLA06608-0016,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,641.0233086,YES,
NLA06608-0019,1,PROB_Lake,Target_Sampled,YES,YES,0.44232,,,YES,YES,PLNLOW,103.3135279,YES,L0032
NLA06608-0019,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,103.3135279,YES,
NLA06608-0020,1,PROB_Lake,Target_Sampled,YES,YES,0.757829,,,YES,YES,PLNLOW,296.2001459,YES,L0034
NLA06608-0020,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,296.2001459,YES,
NLA06608-0021,1,PROB_Lake,Target_Sampled,YES,YES,0.687164,,,YES,YES,EHIGH,4226.925272,YES,L0036
NLA06608-0021,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,4226.925272,YES,
NLA06608-0023,1,PROB_Lake,Target_Sampled,YES,YES,1.127017,,,YES,YES,PLNLOW,6.20722172,YES,L0039
NLA06608-0023,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,6.20722172,YES,
NLA06608-0024,1,PROB_Lake,Target_Sampled,NOT DONE,YES,,K,Littoral habitat data not collected (> 5000 ha). O/E value not calculated,YES,YES,PLNLOW,9530.145112,NOT DONE,
NLA06608-0024,2,PROB_Lake,Target_Sampled,NOT DONE,NO,,K,Littoral habitat data not collected (> 5000 ha). O/E value not calculated,YES,YES,PLNLOW,9530.145112,NOT DONE,
NLA06608-0025,1,PROB_Lake,Target_Sampled,YES,YES,0.976621,,,YES,YES,EHIGH,11.48123514,YES,L0043
NLA06608-0025,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,11.48123514,YES,
NLA06608-0029,1,PROB_Lake,Target_Sampled,YES,YES,0.834031,,,YES,YES,PLNLOW,73.10037419,YES,L0047
NLA06608-0029,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,73.10037419,YES,
NLA06608-0031,1,PROB_Lake,Target_Sampled,YES,YES,0.815874,,,YES,YES,EHIGH,24.24953577,YES,L0049
NLA06608-0031,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,24.24953577,NOT DONE,
NLA06608-0033,1,PROB_Lake,Target_Sampled,YES,YES,0.673385,,,YES,YES,WMTNS,15.16448355,YES,L0052
NLA06608-0033,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,15.16448355,YES,
NLA06608-0036,1,PROB_Lake,Target_Sampled,YES,YES,1.066136,,,YES,YES,PLNLOW,12.02760537,YES,L0056
NLA06608-0036,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,12.02760537,YES,
NLA06608-0037,1,PROB_Lake,Target_Sampled,YES,YES,1.178961,,,YES,YES,EHIGH,236.955581,YES,L0058
NLA06608-0037,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,236.955581,YES,
NLA06608-0038,1,PROB_Lake,Target_Sampled,YES,YES,1.183447,,,YES,YES,EHIGH,220.6478779,YES,L0060
NLA06608-0038,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,220.6478779,YES,
NLA06608-0041,1,PROB_Lake,Target_Sampled,YES,YES,0.871714,,,YES,YES,EHIGH,1071.509332,YES,L0063
NLA06608-0041,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,1071.509332,YES,
NLA06608-0042,1,PROB_Lake,Target_Sampled,YES,YES,0.860663,,,YES,YES,WMTNS,77.7184868,YES,L0065
NLA06608-0042,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,77.7184868,YES,
NLA06608-0043,1,PROB_Lake,Target_Sampled,YES,YES,1.195474,,,YES,YES,PLNLOW,24.24719175,YES,L0067
NLA06608-0043,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,24.24719175,YES,
NLA06608-0044,1,PROB_Lake,Target_Sampled,YES,YES,1.037202,,,YES,YES,PLNLOW,219.8023543,YES,L0069
NLA06608-0044,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,219.8023543,YES,
NLA06608-0045,1,PROB_Lake,Target_Sampled,YES,YES,0.896114,,,YES,YES,EHIGH,28.83819816,YES,L0071
NLA06608-0045,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,28.83819816,YES,
NLA06608-0048,1,PROB_Lake,Target_Sampled,YES,YES,0.258542,,,YES,YES,PLNLOW,5.61794831,YES,L0075
NLA06608-0048,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,5.61794831,YES,
NLA06608-0049,1,PROB_Lake,Target_Sampled,YES,YES,1.150604,,,YES,YES,WMTNS,12.89054746,YES,L0077
NLA06608-0050,1,PROB_Lake,Target_Sampled,YES,YES,0.799081,,,YES,YES,EHIGH,11.97907093,YES,L0078
NLA06608-0050,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,11.97907093,YES,
NLA06608-0053,1,PROB_Lake,Target_Sampled,YES,YES,1.050207,,,YES,YES,EHIGH,470.73915,YES,L0082
NLA06608-0053,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,470.73915,YES,
NLA06608-0057,1,PROB_Lake,Target_Sampled,YES,YES,0.697903,,,YES,YES,EHIGH,53.02839363,YES,L0087
NLA06608-0057,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,53.02839363,YES,
NLA06608-0061,1,PROB_Lake,Target_Sampled,YES,YES,0.813101,,,YES,YES,WMTNS,572.3287327,YES,L0092
NLA06608-0061,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,572.3287327,YES,
NLA06608-0062,1,PROB_Lake,Target_Sampled,YES,YES,0.30644,,,YES,YES,PLNLOW,54.29856165,YES,L0094
NLA06608-0062,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,54.29856165,YES,
NLA06608-0064,1,PROB_Lake,Target_Sampled,YES,YES,0.238086,,,YES,YES,PLNLOW,25.20779145,YES,L0097
NLA06608-0064,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,25.20779145,YES,
NLA06608-0065,1,PROB_Lake,Target_Sampled,YES,YES,0.818536,,,YES,YES,WMTNS,89.52258877,YES,L0099
NLA06608-0065,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,89.52258877,YES,
NLA06608-0066,1,PROB_Lake,Target_Sampled,YES,YES,1.307704,,,YES,YES,EHIGH,1094.588775,YES,L0101
NLA06608-0066,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,1094.588775,YES,
NLA06608-0068,1,PROB_Lake,Target_Sampled,YES,YES,0.915964,,,YES,YES,WMTNS,50.09896936,YES,L0104
NLA06608-0068,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,50.09896936,YES,
NLA06608-0069,1,PROB_Lake,Target_Sampled,YES,YES,0.912925,,,YES,YES,PLNLOW,24.47044676,YES,L0106
NLA06608-0069,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,24.47044676,YES,
NLA06608-0071,1,PROB_Lake,Target_Sampled,YES,YES,0.51961,,,YES,YES,PLNLOW,460.2095294,YES,L0109
NLA06608-0071,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,460.2095294,YES,
NLA06608-0072,1,PROB_Lake,Target_Sampled,YES,YES,0.773023,,,YES,YES,PLNLOW,9.127076417,YES,L0111
NLA06608-0072,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,9.127076417,YES,
NLA06608-0073,1,PROB_Lake,Target_Sampled,"YES, PARTIAL",YES,0.119707,X,Incomplete zooplankton data-- O/E value likely invalid,YES (1 SAMPLE ONLY),YES,WMTNS,152.2446927,YES,L0113
NLA06608-0073,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,152.2446927,YES,
NLA06608-0076,1,PROB_Lake,Target_Sampled,YES,YES,0.766381,,,YES,YES,PLNLOW,3008.068118,YES,L0117
NLA06608-0076,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,3008.068118,YES,
NLA06608-0077,1,PROB_Lake,Target_Sampled,YES,YES,0.712065,,,YES,YES,EHIGH,65.32834218,YES,L0119
NLA06608-0077,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,65.32834218,YES,
NLA06608-0078,1,PROB_Lake,Target_Sampled,YES,YES,0.519501,,,YES,YES,PLNLOW,15.07116765,YES,L0121
NLA06608-0078,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,15.07116765,YES,
NLA06608-0079,1,PROB_Lake,Target_Sampled,YES,YES,0.881258,,,YES,YES,WMTNS,130.9081557,YES,L0123
NLA06608-0079,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,130.9081557,YES,
NLA06608-0080,1,PROB_Lake,Target_Sampled,YES,YES,0.602757,,,YES,YES,PLNLOW,79.79770424,YES,L0125
NLA06608-0080,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,79.79770424,YES,
NLA06608-0081,1,PROB_Lake,Target_Sampled,YES,YES,0.449089,,,YES,YES,WMTNS,10.0070393,YES,L0127
NLA06608-0081,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,10.0070393,YES,
NLA06608-0083,1,PROB_Lake,Target_Sampled,YES,YES,0.436598,,,YES,YES,PLNLOW,48.33310631,YES,L0130
NLA06608-0083,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,48.33310631,YES,
NLA06608-0085,1,PROB_Lake,Target_Sampled,YES,YES,0.489171,,,YES,YES,WMTNS,33.42344767,YES,L0133
NLA06608-0085,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,33.42344767,YES,
NLA06608-0086,1,PROB_Lake,Target_Sampled,YES,YES,0.71058,,,YES,YES,WMTNS,101.3087296,YES,L0135
NLA06608-0086,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,101.3087296,YES,
NLA06608-0089,1,PROB_Lake,Target_Sampled,YES,YES,0.846256,,,YES,YES,EHIGH,879.2648891,YES,L0138
NLA06608-0089,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,879.2648891,YES,
NLA06608-0090,1,PROB_Lake,Target_Sampled,YES,YES,0.737831,,,YES,YES,WMTNS,8.528510903,YES,L0140
NLA06608-0090,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,8.528510903,YES,
NLA06608-0091,1,PROB_Lake,Target_Sampled,YES,YES,1.003155,,,YES,YES,PLNLOW,305.5679078,YES,L0142
NLA06608-0091,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,305.5679078,YES,
NLA06608-0099,1,PROB_Lake,Target_Sampled,YES,YES,0.883647,,,YES,YES,PLNLOW,314.7521338,YES,L0150
NLA06608-0099,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,314.7521338,YES,
NLA06608-0101,1,PROB_Lake,Target_Sampled,YES,YES,0.453065,,,YES,YES,EHIGH,61.41489821,YES,L0152
NLA06608-0102,1,PROB_Lake,Target_Sampled,"YES, PARTIAL",YES,0.4376,X,No zooplankton data-- O/E value likely invalid,SAMPLE LOST,YES,EHIGH,51.55246837,YES,L0153
NLA06608-0104,1,PROB_Lake,Target_Sampled,YES,YES,1.207865,,,YES,YES,PLNLOW,56.79375053,YES,L0155
NLA06608-0104,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,56.79375053,YES,
NLA06608-0105,1,PROB_Lake,Target_Sampled,YES,YES,0.724907,,,YES,YES,WMTNS,906.5113613,YES,L0157
NLA06608-0105,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,906.5113613,YES,
NLA06608-0107,1,PROB_Lake,Target_Sampled,YES,YES,1.015262,,,YES,YES,PLNLOW,12.42080368,YES,L0160
NLA06608-0110,1,PROB_Lake,Target_Sampled,YES,YES,1.111883,,,YES,YES,PLNLOW,139.0508291,YES,L0163
NLA06608-0111,1,PROB_Lake,Target_Sampled,YES,YES,0.561619,,,YES,YES,EHIGH,1064.647066,YES,L0164
NLA06608-0112,1,PROB_Lake,Target_Sampled,YES,YES,0.769106,,,YES,YES,PLNLOW,276.3794065,YES,L0165
NLA06608-0113,1,PROB_Lake,Target_Sampled,YES,YES,0.839788,,,YES,YES,EHIGH,83.35226447,YES,L0166
NLA06608-0115,1,PROB_Lake,Target_Sampled,YES,YES,1.102577,,,YES,YES,PLNLOW,6.737155775,YES,L0168
NLA06608-0116,1,PROB_Lake,Target_Sampled,YES,YES,0.615041,,,YES,YES,WMTNS,406.2048459,YES,L0169
NLA06608-0120,1,PROB_Lake,Target_Sampled,NOT DONE,YES,,K,Littoral habitat data not collected (> 5000 ha). O/E value not calculated,YES,YES,PLNLOW,10251.57227,NOT DONE,
NLA06608-0120,2,PROB_Lake,Target_Sampled,NOT DONE,NO,,K,Littoral habitat data not collected (> 5000 ha). O/E value not calculated,YES,YES,PLNLOW,10251.57227,NOT DONE,
NLA06608-0124,1,PROB_Lake,Target_Sampled,YES,YES,0.326999,,,YES,YES,PLNLOW,30.53256534,YES,L0178
NLA06608-0126,1,PROB_Lake,Target_Sampled,YES,YES,0.498604,,,YES,YES,PLNLOW,11.53500919,YES,L0179
NLA06608-0126,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,11.53500919,YES,
NLA06608-0127,1,PROB_Lake,Target_Sampled,YES,YES,0.944693,,,YES,YES,WMTNS,35.85993055,YES,L0181
NLA06608-0128,1,PROB_Lake,Target_Sampled,YES,YES,0.278453,,,YES,YES,PLNLOW,12.37799839,YES,L0182
NLA06608-0128,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,12.37799839,YES,
NLA06608-0129,1,PROB_Lake,Target_Sampled,YES,YES,1.031707,,,YES,YES,WMTNS,1138.974069,YES,L0184
NLA06608-0129,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,1138.974069,YES,
NLA06608-0130,1,PROB_Lake,Target_Sampled,YES,YES,1.032685,,,YES,YES,WMTNS,20.47176878,YES,L0186
NLA06608-0132,1,PROB_Lake,Target_Sampled,YES,YES,0.960908,,,YES,YES,WMTNS,88.38069497,YES,L0188
NLA06608-0134,1,PROB_Lake,Target_Sampled,YES,YES,1.247586,,,YES,YES,EHIGH,99.98457278,YES,L0190
NLA06608-0137,1,PROB_Lake,Target_Sampled,YES,YES,1.270762,,,YES,YES,WMTNS,116.0372371,YES,L0193
NLA06608-0139,1,PROB_Lake,Target_Sampled,YES,YES,0.736217,,,YES,YES,PLNLOW,94.68796912,YES,L0194
NLA06608-0140,1,PROB_Lake,Target_Sampled,YES,YES,0.682983,,,YES,YES,PLNLOW,26.86439392,YES,L0195
NLA06608-0141,1,PROB_Lake,Target_Sampled,YES,YES,0.985147,,,YES,YES,PLNLOW,65.47479386,YES,L0196
NLA06608-0142,1,PROB_Lake,Target_Sampled,YES,YES,1.160294,,,YES,YES,PLNLOW,130.8236981,YES,L0197
NLA06608-0144,1,PROB_Lake,Target_Sampled,YES,YES,0.68842,,,YES,YES,PLNLOW,706.1356995,YES,L0199
NLA06608-0144,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,706.1356995,YES,
NLA06608-0148,1,PROB_Lake,Target_Sampled,YES,YES,1.027424,,,YES,YES,PLNLOW,28.96652302,YES,L0202
NLA06608-0149,1,PROB_Lake,Target_Sampled,YES,YES,1.330799,,,YES,YES,EHIGH,13.9443979,YES,L0203
NLA06608-0150,1,PROB_Lake,Target_Sampled,"YES, PARTIAL",YES,0.18155,X,No zooplankton data-- O/E value likely invalid,SAMPLE LOST,YES,EHIGH,1887.921908,YES,L0204
NLA06608-0152,1,PROB_Lake,Target_Sampled,YES,YES,0.892851,,,YES,YES,PLNLOW,399.558531,YES,L0206
NLA06608-0153,1,PROB_Lake,Target_Sampled,YES,YES,0.901058,,,YES,YES,EHIGH,34.27813038,YES,L0207
NLA06608-0155,1,PROB_Lake,Target_Sampled,YES,YES,0.587892,,,YES,YES,PLNLOW,154.8023875,YES,L0209
NLA06608-0158,1,PROB_Lake,Target_Sampled,YES,YES,1.012635,,,YES,YES,PLNLOW,121.2290333,YES,L0212
NLA06608-0161,1,PROB_Lake,Target_Sampled,YES,YES,0.554125,,,YES,YES,PLNLOW,1013.147687,YES,L0215
NLA06608-0162,1,PROB_Lake,Target_Sampled,YES,YES,0.615264,,,YES,YES,EHIGH,53.36921117,YES,L0216
NLA06608-0167,1,PROB_Lake,Target_Sampled,YES,YES,0.449461,,,YES,YES,PLNLOW,70.1956031,YES,L0221
NLA06608-0167,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,70.1956031,YES,
NLA06608-0168,1,PROB_Lake,Target_Sampled,YES,YES,0.555888,,,YES,YES,PLNLOW,24.03842122,YES,L0223
NLA06608-0169,1,PROB_Lake,Target_Sampled,YES,YES,0.987095,,,YES,YES,WMTNS,69.82449803,YES,L0224
NLA06608-0169,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,69.82449803,YES,
NLA06608-0170,1,PROB_Lake,Target_Sampled,YES,YES,1.081717,,,YES,YES,PLNLOW,50.9227675,YES,L0226
NLA06608-0173,1,PROB_Lake,Target_Sampled,YES,YES,0.507627,,,YES,YES,WMTNS,21.04453369,YES,L0227
NLA06608-0174,1,PROB_Lake,Target_Sampled,YES,YES,0.95703,,,YES,YES,PLNLOW,68.56302121,YES,L0228
NLA06608-0174,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,68.56302121,YES,
NLA06608-0175,1,PROB_Lake,Target_Sampled,YES,YES,0.709498,,,YES,YES,PLNLOW,82.48245998,YES,L0230
NLA06608-0176,1,PROB_Lake,Target_Sampled,YES,YES,0.946461,,,YES,YES,PLNLOW,44.88178132,YES,L0231
NLA06608-0177,1,PROB_Lake,Target_Sampled,YES,YES,1.243092,,,YES,YES,EHIGH,41.12619495,YES,L0232
NLA06608-0179,1,PROB_Lake,Target_Sampled,YES,YES,0.56214,,,YES,YES,PLNLOW,10.57223489,YES,L0234
NLA06608-0179,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,10.57223489,YES,
NLA06608-0180,1,PROB_Lake,Target_Sampled,YES,YES,1.034667,,,YES,YES,PLNLOW,416.4717949,YES,L0236
NLA06608-0181,1,PROB_Lake,Target_Sampled,YES,YES,1.078791,,,YES,YES,WMTNS,118.8168936,YES,L0237
NLA06608-0183,1,PROB_Lake,Target_Sampled,YES,YES,0.906491,,,YES,YES,PLNLOW,577.5641342,YES,L0239
NLA06608-0184,1,PROB_Lake,Target_Sampled,YES,YES,0.80078,,,YES,YES,PLNLOW,14.95251132,YES,L0240
NLA06608-0185,1,PROB_Lake,Target_Sampled,YES,YES,0.771888,,,YES,YES,EHIGH,97.57104386,YES,L0241
NLA06608-0189,1,PROB_Lake,Target_Sampled,YES,YES,0.875215,,,YES,YES,EHIGH,14.39709779,YES,L0244
NLA06608-0189,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,EHIGH,14.39709779,YES,
NLA06608-0190,1,PROB_Lake,Target_Sampled,YES,YES,1.338446,,,YES,YES,PLNLOW,6.588803111,YES,L0246
NLA06608-0191,1,PROB_Lake,Target_Sampled,YES,YES,0.837002,,,YES,YES,EHIGH,640.0317026,YES,L0247
NLA06608-0193,1,PROB_Lake,Target_Sampled,YES,YES,0.220419,,,YES,YES,WMTNS,81.434119,YES,L0249
NLA06608-0195,1,PROB_Lake,Target_Sampled,YES,YES,0.327089,,,YES,YES,PLNLOW,6.30593343,YES,L0251
NLA06608-0196,1,PROB_Lake,Target_Sampled,YES,YES,0.300934,,,YES,YES,PLNLOW,52.2621923,YES,L0252
NLA06608-0198,1,PROB_Lake,Target_Sampled,YES,YES,0.501093,,,YES,YES,PLNLOW,65.07224916,YES,L0254
NLA06608-0201,1,PROB_Lake,Target_Sampled,YES,YES,1.085082,,,YES,YES,WMTNS,574.7259015,YES,L0257
NLA06608-0203,1,PROB_Lake,Target_Sampled,YES,YES,1.086705,,,YES,YES,EHIGH,471.993514,NOT DONE,L0259
NLA06608-0204,1,PROB_Lake,Target_Sampled,YES,YES,0.602118,,,YES,YES,PLNLOW,35.7705532,YES,L0260
NLA06608-0207,1,PROB_Lake,Target_Sampled,YES,YES,0.580105,,,YES,YES,EHIGH,7.39308686,YES,L0263
