SITE_ID,VISIT_NO,INDXSAMP_INF,CORE_CONFIDENCE,COMMENT_CONFIDENCE,NUT_REG_INF,NUT_REG,LAKE_ORIGIN,LAKE_ORIGIN_INF,REF_CLUSTER,WSA_ECO9,SITE_TYPE,ST,LAKENAME,RT_NLA,PH_FIELD,COND,NTL,PTL,DOC,PTL_INF_TOP,PTL_INF_BOT,PTL_INF_DIF,PTL_SIGTEST,NTL_INF_TOP,NTL_INF_BOT,NTL_INF_DIF,NTL_SIGTEST,COND_INF_TOP,COND_INF_BOT,COND_INF_DIF,COND_SIGTEST,PH_INF_TOP,PH_INF_BOT,PH_INF_DIF,PH_SIGTEST,ELEV_PT,DOM_GEOL,ECO3_PT,LAKEAREA_KM2,BASINAREA_KM2,BASIN_LAKE_RATIO,PC_DISTOT,PC_URB,PC_URB_INT,PC_CROP,PC_AG,PC_WET
NLA06608-0247,1,YES,NO,"High Ag - >70%,Reg 6",6,VI,Natural,1,E,TPL,PROB_Lake,SD,Wall Lake,SO-SO,8.5,1652,1625,202,12.69,223.2982583,359.7212938,-136.4230354,Yes,2330.937044,2595.248214,-264.3111704,Yes,1071.905774,926.4313009,145.4744729,Yes,8.716260344,8.623099346,0.093160998,No,27.67,Sedimentary,35,6.240121003,546.3314518,87.55141953,81.04130881,5.805197575,0.700627293,47.39243192,75.23611124,5.079547878
NLA06608-0254,1,YES,NO,Short core,6,VI,Natural,1,E,TPL,PROB_Lake,ND,Twin Lakes,SO-SO,8.6,1655,2816,175,16.3,158.095633,259.8214929,-101.7258599,Yes,2005.930018,3445.780965,-1439.850947,Yes,1201.090096,1160.03214,41.05795611,Yes,8.532005581,8.893806342,-0.361800761,No,121.74,Sedimentary,72,8.076804482,48.34980802,5.986254605,60.58999597,3.746617398,0.101985287,11.32036689,56.84337857,7.171175993
NLA06608-0259,1,YES,NO,Short core,5,V,Natural,1,E,NPL,PROB_Lake,ND,,SO-SO,7.67,1154,3172,613,21.94,291.3383783,228.508358,62.83002021,Yes,2575.382207,1548.424841,1026.957366,Yes,1112.72626,957.0697477,155.6565123,Yes,8.638706703,8.549747621,0.088959082,No,30.36,Sedimentary,1,0.605598371,2.548949237,4.208976373,57.04839822,4.646356028,0.448365789,48.52251148,52.40204219,3.929979746
NLA06608-0275,1,YES,NO,Short core,5,V,Natural,1,E,NPL,PROB_Lake,ND,,SO-SO,8.62,4584,3084,331,26.13,387.1575171,233.5863893,153.5711278,Yes,3259.224111,2498.590303,760.6338077,Yes,3593.244578,3647.713747,-54.4691682,Yes,8.462794839,8.68928536,-0.226490521,No,299.09,Sedimentary,60,0.712545497,119.8278848,168.1687489,33.16003797,3.362651705,0.176654799,16.34815956,29.79738626,1.233823363
NLA06608-0279,1,YES,NO,,6,VI,Natural,1,E,TPL,PROB_Lake,MN,,SO-SO,9.5,313,4600,239,18.8,24.95090805,106.361136,-81.41022792,Yes,735.055528,1733.7652,-998.7096723,Yes,414.7925012,340.6573076,74.13519351,Yes,8.579232752,8.633351994,-0.054119242,No,476.12,Volcanic,50,0.36869718,4.936334487,13.38858757,68.66484646,4.157125314,1.901151092,58.47572794,64.50772115,13.57088959
NLA06608-0302,1,YES,NO,Short core,6,VI,Natural,1,E,TPL,PROB_Lake,SD,,TRASH,8.7,1383,6934,1871,38.4,1576.383393,436.8383254,1139.545068,Yes,13847.41732,2866.787353,10980.62996,Yes,1757.959211,178.6612252,1579.297986,Yes,8.396594291,8.398113287,-0.001518996,No,559.28,Sedimentary,46,0.292318022,2.353444193,8.050971952,50.60983813,6.091924961,2.343048062,44.51791317,44.51791317,0
NLA06608-0334,1,YES,NO,"Ag watershed, but looks recovering; maybe?",6,VI,Natural,1,E,TPL,PROB_Lake,ND,Buffalo Lodge Lake,SO-SO,8.6,782,1834,142,17.18,467.7277621,162.4848376,305.2429244,Yes,7146.802021,2008.475752,5138.326269,Yes,2810.018521,571.1480303,2238.87049,Yes,9.182228939,8.625685356,0.556543584,No,195.91,Sedimentary,72,0.318213903,17.06377162,53.6235892,71.73950679,4.929959401,0.576607332,45.78402043,66.80954739,4.951765279
NLA06608-0339,1,YES,NO,,5,V,Natural,1,E,NPL,PROB_Lake,ND,,SO-SO,8.73,2413,1659,376,17.45,148.3771428,446.7369794,-298.3598366,Yes,1021.953668,3639.368441,-2617.414773,Yes,1606.247027,2987.624661,-1381.377635,Yes,8.485270158,8.404415396,0.080854761,No,1021.29,Sedimentary,13,1.850144283,4864.307637,2629.150429,26.59461402,2.964620702,0.117223523,4.791038812,23.62999332,0.431080051
NLA06608-0343,1,YES,NO,Short core,6,VI,Natural,1,E,TPL,PROB_Lake,SD,"Alice, Lake",SO-SO,8.6,1554,2606,117,16.95,282.1467356,335.1037338,-52.95699814,Yes,3882.088524,3214.261595,667.8269288,Yes,1110.875131,745.3085754,365.5665555,Yes,8.697857239,8.672444142,0.025413097,No,307.94,Sedimentary,27,0.121610704,6.88196198,56.5901007,19.91736759,4.431979197,0.336158103,6.360465155,15.48538839,7.059320158
NLA06608-0384,1,YES,NO,Short plus Ag LU,5,V,Natural,1,E,NPL,PROB_Lake,ND,Willow Lake,SO-SO,8.8,3714,4291,68,51.51,11.23780629,1644.02392,-1632.786114,Yes,4899.18147,20481.19674,-15582.01527,Yes,24359.85637,3323.609281,21036.24709,Yes,9.142233643,9.302732683,-0.16049904,No,417,Sedimentary,46,0.119784539,1.508281376,12.59161984,0,0,0,0,0,0.704802387
NLA06608-0407,1,YES,NO,Short core,6,VI,Natural,1,E,TPL,PROB_Lake,SD,,SO-SO,8.9,1403,2872,762,26.01,545.1518032,456.9519665,88.19983664,Yes,5352.016463,3439.066188,1912.950276,Yes,954.5377355,884.8553703,69.68236526,Yes,8.728624667,8.633169504,0.095455163,No,189.3,Sedimentary,50,0.692783742,25.99313604,37.51984131,33.58480541,0.927187879,0,32.65761753,32.65761753,4.841981148
NLA06608-0414,1,YES,NO,Short core,8,VIII,Natural,1,E,UMW,PROB_Lake,WI,,REF,6.4,59,1296,40,27.44,29.85872189,68.60806103,-38.74933914,Yes,818.8148934,941.3992962,-122.5844028,Yes,56.2696329,66.71076865,-10.44113575,Yes,6.770174783,7.407123957,-0.636949173,Yes,75.34,Granitic,59,1.572912617,148.9264035,94.68193077,2.375252058,2.375252058,0,0,0,32.87725126
NLA06608-0439,1,YES,NO,Short core,5,V,Natural,1,E,NPL,PROB_Lake,SD,,TRASH,8.71,2682,19200,1056,66.98,309.4923394,500.3298346,-190.8374952,Yes,3683.572294,4211.067429,-527.4951353,Yes,906.6968119,650.3057163,256.3910956,Yes,8.449159636,8.673671642,-0.224512007,No,70.84,Sedimentary,45,0.154487471,120.3151592,778.8020508,34.2336713,2.511951206,0.055574142,16.73893149,31.72172009,0.46682279
NLA06608-0442,1,YES,NO,Ag watershed; row crops,5,V,Natural,1,E,NPL,PROB_Lake,ND,,TRASH,8.8,2360,6559,385,67.34,682.1824954,900.6319402,-218.4494448,Yes,6964.177642,9007.469121,-2043.29148,Yes,1885.022131,1308.464135,576.5579964,Yes,8.87241922,9.243200595,-0.370781374,No,360.29,Quaternary,81,0.149478241,1.997748858,13.3648138,65.83741465,5.841161491,1.323188875,59.99625315,59.99625315,5.155654002
NLA06608-0453,1,YES,NO,Core too short,12,XII,Natural,1,D,CPL,PROB_Lake,FL,"Minneola, Lake",SO-SO,5.8,93,1056,48,19.64,42.10556543,16.03107892,26.07448651,Yes,510.1294543,248.096234,262.0332204,Yes,73.42759677,34.85315845,38.57443832,Yes,7.114135027,6.793769984,0.320365044,No,408.87,Sedimentary,60,0.126194145,3.55255085,28.15147122,59.80816775,37.84655849,21.74093922,5.592503378,21.96160926,9.478930931
NLA06608-0491,1,YES,NO,Short core,7,VII,Natural,1,E,UMW,PROB_Lake,IN,,SO-SO,7.1,429,665,16,7,11.4243696,11.46215355,-0.037783952,No,563.9718385,799.2420854,-235.270247,Yes,499.673015,276.1092387,223.5637763,Yes,8.238959889,8.32072461,-0.081764722,No,261.61,Sedimentary,56,0.531358393,92.84534182,174.732051,62.87876037,12.07707331,2.970531365,49.18825124,50.80168706,6.687465282
NLA06608-0494,1,YES,NO,Short core; otherwise OK?,8,VIII,Natural,1,C,UMW,PROB_Lake,MN,Pine Mountain Lake,SO-SO,8.1,280,401,4,5.02,14.74400101,20.29835054,-5.554349523,Yes,562.1305198,681.832,-119.7014802,Yes,325.0342466,317.5966101,7.437636536,Yes,8.299707574,8.451972481,-0.152264907,No,312.01,Sedimentary,58,0.761953442,4.5634217,5.989108324,6.238759539,1.751200238,0.268679679,1.204276232,4.4875593,6.835245817
NLA06608-0503,1,YES,NO,Short core,6,VI,Natural,1,E,TPL,PROB_Lake,SD,Rehfeldt Slough,TRASH,8.4,2575,5916,430,17.18,238.7063132,533.5724152,-294.866102,Yes,3596.744758,5219.173882,-1622.429124,Yes,1204.393981,1559.783162,-355.3891805,Yes,8.62151522,8.593355695,0.028159525,No,397.87,Sedimentary,61,0.463642628,15.17568205,32.73142102,68.57298029,5.628268064,0.114862614,56.16781802,62.94471222,0
NLA06608-0515,1,YES,NO,?Intensive ag LU near lake,5,V,Natural,1,E,NPL,PROB_Lake,ND,,SO-SO,8.7,1895,4984,335,26.13,111.9702762,518.3621087,-406.3918324,Yes,2571.8048,8385.04181,-5813.23701,Yes,1360.353912,1724.225047,-363.8711352,Yes,8.921498934,9.585782253,-0.664283318,Yes,255.38,Sedimentary,66,7.446114928,1539.065343,206.69374,20.58694637,4.001154614,1.162346592,0,16.58579175,0
NLA06608-0523,1,YES,NO,"High Ag - >70%,Reg 6",6,VI,Natural,1,E,TPL,PROB_Lake,SD,Brant Lake,SO-SO,8.48,1799,1738,115,11.03,302.4419787,249.6166315,52.82534717,Yes,2856.997982,2865.417269,-8.41928663,Yes,985.6316278,1015.707412,-30.07578455,Yes,8.764628909,8.908271616,-0.143642707,No,3297.74,Sedimentary,19,0.05832247,4.55086288,78.02932332,76.94792912,7.728807591,2.099423224,62.24656263,69.21912153,2.127043264
NLA06608-0531,1,YES,NO,"W-shed nearly all ag, mostly row",5,V,Natural,1,E,NPL,PROB_Lake,ND,,TRASH,8.25,9751,2697,57,23.96,91.88452794,51.93773325,39.94679469,Yes,2128.321073,984.3465495,1143.974524,Yes,3563.165001,2807.202696,755.9623052,Yes,8.48048967,8.403096757,0.077392913,No,405.01,Volcanic,50,0.046124328,0.146669853,3.179880526,36.86172872,2.998970737,0.18278631,9.96344796,33.86275799,1.042519593
NLA06608-0595,1,YES,NO,Short core,5,V,Natural,1,E,NPL,PROB_Lake,SD,,SO-SO,8.6,2668,3828,258,26.23,536.3146122,1026.648007,-490.3333945,Yes,4427.150896,11292.06266,-6864.911764,Yes,2304.412393,2888.715835,-584.3034422,Yes,8.827577027,8.912348137,-0.08477111,No,384.85,Sedimentary,50,0.916387288,3.957667337,4.318771536,26.07225453,3.736504494,0.313384248,20.06974085,22.33575003,0.479938114
NLA06608-0609,1,YES,NO,Core too short,12,XII,Natural,1,D,CPL,PROB_Lake,FL,"Thonotosassa, Lake",SO-SO,9.4,229,3334,239,14.15,146.2556438,142.588763,3.666880808,Yes,2618.12674,2742.925124,-124.7983841,Yes,881.659259,792.0756889,89.58357012,Yes,8.767480189,8.796779015,-0.029298826,No,155.18,Granitic,58,1.328445361,7.903976144,5.949793929,61.45715114,43.75022795,18.59524913,8.581074357,17.70692319,26.44154402
NLA06608-0611,1,YES,NO,?Ag and Urban; near L Mendota,7,VII,Natural,1,C,TPL,PROB_Lake,WI,"Kegonsa, Lake",SO-SO,8.7,542,903,53,5.96,72.00191264,129.2553964,-57.25348373,Yes,1392.204448,1640.37,-248.1655521,Yes,464.4649624,508.9218792,-44.45691678,Yes,8.644968432,8.716977128,-0.072008696,No,390.75,Sedimentary,69,0.905570186,11.81207192,13.04379505,79.02386966,24.19697286,17.57688531,40.61834761,54.8268968,4.300893478
NLA06608-0634,1,YES,NO,Short core,5,V,Natural,1,E,NPL,PROB_Lake,ND,,TRASH,9.1,2748,6800,288,44.7,247.9680364,417.9341484,-169.9661119,Yes,3191.705435,3651.3464,-459.6409647,Yes,2275.864636,879.0420492,1396.822587,Yes,8.750679228,8.876455801,-0.125776572,No,1057.7,Sedimentary,44,0.591067243,71.52779943,121.0146566,52.28931462,4.015929013,0,37.28097923,48.27338561,7.140952272
NLA06608-0660,1,YES,NO,"High Ag - >70%,Reg 6",6,VI,Natural,1,C,TPL,PROB_Lake,IN,,TRASH,8.2,865,1546,8,4,18.75408293,8.288718411,10.46536451,Yes,839.3541735,542.148,297.2061735,Yes,660.8937104,382.3650275,278.5286829,Yes,8.207301392,8.09023846,0.117062933,No,9.1,Quaternary,2,19.34331154,257.8505715,13.33021861,89.70054016,89.70054016,73.4963056,0,0,0
NLA06608-0663,1,YES,NO,Short core,6,VI,Natural,1,E,TPL,PROB_Lake,SD,,TRASH,9.1,2425,6603,618,27.7,615.0268251,193.3307194,421.6961057,Yes,7642.171881,2490.653981,5151.5179,Yes,3118.015714,1121.837053,1996.178661,Yes,8.813879961,8.617853861,0.1960261,No,2227.25,Granitic,5,0.700184571,13.05096584,18.63932222,52.37468569,3.116785505,0.055515263,39.72513637,49.25790018,9.445525538
NLA06608-0679,1,YES,NO,Lake was dredged,7,VII,Natural,1,E,UMW,PROB_Lake,MN,"Nokomis, Lake",SO-SO,8.3,509,635,13,6.19,24.4131048,32.15163506,-7.738530259,Yes,626.6864317,802.9209918,-176.2345601,Yes,348.3799582,196.8577645,151.5221937,Yes,8.472243311,8.231855472,0.240387839,No,2719,Volcanic,21,0.755479575,153.1883941,202.7697361,83.6173969,82.61615012,71.40750255,0,1.001246779,5.874571807
NLA06608-0727,1,YES,NO,Short core,6,VI,Natural,1,E,TPL,PROB_Lake,SD,"Isabella, Lake",SO-SO,8.5,1284,3722,191,21.55,190.0042922,415.8257699,-225.8214776,Yes,2833.888455,6830.634584,-3996.74613,Yes,793.1607158,1682.101668,-888.9409527,Yes,8.688174177,8.906607629,-0.218433452,No,238.87,Volcanic,4,0.8403291,6.844603976,8.145146919,37.64695176,2.931873218,0,34.71507854,34.71507854,7.605874001
NLA06608-0759,1,YES,NO,Short core,6,VI,Natural,1,E,TPL,PROB_Lake,MN,Okamanpeedan Lake,SO-SO,8.9,393,4153,360,8.69,109.0446411,76.60525858,32.43938249,Yes,1497.46864,967.6729935,529.7956468,Yes,531.7292321,515.330303,16.39892908,Yes,8.627304701,8.366848463,0.260456238,No,1567,Granitic,23,1.191797433,64.63108212,54.22992225,91.20092162,6.388659605,0.979486242,84.45721884,84.81226202,1.775451161
NLA06608-0762,1,YES,NO,Short core,5,V,Natural,1,E,NPL,PROB_Lake,ND,Cottonwood Lake,SO-SO,8.9,1054,3940,264,16.29,220.598741,180.5759674,40.02277369,Yes,2953.95481,3115.184622,-161.2298115,Yes,874.3440129,712.3883907,161.9556223,Yes,8.49434657,8.74725612,-0.25290955,No,256.18,Sedimentary,40,0.758123027,152.057426,200.5709108,59.68708807,3.597132201,0.015816536,44.90540537,56.08995587,10.07965248
NLA06608-0779,1,YES,NO,"High Ag - >70%,Reg 6",6,VI,Natural,1,E,TPL,PROB_Lake,SD,,SO-SO,9.1,541,3916,1543,14.18,388.5155078,606.049064,-217.5335562,Yes,2525.492139,4909.162406,-2383.670267,Yes,746.3715601,840.5998989,-94.2283388,Yes,8.271521318,8.315091749,-0.043570431,No,372.25,Sedimentary,47,8.883374549,425.0187313,47.84428811,70.01346147,1.856417539,0,31.29389566,68.15704393,27.44845933
NLA06608-0785,1,YES,NO,"Reservoir, lots of ag",3,III,Man-made,2,G,XER,PROB_Lake,WA,,TRASH,8.5,406,2621,15,2.52,14.67452179,16.50543022,-1.830908436,No,531.5144552,490.5885856,40.92586963,Yes,440.4877602,596.851755,-156.3639948,Yes,8.680836623,8.747699743,-0.06686312,No,435.99,Volcanic,50,0.708648008,3.676063156,5.187431722,85.65228754,4.665523188,2.247352651,55.83931762,80.98676435,1.293062778
NLA06608-0807,1,YES,NO,Short core,6,VI,Natural,1,E,TPL,PROB_Lake,SD,Lynn Lake,TRASH,8.6,1893,1505,511,21.43,218.5291344,494.4248181,-275.8956838,Yes,3215.781615,4248.365142,-1032.583527,Yes,1552.495085,1647.020935,-94.52584955,Yes,8.792188733,8.791760886,0.000427846,No,316.02,Sedimentary,28,0.106922619,10.07276884,94.20615482,3.705224186,3.705224186,0,0,0,0
NLA06608-0830,1,YES,NO,Short core,5,V,Natural,1,E,NPL,PROB_Lake,ND,,TRASH,8.7,5769,15563,1617,79.82,464.7703476,479.3132147,-14.54286713,Yes,5786.539455,4777.296849,1009.242606,Yes,3749.807481,1807.366381,1942.4411,Yes,9.009838962,9.576386626,-0.566547664,No,427.87,Granitic,58,0.769235765,6.113384406,7.947348119,,,,,,
NLA06608-0851,1,YES,NO,Ag watershed and othre disturbance,5,V,Natural,1,E,NPL,PROB_Lake,SD,Eureka Lake,SO-SO,8.24,4321,1104,44,8.84,166.4905703,207.7857133,-41.29514301,Yes,3217.36216,2890.136504,327.2256563,Yes,3355.958922,1627.764462,1728.19446,Yes,8.589139593,8.711713093,-0.1225735,No,501.71,Volcanic,50,0.218965185,5.08167211,23.2076716,29.97446465,21.93868052,10.00648595,2.213665057,8.035784128,0.69289516
NLA06608-0865,1,YES,NO,Core too short,12,XII,Natural,1,D,CPL,PROB_Lake,FL,Crystal Lake,SO-SO,8.7,188,1489,100,9.63,26.15203209,41.57118616,-15.41915407,Yes,650.8951633,830.4046254,-179.5094621,Yes,161.6898004,189.56855,-27.87874957,Yes,8.065469867,8.009431112,0.056038755,No,91.08,Sedimentary,36,5.001141659,4000.763172,799.9699759,84.38644608,84.38644608,66.81662372,0,0,4.488640749
NLA06608-0871,1,YES,NO,"High Ag - >70%,Reg 6",6,VI,Natural,1,E,TPL,PROB_Lake,MN,Dry Wood Lake,TRASH,8.6,849,5378,407,18.51,695.9256659,437.0288564,258.8968095,Yes,7867.579137,4972.910671,2894.668465,Yes,1512.720527,839.5700669,673.1504599,Yes,8.851704681,8.695125505,0.156579176,No,278.33,Sedimentary,56,0.374469912,16.42662795,43.86634932,75.42058979,4.512752768,0.138789228,70.03052087,70.90783702,10.34274148
NLA06608-0899,1,YES,NO,Lots row ag in w-shed,5,V,Natural,1,E,NPL,PROB_Lake,ND,,TRASH,8.72,6864,4472,495,36.83,515.7923332,162.5034007,353.2889326,Yes,6057.67613,2361.881705,3695.794424,Yes,12207.58363,2271.015965,9936.567664,Yes,8.419914226,8.669087213,-0.249172987,No,2257.2,Sedimentary,11,0.067956767,1.105198473,16.26325845,35.73390808,3.630607498,0.369296681,26.62620968,32.10330058,3.515202285
NLA06608-0904,1,YES,NO,"High Ag - >70%,Reg 6",6,VI,Natural,1,E,TPL,PROB_Lake,IA,Browns Lake,SO-SO,10,631,1603,135,5.96,85.80139102,53.51996216,32.28142886,Yes,1112.812656,1164.102015,-51.28935825,Yes,463.4759992,809.516099,-346.0400998,Yes,8.407942505,8.659053577,-0.251111072,No,289.18,Sedimentary,51,1.238117895,301.1455459,243.22849,82.54807957,12.16607581,2.550161337,69.89217685,70.38200376,4.763566675
NLA06608-0915,1,YES,NO,Ag watershed; ecoregion 6?,7,VII,Natural,1,E,UMW,PROB_Lake,MN,,SO-SO,8.4,393,1410,102,16.83,105.2924512,136.0769749,-30.78452365,Yes,1593.824101,1784.478942,-190.6548411,Yes,265.5029953,218.1981439,47.30485142,Yes,8.743917033,8.021326593,0.72259044,Yes,86.5,Quaternary,73,0.308372575,2.484294631,8.056146469,69.85219867,4.28747978,0.369333464,55.70512119,65.56471889,10.77490237
NLA06608-0940,1,YES,NO,Short core,5,V,Man-made,2,E,SPL,PROB_Lake,NE,Winters Creek Lake,SO-SO,9.6,683,866,37,8.39,54.32112522,64.4360453,-10.11492008,Yes,1465.842233,1668.842977,-203.0007438,Yes,684.7386251,679.2221783,5.516446856,Yes,8.748464005,8.749972631,-0.001508626,No,1520,Granitic,16,20.18422522,374.7060005,18.56429942,0,0,0,0,0,0.203070703
NLA06608-1022,1,YES,NO,Short core,5,V,Natural,1,E,NPL,PROB_Lake,ND,,TRASH,8.44,1441,5003,553,28.58,380.8519991,246.0239084,134.8280907,Yes,2271.66065,1561.95466,709.7059903,Yes,614.9032085,1216.866579,-601.96337,Yes,8.817965646,8.470523285,0.347442362,No,71.99,Sedimentary,65,0.597175809,33.83199606,56.65332648,33.94820477,2.533768604,0,26.66898819,31.41443617,2.254624605
NLA06608-1024,1,YES,NO,Short core,6,VI,Natural,1,E,TPL,PROB_Lake,ND,,SO-SO,8.03,691,439,19,24.01,76.82287747,352.2543609,-275.4314834,Yes,2008.042745,2427.803588,-419.760843,Yes,577.2335503,299.4379648,277.7955855,Yes,8.769095683,8.579007506,0.190088177,No,18.92,Sedimentary,75,0.395187677,60.25901063,152.4820081,0,0,0,0,0,2.065785682
NLA06608-1059,1,YES,NO,Major ag and urban in w-shed; shortish core,7,VII,Natural,1,E,TPL,PROB_Lake,WI,Lake Winnebago,SO-SO,8.8,389,1406,161,7.72,122.7120842,133.2533193,-10.54123508,Yes,1287.572066,1306.797104,-19.22503883,Yes,342.1416685,281.7161683,60.42550021,Yes,8.390786425,8.37165328,0.019133146,No,454.76,Sedimentary,50,0.621090793,3.981063928,6.409793826,45.56687152,6.175877762,2.376251553,30.36868258,39.39099376,15.48762932
NLA06608-1070,1,YES,NO,"High Ag - >70%,Reg 6",6,VI,Natural,1,E,TPL,PROB_Lake,ND,Grass Lake,SO-SO,8.48,760,1183,774,14.18,573.7442068,418.7921299,154.9520768,Yes,2517.495693,2407.612334,109.8833596,Yes,693.0444273,570.4596492,122.5847781,Yes,8.109307771,8.383091848,-0.273784077,No,207.12,Sedimentary,55,0.500728684,1.792835563,3.580453087,77.60071365,5.263322863,0.717530545,66.33935102,72.33739079,4.984044507
NLA06608-1075,1,YES,NO,Short core,7,VII,Natural,1,C,UMW,PROB_Lake,WI,Echo Lake,REF,5.35,26,406,8,7.79,7.852099932,5.076497271,2.775602661,Yes,369.3859812,366.628,2.757981211,Yes,24.98436135,26.3581899,-1.373828551,No,6.232540113,5.999909591,0.232630522,No,303.84,Sedimentary,40,0.14952492,7.0104737,46.88498552,4.898095351,4.431610079,0,0.466485271,0.466485271,7.580385662
