SITE_ID,VISIT_NO,SAMPLED_CORE,DATECORE,SAMPLED_INF,INDXSAMP_INF,SAMPLE_CATEGORY,SAMPLE_ID_TOP,SAMPLE_ID_BOT,FLAG_FLD_CORE,COMMENT_FLD_CORE,PTL_INF_TOP,PTL_INF_BOT,PTL_INF_DIF,PTL_SIGTEST,NTL_INF_TOP,NTL_INF_BOT,NTL_INF_DIF,NTL_SIGTEST,COND_INF_TOP,COND_INF_BOT,COND_INF_DIF,COND_SIGTEST,PH_INF_TOP,PH_INF_BOT,PH_INF_DIF,PH_SIGTEST,CORE_LENGTH,CORE_CONFIDENCE,COMMENT_CONFIDENCE,SITE_TYPE,LAKE_SAMP,LAKE_ORIGIN
NLA06608-0029,1,YES (Both),7/2/2007,YES,YES,P,505097,505098,F3,LAST 1CM WAS SAMPLED. RUBBER STOPPER ACCIDENTALLY PUSHED UP TOO FAR.,47.58171897,27.51602003,20.06569895,Yes,996.2976127,418.2401688,578.0574438,Yes,165.3260075,55.70602785,109.6199797,Yes,7.798649466,6.648776779,1.149872687,Yes,36,UNCERTAIN,"ag, urb, very near Ches B; green",PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0029,2,YES (Both),9/11/2007,NO LAB DATA,NO,P,505358,505138,,,,,,,,,,,,,,,,,,,34,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0031,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0031,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0033,1,YES (Both),7/17/2007,YES,YES,P,506238,506237,,,22.31854098,21.52186631,0.796674669,No,322.5223108,328.3487016,-5.82639079,Yes,50.62694903,50.6725539,-0.045604864,No,7.761315163,7.670275956,0.091039207,No,30,YES,Lake really a wetland; no disturbance,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0033,2,YES (Both),8/28/2007,NO LAB DATA,NO,P,517707,517708,,,,,,,,,,,,,,,,,,,53,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0036,1,NO,,NO CORE SAMPLE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0036,2,NO,,NO CORE SAMPLE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0037,1,YES (Both),7/13/2007,YES,YES,P,508837,508838,,,14.4438,8.000652179,6.443147821,Yes,375.4249246,329.3334598,46.09146483,Yes,120.2730242,109.5767637,10.69626049,Yes,8.144610898,8.064207428,0.080403469,No,40,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0037,2,YES (Both),9/5/2007,NO LAB DATA,NO,P,517837,517838,,,,,,,,,,,,,,,,,,,52,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0038,1,YES (Both),7/12/2007,YES,YES,P,505567,505568,,,4.42287,8.778422268,-4.355552268,Yes,201.9570252,230.1428523,-28.18582703,Yes,76.09259555,64.77426189,11.31833366,Yes,7.725199154,7.489145759,0.236053395,No,38,YES,"some urbanization, deforested",PROB_Lake,Target_Sampled,NATURAL
NLA06608-0038,2,YES (Both),8/27/2007,NO LAB DATA,NO,P,509087,509088,,,,,,,,,,,,,,,,,,,30,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0041,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0041,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0042,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0042,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0043,1,YES (Both),7/31/2007,YES,YES,P,512707,512708,F1,THIS IS THE LONGEST WE COULD GET AFTER MULTIPLE ATTEMPTS.,19.96088019,11.45312925,8.507750945,Yes,687.6260155,318.555,369.0710155,Yes,488.2139427,210.7484539,277.4654887,Yes,8.558763321,8.218513402,0.340249919,No,27.5,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0043,2,YES (Both),8/15/2007,NO LAB DATA,NO,P,513107,513108,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",,,,,,,,,,,,,,,,,35,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0044,1,YES (Both),7/18/2007,YES,YES,P,503707,514468,,,270.4481377,186.9441516,83.50398606,Yes,2552.090497,2472.157477,79.93302049,Yes,335.1029314,493.1437512,-158.0408198,Yes,8.741437316,8.838653261,-0.097215944,No,33,NO,Road built along shore,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0044,2,YES (Both),7/30/2007,NO LAB DATA,NO,P,513707,513708,,,,,,,,,,,,,,,,,,,30,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0045,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0045,2,NO,,NO CORE SAMPLE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0048,1,YES (Both),8/2/2007,YES,YES,P,513007,513008,,,50.13701268,149.8883187,-99.75130597,Yes,582.1652223,1067.939355,-485.7741323,Yes,262.5206213,167.967361,94.55326035,Yes,7.765158715,7.808086247,-0.042927532,No,40,UNCERTAIN,Reservoir / man made; looks dredged.  Not oxbow,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0048,2,YES (Both),9/18/2007,NO LAB DATA,NO,P,510547,510548,,,,,,,,,,,,,,,,,,,34,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0049,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0050,1,YES (Both),7/2/2007,YES,YES,P,508677,508678,,,10.4892,12.63566729,-2.146467288,Yes,253.7160793,287.0103472,-33.29426786,Yes,35.40206122,39.38592662,-3.983865404,Yes,6.960762763,6.906895785,0.053866978,No,48,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0050,2,YES (Both),8/30/2007,NO LAB DATA,NO,P,511067,511068,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,,,,,,,,,,,,,,,,,40,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0053,1,YES (Both),8/23/2007,NO LAB DATA,YES,P,506807,506808,,,,,,,,,,,,,,,,,,,56,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0053,2,YES (Both),9/27/2007,NO LAB DATA,NO,P,517547,517548,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,,,,,,,,,,,,,,,,,49,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0057,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0057,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0061,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0061,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0062,1,YES (Both),8/9/2007,YES,YES,P,512327,512328,,,179.1331669,369.1698966,-190.0367297,Yes,3036.620406,3643.818826,-607.1984197,Yes,4550.448073,3152.331392,1398.116682,Yes,8.921446518,8.925266925,-0.003820408,No,20,NO,Short core,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0062,2,YES (Both),8/27/2007,NO LAB DATA,NO,P,517477,517478,,,,,,,,,,,,,,,,,,,22,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0064,1,YES (Both),6/18/2007,YES,YES,P,514487,514488,,,285.1458434,112.7160245,172.429819,Yes,1485.226022,1166.114308,319.1117146,Yes,537.4178745,628.656826,-91.23895156,Yes,8.76470843,8.339904207,0.424804223,No,51,UNCERTAIN,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0064,2,YES (Both),8/26/2007,NO LAB DATA,NO,P,513797,513798,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,,,,,,,,,,,,,,,,,47,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0065,1,YES (Both),7/17/2007,YES,YES,P,507567,507568,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,8.557009408,37.57663622,-29.01962682,Yes,254.9440522,405.5206786,-150.5766265,Yes,179.6420733,118.0498186,61.59225465,Yes,8.369698644,8.521473485,-0.151774841,No,34,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0065,2,YES (Both),9/12/2007,NO LAB DATA,NO,P,509477,509478,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,,,,,,,,,,,,,,,,,32,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0066,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0066,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0068,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0068,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0069,1,YES (Both),7/18/2007,YES,YES,P,507327,507328,,,73.35059158,107.767286,-34.41669438,Yes,412.2368527,623.9733517,-211.736499,Yes,56.4693455,49.3724673,7.096878203,Yes,7.472570536,6.584893666,0.88767687,Yes,30,YES,"Forested, urban; a mining operation?",PROB_Lake,Target_Sampled,NATURAL
NLA06608-0069,2,YES (Both),9/26/2007,NO LAB DATA,NO,P,512397,512398,,,,,,,,,,,,,,,,,,,17,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0071,1,YES (Both),9/6/2007,NO LAB DATA,YES,P,516527,516528,K,,,,,,,,,,,,,,,,,,38,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0071,2,YES (Both),9/8/2007,NO LAB DATA,NO,P,518017,518018,,,,,,,,,,,,,,,,,,,55,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0072,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0072,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0073,1,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0073,2,YES (Both),7/18/2007,YES,YES,P,510757,510758,,,683.6189792,265.4689235,418.1500558,Yes,3942.249753,1841.164339,2101.085415,Yes,1032.62014,834.3220227,198.298117,Yes,8.887481937,8.681099431,0.206382506,No,35,NO,"Reservoir, shallow core",PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0076,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0076,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0077,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0077,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0078,1,YES (Both),8/8/2007,NO LAB DATA,YES,P,504627,504628,,,,,,,,,,,,,,,,,,,18.5,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0078,2,YES (Lost sample),8/21/2007,YES (LOST SAMPLE),NO,P,509267,509268,K,NO LAB DATA AVAILABLE,,,,,,,,,,,,,,,,,20,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0079,1,YES (Both),7/12/2007,YES,YES,P,508587,508588,,,25.1411616,66.13182974,-40.99066814,Yes,282.9733945,500.8166527,-217.8432582,Yes,137.1014012,211.3768643,-74.27546301,Yes,8.346844426,8.563132305,-0.216287878,No,44.4,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0079,2,YES (Both),8/16/2007,NO LAB DATA,NO,P,502128,502127,,,,,,,,,,,,,,,,,,,35.4,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0079,2,YES (Both),8/16/2007,NO LAB DATA,NO,D,503727,503728,,,,,,,,,,,,,,,,,,,32.9,,,,Target_Sampled,
NLA06608-0080,1,YES (Both),9/9/2007,NO LAB DATA,YES,P,517207,517208,,,,,,,,,,,,,,,,,,,54,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0080,2,YES (Both),9/10/2007,NO LAB DATA,NO,P,516267,516268,,,,,,,,,,,,,,,,,,,55,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0081,1,YES (Both),7/3/2007,YES,YES,P,506367,506368,,,18.76058836,10.82062424,7.939964121,Yes,419.4229993,267.7289862,151.694013,Yes,119.8359322,44.79434425,75.04158792,Yes,8.121881117,7.831828582,0.290052536,No,41,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0081,2,YES (Both),9/19/2007,NO LAB DATA,NO,P,517777,517778,,,,,,,,,,,,,,,,,,,44,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0083,1,YES (Both),6/13/2007,YES,YES,P,502697,502698,,,32.04355786,63.28048233,-31.23692447,Yes,2735.516434,3391.303299,-655.7868648,Yes,5385.471499,8564.833998,-3179.362499,Yes,8.957760759,8.981681227,-0.023920468,No,27,UNCERTAIN,"Core short, but w-shed rel undisturbed",PROB_Lake,Target_Sampled,NATURAL
NLA06608-0083,2,YES (Both),8/9/2007,NO LAB DATA,NO,P,506977,506978,,,,,,,,,,,,,,,,,,,12.3,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0085,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0085,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0086,1,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0086,2,YES (Both),9/20/2007,YES,YES,P,517347,517348,,,31.59929279,18.35866718,13.2406256,Yes,432.0789171,277.7371837,154.3417334,Yes,148.1569636,98.77050353,49.38646004,Yes,8.491348545,8.346862496,0.14448605,No,52,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0089,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0089,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0090,1,YES (Both),6/26/2007,YES,YES,P,504967,504968,,,17.76341853,10.98631646,6.777102072,Yes,274.091854,204.6222495,69.46960454,Yes,26.27327909,34.38535766,-8.112078572,Yes,7.334740024,7.298658146,0.036081877,No,36,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0090,2,YES (Both),7/25/2007,NO LAB DATA,NO,P,509307,509308,,,,,,,,,,,,,,,,,,,35,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0091,1,YES (Both),7/10/2007,NO LAB DATA,YES,P,514978,514977,,,,,,,,,,,,,,,,,,,52.5,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0091,2,YES (Both),8/13/2007,NO LAB DATA,NO,P,509987,509988,IM,"IM: ALL THE SAMPLES IN THIS SERIES ARE LABELED AS DUPLICATE, BUT NO PRIMARY SERIES WAS RECORDED FOR VISIT 2.",,,,,,,,,,,,,,,,,43,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0099,1,YES (Both),7/3/2007,YES,YES,P,514897,514898,,,7.36942428,10.70267487,-3.333250594,Yes,550.5657684,619.133,-68.56723158,Yes,409.2836747,344.24021,65.04346466,Yes,8.48019246,8.767961836,-0.287769377,No,31.5,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0099,2,YES (Both),9/5/2007,NO LAB DATA,NO,P,515797,515798,,,,,,,,,,,,,,,,,,,36,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0101,1,YES (Both),8/21/2007,YES,YES,P,512227,512228,,,8.93638,11.19797259,-2.261592594,Yes,177.997488,229.9755949,-51.97810693,Yes,36.15418972,36.32550044,-0.171310719,No,5.790461487,6.230270017,-0.439808529,No,39,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0102,1,YES (Both),8/3/2007,YES,YES,P,513347,513348,,,4.92135,7.555926486,-2.634576486,Yes,234.0324994,228.4978947,5.534604719,Yes,51.1363209,41.23670751,9.899613393,Yes,7.065202082,7.202003998,-0.136801916,No,53,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0104,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0104,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0105,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0105,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0107,1,YES (Both),6/25/2007,YES,YES,P,514707,514708,F2,FLOCCULENT UNTIL 15 CM TO CORE BOTTOM,18.30238411,60.0782748,-41.77589069,Yes,578.6706905,837.1694566,-258.4987661,Yes,93.27778659,259.7895876,-166.511801,Yes,8.15643682,8.819110418,-0.662673598,Yes,60.7,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0110,1,YES (Both),7/31/2007,YES,YES,P,512557,512558,,,16.00087923,33.68270804,-17.68182881,Yes,556.562147,712.042,-155.479853,Yes,199.3190684,236.1664063,-36.84733787,Yes,8.419836221,8.325712159,0.094124062,No,41,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0111,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0112,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
