SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,DATE_COL,SAMPLED_PHYT,DATEPHYT,SAMPLE_CATEGORY,INDXSAMP_PHYT,SAMPLE_DEPTH,PHYT_VOLUME,PRESERVED_PHYT,SAMPLE_ID,FLAG_FLD_PHYT,COMMENT_FLD_PHYT,LAB_ID,SAMPLE_TYPE,INIT_VOL,CONC_VOL,TOT_AREA,CNT_AREA,SOURCELAB,SOURCEDATE,TAXONOMIST_CNT,COMMENT_PHYT_LAB,DATATYPE,VISIT_ID
NLA06608-0010,2,PROB_Lake,Target_Sampled,8/18/2007,YES,8/18/2007,P,NO,2,1000,Y,515413,,,5069.20.32,ALGAE,25,25,380,7.65,EA,20081217b,JS,Slide Required,PHYT,7484
NLA06608-0012,1,PROB_Lake,Target_Sampled,6/13/2007,YES,6/13/2007,P,YES,0.5,1000,Y,502613,,,5069.34.05,ALGAE,333,20,394,59.4,EA,20081217b,JKE,,PHYT,7485
NLA06608-0012,2,PROB_Lake,Target_Sampled,9/18/2007,YES,9/18/2007,P,NO,0.4,1000,Y,516813,,,5069.34.44,ALGAE,25,25,380,1.575,EA,20081217b,JS,100-120 micron filaments,PHYT,7486
NLA06608-0013,1,PROB_Lake,Target_Sampled,9/4/2007,YES,9/4/2007,P,YES,1.2,1000,Y,517183,,,5069.28.07,ALGAE,333,1,394,47.52,EA,20081217b,JKE,,PHYT,7487
NLA06608-0013,2,PROB_Lake,Target_Sampled,9/14/2007,YES,9/14/2007,P,NO,2,1000,Y,516943,,,5069.28.06,ALGAE,333,20,394,47.52,EA,20081217b,JKE,,PHYT,7488
NLA06608-0013,2,PROB_Lake,Target_Sampled,9/14/2007,YES,9/14/2007,D,NO,2,1000,Y,517663,,,5069.28.09,ALGAE,333,1,394,23.76,EA,20081217b,JKE,,PHYT,7488
NLA06608-0014,1,PROB_Lake,Target_Sampled,8/6/2007,YES,8/6/2007,P,YES,1.4,1000,Y,512403,,,5069.32.34,ALGAE,333,5,394,17.91453939,EA,20081217b,KMM,,PHYT,7489
NLA06608-0014,2,PROB_Lake,Target_Sampled,8/23/2007,YES,8/23/2007,P,NO,1.2,1000,Y,505203,,,5069.32.22,ALGAE,333,5,394,28.28611482,EA,20081217b,KMM,,PHYT,7490
NLA06608-0014,2,PROB_Lake,Target_Sampled,8/23/2007,YES,8/23/2007,D,NO,1.2,1000,Y,503243,,,5069.32.04,ALGAE,333,3,394,28.28611482,EA,20081217b,KMM,,PHYT,7490
NLA06608-0015,1,PROB_Lake,Target_Sampled,7/10/2007,YES,7/10/2007,P,YES,0.68,1000,Y,504783,,,5069.29.14,ALGAE,25,25,380,0.9,EA,20081217b,JS,No slide required. Full of micro flagellates and synechococcus. Some dinos.,PHYT,7491
NLA06608-0015,2,PROB_Lake,Target_Sampled,8/29/2007,YES,8/29/2007,P,NO,0.7,1000,Y,507683,,,5069.29.16,ALGAE,25,25,380,0.675,EA,20081217b,JS,200 micron filaments,PHYT,7492
NLA06608-0015,2,PROB_Lake,Target_Sampled,8/29/2007,YES,8/29/2007,D,NO,0.7,1000,Y,510093,,,5069.29.15,ALGAE,25,25,380,0.9,EA,20081217b,JS,"No slide required. Lots of dinos, micro flags. Low diversity.",PHYT,7492
NLA06608-0016,1,PROB_Lake,Target_Sampled,6/27/2007,YES,6/27/2007,P,YES,1.06,1000,Y,514463,,,5069.25.29,ALGAE,333,5,394,9.240130842,EA,20081217b,KMM,,PHYT,7493
NLA06608-0016,2,PROB_Lake,Target_Sampled,7/11/2007,YES,7/11/2007,P,NO,1,1000,Y,505403,,,5069.25.31,ALGAE,333,10,394,9.051556743,EA,20081217b,KMM,,PHYT,7494
NLA06608-0016,2,PROB_Lake,Target_Sampled,7/11/2007,YES,7/11/2007,D,NO,1,1000,Y,504743,,,5069.25.30,ALGAE,333,5,394,8.297260348,EA,20081217b,KMM,,PHYT,7494
NLA06608-0019,1,PROB_Lake,Target_Sampled,6/11/2007,YES,6/11/2007,P,YES,0.6,1000,Y,502673,,,5069.32.02,ALGAE,333,5,394,27.53181843,EA,20081217b,KMM,,PHYT,7496
NLA06608-0019,2,PROB_Lake,Target_Sampled,8/7/2007,YES,8/7/2007,P,NO,0.5,,Y,504733,IM,IM: Volume not recorded on field form,5069.32.19,ALGAE,333,20,394,8.485834447,EA,20081217b,KMM,,PHYT,7497
NLA06608-0019,2,PROB_Lake,Target_Sampled,8/7/2007,YES,8/7/2007,D,NO,0.5,,Y,503883,IM,IM: Volume not recorded on field form,5069.32.17,ALGAE,333,20,394,8.674408546,EA,20081217b,KMM,,PHYT,7497
NLA06608-0020,1,PROB_Lake,Target_Sampled,6/11/2007,YES,6/11/2007,P,YES,1.5,1000,Y,515213,,,5069.11.03,ALGAE,25,25,380,1.8,EA,20081217b,JS,,PHYT,7498
NLA06608-0020,2,PROB_Lake,Target_Sampled,7/2/2007,YES,7/2/2007,P,NO,2,1000,Y,503373,,,5069.11.05,ALGAE,25,25,380,0.9,EA,20081217b,JS,No slide required,PHYT,7499
NLA06608-0020,2,PROB_Lake,Target_Sampled,7/2/2007,YES,7/2/2007,D,NO,2,1000,Y,503433,,,5069.11.04,ALGAE,25,25,380,0.9,EA,20081217b,JS,No slide required,PHYT,7499
NLA06608-0021,1,PROB_Lake,Target_Sampled,7/27/2007,YES,7/27/2007,P,YES,2,1000,Y,504933,,,5069.30.10,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7500
NLA06608-0021,2,PROB_Lake,Target_Sampled,8/30/2007,YES,8/30/2007,P,NO,2,1000,Y,504663,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",5069.30.09,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7501
NLA06608-0023,1,PROB_Lake,Target_Sampled,8/9/2007,YES,8/9/2007,P,YES,1.8,1000,Y,508953,,,5069.41.47,ALGAE,25,25,380,3.375,EA,20081217b,JS,No slide required.,PHYT,7502
NLA06608-0023,2,PROB_Lake,Target_Sampled,9/19/2007,YES,9/19/2007,P,NO,2,1000,Y,516883,,,5069.41.48,ALGAE,25,25,380,6.75,EA,20081217b,JS,"Slide required. Full of coccoid greens, bgs. Much debris and detritus. Lots of small nanoflags. 5-7 microns.",PHYT,7503
NLA06608-0024,1,PROB_Lake,Target_Sampled,7/11/2007,YES,7/11/2007,P,YES,1.8,1000,Y,514773,,,5069.41.51,ALGAE,25,25,380,1.8,EA,20081217b,JS,Slide required. Julia: Sample full of circular (drawing) BG. Either it is Raphidiopsis or more likely Anabaenopsis. Please check and verify genus.,PHYT,7504
NLA06608-0024,2,PROB_Lake,Target_Sampled,8/14/2007,YES,8/14/2007,P,NO,2,1000,Y,504163,,,5069.41.42,ALGAE,25,25,380,0.315,EA,20081217b,JS,No slide required. Sample full of Anabaenopsis alenekinii. Drawing. Julie please verify.,PHYT,7505
NLA06608-0025,1,PROB_Lake,Target_Sampled,6/18/2007,YES,6/18/2007,P,YES,2,1000,Y,514333,,,5069.31.08,ALGAE,25,25,380,5.85,EA,20081217b,JS,Slide required.,PHYT,7506
NLA06608-0025,2,PROB_Lake,Target_Sampled,7/18/2007,YES,7/18/2007,P,NO,2,1000,Y,509413,,,5069.31.07,ALGAE,25,25,380,6.3,EA,20081217b,JS,"Slide required. Flagellates: small monas, like 3-5 microns some in small clusters, drawing available.",PHYT,7507
NLA06608-0025,2,PROB_Lake,Target_Sampled,7/18/2007,YES,7/18/2007,D,NO,2,1000,Y,509253,,,5069.31.06,ALGAE,25,25,380,4.95,EA,20081217b,JS,"Slide required, Oligotrophic system.",PHYT,7507
NLA06608-0029,1,PROB_Lake,Target_Sampled,7/2/2007,YES,7/2/2007,P,YES,0.5,1000,Y,505093,,,5069.07.08,ALGAE,333,20,394,11.88,EA,20081217b,JKE,,PHYT,7508
NLA06608-0029,2,PROB_Lake,Target_Sampled,9/11/2007,YES,9/11/2007,P,NO,0.4,1000,Y,505133,,,5069.07.06,ALGAE,333,20,394,11.88,EA,20081217b,JKE,,PHYT,7509
NLA06608-0029,2,PROB_Lake,Target_Sampled,9/11/2007,YES,9/11/2007,D,NO,0.4,1000,Y,505353,,,5069.07.07,ALGAE,333,20,394,11.88,EA,20081217b,JKE,,PHYT,7509
NLA06608-0031,1,PROB_Lake,Target_Sampled,6/13/2007,YES,6/13/2007,P,YES,1.9,1000,Y,515043,,,5069.33.17,ALGAE,25,25,380,1.8,EA,20081217b,JS,No slide required. Lots of debris. Mostly flagellates and dinos and pico. Lots of micro flagellates.,PHYT,7510
NLA06608-0031,2,PROB_Lake,Target_Sampled,9/5/2007,YES,9/5/2007,P,NO,1.8,,Y,509323,,,5069.33.18,ALGAE,25,25,380,1.8,EA,20081217b,JS,Slide required,PHYT,7511
NLA06608-0033,1,PROB_Lake,Target_Sampled,7/17/2007,YES,7/17/2007,P,YES,1,1000,Y,506233,,,5069.45.03,ALGAE,333,20,394,8.297260348,EA,20081217b,KMM,,PHYT,7512
NLA06608-0033,2,PROB_Lake,Target_Sampled,8/28/2007,YES,8/28/2007,P,NO,1.3,1000,Y,517703,,,5069.45.34,ALGAE,333,20,394,14.89735381,EA,20081217b,KMM,,PHYT,7513
NLA06608-0033,2,PROB_Lake,Target_Sampled,8/28/2007,YES,8/28/2007,D,NO,1.3,1000,Y,508893,,,5069.45.15,ALGAE,333,20,394,7.165815755,EA,20081217b,KMM,,PHYT,7513
NLA06608-0036,1,PROB_Lake,Target_Sampled,7/12/2007,YES,7/12/2007,P,YES,2,1000,Y,513203,,,5069.11.12,ALGAE,25,25,380,2.25,EA,20081217b,JS,,PHYT,7514
NLA06608-0036,2,PROB_Lake,Target_Sampled,7/16/2007,YES,7/16/2007,P,NO,2,1000,Y,513173,,,5069.11.11,ALGAE,25,25,380,1.8,EA,20081217b,JS,No slide required,PHYT,7515
NLA06608-0036,2,PROB_Lake,Target_Sampled,7/16/2007,YES,7/16/2007,D,NO,2,1000,Y,513153,,,5069.11.13,ALGAE,25,25,380,2.025,EA,20081217b,JS,No slide required,PHYT,7515
NLA06608-0037,1,PROB_Lake,Target_Sampled,7/13/2007,YES,7/13/2007,P,YES,2,1000,Y,508833,,,5069.06.06,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7516
NLA06608-0037,2,PROB_Lake,Target_Sampled,9/5/2007,YES,9/5/2007,P,NO,2,1000,Y,517833,F1,10 ML LUGOLS,5069.06.08,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7517
NLA06608-0037,2,PROB_Lake,Target_Sampled,9/5/2007,YES,9/5/2007,D,NO,2,1000,Y,516693,F1,10 ML LUGOLS,5069.06.07,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7517
NLA06608-0038,1,PROB_Lake,Target_Sampled,7/12/2007,YES,7/12/2007,P,YES,2,950,Y,505563,,,5069.43.03,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7518
NLA06608-0038,2,PROB_Lake,Target_Sampled,8/27/2007,YES,8/27/2007,P,NO,2,1000,Y,509083,,,5069.43.04,ALGAE,333,2,394,23.76,EA,20081217b,JKE,,PHYT,7519
NLA06608-0038,2,PROB_Lake,Target_Sampled,8/27/2007,YES,8/27/2007,D,NO,2,1000,Y,509793,,,5069.43.06,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7519
NLA06608-0041,1,PROB_Lake,Target_Sampled,6/12/2007,YES,6/12/2007,P,YES,2,1000,Y,502583,,,5069.46.04,ALGAE,333,2,394,71.28,EA,20081217b,JKE,,PHYT,7520
NLA06608-0041,2,PROB_Lake,Target_Sampled,7/11/2007,YES,7/11/2007,P,NO,2,1000,Y,505903,,,5069.46.05,ALGAE,333,2,394,71.28,EA,20081217b,JKE,,PHYT,7521
NLA06608-0041,2,PROB_Lake,Target_Sampled,7/11/2007,YES,7/11/2007,D,NO,2,1000,Y,502493,,,5069.46.03,ALGAE,333,2,394,71.28,EA,20081217b,JKE,,PHYT,7521
NLA06608-0042,1,PROB_Lake,Target_Sampled,6/22/2007,YES,6/22/2007,P,YES,2,1000,Y,505923,,,5069.48.08,ALGAE,333,20,387.1,5.995,EA,20081217b,MH,,PHYT,7522
NLA06608-0042,1,PROB_Lake,Target_Sampled,6/22/2007,YES,6/22/2007,D,NO,2,1000,Y,502133,,,5069.48.06,ALGAE,333,20,387.1,4.122,EA,20081217b,MH,,PHYT,7522
NLA06608-0042,2,PROB_Lake,Target_Sampled,7/6/2007,YES,7/6/2007,P,NO,2,1000,Y,511663,,,5069.48.09,ALGAE,333,20,387.1,11.99,EA,20081217b,MH,,PHYT,7523
NLA06608-0043,1,PROB_Lake,Target_Sampled,7/31/2007,YES,7/31/2007,P,YES,2,1000,Y,512703,,,5069.12.19,ALGAE,333,5,394,20.36600267,EA,20081217b,KMM,,PHYT,7524
NLA06608-0043,2,PROB_Lake,Target_Sampled,8/15/2007,YES,8/15/2007,P,NO,2,1000,Y,513103,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",5069.12.20,ALGAE,333,5,394,16.4059466,EA,20081217b,KMM,,PHYT,7525
NLA06608-0044,1,PROB_Lake,Target_Sampled,7/18/2007,YES,7/18/2007,P,YES,0.2,1000,Y,503703,,,5069.25.15,ALGAE,333,20,394,3.960056075,EA,20081217b,KMM,,PHYT,7526
NLA06608-0044,2,PROB_Lake,Target_Sampled,7/30/2007,YES,7/30/2007,P,NO,0.2,1000,Y,513703,,,5069.25.16,ALGAE,333,20,394,4.902926569,EA,20081217b,KMM,,PHYT,7527
NLA06608-0044,2,PROB_Lake,Target_Sampled,7/30/2007,YES,7/30/2007,D,NO,0.2,1000,Y,504343,,,5069.25.11,ALGAE,333,40,394,7.731538051,EA,20081217b,KMM,,PHYT,7527
NLA06608-0045,1,PROB_Lake,Target_Sampled,6/26/2007,YES,6/26/2007,P,YES,1.5,1000,Y,505703,,,5069.44.16,ALGAE,25,25,380,7.2,EA,20081217b,JS,"Slide required, 1 hour 45 min. Many large colonies of microcystis 500-1000 cells. C many phyto species embedded in matrix. Very difficult to count c accuracy. Clumped!",PHYT,7528
NLA06608-0045,2,PROB_Lake,Target_Sampled,8/2/2007,YES,8/2/2007,P,NO,1.9,1000,Y,502073,,,5069.44.15,ALGAE,25,25,380,4.05,EA,20081217b,JS,Slide required. Many microcystis colonies clumed c enmessed phyto and detritus. Difficult to count.,PHYT,7529
NLA06608-0045,2,PROB_Lake,Target_Sampled,8/2/2007,YES,8/2/2007,D,NO,1.9,1000,Y,514113,,,5069.44.17,ALGAE,25,25,380,3.6,EA,20081217b,JS,"Slide required. Cosmarium issue, please check drawing. Sample clumped many rotifers zoopl.",PHYT,7529
NLA06608-0048,1,PROB_Lake,Target_Sampled,8/2/2007,YES,8/2/2007,P,YES,0.56,1000,Y,513003,,,5069.23.16,ALGAE,25,25,380,2.025,EA,20081217b,JS,"No slide required. Note: sample loaded with silt/clay particles. Very hard to count, especially flagellates and small coccoids. Look like Lyngbya filament and some Alpanizomenon as well, but very hard to see.",PHYT,7530
NLA06608-0048,2,PROB_Lake,Target_Sampled,9/18/2007,YES,9/18/2007,P,NO,0.97,1000,Y,510543,,,5069.23.14,ALGAE,25,25,380,1.575,EA,20081217b,JS,No slide required. Note: sample full of clay and silt particles. Very difficult to count.,PHYT,7531
NLA06608-0048,2,PROB_Lake,Target_Sampled,9/18/2007,YES,9/18/2007,D,NO,0.97,1000,Y,514763,,,5069.23.15,ALGAE,25,25,380,1.8,EA,20081217b,JS,Lots! 75-120 micron filaments.,PHYT,7531
NLA06608-0049,1,PROB_Lake,Target_Sampled,8/15/2007,YES,8/15/2007,P,YES,2,1000,Y,509743,,,5069.35.16,ALGAE,25,25,380,3.15,EA,20081217b,JS,,PHYT,7532
NLA06608-0050,1,PROB_Lake,Target_Sampled,7/2/2007,YES,7/2/2007,P,YES,2,1000,,508673,,,5069.27.07,ALGAE,25,25,380,2.25,EA,20081217b,JS,"Slide required, lots of diatoms",PHYT,7533
NLA06608-0050,2,PROB_Lake,Target_Sampled,8/30/2007,YES,8/30/2007,P,NO,2,1000,,511063,,,5069.27.11,ALGAE,25,25,380,0.675,EA,20081217b,JS,200-300 micron filaments,PHYT,7534
NLA06608-0050,2,PROB_Lake,Target_Sampled,8/30/2007,YES,8/30/2007,D,NO,2,1000,,509633,,,5069.27.10,ALGAE,25,25,380,0.45,EA,20081217b,JS,120 micron filaments.,PHYT,7534
NLA06608-0053,1,PROB_Lake,Target_Sampled,8/23/2007,YES,8/23/2007,P,YES,1.7,1000,Y,506803,,,5069.30.03,ALGAE,333,2,394,23.76,EA,20081217b,JKE,,PHYT,7535
NLA06608-0053,2,PROB_Lake,Target_Sampled,9/27/2007,YES,9/27/2007,P,NO,2,1000,Y,517543,IM,"ALL SAMPLES FOR THIS SITE, VISIT 2, ARE LISTED AS SAMPLE TYPE D",5069.30.04,ALGAE,333,2,394,23.76,EA,20081217b,JKE,,PHYT,7536
NLA06608-0057,1,PROB_Lake,Target_Sampled,6/16/2007,YES,6/16/2007,P,YES,1,1000,Y,514813,,,5069.31.22,ALGAE,25,25,380,0.45,EA,20081217b,JS,"Slide required. So many cells, very difficult to count @ 400x.",PHYT,7538
NLA06608-0057,2,PROB_Lake,Target_Sampled,7/14/2007,YES,7/14/2007,P,NO,0.6,1000,Y,506873,,,5069.31.20,ALGAE,25,25,380,0.225,EA,20081217b,JS,No slide required. Sample RICH! Full of small cocoid BG-synechocystis.synechococcus. Also loaded c chlorophytes..,PHYT,7539
NLA06608-0057,2,PROB_Lake,Target_Sampled,7/14/2007,YES,7/14/2007,D,NO,0.6,1000,Y,507293,,,5069.31.21,ALGAE,25,25,380,0.225,EA,20081217b,JS,Drawing,PHYT,7539
NLA06608-0061,1,PROB_Lake,Target_Sampled,6/12/2007,YES,6/12/2007,P,YES,2,1000,Y,502433,,,5069.02.01,ALGAE,333,5,394,14.33163151,EA,20081217b,KMM,,PHYT,7541
NLA06608-0061,1,PROB_Lake,Target_Sampled,6/12/2007,YES,6/12/2007,D,NO,2,1000,Y,502713,,,5069.02.08,ALGAE,333,5,394,19.98885447,EA,20081217b,KMM,,PHYT,7541
NLA06608-0061,2,PROB_Lake,Target_Sampled,8/22/2007,YES,8/22/2007,P,NO,2,1000,Y,509573,,,5069.02.19,ALGAE,333,5,394,6.788667557,EA,20081217b,KMM,,PHYT,7542
NLA06608-0062,1,PROB_Lake,Target_Sampled,8/9/2007,YES,8/9/2007,P,YES,2,1000,Y,512323,,,5069.32.33,ALGAE,333,5,394,7.542963953,EA,20081217b,KMM,,PHYT,7543
NLA06608-0062,2,PROB_Lake,Target_Sampled,8/27/2007,YES,8/27/2007,P,NO,2,1000,Y,517473,,,5069.32.49,ALGAE,333,10,394,13.95448331,EA,20081217b,KMM,,PHYT,7544
NLA06608-0062,2,PROB_Lake,Target_Sampled,8/27/2007,YES,8/27/2007,D,NO,2,1000,Y,517393,,,5069.32.47,ALGAE,333,10,394,16.2173725,EA,20081217b,KMM,,PHYT,7544
NLA06608-0064,1,PROB_Lake,Target_Sampled,6/18/2007,YES,6/18/2007,P,YES,0.9,1000,Y,514483,,,5069.24.40,ALGAE,333,10,394,22.81746596,EA,20081217b,KMM,,PHYT,7545
NLA06608-0064,2,PROB_Lake,Target_Sampled,8/26/2007,YES,8/26/2007,P,NO,0.5,1000,Y,513793,,,5069.24.32,ALGAE,333,20,394,11.50302003,EA,20081217b,KMM,,PHYT,7546
NLA06608-0064,2,PROB_Lake,Target_Sampled,8/26/2007,YES,8/26/2007,D,NO,0.5,1000,Y,513783,,,5069.24.31,ALGAE,333,20,394,14.89735381,EA,20081217b,KMM,,PHYT,7546
NLA06608-0065,1,PROB_Lake,Target_Sampled,7/17/2007,YES,7/17/2007,P,YES,2,1000,Y,507563,,,5069.24.09,ALGAE,333,2,394,16.2173725,EA,20081217b,KMM,,PHYT,7547
NLA06608-0065,1,PROB_Lake,Target_Sampled,7/17/2007,YES,7/17/2007,D,NO,2,1000,Y,507403,,,5069.24.08,ALGAE,333,2,394,14.14305741,EA,20081217b,KMM,,PHYT,7547
NLA06608-0065,2,PROB_Lake,Target_Sampled,9/12/2007,YES,9/12/2007,P,NO,2,1000,Y,509473,,,5069.24.19,ALGAE,333,5,394,11.12587183,EA,20081217b,KMM,,PHYT,7548
NLA06608-0065,2,PROB_Lake,Target_Sampled,9/12/2007,YES,9/12/2007,D,NO,2,1000,Y,504303,,,5069.24.05,ALGAE,333,5,394,14.89735381,EA,20081217b,KMM,,PHYT,7548
NLA06608-0066,1,PROB_Lake,Target_Sampled,6/12/2007,YES,6/12/2007,P,YES,2,1000,Y,502633,,,5069.36.04,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7549
NLA06608-0066,2,PROB_Lake,Target_Sampled,9/18/2007,YES,9/18/2007,P,NO,2,995,Y,517863,,,5069.36.19,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7550
NLA06608-0066,2,PROB_Lake,Target_Sampled,9/18/2007,YES,9/18/2007,D,NO,2,995,Y,517653,,,5069.36.18,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7550
NLA06608-0068,1,PROB_Lake,Target_Sampled,7/9/2007,YES,7/9/2007,P,YES,2,980,Y,508563,,,5069.05.23,ALGAE,333,2.1,254.4690049,52.44,EA,20081217b,EEW,,PHYT,7552
NLA06608-0068,2,PROB_Lake,Target_Sampled,9/12/2007,YES,9/12/2007,P,NO,2,980,Y,513093,,,5069.05.34,ALGAE,333,1.6,254.4690049,64.27,EA,20081217b,EEW,,PHYT,7553
NLA06608-0068,2,PROB_Lake,Target_Sampled,9/12/2007,YES,9/12/2007,D,NO,2,980,Y,513113,,,5069.05.35,ALGAE,333,1.7,254.4690049,62.37,EA,20081217b,EEW,,PHYT,7553
NLA06608-0069,1,PROB_Lake,Target_Sampled,7/18/2007,YES,7/18/2007,P,YES,1.2,1000,Y,507323,,,5069.08.12,ALGAE,333,20,394,35.64,EA,20081217b,JKE,,PHYT,7554
NLA06608-0069,2,PROB_Lake,Target_Sampled,9/26/2007,YES,9/26/2007,P,NO,1,1000,Y,512393,,,5069.08.20,ALGAE,333,20,394,142.56,EA,20081217b,JKE,,PHYT,7555
