SITE_ID,YEAR,VISIT_NO,SITE_TYPE,LAKE_SAMP,SAMPLED,DATE_COL,SAMPLE_CATEGORY,DATECHEM,SAMPLED_CHEM,INDXSAMP_CHEM,PH_FIELD,PH_FIELD_DEPTH,SAMPLE_DEPTH,SAMPLE_ID_CHEM,LAB_ID_CHEM,PH_LAB,PHLAB_FLAG,COND,COND_FLAG,COND_RL_ALERT,ANC,ANC_FLAG,TURB,TURB_FLAG,TURB_RL_ALERT,TOC,TOC_FLAG,TOC_RL_ALERT,DOC,DOC_FLAG,DOC_RL_ALERT,NH4N_PPM,NH4,NH4_FLAG,NH4_RL_ALERT,NO3_NO2,NO3NO2_FLAG,NO3NO2_RL_ALERT,NTL_PPM,NTL,NTL_FLAG,NTL_RL_ALERT,PTL,PTL_FLAG,PTL_RL_ALERT,CL_PPM,CL,CL_FLAG,CL_RL_ALERT,NO3N_PPM,NO3,NO3_FLAG,NO3_RL_ALERT,SO4_PPM,SO4,SO4_FLAG,SO4_RL_ALERT,CA_PPM,CA,CA_FLAG,CA_RL_ALERT,MG_PPM,MG,MG_FLAG,MG_RL_ALERT,NA_PPM,NA,NA_FLAG,NA_RL_ALERT,K_PPM,K,K_FLAG,K_RL_ALERT,COLOR,COLOR_FLAG,COLOR_RL_ALERT,SIO2,SIO2_FLAG,SIO2_RL_ALERT,H,OH,NH4ION,CATSUM,ANSUM2,ANDEF2,SOBC,BALANCE2,ORGION,CONCAL2,CONDHO2,DAY_SHIP,DAYSHIP_ALERT,DATE_RECEIVED,DATE_FILTERED,DATEFILT_ALERT,PHLAB_HT,PHLAB_HT_ALERT,COND_HT,COND_HT_ALERT,ANC_HT,ANC_HT_ALERT,TURB_HT,TURB_HT_ALERT,TOC_HT,TOC_HT_ALERT,DOC_HT,DOC_HT_ALERT,NH4_HT,NH4_HT_ALERT,NO3NO2_HT,NO3NO2_HT_ALERT,NTL_HT,NTL_HT_ALERT,PTL_HT,PTL_HT_ALERT,CL_HT,CL_HT_ALERT,NO3_HT,NO3_HT_ALERT,SO4_HT,SO4_HT_ALERT,CA_HT,CA_HT_ALERT,MG_HT,MG_HT_ALERT,NA_HT,NA_HT_ALERT,K_HT,K_HT_ALERT,COLOR_HT,COLOR_HT_ALERT,SIO2_HT,SIO2_HT_ALERT,COM_FIELD_PH,COMMENT_FLD_CHEM,COMMENT_LAB_CHEM,COMMENT_IM_CHEM,INDXSAMP_CHLA,DATECHLA,SAMPLED_CHLA,CHLA,SAMPLE_ID_CHLA,LAB_ID_CHLA,CHLA_RL_ALERT,FLAG_FLD_CHLA,COMMENT_FLD_CHLA,FLAG_LAB_CHLA,COMMENT_LAB_CHLA,CHLA_HT_ALERT,CHLA_HT,DATESECCHI,SAMPLED_SECCHI,SECMEAN,CLEAR_TO_BOTTOM,COMMENT_SECCHI,VISIT_ID,FLAG_SECCHI
NLA06608-0005,2007,2,,,Yes,8/22/2007,D,8/22/2007,,,8.3,1,2,517311,0710963,7.7,,56.1,,N,451.07,,0.591,,Y,1.39,,N,1.31,,N,0.002,0.142786,,Y,0,,Y,0.048,48,,N,2,,Y,0.218,6.148908,,N,0,0,,Y,2.864,59.62848,,N,9.04,451.096,,N,0.3,24.6864,,N,1.082,47.06441402,,N,0.225,5.754735,,N,0,,Y,6.462,,N,0.005,1.995,0.129805154,528.74,516.85,11.88,528.6,1.14,13.06,56.54,53.17,1,,8/23/2007,8/23/2007,,2,N,1,N,2,N,1,N,71,Y,15,Y,9,N,7,N,21,N,21,N,164,Y,164,Y,164,Y,180,N,180,N,180,N,180,N,1,N,7,N,,,,,NO,8/22/2007,YES,0.45,517312,0710963,N,,,,,N,21,,,,,,7476,
NLA06608-0005,2007,2,PROB_Lake,Target_Sampled,Yes,8/22/2007,P,8/22/2007,YES,NO,8.3,1,2,511071,0710962,7.7,,54.96,,N,454.64,,0.609,<RL (2),Y,1.5,,N,1.39,,N,0.005,0.35,<RL (0.02),Y,0.005,<RL (0.02),Y,0.068,68,,N,3,<RL (4),Y,0.254,7.164324,,N,0.005,0.5,<RL (0.02),Y,2.927,60.94014,,N,9.161,457.1339,,N,0.307,25.262416,,N,1.113,48.41283993,,N,0.239,6.1128074,,N,0,<RL (5),Y,6.518,,N,0.02,0.501,0.069643588,537.01,522.76,14.25,536.92,1.34,13.8,57.14,53.69,1,N,8/23/2007,8/23/2007,N,2,N,1,N,2,N,1,N,71,Y,15,Y,9,N,7,N,21,N,21,N,164,Y,164,Y,164,Y,180,N,180,N,180,N,180,N,1,N,7,N,,,,,NO,8/22/2007,YES,0.403,511072,0710962,N,,,,,N,21,8/22/2007,"YES, CLEAR TO BOTTOM",,Y,,7476,
NLA06608-0006,2007,1,PROB_Lake,Target_Sampled,Yes,7/17/2007,P,7/17/2007,YES,YES,8.15,1,2,508841,0710388,7.06,,74.74,,N,291.48,,0.901,<RL (2),Y,3.49,,N,3.16,,N,0.016,1.142288,<RL (0.02),Y,0.005,<RL (0.02),Y,0.184,184,,N,7,,N,7.318,206.411508,,N,0.005,0.5,<RL (0.02),Y,6.894,143.53308,,N,5.063,252.6437,,N,2.561,210.739568,,N,4.155,180.7325696,,N,1.19,30.436154,,N,2,<RL (5),Y,2.482,,N,0.087,0.115,1.135752261,675.77,641.51,34.26,674.55,2.6,30.97,77.82,71.06,2,N,7/19/2007,7/19/2007,N,2,N,3,N,2,N,2,N,16,Y,13,N,17,N,2,N,37,Y,37,Y,112,Y,112,Y,112,Y,289,Y,289,Y,289,Y,289,Y,3,N,2,N,,,,,YES,7/17/2007,YES,4.08,508842,0710388,N,,,,,N,24,7/17/2007,YES,3.21,,10.6 FT FOR BOTH,7477,
NLA06608-0006,2007,2,,,Yes,8/30/2007,D,8/30/2007,,,7.82,1,2,513971,0711090,7.49,,77.04,,N,307.15,,1.15,,Y,3.1,,N,2.97,,N,0.006,0.428358,,Y,0,,Y,0.229,229,,N,6,,N,7.453,210.219318,,N,0,0,,Y,6.773,141.01386,,N,5.389,268.9111,,N,1.861,153.137968,,N,4.391,190.9980055,,N,1.274,32.5845884,,N,12,,N,2.013,,N,0.015,0.661,0.414628026,646.06,658.4,-12.34,645.63,-0.95,29.52,77.2,70.51,1,,8/31/2007,8/31/2007,,1,N,1,N,1,N,1,N,78,Y,46,Y,27,N,7,N,15,N,15,N,165,Y,165,Y,165,Y,208,Y,208,Y,208,Y,208,Y,1,N,7,N,,,,,NO,8/30/2007,YES,2.752,513972,0711090,N,,,,,N,15,,,,,,7478,
NLA06608-0006,2007,2,PROB_Lake,Target_Sampled,Yes,8/30/2007,P,8/30/2007,YES,NO,7.82,1,2,510041,0711089,7.47,,77.14,,N,307.39,,1.24,<RL (2),Y,3.17,,N,2.95,,N,0.005,0.35,<RL (0.02),Y,0.005,<RL (0.02),Y,0.223,223,,N,4,<RL (4),N,7.464,210.529584,,N,0.005,0.5,<RL (0.02),Y,6.778,141.11796,,N,5.425,270.7075,,N,1.872,154.043136,,N,4.406,191.6504697,,N,1.322,33.8122652,,N,11,,N,2.03,,N,0.034,0.295,0.633171469,650.88,659.07,-8.19,650.21,-0.63,29.18,77.48,70.79,1,N,8/31/2007,8/31/2007,N,1,N,1,N,1,N,1,N,78,Y,46,Y,27,N,7,N,15,N,15,N,165,Y,165,Y,165,Y,208,Y,208,Y,208,Y,208,Y,1,N,7,N,,,,,NO,8/30/2007,YES,3.224,510042,0711089,N,,,,,N,15,8/30/2007,YES,4.1,,,7478,
NLA06608-0007,2007,1,PROB_Lake,Target_Sampled,Yes,7/24/2007,P,7/24/2007,YES,YES,5.76,,2,505211,0710517,6.07,,26.65,,N,96.04,,1.05,<RL (2),Y,6.99,,N,6.68,,N,0.013,0.928109,<RL (0.02),Y,0.005,<RL (0.02),Y,0.493,493,,N,8,,N,1.45,40.8987,,N,0.005,0.5,<RL (0.02),Y,3.786,78.82452,,N,1.537,76.6963,,N,0.704,57.930752,,N,0.606,26.35955166,,N,1.489,38.0835574,,N,10,,N,0.091,<RL (0.1),Y,0.851,0.012,0.927562797,200.85,217.26,-16.41,199.07,-3.92,61.71,25.9,22.58,2,N,7/26/2007,7/26/2007,N,2,N,3,N,2,N,3,N,18,Y,14,N,14,N,6,N,44,Y,44,Y,316,Y,129,Y,316,Y,289,Y,289,Y,289,Y,289,Y,3,N,6,N,,,,,YES,7/24/2007,YES,2.432,505212,0710517,N,,,,,N,24,7/24/2007,YES,3.15,,,7479,
NLA06608-0007,2007,2,PROB_Lake,Target_Sampled,Yes,9/6/2007,P,9/6/2007,YES,NO,6.8,1,2,515801,0711185,6.84,,25.5,,N,100.2,,1.02,<RL (2),Y,6.47,,N,6.52,,N,0.011,0.785323,<RL (0.02),Y,0.005,<RL (0.02),Y,0.523,523,,N,7,,N,0.871,24.567426,,N,0.005,0.5,<RL (0.02),Y,2.53,52.6746,,N,1.502,74.9498,,N,0.705,58.01304,,N,0.602,26.18556122,,N,1.49,38.109134,,N,12,,N,0.138,,N,0.145,0.069,0.782609336,198.18,177.66,20.53,197.26,5.46,63.41,22.32,20.07,2,N,9/8/2007,9/8/2007,N,2,N,2,N,2,N,2,N,131,Y,120,Y,21,N,4,N,11,N,11,N,169,Y,169,Y,169,Y,266,Y,266,Y,266,Y,266,Y,2,N,4,N,,,,,NO,9/6/2007,YES,4.088,515802,0711185,N,,,,,N,13,9/6/2007,YES,3.35,,,7480,
NLA06608-0008,2007,1,PROB_Lake,Target_Sampled,Yes,7/12/2007,P,7/12/2007,YES,YES,8.7,1,2,513441,0710288,8.48,,238.1,,N,1933.62,,8.62,,N,8.66,,N,7.6,,N,0.024,1.713432,,N,0.005,<RL (0.02),Y,0.801,801,,N,66,,N,10.129,285.698574,,N,0.005,0.5,<RL (0.02),Y,9.985,207.8877,,N,25.33,1263.967,,N,8.795,723.72296,,N,5.839,253.9825448,,N,3.218,82.3054988,,N,10,,N,3.789,,N,0.003,3.02,1.488180959,2325.47,2427.21,-101.74,2323.98,-2.14,75.85,257.35,240.32,1,N,7/13/2007,7/13/2007,N,2,N,2,N,2,N,1,N,12,N,7,N,21,N,6,N,36,Y,36,Y,106,Y,104,Y,104,Y,292,Y,292,Y,292,Y,292,Y,32,Y,6,N,,,,,YES,7/12/2007,YES,30.24,513442,0710288,N,,,,,Y,29,7/12/2007,YES,0.79,,,7481,
NLA06608-0008,2007,2,PROB_Lake,Target_Sampled,Yes,8/22/2007,P,8/22/2007,YES,NO,9.4,1,2,513931,0710971,8.9,,197.8,,N,1571.2,,17.6,,N,9.13,,N,7.13,,N,0.014,0.999502,<RL (0.02),Y,0.005,<RL (0.02),Y,1.525,1525,,N,79,,N,10.084,284.429304,,N,0.005,0.5,<RL (0.02),Y,6.656,138.57792,,N,17.19,857.781,,N,7.999,658.221712,,N,6.214,270.2941485,,N,3.536,90.4388576,,N,10,,N,5.898,,N,0.001,7.943,0.71489137,1877.45,1994.21,-116.76,1876.74,-3.02,71.23,210.06,198.11,1,N,8/23/2007,8/23/2007,N,2,N,1,N,2,N,1,N,78,Y,15,Y,9,N,7,N,21,N,21,N,167,Y,167,Y,167,Y,181,Y,181,Y,181,Y,181,Y,1,N,7,N,,,,,NO,8/22/2007,YES,148.2,513932,0710971,N,,,,ca. 10 mL extra water in tube,N,21,8/22/2007,YES,0.41,,,7482,
NLA06608-0010,2007,1,PROB_Lake,Target_Sampled,Yes,7/17/2007,P,7/17/2007,YES,YES,8.4,1,2,503791,0710358,8.74,,650.1,,N,2089.55,,3.05,,N,4.96,,N,4.94,,N,0.017,1.213681,<RL (0.02),Y,0.005,<RL (0.02),Y,0.473,473,,N,10,,N,128.635,3628.27881,,N,0.005,0.5,<RL (0.02),Y,20.652,429.97464,,N,25.57,1275.943,,N,19.98,1644.11424,,N,63.93,2780.802207,,N,1.47,37.597602,,N,4,<RL (5),Y,3.131,,N,0.002,5.495,0.951585825,5739.41,6147.81,-408.39,5738.46,-3.44,49.34,710.21,655.22,1,N,7/18/2007,7/18/2007,N,1,N,1,N,1,N,1,N,15,Y,3,N,17,N,2,N,35,Y,35,Y,112,Y,108,Y,108,Y,289,Y,289,Y,289,Y,289,Y,3,N,2,N,,,,,YES,7/17/2007,YES,4.384,503792,0710358,N,,,,,N,24,7/17/2007,YES,4.48,,,7483,
NLA06608-0010,2007,2,,,Yes,8/18/2007,D,8/18/2007,,,8.5,1,2,515411,0710913,8.59,,645.7,,N,1933.35,,2.13,,N,4.74,,N,4.54,,N,0.008,0.571144,,Y,0,,Y,0.549,549,,N,10,,N,129.445,3651.12567,,N,0,0,,Y,19.285,401.5137,,N,26.3,1312.37,,N,21.17,1742.03696,,N,61.18,2661.18378,,N,1.483,37.9300978,,N,4,,Y,3.611,,N,0.003,3.162,0.493005848,5754.02,5985.99,-231.98,5753.52,-1.98,45.31,703.73,650.9,3,,8/21/2007,8/21/2007,,3,N,3,N,3,N,3,N,74,Y,12,N,12,N,5,N,24,N,24,N,171,Y,167,Y,167,Y,181,Y,181,Y,284,Y,181,Y,3,N,5,N,,,,,NO,8/18/2007,YES,3.32,515312,0710912,N,IM,CONFIRMED SAMP ID W/WRS STAFF-ADDED TO DB MG 12/19/07.,,,N,20,,,,,,7484,
NLA06608-0010,2007,2,PROB_Lake,Target_Sampled,Yes,8/18/2007,P,8/18/2007,YES,NO,8.5,1,2,515311,0710912,8.59,,648.6,,N,1926.74,,1.42,<RL (2),Y,4.69,,N,4.55,,N,0.005,0.35,<RL (0.02),Y,0.005,<RL (0.02),Y,0.485,485,,N,10,,N,128.807,3633.130242,,N,0.005,0.5,<RL (0.02),Y,19.264,401.07648,,N,25.49,1271.951,,N,21.23,1746.97424,,N,60.76,2642.914784,,N,1.609,41.1527494,,N,5,<RL (5),N,3.606,,N,0.003,3.89,0.238974499,5703.23,5960.95,-257.71,5702.99,-2.21,45.42,699.3,646.8,3,Y,8/21/2007,8/21/2007,N,3,N,3,N,3,N,3,N,74,Y,12,N,12,N,5,N,24,N,24,N,171,Y,167,Y,167,Y,181,Y,181,Y,284,Y,181,Y,3,N,5,N,,,,,NO,8/18/2007,YES,3.328,515412,0710913,N,,,,,N,20,8/18/2007,YES,2.6,,,7484,
NLA06608-0012,2007,1,PROB_Lake,Target_Sampled,Yes,6/13/2007,P,6/13/2007,YES,YES,7.47,0.1,0.5,502611,0710041,7.64,,219.5,,N,1769.64,,50.3,,N,8.71,,N,8.01,,N,0.078,5.568654,,N,0.279,,N,1.026,1026,,N,159,,N,8.369,236.056014,,N,0.29,20.70397,,N,8.378,174.42996,,N,19.09,952.591,,N,8.66,712.61408,,N,7.725,336.0190373,,N,4.394,112.3835804,,N,40,,N,10.202,,N,0.023,0.437,5.449430416,2119.08,2200.85,-81.77,2113.61,-1.89,79.44,232.18,217.63,2,N,6/15/2007,6/15/2007,N,9,Y,8,Y,9,Y,5,Y,15,Y,14,N,14,N,7,N,58,Y,58,Y,5,N,5,N,5,N,308,Y,308,Y,308,Y,308,Y,5,Y,7,N,,,,,YES,6/13/2007,YES,4.9,502612,0710041,N,,,,,Y,30,6/13/2007,YES,0.31,,,7485,
