SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,TNT,LAT_DD,LON_DD,ST,EPA_REG,AREA_CAT7,NESLAKE,STRATUM,PANEL,DSGN_CAT,MDCATY,WGT,WGT_NLA,ADJWGT_CAT,URBAN,WSA_ECO3,WSA_ECO9,ECO_LEV_3,NUT_REG,NUTREG_NAME,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,REF_CLUSTER,RT_NLA,HUC_2,HUC_8,FLAG_INFO,COMMENT_INFO,SAMPLED,SAMPLED_PHAB,AREA_HA,CLASSP,EcoP6,RDis_IX,RVeg_OE,LitCvr_OE,LitRipCvr_OE,RDIS_COND,RVEG_COND,LITCVR_COND,LITRIPCVR_COND,UID
NLA06608-0006,2,PROB_Lake,Target_Sampled,Target,41.6831462,-73.1465177,CT,Region_1,"(50,100]",,NLALake,Panel_1,"NAP_CT_(50,100]",0.05700922,17.3721618,19.5774988,CT,YES,EHIGH,NAP,59,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,B,REF,1,1100005,,,YES,YES,56.19974819,R,NAP,0.3167,0.9971,0.6586,0.8496,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,NLA06608-0006+2007+2
NLA06608-0007,1,PROB_Lake,Target_Sampled,Target,45.5806455,-92.040018,WI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_WI_(20,50]",0.00595348,166.3520122,159.855637,WI,NO,PLNLOW,UMW,51,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,REF,7,7050007,,,YES,YES,25.4747633,R,UMW,0.3868,0.8303,0.7873,0.7764,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,NLA06608-0007+2007+1
NLA06608-0007,2,PROB_Lake,Target_Sampled,Target,45.5806455,-92.040018,WI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_WI_(20,50]",0.00595348,166.3520122,159.855637,WI,NO,PLNLOW,UMW,51,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,REF,7,7050007,,,YES,YES,25.4747633,R,UMW,0.4561,1.0538,0.4153,0.7621,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,NLA06608-0007+2007+2
NLA06608-0008,1,PROB_Lake,Target_Sampled,Target,41.292111,-93.5904049,IA,Region_7,"(20,50]",NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.3965736,IA,NO,PLNLOW,TPL,47,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,7,7100008,,,YES,YES,48.7370362,S,CENPL,0.4674,1.3574,0.5358,0.9783,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,NLA06608-0008+2007+1
NLA06608-0008,2,PROB_Lake,Target_Sampled,Target,41.292111,-93.5904049,IA,Region_7,"(20,50]",NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.3965736,IA,NO,PLNLOW,TPL,47,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,7,7100008,,,YES,YES,48.7370362,S,CENPL,0.4778,1.866,0.4753,1.2475,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,NLA06608-0008+2007+2
NLA06608-0010,1,PROB_Lake,Target_Sampled,Target,42.6182301,-83.5058877,MI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_MI_(20,50]",0.00580105,170.7230091,81.5811743,MI_LP,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4090005,,,YES,YES,30.03733238,S,UMW,0.7865,0.521,0.3966,0.4499,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,NLA06608-0010+2007+1
NLA06608-0010,2,PROB_Lake,Target_Sampled,Target,42.6182301,-83.5058877,MI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_MI_(20,50]",0.00580105,170.7230091,81.5811743,MI_LP,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4090005,,,YES,YES,30.03733238,S,UMW,0.7571,0.3229,0.3266,0.3098,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,NLA06608-0010+2007+2
NLA06608-0012,1,PROB_Lake,Target_Sampled,Target,35.9907882,-96.8717873,OK,Region_6,"(50,100]",,NLALake,Panel_1,"SPL_OK_(50,100]",0.07881169,12.56632614,3.4512251,OK,NO,PLNLOW,SPL,27,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,TRASH,11,11050003,,,YES,YES,177.6575126,T,CENPL,0.397,1.8027,1.3231,1.527,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0012+2007+1
NLA06608-0012,2,PROB_Lake,Target_Sampled,Target,35.9907882,-96.8717873,OK,Region_6,"(50,100]",,NLALake,Panel_1,"SPL_OK_(50,100]",0.07881169,12.56632614,3.4512251,OK,NO,PLNLOW,SPL,27,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,TRASH,11,11050003,,,YES,YES,177.6575126,T,CENPL,0.4216,0.7837,0.6102,0.6769,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,NLA06608-0012+2007+2
NLA06608-0013,1,PROB_Lake,Target_Sampled,Target,39.9742803,-74.5625512,NJ,Region_2,"(20,50]",,NLALake,Panel_1,"CPL_NJ_(20,50]",0.01630549,60.73864422,147.9090567,NJ,YES,PLNLOW,CPL,84,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040202,,,YES,YES,37.14025576,S,CPL,0.725,0.7948,0.5342,0.639,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,NLA06608-0013+2007+1
NLA06608-0013,2,PROB_Lake,Target_Sampled,Target,39.9742803,-74.5625512,NJ,Region_2,"(20,50]",,NLALake,Panel_1,"CPL_NJ_(20,50]",0.01630549,60.73864422,147.9090567,NJ,YES,PLNLOW,CPL,84,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040202,,,YES,YES,37.14025576,S,CPL,0.7218,0.6397,1.1353,0.86,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0013+2007+2
NLA06608-0014,1,PROB_Lake,Target_Sampled,Target,47.8349274,-100.5756807,ND,Region_8,"(10,20]",,NLALake,Panel_1,"TPL_ND_(10,20]",0.00274667,360.5718727,324.9301387,ND,NO,PLNLOW,TPL,46,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,E,TRASH,9,9010003,,,YES,YES,12.80952857,T,CENPL,0.1,0.1856,0.1887,0.1768,1:LEAST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,NLA06608-0014+2007+1
NLA06608-0014,2,PROB_Lake,Target_Sampled,Target,47.8349274,-100.5756807,ND,Region_8,"(10,20]",,NLALake,Panel_1,"TPL_ND_(10,20]",0.00274667,360.5718727,324.9301387,ND,NO,PLNLOW,TPL,46,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,E,TRASH,9,9010003,,,YES,YES,12.80952857,T,CENPL,0.3571,0.243,0.1834,0.2077,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,NLA06608-0014+2007+2
NLA06608-0015,1,PROB_Lake,Target_Sampled,Target,33.0071076,-107.2747938,NM,Region_6,>100,,NLALake,Panel_1,XER_NM_>100,0.18618767,5.31922114,6.9209566,NM,YES,WMTNS,XER,24,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,13,13030101,,,YES,YES,173.9929805,S,WEST,0.2436,0.8708,0.3356,0.6866,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,NLA06608-0015+2007+1
NLA06608-0015,2,PROB_Lake,Target_Sampled,Target,33.0071076,-107.2747938,NM,Region_6,>100,,NLALake,Panel_1,XER_NM_>100,0.18618767,5.31922114,6.9209566,NM,YES,WMTNS,XER,24,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,13,13030101,,,YES,YES,173.9929805,S,WEST,0.1667,,0.1651,,1:LEAST DISTURBED,9:NO DATA,3:MOST DISTURBED,9:NO DATA,NLA06608-0015+2007+2
NLA06608-0016,1,PROB_Lake,Target_Sampled,Target,41.0302522,-100.7797567,NE,Region_7,>100,,NLALake,Panel_1,SPL_NE_>100,0.06081946,16.2838239,4.1608113,NE,YES,PLNLOW,SPL,44,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,PLNLOW MAN-MADE,E,SO-SO,10,10190018,,,YES,YES,641.0233086,S,CENPL,0.7718,0.3871,0.2972,0.3328,3:MOST DISTURBED,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,NLA06608-0016+2007+1
NLA06608-0016,2,PROB_Lake,Target_Sampled,Target,41.0302522,-100.7797567,NE,Region_7,>100,,NLALake,Panel_1,SPL_NE_>100,0.06081946,16.2838239,4.1608113,NE,YES,PLNLOW,SPL,44,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,PLNLOW MAN-MADE,E,SO-SO,10,10190018,,,YES,YES,641.0233086,S,CENPL,0.8649,0.4084,0.5702,0.4466,3:MOST DISTURBED,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,NLA06608-0016+2007+2
NLA06608-0019,1,PROB_Lake,Target_Sampled,Target,46.3668879,-99.5118588,ND,Region_8,>100,,NLALake,Panel_1,NPL_ND_>100,0.04063311,24.37355445,21.9642824,ND,NO,PLNLOW,NPL,42,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,E,TRASH,10,10130104,,,YES,YES,103.3135279,T,CENPL,0.866,0.6645,0.6095,0.6082,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,NLA06608-0019+2007+1
NLA06608-0019,2,PROB_Lake,Target_Sampled,Target,46.3668879,-99.5118588,ND,Region_8,>100,,NLALake,Panel_1,NPL_ND_>100,0.04063311,24.37355445,21.9642824,ND,NO,PLNLOW,NPL,42,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,E,TRASH,10,10130104,,,YES,YES,103.3135279,T,CENPL,0.9182,0.066,0.3173,0.1561,3:MOST DISTURBED,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,NLA06608-0019+2007+2
NLA06608-0020,1,PROB_Lake,Target_Sampled,Target,39.4081784,-87.8138083,IL,Region_5,>100,,NLALake,Panel_1,TPL_IL_>100,0.02926005,33.8472937,20.3353418,IL,NO,PLNLOW,TPL,54,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5120111,,,YES,YES,296.2001459,R,CENPL,0.2311,1.11,0.8262,0.9445,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0020+2007+1
NLA06608-0020,2,PROB_Lake,Target_Sampled,Target,39.4081784,-87.8138083,IL,Region_5,>100,,NLALake,Panel_1,TPL_IL_>100,0.02926005,33.8472937,20.3353418,IL,NO,PLNLOW,TPL,54,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5120111,,,YES,YES,296.2001459,R,CENPL,0.2094,1.5503,1.4282,1.4213,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0020+2007+2
NLA06608-0021,1,PROB_Lake,Target_Sampled,Target,42.7719197,-77.3095481,NY,Region_2,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,8.4183112,NY,YES,EHIGH,NAP,83,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,B,SO-SO,4,4140201,,,YES,YES,4226.925272,S,NAP,0.6782,0.4328,0.0505,0.2883,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,NLA06608-0021+2007+1
NLA06608-0021,2,PROB_Lake,Target_Sampled,Target,42.7719197,-77.3095481,NY,Region_2,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,8.4183112,NY,YES,EHIGH,NAP,83,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,B,SO-SO,4,4140201,,,YES,YES,4226.925272,S,NAP,0.6927,0.4585,0.0152,0.2922,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,NLA06608-0021+2007+2
NLA06608-0023,1,PROB_Lake,Target_Sampled,Target,31.1484917,-97.745332,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,SPL,29,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,REF,12,12070202,,,YES,YES,6.20722172,R,CENPL,0.4,1.7665,3.3772,2.2712,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0023+2007+1
NLA06608-0023,2,PROB_Lake,Target_Sampled,Target,31.1484917,-97.745332,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,SPL,29,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,REF,12,12070202,,,YES,YES,6.20722172,R,CENPL,0.5278,0.5112,4.9008,2.1186,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0023+2007+2
NLA06608-0024,1,PROB_Lake,Target_Sampled,Target,32.1220497,-95.4884341,TX,Region_6,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,2.1860872,TX,YES,PLNLOW,CPL,35,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,12,12020001,,,YES,NOT DONE,9530.145112,,CPL,,,,,4:NOT ASSESSED,4:NOT ASSESSED,4:NOT ASSESSED,4:NOT ASSESSED,NLA06608-0024+2007+1
NLA06608-0024,2,PROB_Lake,Target_Sampled,Target,32.1220497,-95.4884341,TX,Region_6,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,2.1860872,TX,YES,PLNLOW,CPL,35,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,12,12020001,,,YES,NOT DONE,9530.145112,,CPL,,,,,4:NOT ASSESSED,4:NOT ASSESSED,4:NOT ASSESSED,4:NOT ASSESSED,NLA06608-0024+2007+2
NLA06608-0025,1,PROB_Lake,Target_Sampled,Target,35.2013214,-81.3457308,NC,Region_4,"(10,20]",,NLALake,Panel_1,"SAP_NC_(10,20]",0.01583417,62.54658929,47.4194014,NC,YES,EHIGH,SAP,45,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,A,REF,3,3050105,,,YES,YES,11.48123514,R,SAP,0.2429,1.4657,1.2159,1.2491,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0025+2007+1
NLA06608-0025,2,PROB_Lake,Target_Sampled,Target,35.2013214,-81.3457308,NC,Region_4,"(10,20]",,NLALake,Panel_1,"SAP_NC_(10,20]",0.01583417,62.54658929,47.4194014,NC,YES,EHIGH,SAP,45,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,A,REF,3,3050105,,,YES,YES,11.48123514,R,SAP,0.1333,1.1099,1.3631,1.1291,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0025+2007+2
NLA06608-0029,1,PROB_Lake,Target_Sampled,Target,38.7560105,-75.2150379,DE,Region_3,"(50,100]",,NLALake,Panel_1,"CPL_DE_(50,100]",0.21500749,4.60622732,4.3574998,DE,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040207,,,YES,YES,73.10037419,S,CPL,0.825,0.3948,0.6552,0.5085,3:MOST DISTURBED,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,NLA06608-0029+2007+1
NLA06608-0029,2,PROB_Lake,Target_Sampled,Target,38.7560105,-75.2150379,DE,Region_3,"(50,100]",,NLALake,Panel_1,"CPL_DE_(50,100]",0.21500749,4.60622732,4.3574998,DE,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040207,,,YES,YES,73.10037419,S,CPL,0.8401,0.6067,0.4507,0.5088,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,3:MOST DISTURBED,NLA06608-0029+2007+2
NLA06608-0031,1,PROB_Lake,Target_Sampled,Target,39.7764536,-81.5174519,OH,Region_5,"(20,50]",,NLALake,Panel_1,"SAP_OH_(20,50]",0.02943198,33.64956123,28.8221929,OH,YES,EHIGH,SAP,70,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,5,5030201,,,YES,YES,24.24953577,S,SAP,0.3278,1.732,0.7005,1.171,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0031+2007+1
NLA06608-0031,2,PROB_Lake,Target_Sampled,Target,39.7764536,-81.5174519,OH,Region_5,"(20,50]",,NLALake,Panel_1,"SAP_OH_(20,50]",0.02943198,33.64956123,28.8221929,OH,YES,EHIGH,SAP,70,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,5,5030201,,,YES,NOT DONE,24.24953577,,SAP,,,,,9:NO DATA,9:NO DATA,9:NO DATA,9:NO DATA,NLA06608-0031+2007+2
NLA06608-0033,1,PROB_Lake,Target_Sampled,Target,47.3110836,-121.2990598,WA,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_WA_(10,20]",0.00907729,109.104571,32.5493729,WA,NO,WMTNS,WMT,77,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,TRASH,17,17030001,,,YES,YES,15.16448355,T,WEST,0.0238,0.3212,1.1067,0.5095,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,NLA06608-0033+2007+1
NLA06608-0033,2,PROB_Lake,Target_Sampled,Target,47.3110836,-121.2990598,WA,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_WA_(10,20]",0.00907729,109.104571,32.5493729,WA,NO,WMTNS,WMT,77,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,TRASH,17,17030001,,,YES,YES,15.16448355,T,WEST,0,0.2883,1.2967,0.5305,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,NLA06608-0033+2007+2
NLA06608-0036,1,PROB_Lake,Target_Sampled,Target,37.477354,-88.3273792,IL,Region_5,"(10,20]",,NLALake,Panel_1,"TPL_IL_(10,20]",0.00785768,126.0388979,75.7237518,IL,NO,PLNLOW,TPL,72,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5140203,,,YES,YES,12.02760537,R,CENPL,0.0455,0.8406,0.7951,0.7784,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0036+2007+1
NLA06608-0036,2,PROB_Lake,Target_Sampled,Target,37.477354,-88.3273792,IL,Region_5,"(10,20]",,NLALake,Panel_1,"TPL_IL_(10,20]",0.00785768,126.0388979,75.7237518,IL,NO,PLNLOW,TPL,72,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5140203,,,YES,YES,12.02760537,R,CENPL,0.0455,0.6065,1.1343,0.7704,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0036+2007+2
