SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,TNT,LAT_DD,LON_DD,ST,EPA_REG,AREA_CAT7,NESLAKE,STRATUM,PANEL,DSGN_CAT,MDCATY,WGT,WGT_NLA,ADJWGT_CAT,URBAN,WSA_ECO3,WSA_ECO9,ECO_LEV_3,NUT_REG,NUTREG_NAME,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,REF_CLUSTER,RT_NLA,HUC_2,HUC_8,FLAG_INFO,COMMENT_INFO,SAMPLED,SAMPLED_CORE,INDXSAMP_CORE,INDXSAMP_LDC,SAMPLE_ID,SAMPLE_TYPE,PRIMESEDT,SAMPLE_CATEGORY,LDC_ADJ,LDC_COND
NLA06608-0006,2,PROB_Lake,Target_Sampled,Target,41.6831462,-73.1465177,CT,Region_1,"(50,100]",,NLALake,Panel_1,"NAP_CT_(50,100]",0.05700922,17.3721618,19.5774988,CT,YES,EHIGH,NAP,59,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,B,REF,1,1100005,,,YES,YES (Both),NO,NO,510047,SEDT,,P,-12.1539,2:INTERMEDIATE DISTURBANCE
NLA06608-0007,1,PROB_Lake,Target_Sampled,Target,45.5806455,-92.040018,WI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_WI_(20,50]",0.00595348,166.3520122,159.855637,WI,NO,PLNLOW,UMW,51,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,REF,7,7050007,,,YES,YES (Both),YES,YES,505217,SEDT,1,P,12.1648,1:LEAST DISTURBED
NLA06608-0007,2,PROB_Lake,Target_Sampled,Target,45.5806455,-92.040018,WI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_WI_(20,50]",0.00595348,166.3520122,159.855637,WI,NO,PLNLOW,UMW,51,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,REF,7,7050007,,,YES,YES (Both),NO,NO,515807,SEDT,,P,12.7905,1:LEAST DISTURBED
NLA06608-0008,1,PROB_Lake,Target_Sampled,Target,41.292111,-93.5904049,IA,Region_7,"(20,50]",NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.3965736,IA,NO,PLNLOW,TPL,47,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,7,7100008,,,YES,YES (Top only),YES,YES,513447,SEDT,1,P,-11.1489,2:INTERMEDIATE DISTURBANCE
NLA06608-0008,2,PROB_Lake,Target_Sampled,Target,41.292111,-93.5904049,IA,Region_7,"(20,50]",NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.3965736,IA,NO,PLNLOW,TPL,47,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,7,7100008,,,YES,YES (Top only),NO,NO,513937,SEDT,,P,-6.0555,1:LEAST DISTURBED
NLA06608-0010,1,PROB_Lake,Target_Sampled,Target,42.6182301,-83.5058877,MI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_MI_(20,50]",0.00580105,170.7230091,81.5811743,MI_LP,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4090005,,,YES,YES (Both),YES,YES,503797,SEDT,1,P,-14.6287,2:INTERMEDIATE DISTURBANCE
NLA06608-0010,2,PROB_Lake,Target_Sampled,Target,42.6182301,-83.5058877,MI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_MI_(20,50]",0.00580105,170.7230091,81.5811743,MI_LP,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4090005,,,YES,YES (Both),NO,NO,515417,SEDT,,P,-21.843,3:MOST DISTURBED
NLA06608-0012,1,PROB_Lake,Target_Sampled,Target,35.9907882,-96.8717873,OK,Region_6,"(50,100]",,NLALake,Panel_1,"SPL_OK_(50,100]",0.07881169,12.56632614,3.4512251,OK,NO,PLNLOW,SPL,27,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,TRASH,11,11050003,,,YES,YES (Top only),YES,YES,502617,SEDT,1,P,2.6042,1:LEAST DISTURBED
NLA06608-0012,2,PROB_Lake,Target_Sampled,Target,35.9907882,-96.8717873,OK,Region_6,"(50,100]",,NLALake,Panel_1,"SPL_OK_(50,100]",0.07881169,12.56632614,3.4512251,OK,NO,PLNLOW,SPL,27,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,TRASH,11,11050003,,,YES,YES (Top only),NO,NO,516817,SEDT,,P,-19.7523,3:MOST DISTURBED
NLA06608-0013,1,PROB_Lake,Target_Sampled,Target,39.9742803,-74.5625512,NJ,Region_2,"(20,50]",,NLALake,Panel_1,"CPL_NJ_(20,50]",0.01630549,60.73864422,147.9090567,NJ,YES,PLNLOW,CPL,84,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040202,,,YES,YES (Top only),YES,YES,517188,SEDT,1,P,3.2348,1:LEAST DISTURBED
NLA06608-0013,2,PROB_Lake,Target_Sampled,Target,39.9742803,-74.5625512,NJ,Region_2,"(20,50]",,NLALake,Panel_1,"CPL_NJ_(20,50]",0.01630549,60.73864422,147.9090567,NJ,YES,PLNLOW,CPL,84,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040202,,,YES,NO,NO,NO,,,,,,4:NOT ASSESSED
NLA06608-0014,1,PROB_Lake,Target_Sampled,Target,47.8349274,-100.5756807,ND,Region_8,"(10,20]",,NLALake,Panel_1,"TPL_ND_(10,20]",0.00274667,360.5718727,324.9301387,ND,NO,PLNLOW,TPL,46,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,E,TRASH,9,9010003,,,YES,YES (Both),YES,YES,512407,SEDT,1,P,-24.7965,3:MOST DISTURBED
NLA06608-0014,2,PROB_Lake,Target_Sampled,Target,47.8349274,-100.5756807,ND,Region_8,"(10,20]",,NLALake,Panel_1,"TPL_ND_(10,20]",0.00274667,360.5718727,324.9301387,ND,NO,PLNLOW,TPL,46,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,E,TRASH,9,9010003,,,YES,YES (Both),NO,NO,503247,SEDT,,P,-25.8704,3:MOST DISTURBED
NLA06608-0015,1,PROB_Lake,Target_Sampled,Target,33.0071076,-107.2747938,NM,Region_6,>100,,NLALake,Panel_1,XER_NM_>100,0.18618767,5.31922114,6.9209566,NM,YES,WMTNS,XER,24,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,13,13030101,,,YES,YES (Top only),YES,YES,504787,SEDT,1,P,-8.5244,2:INTERMEDIATE DISTURBANCE
NLA06608-0015,2,PROB_Lake,Target_Sampled,Target,33.0071076,-107.2747938,NM,Region_6,>100,,NLALake,Panel_1,XER_NM_>100,0.18618767,5.31922114,6.9209566,NM,YES,WMTNS,XER,24,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,13,13030101,,,YES,YES (Top only),NO,NO,507688,SEDT,,P,2.7791,1:LEAST DISTURBED
NLA06608-0016,1,PROB_Lake,Target_Sampled,Target,41.0302522,-100.7797567,NE,Region_7,>100,,NLALake,Panel_1,SPL_NE_>100,0.06081946,16.2838239,4.1608113,NE,YES,PLNLOW,SPL,44,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,PLNLOW MAN-MADE,E,SO-SO,10,10190018,,,YES,YES (Top only),YES,YES,514467,SEDT,1,P,-6.5942,2:INTERMEDIATE DISTURBANCE
NLA06608-0016,2,PROB_Lake,Target_Sampled,Target,41.0302522,-100.7797567,NE,Region_7,>100,,NLALake,Panel_1,SPL_NE_>100,0.06081946,16.2838239,4.1608113,NE,YES,PLNLOW,SPL,44,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,PLNLOW MAN-MADE,E,SO-SO,10,10190018,,,YES,YES (Top only),NO,NO,505407,SEDT,,P,-15.405,2:INTERMEDIATE DISTURBANCE
NLA06608-0019,1,PROB_Lake,Target_Sampled,Target,46.3668879,-99.5118588,ND,Region_8,>100,,NLALake,Panel_1,NPL_ND_>100,0.04063311,24.37355445,21.9642824,ND,NO,PLNLOW,NPL,42,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,E,TRASH,10,10130104,,,YES,YES (Both),YES,YES,502678,SEDT,1,P,-35.8798,3:MOST DISTURBED
NLA06608-0019,2,PROB_Lake,Target_Sampled,Target,46.3668879,-99.5118588,ND,Region_8,>100,,NLALake,Panel_1,NPL_ND_>100,0.04063311,24.37355445,21.9642824,ND,NO,PLNLOW,NPL,42,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,E,TRASH,10,10130104,,,YES,YES (Both),NO,NO,504738,SEDT,,P,-36.6807,3:MOST DISTURBED
NLA06608-0020,1,PROB_Lake,Target_Sampled,Target,39.4081784,-87.8138083,IL,Region_5,>100,,NLALake,Panel_1,TPL_IL_>100,0.02926005,33.8472937,20.3353418,IL,NO,PLNLOW,TPL,54,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5120111,,,YES,YES (Top only),YES,YES,517807,SEDT,1,P,-7.7903,2:INTERMEDIATE DISTURBANCE
NLA06608-0020,2,PROB_Lake,Target_Sampled,Target,39.4081784,-87.8138083,IL,Region_5,>100,,NLALake,Panel_1,TPL_IL_>100,0.02926005,33.8472937,20.3353418,IL,NO,PLNLOW,TPL,54,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5120111,,,YES,YES (Top only),NO,NO,,,,,,9:NO DATA
NLA06608-0021,1,PROB_Lake,Target_Sampled,Target,42.7719197,-77.3095481,NY,Region_2,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,8.4183112,NY,YES,EHIGH,NAP,83,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,B,SO-SO,4,4140201,,,YES,NO,NO,NO,,,,,,4:NOT ASSESSED
NLA06608-0021,2,PROB_Lake,Target_Sampled,Target,42.7719197,-77.3095481,NY,Region_2,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,8.4183112,NY,YES,EHIGH,NAP,83,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,B,SO-SO,4,4140201,,,YES,YES (Both),YES,YES,504667,SEDT,2,P,-22.6298,3:MOST DISTURBED
NLA06608-0023,1,PROB_Lake,Target_Sampled,Target,31.1484917,-97.745332,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,SPL,29,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,REF,12,12070202,,,YES,YES (Top only),YES,YES,508957,SEDT,1,P,-1.9796,1:LEAST DISTURBED
NLA06608-0023,2,PROB_Lake,Target_Sampled,Target,31.1484917,-97.745332,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,SPL,29,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,REF,12,12070202,,,YES,YES (Top only),NO,NO,516887,SEDT,,P,-1.888,1:LEAST DISTURBED
NLA06608-0024,1,PROB_Lake,Target_Sampled,Target,32.1220497,-95.4884341,TX,Region_6,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,2.1860872,TX,YES,PLNLOW,CPL,35,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,12,12020001,,,YES,YES (Top only),YES,YES,514777,SEDT,1,P,-20.5515,3:MOST DISTURBED
NLA06608-0024,2,PROB_Lake,Target_Sampled,Target,32.1220497,-95.4884341,TX,Region_6,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,2.1860872,TX,YES,PLNLOW,CPL,35,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,12,12020001,,,YES,YES (Top only),NO,NO,504167,SEDT,,P,-5.341,1:LEAST DISTURBED
NLA06608-0025,1,PROB_Lake,Target_Sampled,Target,35.2013214,-81.3457308,NC,Region_4,"(10,20]",,NLALake,Panel_1,"SAP_NC_(10,20]",0.01583417,62.54658929,47.4194014,NC,YES,EHIGH,SAP,45,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,A,REF,3,3050105,,,YES,YES (Top only),YES,YES,514337,SEDT,1,P,6.9758,1:LEAST DISTURBED
NLA06608-0025,2,PROB_Lake,Target_Sampled,Target,35.2013214,-81.3457308,NC,Region_4,"(10,20]",,NLALake,Panel_1,"SAP_NC_(10,20]",0.01583417,62.54658929,47.4194014,NC,YES,EHIGH,SAP,45,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,A,REF,3,3050105,,,YES,YES (Top only),NO,NO,509417,SEDT,,P,-3.9128,1:LEAST DISTURBED
NLA06608-0029,1,PROB_Lake,Target_Sampled,Target,38.7560105,-75.2150379,DE,Region_3,"(50,100]",,NLALake,Panel_1,"CPL_DE_(50,100]",0.21500749,4.60622732,4.3574998,DE,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040207,,,YES,YES (Both),YES,YES,505097,SEDT,1,P,2.5195,1:LEAST DISTURBED
NLA06608-0029,2,PROB_Lake,Target_Sampled,Target,38.7560105,-75.2150379,DE,Region_3,"(50,100]",,NLALake,Panel_1,"CPL_DE_(50,100]",0.21500749,4.60622732,4.3574998,DE,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040207,,,YES,YES (Both),NO,NO,505358,SEDT,,P,10.1299,1:LEAST DISTURBED
NLA06608-0031,1,PROB_Lake,Target_Sampled,Target,39.7764536,-81.5174519,OH,Region_5,"(20,50]",,NLALake,Panel_1,"SAP_OH_(20,50]",0.02943198,33.64956123,28.8221929,OH,YES,EHIGH,SAP,70,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,5,5030201,,,YES,YES (Top only),YES,YES,515047,SEDT,1,P,-19.9535,3:MOST DISTURBED
NLA06608-0031,2,PROB_Lake,Target_Sampled,Target,39.7764536,-81.5174519,OH,Region_5,"(20,50]",,NLALake,Panel_1,"SAP_OH_(20,50]",0.02943198,33.64956123,28.8221929,OH,YES,EHIGH,SAP,70,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,5,5030201,,,YES,YES (Top only),NO,NO,509328,SEDT,,P,-25.7019,3:MOST DISTURBED
NLA06608-0033,1,PROB_Lake,Target_Sampled,Target,47.3110836,-121.2990598,WA,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_WA_(10,20]",0.00907729,109.104571,32.5493729,WA,NO,WMTNS,WMT,77,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,TRASH,17,17030001,,,YES,YES (Both),YES,YES,506238,SEDT,1,P,-6.9717,2:INTERMEDIATE DISTURBANCE
NLA06608-0033,2,PROB_Lake,Target_Sampled,Target,47.3110836,-121.2990598,WA,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_WA_(10,20]",0.00907729,109.104571,32.5493729,WA,NO,WMTNS,WMT,77,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,TRASH,17,17030001,,,YES,YES (Both),NO,NO,517707,SEDT,,P,-9.3799,2:INTERMEDIATE DISTURBANCE
NLA06608-0036,1,PROB_Lake,Target_Sampled,Target,37.477354,-88.3273792,IL,Region_5,"(10,20]",,NLALake,Panel_1,"TPL_IL_(10,20]",0.00785768,126.0388979,75.7237518,IL,NO,PLNLOW,TPL,72,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5140203,,,YES,NO,YES,YES,,,,,,4:NOT ASSESSED
NLA06608-0036,2,PROB_Lake,Target_Sampled,Target,37.477354,-88.3273792,IL,Region_5,"(10,20]",,NLALake,Panel_1,"TPL_IL_(10,20]",0.00785768,126.0388979,75.7237518,IL,NO,PLNLOW,TPL,72,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5140203,,,YES,NO,NO,NO,,,,,,4:NOT ASSESSED
NLA06608-0037,1,PROB_Lake,Target_Sampled,Target,41.6969929,-73.3639855,CT,Region_1,>100,,NLALake,Panel_1,NAP_CT_>100,0.05177385,19.12883297,21.5571734,CT,YES,EHIGH,NAP,58,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,B,TRASH,1,1100005,,,YES,YES (Both),YES,YES,508837,SEDT,1,P,-32.0357,3:MOST DISTURBED
NLA06608-0037,2,PROB_Lake,Target_Sampled,Target,41.6969929,-73.3639855,CT,Region_1,>100,,NLALake,Panel_1,NAP_CT_>100,0.05177385,19.12883297,21.5571734,CT,YES,EHIGH,NAP,58,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,B,TRASH,1,1100005,,,YES,YES (Both),NO,NO,517837,SEDT,,P,-28.1371,3:MOST DISTURBED
NLA06608-0038,1,PROB_Lake,Target_Sampled,Target,44.7975912,-71.8697174,VT,Region_1,>100,,NLALake,Panel_1,NAP_VT_>100,0.08404545,11.78378385,35.0455954,VT,NO,EHIGH,NAP,58,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,B,TRASH,1,1110000,,,YES,YES (Both),YES,YES,505567,SEDT,1,P,13.3824,1:LEAST DISTURBED
NLA06608-0038,2,PROB_Lake,Target_Sampled,Target,44.7975912,-71.8697174,VT,Region_1,>100,,NLALake,Panel_1,NAP_VT_>100,0.08404545,11.78378385,35.0455954,VT,NO,EHIGH,NAP,58,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,B,TRASH,1,1110000,,,YES,YES (Both),NO,NO,509087,SEDT,,P,1.9384,1:LEAST DISTURBED
NLA06608-0041,1,PROB_Lake,Target_Sampled,Target,38.2269409,-80.8540552,WV,Region_3,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,23.8995004,WV,YES,EHIGH,SAP,69,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,A,SO-SO,5,5050005,,,YES,YES (Top only),YES,YES,502587,SEDT,1,P,4.1742,1:LEAST DISTURBED
NLA06608-0041,2,PROB_Lake,Target_Sampled,Target,38.2269409,-80.8540552,WV,Region_3,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,23.8995004,WV,YES,EHIGH,SAP,69,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,A,SO-SO,5,5050005,,,YES,YES (Top only),NO,NO,502498,SEDT,,P,8.4778,1:LEAST DISTURBED
NLA06608-0042,1,PROB_Lake,Target_Sampled,Target,44.4582352,-107.0403753,WY,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_WY_(50,100]",0.03996158,24.7831363,9.8325081,WY,NO,WMTNS,WMT,17,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,F,SO-SO,10,10090206,,,YES,YES (Top only),YES,YES,505927,SEDT,1,P,-12.7093,2:INTERMEDIATE DISTURBANCE
NLA06608-0042,2,PROB_Lake,Target_Sampled,Target,44.4582352,-107.0403753,WY,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_WY_(50,100]",0.03996158,24.7831363,9.8325081,WY,NO,WMTNS,WMT,17,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,F,SO-SO,10,10090206,,,YES,YES (Top only),NO,NO,511667,SEDT,,P,-7.9324,2:INTERMEDIATE DISTURBANCE
NLA06608-0043,1,PROB_Lake,Target_Sampled,Target,41.553395,-85.4442417,IN,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_IN_(20,50]",0.02861342,34.61219685,10.8311005,IN,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4050001,,,YES,YES (Both),YES,YES,512707,SEDT,1,P,-7.6661,2:INTERMEDIATE DISTURBANCE
NLA06608-0043,2,PROB_Lake,Target_Sampled,Target,41.553395,-85.4442417,IN,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_IN_(20,50]",0.02861342,34.61219685,10.8311005,IN,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4050001,,,YES,YES (Both),NO,NO,513107,SEDT,,P,-15.6238,2:INTERMEDIATE DISTURBANCE
NLA06608-0044,1,PROB_Lake,Target_Sampled,Target,42.4048448,-101.7024805,NE,Region_7,>100,,NLALake,Panel_1,SPL_NE_>100,0.06081946,16.2838239,4.1608113,NE,NO,PLNLOW,SPL,44,IV,Great Plains Grass and Shrublands,IVnat,NATURAL,PLNLOW NATURAL,E,TRASH,10,10150004,,,YES,YES (Both),YES,YES,503707,SEDT,1,P,-24.0995,3:MOST DISTURBED
NLA06608-0044,2,PROB_Lake,Target_Sampled,Target,42.4048448,-101.7024805,NE,Region_7,>100,,NLALake,Panel_1,SPL_NE_>100,0.06081946,16.2838239,4.1608113,NE,NO,PLNLOW,SPL,44,IV,Great Plains Grass and Shrublands,IVnat,NATURAL,PLNLOW NATURAL,E,TRASH,10,10150004,,,YES,YES (Both),NO,NO,513707,SEDT,,P,-15.3435,2:INTERMEDIATE DISTURBANCE
NLA06608-0045,1,PROB_Lake,Target_Sampled,Target,37.2932049,-77.8898611,VA,Region_3,"(20,50]",,NLALake,Panel_1,"SAP_VA_(20,50]",0.02718666,36.42865445,18.6834939,VA,NO,EHIGH,SAP,45,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,2,2080207,,,YES,YES (Top only),YES,YES,505707,SEDT,1,P,-3.0656,1:LEAST DISTURBED
