SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,DISTANCE_BUFR,BUFFERAREA_KM2,BUFFERAREA_HA,MISSDATA_KM2_BUFR,NLCD11_KM2_BUFR,NLCD12_KM2_BUFR,NLCD21_KM2_BUFR,NLCD22_KM2_BUFR,NLCD23_KM2_BUFR,NLCD24_KM2_BUFR,NLCD31_KM2_BUFR,NLCD32_KM2_BUFR,NLCD41_KM2_BUFR,NLCD42_KM2_BUFR,NLCD43_KM2_BUFR,NLCD51_KM2_BUFR,NLCD52_KM2_BUFR,NLCD71_KM2_BUFR,NLCD72_KM2_BUFR,NLCD73_KM2_BUFR,NLCD74_KM2_BUFR,NLCD81_KM2_BUFR,NLCD82_KM2_BUFR,NLCD90_KM2_BUFR,NLCD91_KM2_BUFR,NLCD92_KM2_BUFR,NLCD93_KM2_BUFR,NLCD94_KM2_BUFR,NLCD95_KM2_BUFR,NLCD96_KM2_BUFR,NLCD97_KM2_BUFR,NLCD98_KM2_BUFR,NLCD99_KM2_BUFR,LANDUSE_KM2_BUFR,PCT_OPENH20_BUFR,PCT_ICESNOW_BUFR,PCT_WATER_BUFR,PCT_DEVOPEN_BUFR,PCT_DEVLOW_BUFR,PCT_DEVMED_BUFR,PCT_DEVHIGH_BUFR,PCT_DEVELOPED_BUFR,PCT_BARREN_BUFR,PCT_DECID_BUFR,PCT_CONIF_BUFR,PCT_MIXED_BUFR,PCT_FOREST_BUFR,PCT_SHRUBLAND_BUFR,PCT_GRASS_BUFR,PCT_PASTURE_BUFR,PCT_CROPS_BUFR,PCT_AGRIC_BUFR,PCT_WDYWET_BUFR,PCT_EMHERBWET_BUFR,PCT_WETLAND_BUFR,FLAG_LU_BUFFER,COMMENT_LU_BUFFER
NLA06608-0061,1,PROB_Lake,Target_Sampled,0.001798644,9.427,942.7,0,7.97,0,0.013,0,0,0,0.005,0,0,0,0,0,1.431,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,9.427,84.5,0,84.5,0.1,0,0,0,0.1,0.1,0,0,0,0,15.2,0,0.1,0,0.1,0,0,0,,
NLA06608-0062,1,PROB_Lake,Target_Sampled,0.001798644,1.123,112.3,0,0.965,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0.026,0.072,0,0,0,0,0,0.007,0,0,0,0,1.123,85.9,0,85.9,0,0,0,0,0,0,0,0,0,0,0,4.7,2.3,6.4,8.7,0,0.6,0.6,,
NLA06608-0064,1,PROB_Lake,Target_Sampled,0.001798644,0.701,70.1,0,0.197,0,0.005,0,0,0,0,0,0,0,0,0,0,0.251,0,0,0,0,0.248,0,0,0,0,0,0,0,0,0,0,0.701,28.1,0,28.1,0.7,0,0,0,0.7,0,0,0,0,0,0,35.8,0,35.4,35.4,0,0,0,,
NLA06608-0065,1,PROB_Lake,Target_Sampled,0.001798644,2.134,213.4,0,0.842,0,0,0,0,0,0,0,0,0.737,0,0,0.487,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.134,39.5,0,39.5,0,0,0,0,0,0,0,34.5,0,34.5,22.8,3.2,0,0,0,0,0,0,,
NLA06608-0066,1,PROB_Lake,Target_Sampled,0.001798644,21.311,2131.1,0,11.84,0,0.915,0.135,0.046,0,0,0,8.127,0.064,0.092,0,0,0,0,0,0,0.051,0.036,0,0,0,0,0,0.005,0,0,0,0,21.311,55.6,0,55.6,4.3,0.6,0.2,0,5.1,0,38.1,0.3,0.4,38.8,0,0,0.2,0.2,0.4,0,0,0,,
NLA06608-0068,1,PROB_Lake,Target_Sampled,0.001798644,1.155,115.5,0,0.517,0,0.009,0,0,0,0,0,0.28,0.135,0.021,0,0,0.107,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,1.155,44.8,0,44.8,0.8,0,0,0,0.8,0,24.2,11.7,1.8,37.7,0,9.3,0,0,0,7.4,0,7.4,,
NLA06608-0069,1,PROB_Lake,Target_Sampled,0.001798644,0.799,79.9,0,0.219,0,0.031,0.005,0,0,0,0,0,0.267,0,0,0.005,0,0,0,0,0.019,0,0.177,0,0,0,0,0.076,0,0,0,0,0.799,27.4,0,27.4,3.9,0.6,0,0,4.5,0,0,33.4,0,33.4,0.6,0,2.4,0,2.4,22.2,9.5,31.7,,
NLA06608-0071,1,PROB_Lake,Target_Sampled,0.001798644,10.093,1009.3,0,4.004,0,0.751,0.041,0.014,0,0.007,0,0.09,0.026,0.634,0,0.008,0,0,0,0,0,2.983,1.385,0,0,0,0,0.15,0,0,0,0,10.093,39.7,0,39.7,7.4,0.4,0.1,0,7.9,0.1,0.9,0.3,6.3,7.5,0.1,0,0,29.6,29.6,13.7,1.5,15.2,,
NLA06608-0072,1,PROB_Lake,Target_Sampled,0.001798644,0.442,44.2,0,0.091,0,0.004,0,0,0,0,0,0.018,0.043,0,0,0.113,0.145,0,0,0,0.025,0.003,0,0,0,0,0,0,0,0,0,0,0.442,20.6,0,20.6,0.9,0,0,0,0.9,0,4.1,9.7,0,13.8,25.6,32.8,5.7,0.7,6.4,0,0,0,,
NLA06608-0073,1,PROB_Lake,Target_Sampled,0.001798644,2.483,248.3,0,1.479,0,0.107,0.058,0,0,0.007,0,0,0,0,0,0.767,0,0,0,0,0.011,0,0.049,0,0,0,0,0.005,0,0,0,0,2.483,59.6,0,59.6,4.3,2.3,0,0,6.6,0.3,0,0,0,0,30.9,0,0.4,0,0.4,2,0.2,2.2,,
NLA06608-0076,1,PROB_Lake,Target_Sampled,0.001798644,57.225,5722.5,0,28.983,0,2.051,0.705,0.175,0.015,0.274,0,8.908,0,0,0,0.339,0.77,0,0,0,10.972,1.528,1.827,0,0,0,0,0.678,0,0,0,0,57.225,50.6,0,50.6,3.6,1.2,0.3,0,5.1,0.5,15.6,0,0,15.6,0.6,1.3,19.2,2.7,21.9,3.2,1.2,4.4,,
NLA06608-0077,1,PROB_Lake,Target_Sampled,0.001798644,1.576,157.6,0,0.717,0,0.044,0.03,0.028,0,0.101,0,0.376,0,0.009,0,0.016,0,0,0,0,0,0,0.255,0,0,0,0,0,0,0,0,0,1.576,45.5,0,45.5,2.8,1.9,1.8,0,6.5,6.4,23.9,0,0.6,24.5,1,0,0,0,0,16.2,0,16.2,,
NLA06608-0078,1,PROB_Lake,Target_Sampled,0.001798644,0.488,48.8,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0,0,0,0.041,0,0,0,0,0,0,0.147,0,0,0,0,0.488,39.3,0,39.3,0,0,0,0,0,0,0,0,0,0,0,22.1,8.4,0,8.4,0,30.1,30.1,,
NLA06608-0079,1,PROB_Lake,Target_Sampled,0.001798644,2.43,243,0,1.236,0,0,0,0,0,0,0,0.047,1.012,0,0,0,0.05,0,0,0,0,0,0.085,0,0,0,0,0,0,0,0,0,2.43,50.9,0,50.9,0,0,0,0,0,0,1.9,41.6,0,43.5,0,2.1,0,0,0,3.5,0,3.5,,
NLA06608-0080,1,PROB_Lake,Target_Sampled,0.001798644,2.092,209.2,0,0.84,0,0.082,0,0,0,0,0,0.007,0,0.005,0,0,0,0,0,0,0,0.77,0.377,0,0,0,0,0.011,0,0,0,0,2.092,40.2,0,40.2,3.9,0,0,0,3.9,0,0.3,0,0.2,0.5,0,0,0,36.8,36.8,18,0.5,18.5,,
NLA06608-0081,1,PROB_Lake,Target_Sampled,0.001798644,0.44,44,0,0.101,0,0.023,0.019,0,0,0,0,0.005,0.202,0.028,0,0.023,0.002,0,0,0,0,0,0.025,0,0,0,0,0.012,0,0,0,0,0.44,23,0,23,5.2,4.3,0,0,9.5,0,1.1,45.9,6.4,53.4,5.2,0.5,0,0,0,5.7,2.7,8.4,,
NLA06608-0083,1,PROB_Lake,Target_Sampled,0.001798644,1.175,117.5,0,0.794,0,0.021,0,0,0,0,0,0,0,0,0,0.005,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.175,67.6,0,67.6,1.8,0,0,0,1.8,0,0,0,0,0,0.4,30.2,0,0,0,0,0,0,,
NLA06608-0085,1,PROB_Lake,Target_Sampled,0.001798644,0.877,87.7,0,0.122,0,0.019,0,0,0,0,0,0,0,0,0,0.248,0.203,0,0,0,0.285,0,0,0,0,0,0,0,0,0,0,0,0.877,13.9,0,13.9,2.2,0,0,0,2.2,0,0,0,0,0,28.3,23.1,32.5,0,32.5,0,0,0,,
NLA06608-0086,1,PROB_Lake,Target_Sampled,0.001798644,2.597,259.7,0,1.031,0,0.138,0.31,0.085,0,0,0,0.043,0.471,0.108,0,0.05,0.049,0,0,0,0.063,0,0.229,0,0,0,0,0.02,0,0,0,0,2.597,39.7,0,39.7,5.3,11.9,3.3,0,20.5,0,1.7,18.1,4.2,24,1.9,1.9,2.4,0,2.4,8.8,0.8,9.6,,
NLA06608-0089,1,PROB_Lake,Target_Sampled,0.001798644,22.781,2278.1,0,8.172,0,0.316,0.172,0.074,0,0,0,4.181,8.126,0.048,0,0.508,0.419,0,0,0,0.427,0.023,0.31,0,0,0,0,0.005,0,0,0,0,22.781,35.9,0,35.9,1.4,0.8,0.3,0,2.5,0,18.4,35.7,0.2,54.3,2.2,1.8,1.9,0.1,2,1.4,0,1.4,,
NLA06608-0090,1,PROB_Lake,Target_Sampled,0.001798644,0.438,43.8,0,0.05,0,0,0,0,0,0,0,0.005,0.091,0,0,0.231,0.055,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.438,11.4,0,11.4,0,0,0,0,0,0,1.1,20.8,0,21.9,52.7,12.6,0,0,0,0,1.4,1.4,,
NLA06608-0091,1,PROB_Lake,Target_Sampled,0.001798644,4.683,468.3,0,3.109,0,0.038,1.301,0.126,0,0,0,0.049,0,0,0,0.008,0.05,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,4.683,66.4,0,66.4,0.8,27.8,2.7,0,31.3,0,1,0,0,1,0.2,1.1,0,0,0,0,0,0,,
NLA06608-0099,1,PROB_Lake,Target_Sampled,0.001798644,5.128,512.8,0,3.184,0,0.205,0.131,0.017,0,0,0,1.035,0.046,0.053,0,0.04,0,0,0,0,0.092,0,0.279,0,0,0,0,0.046,0,0,0,0,5.128,62.1,0,62.1,4,2.6,0.3,0,6.9,0,20.2,0.9,1,22.1,0.8,0,1.8,0,1.8,5.4,0.9,6.3,,
NLA06608-0101,1,PROB_Lake,Target_Sampled,0.001798644,1.398,139.8,0,0.63,0,0.032,0,0,0,0,0,0.524,0.101,0.071,0,0.019,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,1.398,45.1,0,45.1,2.3,0,0,0,2.3,0,37.5,7.2,5.1,49.8,1.4,0,0,0,0,1.5,0,1.5,,
NLA06608-0102,1,PROB_Lake,Target_Sampled,0.001798644,1.31,131,0,0.488,0,0.049,0,0,0,0,0,0.227,0.096,0.334,0,0.034,0,0,0,0,0.001,0,0.022,0,0,0,0,0.059,0,0,0,0,1.31,37.3,0,37.3,3.7,0,0,0,3.7,0,17.3,7.3,25.5,50.1,2.6,0,0.1,0,0.1,1.7,4.5,6.2,,
NLA06608-0104,1,PROB_Lake,Target_Sampled,0.001798644,1.508,150.8,0,0.475,0,0.173,0.012,0,0,0,0,0.176,0,0,0,0,0.449,0,0,0,0,0,0.076,0,0,0,0,0.147,0,0,0,0,1.508,31.5,0,31.5,11.5,0.8,0,0,12.3,0,11.7,0,0,11.7,0,29.8,0,0,0,5,9.7,14.7,,
NLA06608-0105,1,PROB_Lake,Target_Sampled,0.001798644,14.15,1415,0,6.229,0,0.011,0.064,0.014,0,0.029,0,0.028,0.709,0,0,5.588,0.015,0,0,0,1.171,0,0.292,0,0,0,0,0,0,0,0,0,14.15,44,0,44,0.1,0.5,0.1,0,0.7,0.2,0.2,5,0,5.2,39.5,0.1,8.3,0,8.3,2.1,0,2.1,,
NLA06608-0107,1,PROB_Lake,Target_Sampled,0.001798644,0.454,45.4,0,0.131,0,0.027,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0.031,0.092,0.162,0,0,0,0,0,0,0,0,0,0.454,28.9,0,28.9,5.9,0,0,0,5.9,0,2.4,0,0,2.4,0,0,6.8,20.3,27.1,35.7,0,35.7,,
NLA06608-0110,1,PROB_Lake,Target_Sampled,0.001798644,3.082,308.2,0,1.41,0,0.078,0,0,0,0,0,1.267,0.101,0,0,0,0.045,0,0,0,0.129,0.011,0,0,0,0,0,0.041,0,0,0,0,3.082,45.7,0,45.7,2.5,0,0,0,2.5,0,41.1,3.3,0,44.4,0,1.5,4.2,0.4,4.6,0,1.3,1.3,,
