SITE_ID,VISIT_NO,SAMPLED_INF,INDXSAMP_INF,PTL_INF_TOP,PTL_INF_BOT,PTL_INF_DIF,PTL_SIGTEST,NTL_INF_TOP,NTL_INF_BOT,NTL_INF_DIF,NTL_SIGTEST,CORE_CONFIDENCE,SAMPLED,SITE_TYPE,LAKE_SAMP,TNT,LON_DD,LAT_DD,ST,EPA_REG,AREA_CAT7,NESLAKE,STRATUM,PANEL,DSGN_CAT,MDCATY,WGT,WGT_NLA,ADJWGT_CAT,URBAN,WSA_ECO3,WSA_ECO9,ECO_LEV_3,NUT_REG,NUTREG_NAME,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,REF_CLUSTER,RT_NLA,HUC_2,HUC_8,FLAG_INFO,COMMENT_INFO,SAMPLED_CORE,PTL_INF_COND,PTL_INF_COND3,NTL_INF_COND,NTL_INF_COND3
NLA06608-0006,2,NO LAB DATA,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-73.1465177,41.6831462,CT,Region_1,"(50,100]",,NLALake,Panel_1,"NAP_CT_(50,100]",0.05700922,17.3721618,19.5774988,CT,YES,EHIGH,NAP,59,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,B,REF,1,1100005,,,YES (Both),02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0007,1,YES,YES,6.3,7.5,-1.21,No,407.55,409.65,-2.09,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-92.040018,45.5806455,WI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_WI_(20,50]",0.00595348,166.3520122,159.855637,WI,NO,PLNLOW,UMW,51,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,REF,7,7050007,,,YES (Both),09:> -5 to +5 ug/L,04:NO CHANGE,10:> -10 to 10 ug/L,04:NO CHANGE
NLA06608-0007,2,NO LAB DATA,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-92.040018,45.5806455,WI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_WI_(20,50]",0.00595348,166.3520122,159.855637,WI,NO,PLNLOW,UMW,51,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,REF,7,7050007,,,YES (Both),02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0008,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-93.5904049,41.292111,IA,Region_7,"(20,50]",NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.3965736,IA,NO,PLNLOW,TPL,47,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,7,7100008,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0008,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-93.5904049,41.292111,IA,Region_7,"(20,50]",NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.3965736,IA,NO,PLNLOW,TPL,47,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,7,7100008,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0010,1,YES,YES,11.14,9.07,2.07,Yes,709,398.61,310.39,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-83.5058877,42.6182301,MI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_MI_(20,50]",0.00580105,170.7230091,81.5811743,MI_LP,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4090005,,,YES (Both),09:> -5 to +5 ug/L,04:NO CHANGE,17: > 300 ug/L,05:POSITIVE CHANGE
NLA06608-0010,2,NO LAB DATA,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-83.5058877,42.6182301,MI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_MI_(20,50]",0.00580105,170.7230091,81.5811743,MI_LP,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4090005,,,YES (Both),02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0012,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-96.8717873,35.9907882,OK,Region_6,"(50,100]",,NLALake,Panel_1,"SPL_OK_(50,100]",0.07881169,12.56632614,3.4512251,OK,NO,PLNLOW,SPL,27,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,TRASH,11,11050003,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0012,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-96.8717873,35.9907882,OK,Region_6,"(50,100]",,NLALake,Panel_1,"SPL_OK_(50,100]",0.07881169,12.56632614,3.4512251,OK,NO,PLNLOW,SPL,27,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,TRASH,11,11050003,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0013,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-74.5625512,39.9742803,NJ,Region_2,"(20,50]",,NLALake,Panel_1,"CPL_NJ_(20,50]",0.01630549,60.73864422,147.9090567,NJ,YES,PLNLOW,CPL,84,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040202,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0013,2,NO CORE SAMPLE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-74.5625512,39.9742803,NJ,Region_2,"(20,50]",,NLALake,Panel_1,"CPL_NJ_(20,50]",0.01630549,60.73864422,147.9090567,NJ,YES,PLNLOW,CPL,84,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040202,,,NO,02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0014,1,YES,YES,586.11,210.17,375.93,Yes,7423.48,3150.94,4272.54,Yes,UNCERTAIN,YES,PROB_Lake,Target_Sampled,Target,-100.5756807,47.8349274,ND,Region_8,"(10,20]",,NLALake,Panel_1,"TPL_ND_(10,20]",0.00274667,360.5718727,324.9301387,ND,NO,PLNLOW,TPL,46,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,E,TRASH,9,9010003,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0014,2,YES (LOST SAMPLE),NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-100.5756807,47.8349274,ND,Region_8,"(10,20]",,NLALake,Panel_1,"TPL_ND_(10,20]",0.00274667,360.5718727,324.9301387,ND,NO,PLNLOW,TPL,46,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,E,TRASH,9,9010003,,,YES (Both),02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0015,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-107.2747938,33.0071076,NM,Region_6,>100,,NLALake,Panel_1,XER_NM_>100,0.18618767,5.31922114,6.9209566,NM,YES,WMTNS,XER,24,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,13,13030101,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0015,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-107.2747938,33.0071076,NM,Region_6,>100,,NLALake,Panel_1,XER_NM_>100,0.18618767,5.31922114,6.9209566,NM,YES,WMTNS,XER,24,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,13,13030101,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0016,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-100.7797567,41.0302522,NE,Region_7,>100,,NLALake,Panel_1,SPL_NE_>100,0.06081946,16.2838239,4.1608113,NE,YES,PLNLOW,SPL,44,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,PLNLOW MAN-MADE,E,SO-SO,10,10190018,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0016,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-100.7797567,41.0302522,NE,Region_7,>100,,NLALake,Panel_1,SPL_NE_>100,0.06081946,16.2838239,4.1608113,NE,YES,PLNLOW,SPL,44,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,PLNLOW MAN-MADE,E,SO-SO,10,10190018,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0019,1,YES,YES,345.73,315.31,30.42,Yes,3616.23,3831.35,-215.12,Yes,NO,YES,PROB_Lake,Target_Sampled,Target,-99.5118588,46.3668879,ND,Region_8,>100,,NLALake,Panel_1,NPL_ND_>100,0.04063311,24.37355445,21.9642824,ND,NO,PLNLOW,NPL,42,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,E,TRASH,10,10130104,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0019,2,NO LAB DATA,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-99.5118588,46.3668879,ND,Region_8,>100,,NLALake,Panel_1,NPL_ND_>100,0.04063311,24.37355445,21.9642824,ND,NO,PLNLOW,NPL,42,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,E,TRASH,10,10130104,,,YES (Both),02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0020,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-87.8138083,39.4081784,IL,Region_5,>100,,NLALake,Panel_1,TPL_IL_>100,0.02926005,33.8472937,20.3353418,IL,NO,PLNLOW,TPL,54,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5120111,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0020,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-87.8138083,39.4081784,IL,Region_5,>100,,NLALake,Panel_1,TPL_IL_>100,0.02926005,33.8472937,20.3353418,IL,NO,PLNLOW,TPL,54,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5120111,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0021,1,NO CORE SAMPLE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-77.3095481,42.7719197,NY,Region_2,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,8.4183112,NY,YES,EHIGH,NAP,83,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,B,SO-SO,4,4140201,,,NO,02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0021,2,NO LAB DATA,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-77.3095481,42.7719197,NY,Region_2,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,8.4183112,NY,YES,EHIGH,NAP,83,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,B,SO-SO,4,4140201,,,YES (Both),02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0023,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-97.745332,31.1484917,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,SPL,29,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,REF,12,12070202,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0023,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-97.745332,31.1484917,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,SPL,29,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,REF,12,12070202,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0024,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-95.4884341,32.1220497,TX,Region_6,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,2.1860872,TX,YES,PLNLOW,CPL,35,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,12,12020001,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0024,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-95.4884341,32.1220497,TX,Region_6,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,2.1860872,TX,YES,PLNLOW,CPL,35,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,12,12020001,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0025,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-81.3457308,35.2013214,NC,Region_4,"(10,20]",,NLALake,Panel_1,"SAP_NC_(10,20]",0.01583417,62.54658929,47.4194014,NC,YES,EHIGH,SAP,45,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,A,REF,3,3050105,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0025,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-81.3457308,35.2013214,NC,Region_4,"(10,20]",,NLALake,Panel_1,"SAP_NC_(10,20]",0.01583417,62.54658929,47.4194014,NC,YES,EHIGH,SAP,45,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,A,REF,3,3050105,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0029,1,YES,YES,47.58,27.52,20.07,Yes,996.3,418.24,578.06,Yes,UNCERTAIN,YES,PROB_Lake,Target_Sampled,Target,-75.2150379,38.7560105,DE,Region_3,"(50,100]",,NLALake,Panel_1,"CPL_DE_(50,100]",0.21500749,4.60622732,4.3574998,DE,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040207,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0029,2,NO LAB DATA,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-75.2150379,38.7560105,DE,Region_3,"(50,100]",,NLALake,Panel_1,"CPL_DE_(50,100]",0.21500749,4.60622732,4.3574998,DE,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040207,,,YES (Both),02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0031,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-81.5174519,39.7764536,OH,Region_5,"(20,50]",,NLALake,Panel_1,"SAP_OH_(20,50]",0.02943198,33.64956123,28.8221929,OH,YES,EHIGH,SAP,70,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,5,5030201,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0031,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-81.5174519,39.7764536,OH,Region_5,"(20,50]",,NLALake,Panel_1,"SAP_OH_(20,50]",0.02943198,33.64956123,28.8221929,OH,YES,EHIGH,SAP,70,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,5,5030201,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0033,1,YES,YES,22.32,21.52,0.8,No,322.52,328.35,-5.83,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-121.2990598,47.3110836,WA,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_WA_(10,20]",0.00907729,109.104571,32.5493729,WA,NO,WMTNS,WMT,77,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,TRASH,17,17030001,,,YES (Both),09:> -5 to +5 ug/L,04:NO CHANGE,10:> -10 to 10 ug/L,04:NO CHANGE
NLA06608-0033,2,NO LAB DATA,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-121.2990598,47.3110836,WA,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_WA_(10,20]",0.00907729,109.104571,32.5493729,WA,NO,WMTNS,WMT,77,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,TRASH,17,17030001,,,YES (Both),02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0036,1,NO CORE SAMPLE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-88.3273792,37.477354,IL,Region_5,"(10,20]",,NLALake,Panel_1,"TPL_IL_(10,20]",0.00785768,126.0388979,75.7237518,IL,NO,PLNLOW,TPL,72,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5140203,,,NO,02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0036,2,NO CORE SAMPLE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-88.3273792,37.477354,IL,Region_5,"(10,20]",,NLALake,Panel_1,"TPL_IL_(10,20]",0.00785768,126.0388979,75.7237518,IL,NO,PLNLOW,TPL,72,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5140203,,,NO,02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0037,1,YES,YES,14.44,8,6.44,Yes,375.42,329.33,46.09,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-73.3639855,41.6969929,CT,Region_1,>100,,NLALake,Panel_1,NAP_CT_>100,0.05177385,19.12883297,21.5571734,CT,YES,EHIGH,NAP,58,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,B,TRASH,1,1100005,,,YES (Both),10:> 5 to 15 ug/L,05:POSITIVE CHANGE,11:> 10 to 50 ug/L,05:POSITIVE CHANGE
NLA06608-0037,2,NO LAB DATA,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-73.3639855,41.6969929,CT,Region_1,>100,,NLALake,Panel_1,NAP_CT_>100,0.05177385,19.12883297,21.5571734,CT,YES,EHIGH,NAP,58,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,B,TRASH,1,1100005,,,YES (Both),02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0038,1,YES,YES,4.42,8.78,-4.36,Yes,201.96,230.14,-28.19,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-71.8697174,44.7975912,VT,Region_1,>100,,NLALake,Panel_1,NAP_VT_>100,0.08404545,11.78378385,35.0455954,VT,NO,EHIGH,NAP,58,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,B,TRASH,1,1110000,,,YES (Both),09:> -5 to +5 ug/L,04:NO CHANGE,09:> -50 to -10 ug/L,03:NEGATIVE CHANGE
NLA06608-0038,2,NO LAB DATA,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-71.8697174,44.7975912,VT,Region_1,>100,,NLALake,Panel_1,NAP_VT_>100,0.08404545,11.78378385,35.0455954,VT,NO,EHIGH,NAP,58,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,B,TRASH,1,1110000,,,YES (Both),02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
