UID,SAM_CODE,LAB,ALUMINUM_BATCH_ID,AMMONIA_N_BATCH_ID,ANC_BATCH_ID,CALCIUM_BATCH_ID,CHLORIDE_BATCH_ID,COLOR_BATCH_ID,COND_BATCH_ID,DOC_BATCH_ID,MAGNESIUM_BATCH_ID,NITRATE_N_BATCH_ID,NITRATE_NITRITE_N_BATCH_ID,NITRITE_N_BATCH_ID,NTL_BATCH_ID,PH_BATCH_ID,POTASSIUM_BATCH_ID,PTL_BATCH_ID,SILICA_BATCH_ID,SODIUM_BATCH_ID,SULFATE_BATCH_ID,TOC_BATCH_ID,TSS_BATCH_ID,TURB_BATCH_ID,ALUMINUM_UNITS,AMMONIA_N_UNITS,ANC_UNITS,CALCIUM_UNITS,CHLORIDE_UNITS,COLOR_UNITS,COND_UNITS,DOC_UNITS,MAGNESIUM_UNITS,NITRATE_N_UNITS,NITRATE_NITRITE_N_UNITS,NITRITE_N_UNITS,NTL_UNITS,PH_UNITS,POTASSIUM_UNITS,PTL_UNITS,SILICA_UNITS,SODIUM_UNITS,SULFATE_UNITS,TOC_UNITS,TSS_UNITS,TURB_UNITS,ALUMINUM_DATE_ANALYZED,ALUMINUM_HOLDING_TIME,ALUMINUM_LAB_FLAG,ALUMINUM_LAB_SAMPLE_ID,ALUMINUM_MDL,ALUMINUM_QA_FLAG,ALUMINUM_RESULT,ALUMINUM_RL,AMMONIA_N_DATE_ANALYZED,AMMONIA_N_HOLDING_TIME,AMMONIA_N_LAB_FLAG,AMMONIA_N_LAB_SAMPLE_ID,AMMONIA_N_MDL,AMMONIA_N_QA_FLAG,AMMONIA_N_RESULT,AMMONIA_N_RL,ANC_DATE_ANALYZED,ANC_HOLDING_TIME,ANC_LAB_FLAG,ANC_LAB_SAMPLE_ID,ANC_QA_FLAG,ANC_RESULT,CALCIUM_DATE_ANALYZED,CALCIUM_HOLDING_TIME,CALCIUM_LAB_FLAG,CALCIUM_LAB_SAMPLE_ID,CALCIUM_MDL,CALCIUM_QA_FLAG,CALCIUM_RESULT,CALCIUM_RL,CHLORIDE_DATE_ANALYZED,CHLORIDE_HOLDING_TIME,CHLORIDE_LAB_FLAG,CHLORIDE_LAB_SAMPLE_ID,CHLORIDE_MDL,CHLORIDE_QA_FLAG,CHLORIDE_RESULT,CHLORIDE_RL,COLOR_DATE_ANALYZED,COLOR_HOLDING_TIME,COLOR_LAB_FLAG,COLOR_LAB_SAMPLE_ID,COLOR_MDL,COLOR_QA_FLAG,COLOR_RESULT,COLOR_RL,COND_DATE_ANALYZED,COND_HOLDING_TIME,COND_LAB_FLAG,COND_LAB_SAMPLE_ID,COND_MDL,COND_QA_FLAG,COND_RESULT,COND_RL,DOC_DATE_ANALYZED,DOC_HOLDING_TIME,DOC_LAB_FLAG,DOC_LAB_SAMPLE_ID,DOC_MDL,DOC_QA_FLAG,DOC_RESULT,DOC_RL,MAGNESIUM_DATE_ANALYZED,MAGNESIUM_HOLDING_TIME,MAGNESIUM_LAB_FLAG,MAGNESIUM_LAB_SAMPLE_ID,MAGNESIUM_MDL,MAGNESIUM_QA_FLAG,MAGNESIUM_RESULT,MAGNESIUM_RL,NITRATE_N_DATE_ANALYZED,NITRATE_N_HOLDING_TIME,NITRATE_N_LAB_FLAG,NITRATE_N_LAB_SAMPLE_ID,NITRATE_N_MDL,NITRATE_N_QA_FLAG,NITRATE_N_RESULT,NITRATE_N_RL,NITRATE_NITRITE_N_DATE_ANALYZED,NITRATE_NITRITE_N_HOLDING_TIME,NITRATE_NITRITE_N_LAB_FLAG,NITRATE_NITRITE_N_LAB_SAMPLE_ID,NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N_QA_FLAG,NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N_RL,NITRITE_N_DATE_ANALYZED,NITRITE_N_HOLDING_TIME,NITRITE_N_LAB_FLAG,NITRITE_N_LAB_SAMPLE_ID,NITRITE_N_MDL,NITRITE_N_QA_FLAG,NITRITE_N_RESULT,NITRITE_N_RL,NTL_DATE_ANALYZED,NTL_HOLDING_TIME,NTL_LAB_FLAG,NTL_LAB_SAMPLE_ID,NTL_MDL,NTL_QA_FLAG,NTL_RESULT,NTL_RL,PH_DATE_ANALYZED,PH_HOLDING_TIME,PH_LAB_FLAG,PH_LAB_SAMPLE_ID,PH_QA_FLAG,PH_RESULT,POTASSIUM_DATE_ANALYZED,POTASSIUM_HOLDING_TIME,POTASSIUM_LAB_FLAG,POTASSIUM_LAB_SAMPLE_ID,POTASSIUM_MDL,POTASSIUM_QA_FLAG,POTASSIUM_RESULT,POTASSIUM_RL,PTL_DATE_ANALYZED,PTL_HOLDING_TIME,PTL_LAB_FLAG,PTL_LAB_SAMPLE_ID,PTL_MDL,PTL_QA_FLAG,PTL_RESULT,PTL_RL,SILICA_DATE_ANALYZED,SILICA_HOLDING_TIME,SILICA_LAB_FLAG,SILICA_LAB_SAMPLE_ID,SILICA_MDL,SILICA_QA_FLAG,SILICA_RESULT,SILICA_RL,SODIUM_DATE_ANALYZED,SODIUM_HOLDING_TIME,SODIUM_LAB_SAMPLE_ID,SODIUM_MDL,SODIUM_QA_FLAG,SODIUM_RESULT,SODIUM_RL,SULFATE_DATE_ANALYZED,SULFATE_HOLDING_TIME,SULFATE_LAB_FLAG,SULFATE_LAB_SAMPLE_ID,SULFATE_MDL,SULFATE_QA_FLAG,SULFATE_RESULT,SULFATE_RL,TOC_HOLDING_TIME,TOC_RESULT,TSS_DATE_ANALYZED,TSS_HOLDING_TIME,TSS_LAB_SAMPLE_ID,TSS_MDL,TSS_QA_FLAG,TSS_RESULT,TSS_RL,TURB_DATE_ANALYZED,TURB_HOLDING_TIME,TURB_LAB_FLAG,TURB_LAB_SAMPLE_ID,TURB_MDL,TURB_QA_FLAG,TURB_RESULT,TURB_RL,ANC_FLAG,CALCIUM_FLAG,CHLORIDE_FLAG,COLOR_FLAG,COND_FLAG,DOC_FLAG,MAGNESIUM_FLAG,NITRATE_N_FLAG,NITRATE_NITRITE_N_FLAG,NTL_FLAG,PH_FLAG,POTASSIUM_FLAG,PTL_FLAG,SILICA_FLAG,SODIUM_FLAG,SULFATE_FLAG,TSS_FLAG,TURB_FLAG,CHEM_SAMPLE_ID,CHEM_SHIP_FLAG,NUTS_SAMPLE_ID,NUTS_SHIP_FLAG
6796,REGULAR,WRS,121026.1,120710.2,120628.1,121026.1,120628.1,120628.1,120628.1,120717.1,121026.1,120628.1,120628.1,120628.1,120705.1,120628.1,121026.1,120705.1,120703.1,121026.1,120628.1,,,120628.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/26/2012,122,,1210241,0.01,,0.022,0.02,7/10/2012,14,,1210241,0.002,,0.02,0.004,6/28/2012,2,,1210241,,1942,10/26/2012,122,,1210241,0.02,,29.83,0.04,6/28/2012,2,,1210241,0.03,,4.68,0.06,6/28/2012,2,,1210241,,,30,5,6/28/2012,2,,1210241,,,211,2,7/17/2012,21,,1210241,0.1,,7.34,0.2,10/26/2012,122,,1210241,0.01,,4.936,0.02,6/28/2012,2,<LRL (0.02),1210241,0.01,ND,0.002,0.02,6/28/2012,2,,1210241,0.01,ND,0.002,0.02,6/28/2012,2,<LRL (0.02),1210241,0.01,ND,0,0.02,7/5/2012,9,,1210241,0.01,,1.024,0.02,6/28/2012,2,,1210241,,8.09,10/26/2012,122,,1210241,0.04,,3.212,0.08,7/5/2012,9,,1210241,2,,95,4,7/3/2012,7,,1210241,0.005,,11.339,0.01,10/26/2012,122,1210241,0.02,,5.439,0.04,6/28/2012,2,,1210241,0.09,,6.384,0.18,,,,,,,,,,6/28/2012,2,,1210241,,,6.57,2,,,,,,,,,,,,,,,,,,,644420,,644423,
6797,REGULAR,WRS,121025.1,120705.1,120627.1,121025.1,120628.1,120627.1,120627.1,120710.1,121025.1,120628.1,120628.1,120628.1,120712.1,120627.1,121025.1,120712.1,120628.2,121025.1,120628.1,,,120627.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/25/2012,122,,1210218,0.01,,0.213,0.02,7/5/2012,10,,1210218,0.002,,0.034,0.004,6/27/2012,2,,1210218,,1986,10/25/2012,122,,1210218,0.02,,32.33,0.04,6/28/2012,3,,1210218,0.03,,42.1,0.06,6/27/2012,2,,1210218,,,36,5,6/27/2012,2,,1210218,,,370,2,7/10/2012,15,,1210218,0.1,,15.46,0.2,10/25/2012,122,,1210218,0.01,,6.168,0.02,6/28/2012,3,<LRL (0.02),1210218,0.01,ND,0.003,0.02,6/28/2012,3,,1210218,0.01,ND,0.003,0.02,6/28/2012,3,<LRL (0.02),1210218,0.01,ND,0,0.02,7/12/2012,17,,1210218,0.01,,9.5,0.02,6/27/2012,2,,1210218,,8.59,10/25/2012,122,,1210218,0.04,,3.942,0.08,7/12/2012,17,,1210218,2,,3085,4,6/28/2012,3,,1210218,0.005,,18.973,0.01,10/25/2012,122,1210218,0.02,,33.78,0.04,6/28/2012,3,,1210218,0.09,,22.984,0.18,,,,,,,,,,6/27/2012,2,,1210218,,,225.61,2,,,,,,,,,,,,,,,,,,,635840,,635843,
6798,REGULAR,WRS,121025.1,120705.1,120628.1,121025.1,120628.1,120628.1,120628.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120628.1,121025.1,120705.1,120628.2,121025.1,120628.1,,,120628.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/25/2012,121,,1210239,0.01,,0.1,0.02,7/5/2012,9,,1210239,0.002,,0.074,0.004,6/28/2012,2,,1210239,,219.1,10/25/2012,121,,1210239,0.02,,2.641,0.04,6/28/2012,2,,1210239,0.03,,0.218,0.06,6/28/2012,2,,1210239,,,165,5,6/28/2012,2,,1210239,,,31.4,2,7/17/2012,21,,1210239,0.1,,18.19,0.2,10/25/2012,121,,1210239,0.01,,1.83,0.02,6/28/2012,2,<LRL (0.02),1210239,0.01,L,0.015,0.02,6/28/2012,2,,1210239,0.01,L,0.017,0.02,6/28/2012,2,<LRL (0.02),1210239,0.01,L,0.001,0.02,7/5/2012,9,,1210239,0.01,,0.395,0.02,6/28/2012,2,,1210239,,6.82,10/25/2012,121,,1210239,0.04,,0.635,0.08,7/5/2012,9,,1210239,2,,26,4,6/28/2012,2,,1210239,0.005,,3.174,0.01,10/25/2012,121,1210239,0.02,,1.165,0.04,6/28/2012,2,,1210239,0.09,,1.834,0.18,,,,,,,,,,6/28/2012,2,,1210239,,,1.28,2,,,,,,,,,,,,,,,,,,,633230,,633233,
6799,REGULAR,WRS,121026.1,120710.2,120629.1,121026.1,120629.1,120629.1,120629.1,120724.1,121026.1,120629.1,120629.1,120629.1,120712.1,120629.1,121026.1,120705.1,120703.1,121026.1,120703.1,,,120629.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/26/2012,122,<LRL (0.02),1210254,0.01,ND,0,0.02,7/10/2012,14,,1210254,0.002,,0.128,0.004,6/29/2012,3,,1210254,,10611,10/26/2012,122,,1210254,0.02,,179.3,0.04,6/29/2012,3,,1210254,0.03,,164.326,0.06,6/29/2012,3,,1210254,,,38,5,6/29/2012,3,,1210254,,,6720,2,7/24/2012,28,,1210254,0.1,,35.26,0.2,10/26/2012,122,,1210254,0.01,,653.9,0.02,6/29/2012,3,<LRL (0.02),1210254,0.01,ND,0,0.02,6/29/2012,3,,1210254,0.01,ND,0,0.02,6/29/2012,3,<LRL (0.02),1210254,0.01,ND,0,0.02,7/12/2012,16,,1210254,0.01,,3.195,0.02,6/29/2012,3,,1210254,,8.52,10/26/2012,122,,1210254,0.04,,70.91,0.08,7/5/2012,9,,1210254,2,,355,4,7/3/2012,7,,1210254,0.005,,5.135,0.01,10/26/2012,122,1210254,0.02,,807.2,0.04,7/3/2012,7,,1210254,0.09,,4021.991,0.18,,,,,,,,,,6/29/2012,3,,1210254,,L,0.73,2,,,,,,,,,,,,,,,,,,,622400,Ship Flag,622403,Ship Flag
6800,REGULAR,WRS,121025.1,120705.1,120628.1,121025.1,120628.1,120628.1,120628.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120628.1,121025.1,120705.1,120628.2,121025.1,120628.1,,,120628.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/25/2012,121,<LRL (0.02),1210230,0.01,ND,0,0.02,7/5/2012,9,,1210230,0.002,,0.011,0.004,6/28/2012,2,,1210230,,1603,10/25/2012,121,,1210230,0.02,,23.34,0.04,6/28/2012,2,,1210230,0.03,,138.332,0.06,6/28/2012,2,,1210230,,,16,5,6/28/2012,2,,1210230,,,627,2,7/17/2012,21,,1210230,0.1,,3.57,0.2,10/25/2012,121,,1210230,0.01,,6.885,0.02,6/28/2012,2,<LRL (0.02),1210230,0.01,ND,0.002,0.02,6/28/2012,2,,1210230,0.01,ND,0.002,0.02,6/28/2012,2,<LRL (0.02),1210230,0.01,ND,0,0.02,7/5/2012,9,,1210230,0.01,,0.465,0.02,6/28/2012,2,,1210230,,7.9,10/25/2012,121,,1210230,0.04,,1.418,0.08,7/5/2012,9,,1210230,2,,49,4,6/28/2012,2,,1210230,0.005,,3.454,0.01,10/25/2012,121,1210230,0.02,,95.46,0.04,6/28/2012,2,,1210230,0.09,,8.124,0.18,,,,,,,,,,6/28/2012,2,,1210230,,,3.36,2,,,,,,,,,,,,,,,,,,,629900,,629903,
6804,REGULAR,WRS,121025.1,120705.1,120628.1,121025.1,120628.1,120628.1,120628.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120628.1,121025.1,120705.1,120628.2,121025.1,120628.1,,,120628.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/25/2012,121,<LRL (0.02),1210233,0.01,ND,0,0.02,7/5/2012,9,,1210233,0.002,,0.015,0.004,6/28/2012,2,,1210233,,4028,10/25/2012,121,,1210233,0.02,,35.12,0.04,6/28/2012,2,,1210233,0.03,,3.125,0.06,6/28/2012,2,,1210233,,,14,5,6/28/2012,2,,1210233,,,384,2,7/17/2012,21,,1210233,0.1,,6.32,0.2,10/25/2012,121,,1210233,0.01,,29.77,0.02,6/28/2012,2,<LRL (0.02),1210233,0.01,ND,0.002,0.02,6/28/2012,2,,1210233,0.01,ND,0.002,0.02,6/28/2012,2,<LRL (0.02),1210233,0.01,ND,0,0.02,7/5/2012,9,,1210233,0.01,,0.688,0.02,6/28/2012,2,,1210233,,8.74,10/25/2012,121,,1210233,0.04,,3.74,0.08,7/5/2012,9,,1210233,2,,42,4,6/28/2012,2,,1210233,0.005,,23.793,0.01,10/25/2012,121,1210233,0.02,,5.15,0.04,6/28/2012,2,,1210233,0.09,,16.807,0.18,,,,,,,,,,6/28/2012,2,,1210233,,,2.84,2,,,,,,,,,,,,,,,,,,,633290,,633293,
6805,REGULAR,WRS,121025.1,120705.1,120627.1,121025.1,120628.1,120627.1,120627.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120627.1,121025.1,120705.1,120628.2,121025.1,120628.1,,,120627.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/25/2012,122,<LRL (0.02),1210224,0.01,ND,0.008,0.02,7/5/2012,10,,1210224,0.002,,0.014,0.004,6/27/2012,2,,1210224,,307,10/25/2012,122,,1210224,0.02,,9.265,0.04,6/28/2012,3,,1210224,0.03,,46.561,0.06,6/27/2012,2,,1210224,,,58,5,6/27/2012,2,,1210224,,,201,2,7/17/2012,22,,1210224,0.1,,13.59,0.2,10/25/2012,122,,1210224,0.01,,2.957,0.02,6/28/2012,3,<LRL (0.02),1210224,0.01,ND,0.003,0.02,6/28/2012,3,,1210224,0.01,ND,0.003,0.02,6/28/2012,3,<LRL (0.02),1210224,0.01,ND,0,0.02,7/5/2012,10,,1210224,0.01,,0.579,0.02,6/27/2012,2,,1210224,,6.81,10/25/2012,122,,1210224,0.04,,2.527,0.08,7/5/2012,10,,1210224,2,,58,4,6/28/2012,3,,1210224,0.005,,14.63,0.01,10/25/2012,122,1210224,0.02,,23.76,0.04,6/28/2012,3,,1210224,0.09,,1.821,0.18,,,,,,,,,,6/27/2012,2,,1210224,,,4.07,2,,,,,,,,,,,,,,,,,,,642800,,642803,
6806,REGULAR,WRS,121025.1,120705.1,120628.1,121025.1,120628.1,120628.1,120628.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120628.1,121025.1,120705.1,120628.2,121025.1,120628.1,,,120628.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/25/2012,121,<LRL (0.02),1210235,0.01,ND,0.004,0.02,7/5/2012,9,,1210235,0.002,,0.0092,0.004,6/28/2012,2,,1210235,,324.1,10/25/2012,121,,1210235,0.02,,3.844,0.04,6/28/2012,2,,1210235,0.03,,0.853,0.06,6/28/2012,2,,1210235,,,29,5,6/28/2012,2,,1210235,,,46.1,2,7/17/2012,21,,1210235,0.1,,2.4,0.2,10/25/2012,121,,1210235,0.01,,1.922,0.02,6/28/2012,2,<LRL (0.02),1210235,0.01,ND,0.002,0.02,6/28/2012,2,,1210235,0.01,ND,0.002,0.02,6/28/2012,2,<LRL (0.02),1210235,0.01,ND,0,0.02,7/5/2012,9,,1210235,0.01,,0.193,0.02,6/28/2012,2,,1210235,,7.6,10/25/2012,121,,1210235,0.04,,1.467,0.08,7/5/2012,9,,1210235,2,,26,4,6/28/2012,2,,1210235,0.005,,6.577,0.01,10/25/2012,121,1210235,0.02,,1.338,0.04,6/28/2012,2,,1210235,0.09,,4.773,0.18,,,,,,,,,,6/28/2012,2,,1210235,,,3.32,2,,,,,,,,,,,,,,,,,,,623990,,623993,
6808,REGULAR,WRS,121026.1,120711.1,120629.1,121026.1,120629.1,120629.1,120629.1,120718.1,121026.1,120629.1,120629.1,120629.1,120705.1,120629.1,121026.1,120705.1,120703.1,121026.1,120703.1,,,120629.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/26/2012,121,<LRL (0.02),1210267,0.01,ND,0,0.02,7/11/2012,14,,1210267,0.002,,0.042,0.004,6/29/2012,2,,1210267,,6993,10/26/2012,121,,1210267,0.02,,109.3,0.04,6/29/2012,2,,1210267,0.03,,20.368,0.06,6/29/2012,2,,1210267,,,18,5,6/29/2012,2,,1210267,,,2010,2,7/18/2012,21,,1210267,0.1,,18.36,0.2,10/26/2012,121,,1210267,0.01,,162.1,0.02,6/29/2012,2,<LRL (0.02),1210267,0.01,ND,0.002,0.02,6/29/2012,2,,1210267,0.01,ND,0.002,0.02,6/29/2012,2,<LRL (0.02),1210267,0.01,ND,0,0.02,7/5/2012,8,,1210267,0.01,,1.735,0.02,6/29/2012,2,,1210267,,8.67,10/26/2012,121,,1210267,0.04,,31.02,0.08,7/5/2012,8,,1210267,2,,167,4,7/3/2012,6,,1210267,0.005,,7.296,0.01,10/26/2012,121,1210267,0.02,,144,0.04,7/3/2012,6,,1210267,0.09,,849.045,0.18,,,,,,,,,,6/29/2012,2,,1210267,,,5.64,2,,,,,,,,,,,,,,,,,,,632330,,632333,
6809,REGULAR,WRS,121025.1,120705.1,120628.1,121025.1,120628.1,120628.1,120628.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120628.1,121025.1,120705.1,120628.2,121025.1,120628.1,,,120628.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/25/2012,121,<LRL (0.02),1210240,0.01,L,0.015,0.02,7/5/2012,9,,1210240,0.002,,0.013,0.004,6/28/2012,2,,1210240,,2513,10/25/2012,121,,1210240,0.02,,29.64,0.04,6/28/2012,2,,1210240,0.03,,13.646,0.06,6/28/2012,2,,1210240,,,15,5,6/28/2012,2,,1210240,,,305,2,7/17/2012,21,,1210240,0.1,,3.75,0.2,10/25/2012,121,,1210240,0.01,,17.87,0.02,6/28/2012,2,<LRL (0.02),1210240,0.01,ND,0.003,0.02,6/28/2012,2,,1210240,0.01,ND,0.003,0.02,6/28/2012,2,<LRL (0.02),1210240,0.01,ND,0,0.02,7/5/2012,9,,1210240,0.01,,0.52,0.02,6/28/2012,2,,1210240,,8.41,10/25/2012,121,,1210240,0.04,,2.731,0.08,7/5/2012,9,,1210240,2,,24,4,6/28/2012,2,,1210240,0.005,,1.295,0.01,10/25/2012,121,1210240,0.02,,5.974,0.04,6/28/2012,2,,1210240,0.09,,16.222,0.18,,,,,,,,,,6/28/2012,2,,1210240,,,4.93,2,,,,,,,,,,,,,,,,,,,635420,,635423,
6812,REGULAR,WRS,121025.1,120705.1,120628.1,121025.1,120628.1,120628.1,120628.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120628.1,121025.1,120705.1,120628.2,121025.1,120628.1,,,120628.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/25/2012,121,,1210234,0.01,,0.114,0.02,7/5/2012,9,,1210234,0.002,,0.015,0.004,6/28/2012,2,,1210234,,68.5,10/25/2012,121,,1210234,0.02,,1.61,0.04,6/28/2012,2,,1210234,0.03,,8.464,0.06,6/28/2012,2,,1210234,,,58,5,6/28/2012,2,,1210234,,,44.5,2,7/17/2012,21,,1210234,0.1,,6.48,0.2,10/25/2012,121,,1210234,0.01,,0.378,0.02,6/28/2012,2,<LRL (0.02),1210234,0.01,ND,0.004,0.02,6/28/2012,2,,1210234,0.01,ND,0.004,0.02,6/28/2012,2,<LRL (0.02),1210234,0.01,ND,0,0.02,7/5/2012,9,,1210234,0.01,,0.414,0.02,6/28/2012,2,,1210234,,6.48,10/25/2012,121,,1210234,0.04,,0.393,0.08,7/5/2012,9,,1210234,2,,27,4,6/28/2012,2,,1210234,0.005,,1.107,0.01,10/25/2012,121,1210234,0.02,,6.009,0.04,6/28/2012,2,,1210234,0.09,,2.455,0.18,,,,,,,,,,6/28/2012,2,,1210234,,L,0.73,2,,,,,,,,,,,,,,,,,,,626930,,626933,
6813,REGULAR,WRS,121025.1,120705.1,120627.1,121025.1,120628.1,120627.1,120627.1,120710.1,121025.1,120628.1,120628.1,120628.1,120705.1,120627.1,121025.1,120705.1,120628.1,121025.1,120628.1,,,120627.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/25/2012,121,<LRL (0.02),1210216,0.01,ND,0.004,0.02,7/5/2012,9,,1210216,0.002,,0.0073,0.004,6/27/2012,1,,1210216,,231,10/25/2012,121,,1210216,0.02,,4.402,0.04,6/28/2012,2,,1210216,0.03,,10.152,0.06,6/27/2012,1,,1210216,,L,3,5,6/27/2012,1,,1210216,,,71.6,2,7/10/2012,14,,1210216,0.1,,2.73,0.2,10/25/2012,121,<LRL (0.02),1210216,0.01,,1.023,0.02,6/28/2012,2,<LRL (0.02),1210216,0.01,ND,0.002,0.02,6/28/2012,2,,1210216,0.01,ND,0.002,0.02,6/28/2012,2,<LRL (0.02),1210216,0.01,ND,0,0.02,7/5/2012,9,,1210216,0.01,,0.238,0.02,6/27/2012,1,,1210216,,7.42,10/25/2012,121,,1210216,0.04,,1.168,0.08,7/5/2012,9,,1210216,2,,10,4,6/28/2012,2,,1210216,0.005,,0.39,0.01,10/25/2012,121,1210216,0.02,,6.854,0.04,6/28/2012,2,,1210216,0.09,,5.035,0.18,,,,,,,,,,6/27/2012,1,,1210216,,,1.02,2,,,,,,,,,,,,,,,,,,,635180,,635183,
6815,REGULAR,WRS,121026.1,120710.2,120628.1,121026.1,120628.1,120628.1,120628.1,120717.1,121026.1,120628.1,120628.1,120628.1,120705.1,120628.1,121026.1,120705.1,120628.2,121026.1,120628.1,,,120628.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/26/2012,121,<LRL (0.02),1210242,0.01,ND,0,0.02,7/10/2012,13,,1210242,0.002,,0.018,0.004,6/28/2012,1,,1210242,,2626,10/26/2012,121,,1210242,0.02,,53.47,0.04,6/28/2012,1,,1210242,0.03,,150.998,0.06,6/28/2012,1,,1210242,,,10,5,6/28/2012,1,,1210242,,,812,2,7/17/2012,20,,1210242,0.1,,4.12,0.2,10/26/2012,121,,1210242,0.01,,14.85,0.02,6/28/2012,1,<LRL (0.02),1210242,0.01,ND,0.002,0.02,6/28/2012,1,,1210242,0.01,ND,0.002,0.02,6/28/2012,1,<LRL (0.02),1210242,0.01,ND,0,0.02,7/5/2012,8,,1210242,0.01,,0.623,0.02,6/28/2012,1,,1210242,,8.3,10/26/2012,121,,1210242,0.04,,2.569,0.08,7/5/2012,8,,1210242,2,,46,4,6/28/2012,1,,1210242,0.005,,4.388,0.01,10/26/2012,121,1210242,0.02,,87.24,0.04,6/28/2012,1,,1210242,0.09,,35.049,0.18,,,,,,,,,,6/28/2012,1,,1210242,,,3.51,2,,,,,,,,,,,,,,,,,,,637220,,637223,
