UID,SITE_ID,AGGR_ECO3_2015,AGGR_ECO9_2015,STATE,ECO_BIO,YEAR,VISIT_NO,DATE_COL,CLEAR_TO_BOTTOM,DISAPPEARS,REAPPEARS,SAMPLE_DEPTH,SECCHI,PUBLICATION_DATE
6361,NLA12_NM-105,PLNLOW,SPL,NM,PLAINS,2012,1,5/30/2012,,0.3,0.3,,0.3,8/23/2016
6362,NLA12_SD-101,PLNLOW,NPL,SD,PLAINS,2012,1,5/31/2012,,1.8,1.7,,1.75,8/23/2016
6372,NLA12_NM-104,WMTNS,XER,NM,WMTNS,2012,1,6/1/2012,,2.6,2.6,,2.6,8/23/2016
6373,NLA12_KY-120,PLNLOW,CPL,KY,CPL,2012,1,5/31/2012,,0.3,0.1,,0.2,8/23/2016
6374,NLA12_KY-122,EHIGH,SAP,KY,EHIGH,2012,1,6/3/2012,,0.8,0.5,,0.65,8/23/2016
6381,NLA12_TN-114,PLNLOW,CPL,TN,CPL,2012,1,5/31/2012,,0.6,0.5,,0.55,8/23/2016
6394,NLA12_TN-113,PLNLOW,CPL,TN,CPL,2012,1,6/1/2012,,0.7,0.5,,0.6,8/23/2016
6395,NLA12_TN-108,EHIGH,SAP,TN,EHIGH,2012,1,5/29/2012,,0.4,0.2,,0.3,8/23/2016
6396,NLA12_KY-102,EHIGH,SAP,KY,EHIGH,2012,1,6/1/2012,,1.5,1.2,,1.35,8/23/2016
6397,NLA12_SC-106,EHIGH,SAP,SC,EHIGH,2012,1,6/1/2012,,1.4,1.3,,1.35,8/23/2016
6398,NLA12_NC-109,EHIGH,SAP,NC,EHIGH,2012,1,6/4/2012,,3.6,3.4,,3.5,8/23/2016
6399,NLA12_NC-101,EHIGH,SAP,NC,EHIGH,2012,1,6/3/2012,,1.3,1.1,,1.2,8/23/2016
6400,NLA12_NC-108,EHIGH,SAP,NC,EHIGH,2012,1,6/2/2012,,3.25,3,,3.125,8/23/2016
6402,NLA12_SD-138,PLNLOW,TPL,SD,PLAINS,2012,1,6/4/2012,,3.1,3.05,,3.075,8/23/2016
6403,NLA12_NM-117,WMTNS,WMT,NM,WMTNS,2012,1,6/3/2012,,3.8,3.8,,3.8,8/23/2016
6404,NLA12_KS-108,PLNLOW,TPL,KS,PLAINS,2012,1,6/4/2012,,0.19,0.18,,0.185,8/23/2016
6411,NLA12_KY-114,PLNLOW,TPL,KY,PLAINS,2012,1,6/4/2012,,1.5,1.3,,1.4,8/23/2016
6412,NLA12_NM-133,WMTNS,WMT,NM,WMTNS,2012,1,6/4/2012,Y,1.37,1.37,,1.37,8/23/2016
6414,NLA12_MS-107,PLNLOW,CPL,MS,CPL,2012,1,6/4/2012,,0.3,0.15,,0.225,8/23/2016
6415,NLA12_MS-106,PLNLOW,CPL,MS,CPL,2012,1,6/2/2012,,1,0.9,,0.95,8/23/2016
6416,NLA12_IA-107,PLNLOW,TPL,IA,PLAINS,2012,1,6/4/2012,,0.17,0.16,,0.165,8/23/2016
6417,NLA12_SD-130,PLNLOW,TPL,SD,PLAINS,2012,1,6/5/2012,,0.5,0.4,,0.45,8/23/2016
6421,NLA12_KS-109,PLNLOW,TPL,KS,PLAINS,2012,1,6/5/2012,,1.25,1.2,,1.225,8/23/2016
6422,NLA12_SD-182,PLNLOW,TPL,SD,PLAINS,2012,1,6/5/2012,,4.75,4.75,,4.75,8/23/2016
6424,NLA12_VA-109,EHIGH,SAP,VA,EHIGH,2012,1,6/5/2012,Y,1.3,1.3,,1.3,8/23/2016
6427,NLA12_MT-113,PLNLOW,NPL,MT,PLAINS,2012,1,6/5/2012,Y,5.85,,,,8/23/2016
6428,NLA12_KY-117,EHIGH,SAP,KY,EHIGH,2012,1,6/5/2012,,1.3,1.1,,1.2,8/23/2016
6437,NLA12_KS-103,PLNLOW,TPL,KS,PLAINS,2012,1,6/6/2012,,1.26,1.2,,1.23,8/23/2016
6438,NLA12_VA-116,EHIGH,SAP,VA,EHIGH,2012,1,6/6/2012,,1.56,1.5,,1.53,8/23/2016
6440,NLA12_SD-166,PLNLOW,TPL,SD,PLAINS,2012,1,6/4/2012,Y,,1.2,,,8/23/2016
6444,NLA12_SC-103,EHIGH,SAP,SC,EHIGH,2012,1,6/5/2012,,7.4,7.3,,7.35,8/23/2016
6445,NLA12_SD-104,PLNLOW,TPL,SD,PLAINS,2012,1,6/6/2012,,4.1,3.9,,4,8/23/2016
6446,NLA12_SD-122,PLNLOW,TPL,SD,PLAINS,2012,1,6/6/2012,,0.35,0.3,,0.325,8/23/2016
6447,NLA12_UT-112,WMTNS,WMT,UT,WMTNS,2012,1,6/5/2012,,1,0.9,,0.95,8/23/2016
6449,NLA12_UT-128,WMTNS,XER,UT,WMTNS,2012,1,6/6/2012,,0.4,0.35,,0.375,8/23/2016
6451,NLA12_PA-107,EHIGH,SAP,PA,EHIGH,2012,1,6/6/2012,,0.91,0.86,,0.885,8/23/2016
6456,NLA12_KS-R02,PLNLOW,TPL,KS,PLAINS,2012,1,6/7/2012,,0.7,0.7,,0.7,8/23/2016
6462,NLA12_MO-109,PLNLOW,TPL,MO,PLAINS,2012,1,6/5/2012,,0.75,0.78,,0.765,8/23/2016
6464,NLA12_IA-132,PLNLOW,TPL,IA,PLAINS,2012,1,6/7/2012,,0.32,0.3,,0.31,8/23/2016
6469,NLA12_NC-116,EHIGH,SAP,NC,EHIGH,2012,1,6/6/2012,,0.7,0.7,,0.7,8/23/2016
6470,NLA12_MN-145,PLNLOW,UMW,MN,UMW,2012,1,6/6/2012,Y,3.6,3.6,,3.6,8/23/2016
6471,NLA12_MN-118,PLNLOW,UMW,MN,UMW,2012,1,6/7/2012,,0.2,0.15,,0.175,8/23/2016
6472,NLA12_MN-111,PLNLOW,UMW,MN,UMW,2012,1,6/7/2012,,4.8,4.8,,4.8,8/23/2016
6475,NLA12_ND-104,PLNLOW,NPL,ND,PLAINS,2012,1,6/7/2012,,0.6,0.5,,0.55,8/23/2016
6476,NLA12_ND-118,PLNLOW,NPL,ND,PLAINS,2012,1,6/7/2012,,1.8,1.7,,1.75,8/23/2016
6477,NLA12_NM-150,WMTNS,XER,NM,WMTNS,2012,1,6/6/2012,,0.25,0.23,,0.24,8/23/2016
6478,NLA12_UT-104,WMTNS,XER,UT,WMTNS,2012,1,6/7/2012,,0.9,0.85,,0.875,8/23/2016
6481,NLA12_NV-106,WMTNS,XER,NV,WMTNS,2012,1,6/7/2012,,0.42,0.42,,0.42,8/23/2016
6482,NLA12_NV-101,WMTNS,XER,NV,WMTNS,2012,1,6/6/2012,,0.2,0.18,,0.19,8/23/2016
6485,NLA12_KS-125,PLNLOW,TPL,KS,PLAINS,2012,1,6/8/2012,,2.8,2.7,,2.75,8/23/2016
6500,NLA12_NM-134,WMTNS,XER,NM,WMTNS,2012,1,6/7/2012,,3.2,3.2,,3.2,8/23/2016
6501,NLA12_NM-138,WMTNS,WMT,NM,WMTNS,2012,1,6/8/2012,,2.5,2.5,,2.5,8/23/2016
6504,NLA12_NC-103,PLNLOW,CPL,NC,CPL,2012,1,6/7/2012,,1.9,1.8,,1.85,8/23/2016
6507,NLA12_NM-129,PLNLOW,SPL,NM,PLAINS,2012,1,6/10/2012,,1.2,1.2,,1.2,8/23/2016
6517,NLA12_MO-107,PLNLOW,CPL,MO,CPL,2012,1,6/7/2012,,0.35,0.35,,0.35,8/23/2016
6518,NLA12_IL-R01,EHIGH,SAP,IL,EHIGH,2012,1,6/11/2012,,2.4,2.37,,2.385,8/23/2016
6524,NLA12_KS-138,PLNLOW,SPL,KS,PLAINS,2012,1,6/11/2012,,2.22,2.18,,2.2,8/23/2016
6525,NLA12_OK-121,PLNLOW,SPL,OK,PLAINS,2012,1,6/11/2012,,0.19,0.2,,0.195,8/23/2016
6526,NLA12_MN-132,PLNLOW,UMW,MN,UMW,2012,1,6/11/2012,,3.3,3.4,,3.35,8/23/2016
6527,NLA12_UT-102,WMTNS,XER,UT,WMTNS,2012,1,6/11/2012,,4.9,4.8,,4.85,8/23/2016
6530,NLA12_IA-105,PLNLOW,TPL,IA,PLAINS,2012,1,6/11/2012,,0.25,0.2,,0.225,8/23/2016
6532,NLA12_NM-160,PLNLOW,SPL,NM,PLAINS,2012,1,6/11/2012,,0.11,0.11,,0.11,8/23/2016
6533,NLA12_IL-R04,EHIGH,SAP,IL,EHIGH,2012,1,6/12/2012,,1.49,1.45,,1.47,8/23/2016
6534,NLA12_MS-101,PLNLOW,CPL,MS,CPL,2012,1,6/9/2012,,0.6,0.35,,0.475,8/23/2016
6535,NLA12_MS-102,PLNLOW,CPL,MS,CPL,2012,1,6/10/2012,,1.2,0.7,,0.95,8/23/2016
6536,NLA12_MS-104,PLNLOW,CPL,MS,CPL,2012,1,6/8/2012,,0.6,0.5,,0.55,8/23/2016
6537,NLA12_PA-101,EHIGH,SAP,PA,EHIGH,2012,1,6/12/2012,,1.5,1.25,,1.375,8/23/2016
6538,NLA12_ND-139,PLNLOW,NPL,ND,PLAINS,2012,1,6/12/2012,,3,2.8,,2.9,8/23/2016
6541,NLA12_IA-120,PLNLOW,TPL,IA,PLAINS,2012,1,6/12/2012,,0.25,0.25,,0.25,8/23/2016
6542,NLA12_MT-104,PLNLOW,NPL,MT,PLAINS,2012,1,6/12/2012,,3.69,3.63,,3.66,8/23/2016
6543,NLA12_SD-114,PLNLOW,TPL,SD,PLAINS,2012,1,6/12/2012,,0.5,0.5,,0.5,8/23/2016
6544,NLA12_SD-115,PLNLOW,TPL,SD,PLAINS,2012,1,6/12/2012,,0.3,0.25,,0.275,8/23/2016
6546,NLA12_ND-146,PLNLOW,TPL,ND,PLAINS,2012,1,6/12/2012,,0.88,0.84,,0.86,8/23/2016
6547,NLA12_MN-120,PLNLOW,UMW,MN,UMW,2012,1,6/12/2012,,2.6,2.4,,2.5,8/23/2016
6548,NLA12_MN-122,PLNLOW,UMW,MN,UMW,2012,1,6/12/2012,Y,4,4,,4,8/23/2016
6549,NLA12_NH-108,EHIGH,NAP,NH,EHIGH,2012,1,6/12/2012,,1.77,1.76,,1.765,8/23/2016
6550,NLA12_OK-101,PLNLOW,SPL,OK,PLAINS,2012,1,6/12/2012,,0.85,0.8,,0.825,8/23/2016
6551,NLA12_OK-291,EHIGH,SAP,OK,EHIGH,2012,1,6/12/2012,,0.4,0.35,,0.375,8/23/2016
6552,NLA12_UT-110,WMTNS,XER,UT,WMTNS,2012,1,6/12/2012,Y,,,,,8/23/2016
6553,NLA12_VA-108,EHIGH,SAP,VA,EHIGH,2012,1,6/12/2012,,1.71,1.6,,1.655,8/23/2016
6554,NLA12_WV-102,EHIGH,SAP,WV,EHIGH,2012,1,6/12/2012,,2,1.85,,1.925,8/23/2016
6555,NLA12_OK-108,PLNLOW,SPL,OK,PLAINS,2012,1,6/11/2012,,1.26,1.2,,1.23,8/23/2016
6556,NLA12_OK-135,PLNLOW,SPL,OK,PLAINS,2012,1,6/11/2012,,0.2,0.15,,0.175,8/23/2016
6558,NLA12_CA-174,WMTNS,XER,CA,WMTNS,2012,1,6/11/2012,,3.4,3.16,,3.28,8/23/2016
6559,NLA12_CA-116,WMTNS,WMT,CA,WMTNS,2012,1,6/12/2012,,9.84,9.37,,9.605,8/23/2016
6564,NLA12_KS-R08,PLNLOW,TPL,KS,PLAINS,2012,1,6/13/2012,,0.6,0.6,,0.6,8/23/2016
6566,NLA12_ND-110,PLNLOW,NPL,ND,PLAINS,2012,1,6/13/2012,,0.8,0.7,,0.75,8/23/2016
6568,NLA12_VA-125,EHIGH,SAP,VA,EHIGH,2012,1,6/13/2012,,3.71,3.64,,3.675,8/23/2016
6570,NLA12_KS-105,PLNLOW,SPL,KS,PLAINS,2012,1,6/13/2012,,0.28,0.25,,0.265,8/23/2016
6571,NLA12_IL-R03,EHIGH,SAP,IL,EHIGH,2012,1,6/13/2012,,1.51,1.35,,1.43,8/23/2016
6572,NLA12_LA-101,PLNLOW,CPL,LA,CPL,2012,1,6/12/2012,,1,0.75,,0.875,8/23/2016
6574,NLA12_MN-137,PLNLOW,TPL,MN,PLAINS,2012,1,6/13/2012,,0.2,0.3,,0.25,8/23/2016
6575,NLA12_UT-109,WMTNS,XER,UT,WMTNS,2012,1,6/12/2012,,1.4,1.3,,1.35,8/23/2016
6576,NLA12_NY-0104,EHIGH,NAP,NY,EHIGH,2012,1,6/13/2012,,0.6,0.5,,0.55,8/23/2016
6577,NLA12_ND-162,PLNLOW,TPL,ND,PLAINS,2012,1,6/13/2012,,0.4,0.32,,0.36,8/23/2016
6584,NLA12_KS-R07,PLNLOW,TPL,KS,PLAINS,2012,1,6/14/2012,,0.7,0.7,,0.7,8/23/2016
6585,NLA12_GA-107,PLNLOW,CPL,GA,CPL,2012,1,6/13/2012,,0.49,0.43,,0.46,8/23/2016
6586,NLA12_TX-121,PLNLOW,CPL,TX,CPL,2012,1,6/13/2012,,0.8,0.76,,0.78,8/23/2016
6587,NLA12_VA-114,EHIGH,SAP,VA,EHIGH,2012,1,6/14/2012,,0.9,0.86,,0.88,8/23/2016
6590,NLA12_WV-106,EHIGH,SAP,WV,EHIGH,2012,1,6/13/2012,,2.5,2.25,,2.375,8/23/2016
6594,NLA12_ND-178,PLNLOW,TPL,ND,PLAINS,2012,1,6/14/2012,,4,3.8,,3.9,8/23/2016
6596,NLA12_CA-132,WMTNS,WMT,CA,WMTNS,2012,1,6/13/2012,,4.25,3.92,,4.085,8/23/2016
6599,NLA12_ND-163,PLNLOW,NPL,ND,PLAINS,2012,1,6/14/2012,,0.8,0.75,,0.775,8/23/2016
6601,NLA12_NH-104,EHIGH,NAP,NH,EHIGH,2012,1,6/14/2012,N,2.8,2.7,,2.75,8/23/2016
6602,NLA12_MN-107,PLNLOW,UMW,MN,UMW,2012,1,6/13/2012,,1.8,1.8,,1.8,8/23/2016
6603,NLA12_LA-134,PLNLOW,CPL,LA,CPL,2012,1,6/14/2012,,0.5,0.4,,0.45,8/23/2016
6604,NLA12_IA-101,PLNLOW,TPL,IA,PLAINS,2012,1,6/14/2012,,0.36,0.33,,0.345,8/23/2016
6606,NLA12_KS-102,PLNLOW,SPL,KS,PLAINS,2012,1,6/12/2012,,0.92,0.9,,0.91,8/23/2016
6608,NLA12_TX-R02,PLNLOW,CPL,TX,CPL,2012,1,6/13/2012,,2.02,2,,2.01,8/23/2016
6609,NLA12_KS-124,PLNLOW,TPL,KS,PLAINS,2012,1,6/14/2012,,0.36,0.3,,0.33,8/23/2016
6612,NLA12_AZ-101,WMTNS,XER,AZ,WMTNS,2012,2,6/14/2012,,2.3,2.2,,2.25,8/23/2016
6613,NLA12_KS-R11,PLNLOW,SPL,KS,PLAINS,2012,1,6/15/2012,,1.1,1.1,,1.1,8/23/2016
6614,NLA12_MO-119,PLNLOW,TPL,MO,PLAINS,2012,1,6/14/2012,,0.89,0.93,,0.91,8/23/2016
6617,NLA12_NV-127,WMTNS,XER,NV,WMTNS,2012,1,6/12/2012,Y,2.2,2.2,,2.2,8/23/2016
6618,NLA12_NV-167,WMTNS,XER,NV,WMTNS,2012,1,6/14/2012,Y,,,,,8/23/2016
6622,NLA12_TX-144,PLNLOW,SPL,TX,PLAINS,2012,1,6/14/2012,,1.3,1.1,,1.2,8/23/2016
6628,NLA12_LA-102,PLNLOW,CPL,LA,CPL,2012,1,6/17/2012,,0.6,0.5,,0.55,8/23/2016
6633,NLA12_WI-R06,PLNLOW,UMW,WI,UMW,2012,1,6/18/2012,,1.39,1.44,,1.415,8/23/2016
6634,NLA12_SD-168,PLNLOW,NPL,SD,PLAINS,2012,1,6/18/2012,,2.2,2.1,,2.15,8/23/2016
6636,NLA12_ND-186,PLNLOW,NPL,ND,PLAINS,2012,1,6/18/2012,,0.72,0.64,,0.68,8/23/2016
6642,NLA12_CA-157,WMTNS,XER,CA,WMTNS,2012,1,6/18/2012,,2.66,2.32,,2.49,8/23/2016
6643,NLA12_LA-105,PLNLOW,CPL,LA,CPL,2012,1,6/18/2012,,1.2,1.1,,1.15,8/23/2016
6644,NLA12_LA-161,PLNLOW,CPL,LA,CPL,2012,1,6/18/2012,,1.3,1.2,,1.25,8/23/2016
6645,NLA12_ND-108,PLNLOW,NPL,ND,PLAINS,2012,1,6/18/2012,,0.1,0.1,,0.1,8/23/2016
6646,NLA12_OK-134,PLNLOW,SPL,OK,PLAINS,2012,1,6/18/2012,,0.22,0.18,,0.2,8/23/2016
6647,NLA12_TX-165,PLNLOW,CPL,TX,CPL,2012,1,6/18/2012,,1.4,1.3,,1.35,8/23/2016
6654,NLA12_ND-126,PLNLOW,NPL,ND,PLAINS,2012,1,6/19/2012,,0.32,0.28,,0.3,8/23/2016
6656,NLA12_KS-101,PLNLOW,SPL,KS,PLAINS,2012,1,6/19/2012,Y,0.06,0.07,,0.065,8/23/2016
6659,NLA12_CA-121,WMTNS,XER,CA,WMTNS,2012,1,6/19/2012,,2.5,2.16,,2.33,8/23/2016
6660,NLA12_IA-109,PLNLOW,TPL,IA,PLAINS,2012,1,6/18/2012,Y,1.54,1.54,,1.54,8/23/2016
6661,NLA12_LA-103,PLNLOW,CPL,LA,CPL,2012,1,6/19/2012,,0.3,0.2,,0.25,8/23/2016
6662,NLA12_LA-152,PLNLOW,CPL,LA,CPL,2012,1,6/19/2012,,0.6,0.5,,0.55,8/23/2016
6663,NLA12_MN-102,PLNLOW,UMW,MN,UMW,2012,1,6/19/2012,,2.5,2.4,,2.45,8/23/2016
6664,NLA12_MT-109,PLNLOW,NPL,MT,PLAINS,2012,1,6/19/2012,,1.48,1.48,,1.48,8/23/2016
6665,NLA12_UT-105,WMTNS,WMT,UT,WMTNS,2012,1,6/19/2012,,5.6,5.5,,5.55,8/23/2016
6666,NLA12_TX-117,PLNLOW,CPL,TX,CPL,2012,1,6/19/2012,,0.35,0.3,,0.325,8/23/2016
6667,NLA12_OR-110,WMTNS,WMT,OR,WMTNS,2012,1,6/18/2012,,2,2.1,,2.05,8/23/2016
6668,NLA12_OK-120,PLNLOW,SPL,OK,PLAINS,2012,1,6/19/2012,,0.9,0.93,,0.915,8/23/2016
6669,NLA12_OK-104,PLNLOW,SPL,OK,PLAINS,2012,1,6/19/2012,,1.4,1.2,,1.3,8/23/2016
6670,NLA12_NH-101,EHIGH,NAP,NH,EHIGH,2012,1,6/19/2012,N,3.1,3,,3.05,8/23/2016
6680,NLA12_MI-R08,PLNLOW,UMW,MI,UMW,2012,1,6/20/2012,,1.74,1.53,,1.635,8/23/2016
6683,NLA12_SD-172,PLNLOW,NPL,SD,PLAINS,2012,1,6/20/2012,,1.2,1.1,,1.15,8/23/2016
6684,NLA12_SD-124,PLNLOW,NPL,SD,PLAINS,2012,1,6/19/2012,,0.45,0.45,,0.45,8/23/2016
6685,NLA12_SD-140,PLNLOW,NPL,SD,PLAINS,2012,1,6/19/2012,,0.5,0.45,,0.475,8/23/2016
6686,NLA12_MN-108,PLNLOW,UMW,MN,UMW,2012,1,6/19/2012,,4.1,3.9,,4,8/23/2016
6689,NLA12_CT-101,EHIGH,NAP,CT,EHIGH,2012,1,6/20/2012,Y,1.92,1.92,,1.92,8/23/2016
6690,NLA12_NH-R04,EHIGH,NAP,NH,EHIGH,2012,1,6/18/2012,,8.095,8.12,,8.1075,8/23/2016
6692,NLA12_WV-101,EHIGH,SAP,WV,EHIGH,2012,1,6/19/2012,,5.41,4.23,,4.82,8/23/2016
6693,NLA12_ND-155,PLNLOW,NPL,ND,PLAINS,2012,1,6/20/2012,Y,1.7,1.7,,1.7,8/23/2016
6694,NLA12_NY-0101,EHIGH,NAP,NY,EHIGH,2012,1,6/20/2012,,8.5,8.3,,8.4,8/23/2016
6695,NLA12_OK-109,PLNLOW,TPL,OK,PLAINS,2012,1,6/20/2012,,0.5,0.45,,0.475,8/23/2016
6696,NLA12_MT-118,PLNLOW,NPL,MT,PLAINS,2012,1,6/20/2012,,0.77,0.63,,0.7,8/23/2016
6697,NLA12_ND-151,PLNLOW,NPL,ND,PLAINS,2012,1,6/20/2012,,0.4,0.3,,0.35,8/23/2016
6714,NLA12_WV-115,EHIGH,SAP,WV,EHIGH,2012,1,6/20/2012,,2.3,2.05,,2.175,8/23/2016
6715,NLA12_NH-112,EHIGH,NAP,NH,EHIGH,2012,1,6/21/2012,N,3.4,3.3,,3.35,8/23/2016
6716,NLA12_MN-163,PLNLOW,UMW,MN,UMW,2012,1,6/21/2012,,0.6,0.4,,0.5,8/23/2016
6717,NLA12_ND-173,PLNLOW,NPL,ND,PLAINS,2012,1,6/21/2012,,1.6,1.5,,1.55,8/23/2016
6718,NLA12_LA-104,PLNLOW,CPL,LA,CPL,2012,1,6/20/2012,,1.1,1,,1.05,8/23/2016
6719,NLA12_NV-103,WMTNS,XER,NV,WMTNS,2012,1,6/19/2012,Y,2,2,,2,8/23/2016
6720,NLA12_NV-102,WMTNS,XER,NV,WMTNS,2012,1,6/20/2012,,1.32,1.13,,1.225,8/23/2016
6721,NLA12_MN-130,PLNLOW,UMW,MN,UMW,2012,1,6/21/2012,,1.6,1.5,,1.55,8/23/2016
6722,NLA12_KS-109,PLNLOW,TPL,KS,PLAINS,2012,2,6/21/2012,,1.1,1.05,,1.075,8/23/2016
6723,NLA12_LA-154,PLNLOW,CPL,LA,CPL,2012,1,6/21/2012,,0.2,0.1,,0.15,8/23/2016
