UID,SITE_ID,VISIT_NO,DATE_COL,ECO_BIO,AGGR_ECO3_2015,AGGR_ECO9_2015,ZOOP_COND,MMI_ZOOP_NLA6,ABUN_PT,CLAD_PT,COPE_PT,ROTI_PT,RICH_PT,TROP_PT,PUBLICATION_DATE
6341,NLA12_NM-152,1,5/29/2012,PLAINS,PLNLOW,SPL,Poor,0.3,0,0.1,0.08,0,0,0,8/19/2016
6342,NLA12_CO-110,1,5/29/2012,PLAINS,PLNLOW,SPL,Fair,42.62,2.79,4.15,0.02,4.29,5.56,8.76,8/19/2016
6344,NLA12_ND-101,1,5/30/2012,PLAINS,PLNLOW,TPL,Fair,34.25,0.17,2.64,0.02,3.57,5.56,8.59,8/19/2016
6345,NLA12_KY-104,1,5/30/2012,CPL,PLNLOW,CPL,Poor,33.67,0,9.82,3.9,0,5,1.48,8/19/2016
6346,NLA12_KS-130,1,5/30/2012,PLAINS,PLNLOW,TPL,Fair,41.27,3.19,0.93,2.27,5.71,3.33,9.33,8/19/2016
6347,NLA12_PA-108,1,5/30/2012,CPL,PLNLOW,CPL,Good,66.68,9.05,9.96,8.23,0.02,5,7.75,8/19/2016
6359,NLA12_NC-105,1,5/30/2012,EHIGH,EHIGH,SAP,Good,87.47,9.85,9.98,10,9.42,7.96,5.27,8/19/2016
6361,NLA12_NM-105,1,5/30/2012,PLAINS,PLNLOW,SPL,Poor,20.43,1.19,0.05,0,0,1.11,9.91,8/19/2016
6362,NLA12_SD-101,1,5/31/2012,PLAINS,PLNLOW,NPL,Poor,17.45,0.1,0.61,0.04,2.86,1.11,5.75,8/19/2016
6372,NLA12_NM-104,1,6/1/2012,WMTNS,WMTNS,XER,Good,65.33,8.38,4.39,8.7,6.56,4.17,7,8/19/2016
6373,NLA12_KY-120,1,5/31/2012,CPL,PLNLOW,CPL,Poor,39.83,1.71,1.58,8.71,0,7,4.9,8/19/2016
6374,NLA12_KY-122,1,6/3/2012,EHIGH,EHIGH,SAP,Fair,60.62,8.84,9.98,7.02,7.69,2.84,0,8/19/2016
6381,NLA12_TN-114,1,5/31/2012,CPL,PLNLOW,CPL,Good,61.32,7.61,9.81,9.96,0,2,7.41,8/19/2016
6393,NLA12_TN-101,1,5/30/2012,EHIGH,EHIGH,SAP,Fair,64.38,6.9,7.44,7.73,7.09,8.8,0.67,8/19/2016
6394,NLA12_TN-113,1,6/1/2012,CPL,PLNLOW,CPL,Fair,54.95,9.14,9.63,4.4,0,3,6.8,8/19/2016
6395,NLA12_TN-108,1,5/29/2012,EHIGH,EHIGH,SAP,Fair,65.87,9.84,9.98,9.86,4.75,5.09,0,8/19/2016
6396,NLA12_KY-102,1,6/1/2012,EHIGH,EHIGH,SAP,Poor,55.12,9.47,9.31,6.51,3.04,3.18,1.56,8/19/2016
6397,NLA12_SC-106,1,6/1/2012,EHIGH,EHIGH,SAP,Fair,63.73,9.97,10,7.99,0.55,9.06,0.67,8/19/2016
6398,NLA12_NC-109,1,6/4/2012,EHIGH,EHIGH,SAP,Good,85.7,9.56,5.66,10,9.62,7.38,9.2,8/19/2016
6399,NLA12_NC-101,1,6/3/2012,EHIGH,EHIGH,SAP,Fair,69.57,9.77,9.18,8.41,8.11,5.75,0.52,8/19/2016
6400,NLA12_NC-108,1,6/2/2012,EHIGH,EHIGH,SAP,Good,73.4,8.42,10,9.32,9.83,0,6.47,8/19/2016
6402,NLA12_SD-138,1,6/4/2012,PLAINS,PLNLOW,TPL,Fair,35.48,3.87,1.84,0.07,5.71,6.67,3.13,8/19/2016
6403,NLA12_NM-117,1,6/3/2012,WMTNS,WMTNS,WMT,Fair,59.42,4.81,5.06,9.53,8.17,5,3.08,8/19/2016
6404,NLA12_KS-108,1,6/4/2012,PLAINS,PLNLOW,TPL,Fair,33.77,0.31,5.56,0.07,2.14,5.56,6.62,8/19/2016
6411,NLA12_KY-114,1,6/4/2012,PLAINS,PLNLOW,TPL,Good,56.03,5.47,0.17,0.1,9.29,8.89,9.7,8/19/2016
6412,NLA12_NM-133,1,6/4/2012,WMTNS,WMTNS,WMT,Fair,60.08,8.78,2.35,6.92,6.48,4.17,7.35,8/19/2016
6414,NLA12_MS-107,1,6/4/2012,CPL,PLNLOW,CPL,Poor,47.93,9.89,9.67,4.03,0,3,2.17,8/19/2016
6415,NLA12_MS-106,1,6/2/2012,CPL,PLNLOW,CPL,Fair,58.18,10,7.7,7.93,0,4,5.28,8/19/2016
6416,NLA12_IA-107,1,6/4/2012,PLAINS,PLNLOW,TPL,Good,48.33,0,10,0.01,4.29,5.56,9.14,8/19/2016
6417,NLA12_SD-130,1,6/5/2012,PLAINS,PLNLOW,TPL,Good,66.27,3.99,9.5,0.03,7.86,10,8.38,8/19/2016
6421,NLA12_KS-109,1,6/5/2012,PLAINS,PLNLOW,TPL,Good,55.97,8.35,2.38,0.5,5.71,6.67,9.97,8/19/2016
6422,NLA12_SD-182,1,6/5/2012,PLAINS,PLNLOW,TPL,Fair,36.25,1.16,0.21,0.01,5.71,5.56,9.1,8/19/2016
6424,NLA12_VA-109,1,6/5/2012,EHIGH,EHIGH,SAP,Poor,53.35,9.91,9.83,0,2.27,10,0,8/19/2016
6427,NLA12_MT-113,1,6/5/2012,PLAINS,PLNLOW,NPL,Poor,17.07,0,0.07,0,0,1.11,9.06,8/19/2016
6428,NLA12_KY-117,1,6/5/2012,EHIGH,EHIGH,SAP,Poor,56.77,7.6,0,7.55,9,5.91,4,8/19/2016
6437,NLA12_KS-103,1,6/6/2012,PLAINS,PLNLOW,TPL,Poor,24.57,0.07,0.04,0,1.43,3.33,9.87,8/19/2016
6438,NLA12_VA-116,1,6/6/2012,EHIGH,EHIGH,SAP,Poor,57.27,9.78,9.93,2.88,3.96,2.23,5.58,8/19/2016
6440,NLA12_SD-166,1,6/4/2012,PLAINS,PLNLOW,TPL,Good,64.23,4.28,5.37,0.06,9.29,10,9.54,8/19/2016
6444,NLA12_SC-103,1,6/5/2012,EHIGH,EHIGH,SAP,Good,73.05,9.96,9.97,9.34,5.85,1.45,7.26,8/19/2016
6445,NLA12_SD-104,1,6/6/2012,PLAINS,PLNLOW,TPL,Poor,5.65,0.01,0.28,0.02,0.71,2.22,0.15,8/19/2016
6446,NLA12_SD-122,1,6/6/2012,PLAINS,PLNLOW,TPL,Fair,33.8,0.84,0.51,0.33,5.71,3.33,9.56,8/19/2016
6447,NLA12_UT-112,1,6/5/2012,WMTNS,WMTNS,WMT,Fair,61.88,0,8.23,9.92,4.81,9.17,5,8/19/2016
6449,NLA12_UT-128,1,6/6/2012,WMTNS,WMTNS,XER,Fair,61.42,6.36,2.99,7.2,3.63,6.67,10,8/19/2016
6451,NLA12_PA-107,1,6/6/2012,EHIGH,EHIGH,SAP,Good,78.12,9.96,9.37,3.42,9.01,8.64,6.47,8/19/2016
6456,NLA12_KS-R02,1,6/7/2012,PLAINS,PLNLOW,TPL,Good,61.12,10,0.39,0.01,8.57,7.78,9.92,8/19/2016
6462,NLA12_MO-109,1,6/5/2012,PLAINS,PLNLOW,TPL,Good,52.75,5.09,4.93,0.01,5,6.67,9.95,8/19/2016
6464,NLA12_IA-132,1,6/7/2012,PLAINS,PLNLOW,TPL,Fair,42.73,1.4,0.83,0.06,6.43,7.78,9.14,8/19/2016
6469,NLA12_NC-116,1,6/6/2012,EHIGH,EHIGH,SAP,Poor,42.95,6.17,8.86,1.66,0.46,3.95,4.67,8/19/2016
6470,NLA12_MN-145,1,6/6/2012,UMW,PLNLOW,UMW,Poor,51.72,10,5,0,6.72,7.24,2.07,8/19/2016
6471,NLA12_MN-118,1,6/7/2012,UMW,PLNLOW,UMW,Fair,58.42,10,10,0,4.95,3.1,7,8/19/2016
6472,NLA12_MN-111,1,6/7/2012,UMW,PLNLOW,UMW,Good,66.27,10,4.21,7.59,7,3.1,7.86,8/19/2016
6475,NLA12_ND-104,1,6/7/2012,PLAINS,PLNLOW,NPL,Good,44.13,2.93,0.79,0.33,7.14,5.56,9.73,8/19/2016
6476,NLA12_ND-118,1,6/7/2012,PLAINS,PLNLOW,NPL,Poor,0.32,0.08,0.04,0.07,0,0,0,8/19/2016
6477,NLA12_NM-150,1,6/6/2012,WMTNS,WMTNS,XER,Poor,46.62,8.39,4.39,0,4.67,3.33,7.19,8/19/2016
6478,NLA12_UT-104,1,6/7/2012,WMTNS,WMTNS,XER,Fair,61.95,9.72,3.47,9.3,5.38,1.67,7.63,8/19/2016
6481,NLA12_NV-106,1,6/7/2012,WMTNS,WMTNS,XER,Fair,58.47,6.85,4.29,9.99,7.41,0,6.54,8/19/2016
6482,NLA12_NV-101,1,6/6/2012,WMTNS,WMTNS,XER,Fair,59.53,9.07,5.49,7.99,0,9.17,4,8/19/2016
6485,NLA12_KS-125,1,6/8/2012,PLAINS,PLNLOW,TPL,Fair,33.38,1.87,0,0.66,4.29,3.33,9.88,8/19/2016
6500,NLA12_NM-134,1,6/7/2012,WMTNS,WMTNS,XER,Fair,64.03,9.94,2.35,8.97,6.48,3.33,7.35,8/19/2016
6501,NLA12_NM-138,1,6/8/2012,WMTNS,WMTNS,WMT,Poor,53.22,6.51,4.11,7.35,3.44,3.33,7.19,8/19/2016
6504,NLA12_NC-103,1,6/7/2012,CPL,PLNLOW,CPL,Good,67.37,9.46,10,7.91,0,5,8.05,8/19/2016
6507,NLA12_NM-129,1,6/10/2012,PLAINS,PLNLOW,SPL,Poor,4.4,0.23,0.13,0.06,0,2.22,0,8/19/2016
6517,NLA12_MO-107,1,6/7/2012,CPL,PLNLOW,CPL,Poor,24.07,9.02,0,0,0,0,5.42,8/19/2016
6518,NLA12_IL-R01,1,6/11/2012,EHIGH,EHIGH,SAP,Good,76.4,8.72,4.68,8.18,7.26,7,10,8/19/2016
6524,NLA12_KS-138,1,6/11/2012,PLAINS,PLNLOW,SPL,Poor,25.08,0.77,0.06,0.09,1.43,3.33,9.37,8/19/2016
6525,NLA12_OK-121,1,6/11/2012,PLAINS,PLNLOW,SPL,Good,47.22,2.66,1.46,0.93,7.86,10,5.42,8/19/2016
6526,NLA12_MN-132,1,6/11/2012,UMW,PLNLOW,UMW,Fair,56.15,10,0,4.04,3.75,6.65,9.25,8/19/2016
6527,NLA12_UT-102,1,6/11/2012,WMTNS,WMTNS,XER,Good,70.57,9.89,4.11,9.37,9.95,1.67,7.35,8/19/2016
6530,NLA12_IA-105,1,6/11/2012,PLAINS,PLNLOW,TPL,Fair,42.88,3.13,2.26,0.06,4.29,6.67,9.32,8/19/2016
6532,NLA12_NM-160,1,6/11/2012,PLAINS,PLNLOW,SPL,Poor,5.03,0.13,0.84,0.23,0.71,1.11,0,8/19/2016
6533,NLA12_IL-R04,1,6/12/2012,EHIGH,EHIGH,SAP,Good,82.35,7.16,5.01,9.21,9.32,8.71,10,8/19/2016
6534,NLA12_MS-101,1,6/9/2012,CPL,PLNLOW,CPL,Poor,48,8.34,9.92,5.56,0.37,3,1.61,8/19/2016
6535,NLA12_MS-102,1,6/10/2012,CPL,PLNLOW,CPL,Good,61.88,9.9,10,5.55,0.37,5,6.31,8/19/2016
6536,NLA12_MS-104,1,6/8/2012,CPL,PLNLOW,CPL,Poor,38.38,0,10,7.67,0,4,1.36,8/19/2016
6537,NLA12_PA-101,1,6/12/2012,EHIGH,EHIGH,SAP,Poor,52.22,6.52,1.88,9.8,5.14,1.99,6,8/19/2016
6538,NLA12_ND-139,1,6/12/2012,PLAINS,PLNLOW,NPL,Poor,28.57,0.19,0.07,0,3.57,3.33,9.98,8/19/2016
6541,NLA12_IA-120,1,6/12/2012,PLAINS,PLNLOW,TPL,Poor,5.22,0.38,0.04,0.18,0,1.11,1.42,8/19/2016
6542,NLA12_MT-104,1,6/12/2012,PLAINS,PLNLOW,NPL,Poor,4.43,0,0.02,0.02,0,0,2.62,8/19/2016
6543,NLA12_SD-114,1,6/12/2012,PLAINS,PLNLOW,TPL,Good,58.88,10,0.45,2.37,7.14,5.56,9.81,8/19/2016
6544,NLA12_SD-115,1,6/12/2012,PLAINS,PLNLOW,TPL,Good,50.43,4.99,4.8,0,7.14,3.33,10,8/19/2016
6546,NLA12_ND-146,1,6/12/2012,PLAINS,PLNLOW,TPL,Good,46.2,10,1.46,0.47,3.57,2.22,10,8/19/2016
6547,NLA12_MN-120,1,6/12/2012,UMW,PLNLOW,UMW,Good,65.9,10,4,8.67,5.52,3.64,7.71,8/19/2016
6548,NLA12_MN-122,1,6/12/2012,UMW,PLNLOW,UMW,Fair,61.58,10,0,9.8,1.74,5.59,9.82,8/19/2016
6549,NLA12_NH-108,1,6/12/2012,EHIGH,EHIGH,NAP,Fair,62.07,10,9.9,9.54,0.51,0.25,7.04,8/19/2016
6550,NLA12_OK-101,1,6/12/2012,PLAINS,PLNLOW,SPL,Fair,40.9,10,0.56,0.01,2.86,1.11,10,8/19/2016
6551,NLA12_OK-291,1,6/12/2012,EHIGH,EHIGH,SAP,Fair,64,9.96,9.96,8.36,0.37,9.75,0,8/19/2016
6552,NLA12_UT-110,1,6/12/2012,WMTNS,WMTNS,XER,Fair,57.43,4.86,5.49,9.72,4.5,4.17,5.72,8/19/2016
6553,NLA12_VA-108,1,6/12/2012,EHIGH,EHIGH,SAP,Poor,55.47,8.85,5.67,4.11,4.29,6.36,4,8/19/2016
6554,NLA12_WV-102,1,6/12/2012,EHIGH,EHIGH,SAP,Fair,67.62,9.44,9.99,8.95,9.14,2.23,0.82,8/19/2016
6555,NLA12_OK-108,1,6/11/2012,PLAINS,PLNLOW,SPL,Fair,39.93,1.52,0.37,2.02,4.29,7.78,7.98,8/19/2016
6556,NLA12_OK-135,1,6/11/2012,PLAINS,PLNLOW,SPL,Poor,29.02,0.41,0.43,0.51,7.14,6.67,2.25,8/19/2016
6558,NLA12_CA-174,1,6/11/2012,WMTNS,WMTNS,XER,Fair,61.03,7.91,3.87,9.52,5.9,1.67,7.75,8/19/2016
6559,NLA12_CA-116,1,6/12/2012,WMTNS,WMTNS,WMT,Good,66.43,9.38,5.06,9.71,3.09,5.83,6.79,8/19/2016
6564,NLA12_KS-R08,1,6/13/2012,PLAINS,PLNLOW,TPL,Good,58.18,3.44,8.71,0.02,4.29,8.89,9.56,8/19/2016
6566,NLA12_ND-110,1,6/13/2012,PLAINS,PLNLOW,NPL,Poor,17.45,0.09,0,0.01,6.43,0,3.94,8/19/2016
6568,NLA12_VA-125,1,6/13/2012,EHIGH,EHIGH,SAP,Fair,69.25,8.04,10,8.81,9.59,0,5.11,8/19/2016
6570,NLA12_KS-105,1,6/13/2012,PLAINS,PLNLOW,SPL,Good,46.82,1.13,6.06,0.09,5,6.67,9.14,8/19/2016
6571,NLA12_IL-R03,1,6/13/2012,EHIGH,EHIGH,SAP,Good,83.55,9.62,9.87,9.98,1.4,9.26,10,8/19/2016
6572,NLA12_LA-101,1,6/12/2012,CPL,PLNLOW,CPL,Poor,47.7,9.19,5.28,4.7,0,7,2.45,8/19/2016
6574,NLA12_MN-137,1,6/13/2012,PLAINS,PLNLOW,TPL,Good,58.82,10,0.42,0.62,7.86,6.67,9.72,8/19/2016
6575,NLA12_UT-109,1,6/12/2012,WMTNS,WMTNS,XER,Good,68.18,9.06,2.74,8.15,10,4.17,6.79,8/19/2016
6576,NLA12_NY-0104,1,6/13/2012,EHIGH,EHIGH,NAP,Good,72.03,9.94,8.37,9.5,1.15,6.93,7.33,8/19/2016
6577,NLA12_ND-162,1,6/13/2012,PLAINS,PLNLOW,TPL,Good,57.92,9.14,0.7,0.07,9.29,5.56,9.99,8/19/2016
6584,NLA12_KS-R07,1,6/14/2012,PLAINS,PLNLOW,TPL,Good,61.13,9.62,3.52,0.05,5.71,7.78,10,8/19/2016
6585,NLA12_GA-107,1,6/13/2012,CPL,PLNLOW,CPL,Fair,56.18,9.14,9.94,4.07,0,4,6.56,8/19/2016
6586,NLA12_TX-121,1,6/13/2012,CPL,PLNLOW,CPL,Poor,40,8.55,9.84,0,0.61,5,0,8/19/2016
6587,NLA12_VA-114,1,6/14/2012,EHIGH,EHIGH,SAP,Good,75.58,9.86,9.96,8.13,2.63,4.77,10,8/19/2016
6590,NLA12_WV-106,1,6/13/2012,EHIGH,EHIGH,SAP,Good,89.22,9.7,9.98,8.97,9.33,7.2,8.35,8/19/2016
6594,NLA12_ND-178,1,6/14/2012,PLAINS,PLNLOW,TPL,Good,58.53,3.84,1.37,0,10,10,9.91,8/19/2016
6596,NLA12_CA-132,1,6/13/2012,WMTNS,WMTNS,WMT,Good,71.87,8.79,5.49,8.29,8.36,5,7.19,8/19/2016
6599,NLA12_ND-163,1,6/14/2012,PLAINS,PLNLOW,NPL,Good,52.63,10,3.96,0,4.29,3.33,10,8/19/2016
6601,NLA12_NH-104,1,6/14/2012,EHIGH,EHIGH,NAP,Good,85.05,9.5,9.8,9.64,8.66,9.67,3.76,8/19/2016
6602,NLA12_MN-107,1,6/13/2012,UMW,PLNLOW,UMW,Poor,38.72,9.63,0,3.25,0,1.04,9.31,8/19/2016
6603,NLA12_LA-134,1,6/14/2012,CPL,PLNLOW,CPL,Poor,38.8,9.09,0,9.26,0,3,1.93,8/19/2016
6604,NLA12_IA-101,1,6/14/2012,PLAINS,PLNLOW,TPL,Poor,25.85,0,0,0.21,6.43,4.44,4.43,8/19/2016
6606,NLA12_KS-102,1,6/12/2012,PLAINS,PLNLOW,SPL,Fair,35.32,0.8,6.06,0.03,1.43,4.44,8.43,8/19/2016
6608,NLA12_TX-R02,1,6/13/2012,CPL,PLNLOW,CPL,Good,85.6,9.68,10,10,10,6,5.68,8/19/2016
6609,NLA12_KS-124,1,6/14/2012,PLAINS,PLNLOW,TPL,Fair,34.67,0.73,6.15,0.06,1.43,4.44,7.99,8/19/2016
6612,NLA12_AZ-101,2,6/14/2012,WMTNS,WMTNS,XER,Poor,43.43,0,0,10,6.56,2.5,7,8/19/2016
6613,NLA12_KS-R11,1,6/15/2012,PLAINS,PLNLOW,SPL,Good,80.72,8.8,1.94,10,9.29,8.89,9.51,8/19/2016
6614,NLA12_MO-119,1,6/14/2012,PLAINS,PLNLOW,TPL,Good,63.78,10,7.69,0.23,2.86,7.78,9.71,8/19/2016
6617,NLA12_NV-127,1,6/12/2012,WMTNS,WMTNS,XER,Good,66.03,8.18,4.39,9.67,6.42,3.33,7.63,8/19/2016
6618,NLA12_NV-167,1,6/14/2012,WMTNS,WMTNS,XER,Poor,50.98,9.83,7.31,0,2.62,8.33,2.5,8/19/2016
6622,NLA12_TX-144,1,6/14/2012,PLAINS,PLNLOW,SPL,Good,54.72,7.65,9.81,0.01,2.14,3.33,9.89,8/19/2016
6628,NLA12_LA-102,1,6/17/2012,CPL,PLNLOW,CPL,Poor,35.68,9.59,0,6.06,0,2,3.76,8/19/2016
6633,NLA12_WI-R06,1,6/18/2012,UMW,PLNLOW,UMW,Good,79.7,10,5,9.98,3.89,8.98,9.97,8/19/2016
6634,NLA12_SD-168,1,6/18/2012,PLAINS,PLNLOW,NPL,Poor,16.6,0.41,1.87,0.06,2.14,1.11,4.37,8/19/2016
6636,NLA12_ND-186,1,6/18/2012,PLAINS,PLNLOW,NPL,Good,45.93,4.85,2.57,0.28,5.71,4.44,9.71,8/19/2016
6642,NLA12_CA-157,1,6/18/2012,WMTNS,WMTNS,XER,Good,67.93,9.53,7.05,9.13,7.31,4.17,3.57,8/19/2016
6643,NLA12_LA-105,1,6/18/2012,CPL,PLNLOW,CPL,Good,60.45,8.29,5.53,7.87,0.19,10,4.39,8/19/2016
6644,NLA12_LA-161,1,6/18/2012,CPL,PLNLOW,CPL,Fair,55.47,9.85,9.94,3.38,0.34,5,4.77,8/19/2016
6645,NLA12_ND-108,1,6/18/2012,PLAINS,PLNLOW,NPL,Poor,24.57,1.57,0.58,0.17,1.43,3.33,7.66,8/19/2016
6646,NLA12_OK-134,1,6/18/2012,PLAINS,PLNLOW,SPL,Good,54.57,4.24,0.36,0.06,8.57,10,9.51,8/19/2016
6647,NLA12_TX-165,1,6/18/2012,CPL,PLNLOW,CPL,Good,65.17,8.78,9.1,8.35,0.46,9,3.41,8/19/2016
6654,NLA12_ND-126,1,6/19/2012,PLAINS,PLNLOW,NPL,Poor,18.85,0.32,0.04,0.01,0,1.11,9.83,8/19/2016
6656,NLA12_KS-101,1,6/19/2012,PLAINS,PLNLOW,SPL,Good,46.83,1.12,1.55,0.19,9.29,10,5.95,8/19/2016
6659,NLA12_CA-121,1,6/19/2012,WMTNS,WMTNS,XER,Fair,60.87,9.2,5.2,8.39,4.11,1.67,7.95,8/19/2016
6660,NLA12_IA-109,1,6/18/2012,PLAINS,PLNLOW,TPL,Good,60.32,0.72,10,0,10,5.56,9.91,8/19/2016
6661,NLA12_LA-103,1,6/19/2012,CPL,PLNLOW,CPL,Poor,38.5,9.51,1.91,2.64,0,3,6.04,8/19/2016
6662,NLA12_LA-152,1,6/19/2012,CPL,PLNLOW,CPL,Good,63.42,6.27,9.52,9.87,0,8,4.39,8/19/2016
6663,NLA12_MN-102,1,6/19/2012,UMW,PLNLOW,UMW,Good,80.65,10,3.08,9.94,6.65,8.83,9.89,8/19/2016
6664,NLA12_MT-109,1,6/19/2012,PLAINS,PLNLOW,NPL,Fair,36.75,0.34,1.2,0.01,5.71,6.67,8.12,8/19/2016
