UID,LAB,CHLL_BATCH_ID,CHLX_BATCH_ID,CHLL_UNITS,CHLX_UNITS,CHLL_DATE_ANALYZED,CHLL_DATE_FILTERED,CHLL_DILUTION_FACTOR,CHLL_EXTRACT,CHLL_HOLDING_TIME,CHLL_LAB_FLAG,CHLL_LAB_SAMPLE_ID,CHLL_MDL,CHLL_QA_FLAG,CHLL_RESULT,CHLL_RL,CHLL_SAMPLEVOL,CHLL_VOLUME_ADJUST,CHLX_DATE_ANALYZED,CHLX_DATE_FILTERED,CHLX_DILUTION_FACTOR,CHLX_EXTRACT,CHLX_HOLDING_TIME,CHLX_LAB_FLAG,CHLX_LAB_SAMPLE_ID,CHLX_MDL,CHLX_QA_FLAG,CHLX_RESULT,CHLX_RL,CHLX_SAMPLEVOL,CHLX_VOLUME_ADJUST,CHLL_LAB_COMMENT,CHLX_LAB_COMMENT
6293,WRS,120605.1,120605.1,ug/L,ug/L,5-Jun-12,,,75.8,12,,1210027,0.5,,12.13,1,250,,5-Jun-12,,,43.1,12,,1210027,0.5,,6.896,1,250,,,
6300,WRS,120605.1,120605.1,ug/L,ug/L,5-Jun-12,,,99.4,12,,1210024,0.5,,7.95,1,500,,5-Jun-12,,,225,12,,1210024,0.5,,18,1,500,,,
6302,WRS,120605.1,120605.1,ug/L,ug/L,5-Jun-12,,,92,13,,1210026,0.5,,14.72,1,250,,5-Jun-12,,,109,13,,1210026,0.5,,17.44,1,250,,,
6303,WRS,120605.1,,ug/L,,5-Jun-12,,,24.2,11,,1210029,0.5,,1.94,1,500,,5-Jun-12,,,,,M,1210029,,M,,,500,,,CRACKED TUBE-SAMPLE LOST IN CENTRIFUGE
6318,OKDEQ,CHLL-20120625,CHLX-20120625,ug/L,ug/L,25-Jun-12,,,,27,,NLA12_OK-293,,,152,0.1,200,,25-Jun-12,,,,27,,NLA12_OK-293,,,74.2,0.1,90,,,
6319,WRS,120605.1,120613.1,ug/L,ug/L,5-Jun-12,,,82.2,8,,1210031,0.5,,32.88,1,100,,13-Jun-12,,,58.8025,16,,1210031,0.5,,23.521,1,100,3,,
6320,WRS,120605.1,,ug/L,,5-Jun-12,,,57.8,11,,1210032,0.5,,9.25,1,250,,13-Jun-12,,,208,,M,1210032,,M,,,,,,NO PACKET- VOLUME_FILTERED NOT AVAILABLE
6321,WRS,120605.1,120613.1,ug/L,ug/L,5-Jun-12,,,83.6,9,,1210035,0.5,,22.29,1,150,,13-Jun-12,,,110,17,,1210035,0.5,,29.33333333,1,150,,,
6325,WRS,120605.1,120613.1,ug/L,ug/L,5-Jun-12,,,20.9,10,,1210033,0.5,,2.39,1,350,,13-Jun-12,,,22.8,18,,1210033,0.5,,2.605714286,1,350,,,
6326,WRS,120605.1,120613.1,ug/L,ug/L,5-Jun-12,,,46.6,8,,1210034,0.5,,12.4,1,150,,13-Jun-12,,,43.1,16,,1210034,0.5,,11.49333333,1,150,,,
6341,WRS,120706.1,120613.1,ug/L,ug/L,6-Jul-12,,,19.2,38,>HT,1210044,0.5,,7.68,1,100,,13-Jun-12,,,32.2,15,,1210044,0.5,,12.88,1,100,,PROBLEM SAMPLE,
6342,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,50,16,,1210037,0.5,,20,1,100,,13-Jun-12,,,78.1,15,,1210037,0.5,,15.62,1,200,,,
6344,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,214,15,,1210039,0.5,,8.56,1,1000,,13-Jun-12,,,336,14,,1210039,0.5,,13.44,1,1000,,,
6345,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,345,15,,1210049,0.5,,138,1,100,,13-Jun-12,,,332.85,14,,1210049,0.5,,133.14,1,100,2,,
6346,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,72.6,15,,1210041,0.5,,11.62,1,250,,13-Jun-12,,,91.8,14,,1210041,0.5,,14.688,1,250,,,
6347,PADEP,NOT PROVIDED,NOT PROVIDED,ug/L,ug/L,,,,,,,1561558,0.001,,2.1,0.001,750,,,,,,,,1561558,0.001,,5.2,0.001,800,,,
6359,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,29.2,15,,1210040,0.5,,0.78,1,1500,,13-Jun-12,,,21.6,14,,1210040,0.5,,0.864,1,1000,,,
6361,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,29.9,15,,1210038,0.5,,7.97,1,150,,13-Jun-12,,,32.2,14,,1210038,0.5,,8.586666667,1,150,,,
6362,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,65.7,14,,1210047,0.5,,2.63,1,1000,,13-Jun-12,,,68.5,13,,1210047,0.5,,2.74,1,1000,,,
6372,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,84.1,13,,1210046,0.5,,4.49,1,750,,13-Jun-12,,,113,12,,1210046,0.5,,4.52,1,1000,,,
6373,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,194,14,,1210048,0.5,,77.6,1,100,,13-Jun-12,,,235,13,,1210048,0.5,,78.33333333,1,120,,,
6374,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,295,11,,1210056,0.5,,59,1,200,,13-Jun-12,,,267,10,,1210056,0.5,,48.54545455,1,220,,,
6381,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,219,14,,1210042,0.5,,35.04,1,250,,13-Jun-12,,,187,13,,1210042,0.5,,29.92,1,250,,,
6393,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,155,15,,1210045,0.5,,24.8,1,250,,13-Jun-12,,,311,14,,1210045,0.5,,49.76,1,250,,,
6394,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,213,13,,1210043,0.5,,34.08,1,250,,13-Jun-12,,9,684.9,12,,1210043,0.5,,109.584,1,250,,,
6395,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,253,16,,1210036,0.5,,40.48,1,250,,13-Jun-12,,,435,15,,1210036,0.5,,69.6,1,250,,,
6396,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,57.7,13,,1210050,0.5,,9.23,1,250,,13-Jun-12,,,100.32,12,,1210050,0.5,,13.376,1,300,4,,
6397,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,22.2,13,,1210053,0.5,,6.08,1,146,,13-Jun-12,,,41.1,12,,1210053,0.5,,4.697142857,1,350,,,
6398,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,14.5,15,,1210064,0.5,,1.45,1,400,,15-Jun-12,,,20.5,11,,1210064,0.5,,2.05,1,400,,,
6399,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,58.5,11,,1210057,0.5,,9.36,1,250,,13-Jun-12,,,82.8,10,,1210057,0.5,,13.248,1,250,,,
6400,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,16.4,12,,1210052,0.5,,1.87,1,350,,13-Jun-12,,,17.8,11,,1210052,0.5,,2.034285714,1,350,,,
6402,WRS,120614.1,120615.1,ug/L,ug/L,14-Jun-12,,,35.1,10,,1210061,0.5,,1.87,1,750,,15-Jun-12,,,31.5,11,,1210061,0.5,,2.52,1,500,,,
6403,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,50.4,16,,1210096,0.5,,1.44,1,1400,,21-Jun-12,,,139.75,,,1210096,0.5,M,4.658333333,1,1200,3,,HEAVY/THICK FILTER. UNABLE TO GRIND
6404,WRS,120614.1,120615.1,ug/L,ug/L,14-Jun-12,,,164,10,,1210062,0.5,,13.12,1,500,,15-Jun-12,,,126,11,,1210062,0.5,,50.4,1,100,,,NO INFO ON LABEL
6411,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,128,10,,1210060,0.5,,9.31,1,550,,13-Jun-12,,,162,9,,1210060,0.5,,10.8,1,600,,,
6412,WRS,120614.1,,ug/L,,14-Jun-12,,,53.3,10,,1210063,0.5,,21.32,1,100,,15-Jun-12,,,,,M,1210063,,M,,,500,,,CRACKED TUBE-SAMPLE LOST IN CENTRIFUGE
6414,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,111,10,,1210055,0.5,,17.76,1,250,,13-Jun-12,,,160,9,,1210055,0.5,,25.6,1,250,,,
6415,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,102,12,,1210054,0.5,,16.32,1,250,,13-Jun-12,,,161,11,,1210054,0.5,,25.76,1,250,,,
6416,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,93.8,10,,1210051,0.5,,187.6,1,20,,13-Jun-12,,,52,9,,1210051,0.5,,104,1,20,,,
6417,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,139,14,,1210073,0.5,,22.24,1,250,,15-Jun-12,,,146,10,,1210073,0.5,,23.36,1,250,,,
6421,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,73.4,14,,1210075,0.5,,9.79,1,300,,15-Jun-12,,,74.4,10,,1210075,0.5,,9.92,1,300,,,
6422,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,32,14,,1210065,0.5,,1.71,1,750,,15-Jun-12,,,36,10,,1210065,0.5,,1.92,1,750,,,
6424,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,87.4,9,,1210058,0.5,,6.99,1,500,,13-Jun-12,,,95.7,8,,1210058,0.5,,7.656,1,500,,,
6427,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,25.5,14,,1210068,0.5,,0.54,1,1894,,15-Jun-12,,,29.8,10,,1210068,0.5,,0.60020141,1,1986,,,
6428,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,130.5,14,,1210072,0.5,,20.9,1,250,5,15-Jun-12,,,141,10,,1210072,0.5,,22.56,1,250,,,
6437,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,54.3,13,,1210078,0.5,,8.69,1,250,,15-Jun-12,,,97.6,9,V,1210078,0.5,X4,12.59354839,1,310,,,FILTERED THROUGH KIMWIPE
6438,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,31.6,13,,1210071,0.5,,6.32,1,200,,15-Jun-12,,,119,9,,1210071,0.5,,19,1,250,,,
6440,WRS,120614.1,120613.1,ug/L,ug/L,14-Jun-12,,,75.2,10,,1210059,0.5,,6.02,1,500,,13-Jun-12,,,79.7,9,,1210059,0.5,,6.376,1,500,,,
6444,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,22.9,14,,1210070,0.5,,1.08,1,850,,15-Jun-12,,,33.7,10,,1210070,0.5,,1.348,1,1000,,,
6445,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,56.2,13,,1210080,0.5,,4.5,1,500,,15-Jun-12,,,38.9,9,,1210080,0.5,,3.112,1,500,,,
6446,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,197,13,,1210076,0.5,,31.52,1,250,,15-Jun-12,,,194,9,,1210076,0.5,,31.04,1,250,,,
6447,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,99.9,14,,1210069,0.5,,15.98,1,250,,15-Jun-12,,,88.5,10,,1210069,0.5,,10.11428571,1,350,,,
6449,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,34.3,13,,1210067,0.5,,13.72,1,100,,15-Jun-12,,,53.7,9,,1210067,0.5,,21.48,1,100,,,
6451,PADEP,NOT PROVIDED,NOT PROVIDED,ug/L,ug/L,,,,,,,1563186,0.001,,9.35,0.001,200,,,,,,,,1563186,0.001,,5.79,0.001,300,,,
6456,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,56.5,12,,1210077,0.5,,9.04,1,250,,15-Jun-12,,,66.1,8,,1210077,0.5,,10.576,1,250,,,
6462,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,143,14,,1210074,0.5,,22.9,1,250,,15-Jun-12,,,184,10,,1210074,0.5,,29.4,1,250,,,
6464,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,253,12,,1210079,0.5,,101.2,1,100,,15-Jun-12,,,228,8,,1210079,0.5,,91.2,1,100,,,
6469,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,140,13,,1210081,0.5,,22.4,1,250,,15-Jun-12,,,156,9,,1210081,0.5,,24.96,1,250,,,
6470,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,15.7,13,,1210085,0.5,,2.51,1,250,,15-Jun-12,,,18.8,9,,1210085,0.5,,3.008,1,250,,,
6471,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,156,12,V,1210089,0.5,X4,124.8,1,50,,15-Jun-12,,,153,8,,1210089,0.5,,122.4,1,50,,FILTERED THROUGH KIMWIPE,
6472,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,16.2,12,,1210094,0.5,,2.53,1,250,,21-Jun-12,,,16.8,14,,1210094,0.5,,2.688,1,250,,air in acetone dispensor - ~39 mL.  Changed in calc.,
6475,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,9,745.2,12,,1210086,0.5,,59.6,1,500,,15-Jun-12,,,518,8,,1210086,0.5,,41.4,1,500,,,
6476,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,52.2,12,,1210093,0.5,,2.09,1,1000,,21-Jun-12,,,44,14,,1210093,0.5,,1.76,1,1000,,,
6477,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,88.4,13,,1210083,0.5,,17.68,1,200,,15-Jun-12,,,172,9,,1210083,0.5,,34.4,1,200,,,
6478,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,23.7,12,,1210082,0.5,,2.11,1,450,,15-Jun-12,,,27.5,8,,1210082,0.5,,2,1,550,,,
6481,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,43.3,12,,1210092,0.5,,6.93,1,250,,21-Jun-12,,,33.6,14,,1210092,0.5,,3.84,1,350,,,
6482,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,22.1625,13,,1210091,0.5,,3.55,1,250,5,15-Jun-12,,,40.8,9,,1210091,0.5,,6.528,1,250,,,
6485,WRS,,120621.1,,ug/L,19-Jun-12,,,,,M,1210097,,M,,,380,,21-Jun-12,,,29.9,13,,1210097,0.5,,3.066666667,1,390,,CRACKED TUBE-SAMPLE LOST IN CENTRIFUGE,
6500,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,22.95,12,<MDL (0.5),1210098,0.5,ND,0.51,1,1800,5,21-Jun-12,,,36.6,14,,1210098,0.5,,1.83,1,800,,,
6501,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,56.1,11,,1210095,0.5,,2.81,1,800,,21-Jun-12,,,38.3,13,,1210095,0.5,,1.915,1,800,,,
6504,WRS,120619.1,120706.1,ug/L,ug/L,19-Jun-12,,,15.7,12,,1210090,0.5,,3.14,1,200,,6-Jul-12,,,15.6,29,,1210090,0.5,,3.12,1,200,,,PROBLEM SAMPLE
6507,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,43.5,9,,1210103,0.5,,1.74,1,1000,,21-Jun-12,,,39.5,11,,1210103,0.5,,1.58,1,1000,,,
6517,WRS,120619.1,120615.1,ug/L,ug/L,19-Jun-12,,,73.9,12,,1210088,0.5,,59.12,1,50,,15-Jun-12,,,81.5,8,,1210088,0.5,,65.2,1,50,,,
6518,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,301,8,,1210104,0.5,,80.27,1,150,,21-Jun-12,,,42.6,10,,1210104,0.5,,2.272,1,750,,,
6524,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,48.8,8,,1210109,0.5,,3.9,1,500,,21-Jun-12,,,62.8,10,,1210109,0.5,,3.588571429,1,700,,,
6525,OKDEQ,CHLL-20120803,CHLX-20120803,ug/L,ug/L,3-Aug-12,,,,53,,NLA12_OK-121,,,17.3,0.1,125,,3-Aug-12,,,,53,,NLA12_OK-121,,,8.68,0.1,500,,,
6526,WRS,120628.1,120621.1,ug/L,ug/L,28-Jun-12,,,40,17,,1210112,0.5,,4.57,1,350,,21-Jun-12,,,45.9,10,,1210112,0.5,,5.245714286,1,350,,,
6527,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,31.1,8,,1210108,0.5,,1.24,1,1000,,21-Jun-12,,,41.7,10,,1210108,0.5,,1.668,1,1000,,,
6530,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,63.5,8,,1210102,0.5,,84.67,1,30,,21-Jun-12,,,68.9,10,,1210102,0.5,,91.9,1,30,,,
6532,WRS,120628.1,120621.1,ug/L,ug/L,28-Jun-12,,,13.8,17,,1210111,0.5,,2.76,1,200,,21-Jun-12,,,16.4,10,,1210111,0.5,,3.28,1,200,,,
6533,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,98.8,7,,1210105,0.5,,7.9,1,500,,21-Jun-12,,,123,9,,1210105,0.5,,9.84,1,500,,,
6534,WRS,,120621.1,,ug/L,19-Jun-12,,,,,M,1210099,,M,,,250,,21-Jun-12,,,310,12,,1210099,0.5,,49.6,1,250,,CRACKED TUBE-SAMPLE LOST IN CENTRIFUGE,
6535,WRS,120619.1,,ug/L,,19-Jun-12,,,101,9,,1210100,0.5,,16.16,1,250,,21-Jun-12,,,,,M,1210100,,M,,,250,,,HOLE IN CUVETTE-SAMPLE LOST
6536,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,219,11,,1210101,0.5,,35.04,1,250,,21-Jun-12,,,213,13,,1210101,0.5,,34.08,1,250,,,
6537,PADEP,NOT PROVIDED,NOT PROVIDED,ug/L,ug/L,,,,,,,1564315,0.001,,6.94,0.001,500,,,,,,,,1564315,0.001,,3.47,0.001,500,,,
6538,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,281,7,,1210107,0.5,,11.24,1,1000,,21-Jun-12,,,68.3,9,,1210107,0.5,,2.732,1,1000,,,
6541,WRS,120628.1,120621.1,ug/L,ug/L,28-Jun-12,,,14,16,,1210120,0.5,,9.33,1,60,,21-Jun-12,,,9.92,9,,1210120,0.5,,6.613333333,1,60,,,
6542,WRS,120628.1,120628.1,ug/L,ug/L,28-Jun-12,,,16.7,16,,1210114,0.5,,0.67,1,1000,,28-Jun-12,,,23.9,16,,1210114,0.5,,0.637333333,1,1500,,,
6543,WRS,120628.1,120628.1,ug/L,ug/L,28-Jun-12,,,196,16,,1210115,0.5,,41.26,1,190,,28-Jun-12,,,268,16,,1210115,0.5,,53.6,1,200,,,
6544,WRS,120628.1,120627.1,ug/L,ug/L,28-Jun-12,,,244,16,,1210126,0.5,,81.33,1,120,,27-Jun-12,,,230,15,,1210126,0.5,,70.76923077,1,130,,,
6546,WRS,120628.1,120627.1,ug/L,ug/L,28-Jun-12,,,146,16,,1210122,0.5,,23.36,1,250,,27-Jun-12,,,156,15,,1210122,0.5,,24.96,1,250,,,
6547,WRS,120619.1,120621.1,ug/L,ug/L,19-Jun-12,,,19.9,7,,1210106,0.5,,3.18,1,250,,21-Jun-12,,,16.1,9,,1210106,0.5,,25.76,1,25,,,
6548,WRS,120628.1,120627.1,ug/L,ug/L,28-Jun-12,,,28.4,16,,1210136,0.5,,4.54,1,250,,27-Jun-12,,,21.4,15,,1210136,0.5,,3.424,1,250,,,
6549,WRS,120628.1,120621.1,ug/L,ug/L,28-Jun-12,,,20.9,16,,1210118,0.5,,3.34,1,250,,21-Jun-12,,,42.1,9,,1210118,0.5,,3.368,1,500,,,
6550,OKDEQ,CHLL-20120803,CHLX-20120803,ug/L,ug/L,3-Aug-12,,,,52,,NLA12_OK-101,,,8.85,0.1,300,,3-Aug-12,,,,52,,NLA12_OK-101,,,15.5,0.1,500,,,
6551,OKDEQ,CHLL-20120803,CHLX-20120803,ug/L,ug/L,3-Aug-12,,,,52,,NLA12_OK-291,,,46.8,0.1,210,,3-Aug-12,,,,52,,NLA12_OK-291,,,50.3,0.1,700,,,
