PUBLICATION_DATE,TAXA_ID,ASSEMBLAGE_NAME,ALGAL_GROUP,CLASS,FAMILY,GENUS,ORDER,PHYLUM,SPECIES,TARGET_TAXON
10/27/2015,4018,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA AMBIGUA,AULACOSEIRA AMBIGUA
10/27/2015,4019,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA GRANULATA,AULACOSEIRA GRANULATA
10/27/2015,4020,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA ISLANDICA,AULACOSEIRA ISLANDICA
10/27/2015,4021,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA ITALICA,AULACOSEIRA ITALICA
10/27/2015,4022,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA SUBARCTICA,AULACOSEIRA SUBARCTICA
10/27/2015,4023,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,,AULACOSEIRA
10/27/2015,4024,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,BACILLARIA,PENNALES,CHRYSOPHYTA,BACILLARIA PARADOXA,BACILLARIA PARADOXA
10/27/2015,4025,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,BACILLARIA,PENNALES,CHRYSOPHYTA,BACILLARIA PAXILLIFER,BACILLARIA PAXILLIFER
10/27/2015,4026,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,CYLINDROTHECA,PENNALES,CHRYSOPHYTA,CYLINDROTHECA CLOSTERIUM,CYLINDROTHECA CLOSTERIUM
10/27/2015,4027,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,CYLINDROTHECA,PENNALES,CHRYSOPHYTA,CYLINDROTHECA GRACILIS,CYLINDROTHECA GRACILIS
10/27/2015,4028,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,CYLINDROTHECA,PENNALES,CHRYSOPHYTA,,CYLINDROTHECA
10/27/2015,4029,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,DENTICULA,PENNALES,CHRYSOPHYTA,,DENTICULA
10/27/2015,4030,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,HANTZSCHIA,PENNALES,CHRYSOPHYTA,,HANTZSCHIA
10/27/2015,4031,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA ACICULARIS,NITZSCHIA ACICULARIS
10/27/2015,4032,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA AMBIGUA,NITZSCHIA AMBIGUA
10/27/2015,4033,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA AMPHIBIA,NITZSCHIA AMPHIBIA
10/27/2015,4034,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA CLOSTERIUM,NITZSCHIA CLOSTERIUM
10/27/2015,4035,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA FRUTICOSA,NITZSCHIA FRUTICOSA
10/27/2015,4036,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA GRACILIS,NITZSCHIA GRACILIS
10/27/2015,4037,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA INCONSPICUA,NITZSCHIA INCONSPICUA
10/27/2015,4038,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA LAEVIS,NITZSCHIA LAEVIS
10/27/2015,4039,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA LINEARIS,NITZSCHIA LINEARIS
10/27/2015,4040,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA MICROCEPHALA,NITZSCHIA MICROCEPHALA
10/27/2015,4041,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA PALEA,NITZSCHIA PALEA
10/27/2015,4042,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA REVERSA,NITZSCHIA REVERSA
10/27/2015,4043,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA SIGMOIDEA,NITZSCHIA SIGMOIDEA
10/27/2015,4044,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA SINUATA,NITZSCHIA SINUATA
10/27/2015,4045,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA SUBACICULARIS,NITZSCHIA SUBACICULARIS
10/27/2015,4046,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,,NITZSCHIA
10/27/2015,4047,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,TRYBLIONELLA,PENNALES,CHRYSOPHYTA,,TRYBLIONELLA
10/27/2015,4048,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BRACHYSIRACEAE,BRACHYSIRA,PENNALES,CHRYSOPHYTA,BRACHYSIRA NEOEXILIS,BRACHYSIRA NEOEXILIS
10/27/2015,4049,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,BRACHYSIRACEAE,BRACHYSIRA,PENNALES,CHRYSOPHYTA,,BRACHYSIRA
10/27/2015,4050,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,CATENULACEAE,AMPHORA,PENNALES,CHRYSOPHYTA,AMPHORA DELICATISSIMA,AMPHORA DELICATISSIMA
10/27/2015,4051,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,CATENULACEAE,AMPHORA,PENNALES,CHRYSOPHYTA,AMPHORA LIBYCA,AMPHORA LIBYCA
10/27/2015,4052,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,CATENULACEAE,AMPHORA,PENNALES,CHRYSOPHYTA,AMPHORA PEDICULUS,AMPHORA PEDICULUS
10/27/2015,4053,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,CATENULACEAE,AMPHORA,PENNALES,CHRYSOPHYTA,AMPHORA PELLUCIDA,AMPHORA PELLUCIDA
10/27/2015,4054,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,CATENULACEAE,AMPHORA,PENNALES,CHRYSOPHYTA,,AMPHORA
10/27/2015,4055,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,CHAETOCEROTACAEA,CHAETOCEROS,CENTRALES,CHRYSOPHYTA,,CHAETOCEROS
10/27/2015,4056,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,CYMBELLACEAE,CYMBELLA,PENNALES,CHRYSOPHYTA,CYMBELLA LANCEOLATA,CYMBELLA LANCEOLATA
10/27/2015,4057,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,CYMBELLACEAE,CYMBELLA,PENNALES,CHRYSOPHYTA,CYMBELLA LEPTOCEROS,CYMBELLA LEPTOCEROS
10/27/2015,4058,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,CYMBELLACEAE,CYMBELLA,PENNALES,CHRYSOPHYTA,CYMBELLA MICROCEPHALA,CYMBELLA MICROCEPHALA
10/27/2015,4059,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,CYMBELLACEAE,CYMBELLA,PENNALES,CHRYSOPHYTA,CYMBELLA TURGIDULA,CYMBELLA TURGIDULA
10/27/2015,4060,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,CYMBELLACEAE,CYMBELLA,PENNALES,CHRYSOPHYTA,,CYMBELLA
10/27/2015,4061,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,DIADESMIDACEAE,DIADESMIS,PENNALES,CHRYSOPHYTA,DIADESMIS CONTENTA,DIADESMIS CONTENTA
10/27/2015,4062,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,DIADESMIDACEAE,DIADESMIS,PENNALES,CHRYSOPHYTA,DIADESMIS PERPUSILLA,DIADESMIS PERPUSILLA
10/27/2015,4063,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,CTENOPHORA,PENNALES,CHRYSOPHYTA,CTENOPHORA PULCHELLA,CTENOPHORA PULCHELLA
10/27/2015,4064,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,DIATOMA,PENNALES,CHRYSOPHYTA,DIATOMA MESODON,DIATOMA MESODON
10/27/2015,4065,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,DIATOMA,PENNALES,CHRYSOPHYTA,DIATOMA MONILIFORMIS,DIATOMA MONILIFORMIS
10/27/2015,4066,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,DIATOMA,PENNALES,CHRYSOPHYTA,DIATOMA TENUE,DIATOMA TENUE
10/27/2015,4067,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,DIATOMA,PENNALES,CHRYSOPHYTA,DIATOMA VULGARE,DIATOMA VULGARE
10/27/2015,4068,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,DIATOMA,PENNALES,CHRYSOPHYTA,,DIATOMA
10/27/2015,4069,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,EUNOTIACEAE,EUNOTIA,PENNALES,CHRYSOPHYTA,EUNOTIA BILUNARIS,EUNOTIA BILUNARIS
10/27/2015,4070,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,EUNOTIACEAE,EUNOTIA,PENNALES,CHRYSOPHYTA,EUNOTIA FORMICA,EUNOTIA FORMICA
10/27/2015,4071,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,EUNOTIACEAE,EUNOTIA,PENNALES,CHRYSOPHYTA,EUNOTIA PECTINALIS,EUNOTIA PECTINALIS
10/27/2015,4072,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,EUNOTIACEAE,EUNOTIA,PENNALES,CHRYSOPHYTA,,EUNOTIA
10/27/2015,4073,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA CAPUCINA,FRAGILARIA CAPUCINA
10/27/2015,4074,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA CONSTRUENS,FRAGILARIA CONSTRUENS
10/27/2015,4075,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA CROTONENSIS,FRAGILARIA CROTONENSIS
10/27/2015,4076,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA GOULARDII,FRAGILARIA GOULARDII
10/27/2015,4077,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA MESOLEPTA,FRAGILARIA MESOLEPTA
10/27/2015,4078,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA VAUCHERIAE,FRAGILARIA VAUCHERIAE
10/27/2015,4079,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,,FRAGILARIA
10/27/2015,4080,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIFORMA,PENNALES,CHRYSOPHYTA,,FRAGILARIFORMA
10/27/2015,4081,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,MERIDION,PENNALES,CHRYSOPHYTA,MERIDION ANCEPS,MERIDION ANCEPS
10/27/2015,4082,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,MERIDION,PENNALES,CHRYSOPHYTA,MERIDION CIRCULARE,MERIDION CIRCULARE
10/27/2015,4083,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,MERIDION,PENNALES,CHRYSOPHYTA,,MERIDION
10/27/2015,4084,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,PSEUDOSTAUROSIRA,PENNALES,CHRYSOPHYTA,PSEUDOSTAUROSIRA BREVISTRIATA,PSEUDOSTAUROSIRA BREVISTRIATA
10/27/2015,4085,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,PSEUDOSTAUROSIRA,PENNALES,CHRYSOPHYTA,PSEUDOSTAUROSIRA PARASITICA,PSEUDOSTAUROSIRA PARASITICA
10/27/2015,4086,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,PSEUDOSTAUROSIRA,PENNALES,CHRYSOPHYTA,,PSEUDOSTAUROSIRA
10/27/2015,4087,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,STAUROSIRA,PENNALES,CHRYSOPHYTA,STAUROSIRA CONSTRUENS,STAUROSIRA CONSTRUENS
10/27/2015,4088,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,STAUROSIRA,PENNALES,CHRYSOPHYTA,,STAUROSIRA
10/27/2015,4089,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,STAUROSIRELLA,PENNALES,CHRYSOPHYTA,,STAUROSIRELLA
10/27/2015,4090,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,SYNEDRA CAPITATA,SYNEDRA CAPITATA
10/27/2015,4091,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,SYNEDRA CYCLOPUM,SYNEDRA CYCLOPUM
10/27/2015,4092,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,SYNEDRA DELICATISSIMA,SYNEDRA DELICATISSIMA
10/27/2015,4093,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,SYNEDRA TENERA,SYNEDRA TENERA
10/27/2015,4094,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,SYNEDRA ULNA,SYNEDRA ULNA
10/27/2015,4095,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,,SYNEDRA
10/27/2015,4096,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEIS,PENNALES,CHRYSOPHYTA,,GOMPHONEIS
10/27/2015,4097,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA ACUMINATUM,GOMPHONEMA ACUMINATUM
10/27/2015,4098,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA ANGUSTUM,GOMPHONEMA ANGUSTUM
10/27/2015,4099,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA APICATUM,GOMPHONEMA APICATUM
10/27/2015,4100,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA AUGUR,GOMPHONEMA AUGUR
10/27/2015,4101,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA CLAVATUM,GOMPHONEMA CLAVATUM
10/27/2015,4102,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA CORONATUM,GOMPHONEMA CORONATUM
10/27/2015,4103,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA GRACILE,GOMPHONEMA GRACILE
10/27/2015,4104,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA MINUTUM,GOMPHONEMA MINUTUM
10/27/2015,4105,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA PARVULUM,GOMPHONEMA PARVULUM
10/27/2015,4106,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA TRUNCATUM,GOMPHONEMA TRUNCATUM
10/27/2015,4107,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,,GOMPHONEMA
10/27/2015,4108,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHOSPHENIA,PENNALES,CHRYSOPHYTA,,GOMPHOSPHENIA
10/27/2015,4109,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,HEMIDISCACEAE,ACTINOCYCLUS,CENTRALES,CHRYSOPHYTA,,ACTINOCYCLUS
10/27/2015,4110,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,MASTOGLOIACEAE,ANEUMASTUS,PENNALES,CHRYSOPHYTA,,ANEUMASTUS
10/27/2015,4111,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,MASTOGLOIACEAE,MASTOGLOIA,PENNALES,CHRYSOPHYTA,MASTOGLOIA SMITHII,MASTOGLOIA SMITHII
10/27/2015,4112,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,MASTOGLOIACEAE,MASTOGLOIA,PENNALES,CHRYSOPHYTA,,MASTOGLOIA
10/27/2015,4113,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,MELOSIRACEAE,MELOSIRA,CENTRALES,CHRYSOPHYTA,MELOSIRA VARIANS,MELOSIRA VARIANS
10/27/2015,4114,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,MELOSIRACEAE,MELOSIRA,CENTRALES,CHRYSOPHYTA,,MELOSIRA
10/27/2015,4115,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,AMPHIPRORA,PENNALES,CHRYSOPHYTA,,AMPHIPRORA
10/27/2015,4116,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,DIPLONEIS,PENNALES,CHRYSOPHYTA,DIPLONEIS ELLIPTICA,DIPLONEIS ELLIPTICA
10/27/2015,4117,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,DIPLONEIS,PENNALES,CHRYSOPHYTA,,DIPLONEIS
