SAMPLE_TYPE	VARIABLE	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	UNITS
PHAB	HI_POWERLINES_DD	Human influence by powerlines in the drawdown zone	|0|P|C			
PHAB	HI_ROADS	Human influence roads (O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_ROADS_DD	Human influence by roads in the drawdown zone	|0|P|C			
PHAB	HI_WALLS	Human influence walls (O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_WALLS_DD	Human influence by walls in the drawdown zone	|0|P|C			
PHAB	HORIZ_DIST	Horizontal distance from waterline to high water mark (m)		1000	0	
PHAB	HORIZ_DIST_DD	Horizontal distance from waterline to high water mark		200	0	 
PHAB	HUMAN_DISTURBANCE	NLA 2007 Littoral Fish Macrohabitat Characterization - Human Disturbance	NONE|LOW|MODERATE|HEAVY			
PHAB	ISLAND	Station an island (X/blank)	|Y|N|YES|NO			
PHAB	LATITUDE	Latitude at station		90	-90	
PHAB	LONGITUDE	Longitude at station		180	-180	
PHAB	MACRO_LAKEWARD	Do macrophytes extend lakeward (Y/N)	|Y|N			
PHAB	NEW_STATION	New station code	|K|L|M|N|P|Q|R|S|T|U|V|W|X|Y|Z			
PHAB	ODOR	Odor Type	|NONE|H2S|ANOXIC|OIL|CHEMICAL|OTHER.*			
PHAB	ODOR_DESC	Description of Odor				
PHAB	REVIEWED_BY_INITIAL	Intials of form reviewer				
PHAB	SHORELINE_FLOODING	Presence of Shoreling flooding	|Y|N|YES|NO			
PHAB	SS_BEDROCK	percent cover by bedrock on shore 1-M zone	|0|1|2|3|4			
PHAB	SS_BOULDERS	percent cover by boulders on shore 1-M zone	|0|1|2|3|4			
PHAB	SS_COBBLE	percent cover by cobble on shore 1-M zone	|0|1|2|3|4			
PHAB	SS_GRAVEL	percent cover by gravel on shore 1-M zone	|0|1|2|3|4			
PHAB	SS_ORGANIC	percent cover by organic on shore 1-M zone	|0|1|2|3|4			
PHAB	SS_OTHER	percent cover by other on shore 1-M zone	|0|1|2|3|4			
PHAB	SS_SAND	percent cover by sand on shore 1-M zone	|0|1|2|3|4			
PHAB	SS_SILT	percent cover by silt on shore 1-M zone	|0|1|2|3|4			
PHAB	SS_WOOD	percent cover by woody on shore 1-M zone	|0|1|2|3|4			
PHAB	STATION	Station	|A|B|C|D|E|F|G|H|I|J|K			
PHAB	STATION_RELOCATED	Station relocated (Y/blank)	|Y|N|YES|NO			
PHAB	SURFACE_FILM	Surface film type	|NONE|SCUM|ALGAL_MAT|OILY|OTHER.*			
PHAB	SURFACE_FILM_DESC	Surface file description				
PHAB	U_NONWOODY	"Understory - nonwoody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	U_NONWOODY_DD	percent understory cover by nonwoody veg in the drawdown zone	|0|1|2|3|4			
PHAB	U_WOODY	"Understory woody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	U_WOODY_DD	percent understory cover by woody veg in the drawdown zone	|0|1|2|3|4			
PHAB	UNABLE_TO_SAMPLE	Unable to sample site for physical habitat	X			
PHAB	UNDERSTORY	Understory type	|C|D|E|M|N			
PHAB	UNDERSTORY_DD	Understory type in the draw down zone	|C|D|E|M|N			
PHAB	VERT_HEIGHT	Vertical height from waterline to high water mark (m)		5	0	m
PHAB	VERT_HEIGHT_DD	Vertical height from waterline to high water mark		100	0	m
PROF	ODOR	Odor present	|Y|N			
PROF	ODOR_DESC	Description of odor				
SEDB	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
SEDD	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
SEDG	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
SEDH	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
SEDT	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
SUBBENT	SUBSTRATE	Substrate Code	|ROCKY/COBBLE/WOODY_DEBRIS|MACROPHYTE_BEDS|ORGANIC/FINE_MUDS|LEAF_PACK|OTHER			
VERIF	REVIEWED_BY_INITIAL	Initial of reviewer of forms				
PHAB	ODOR	Odor Type	|NONE|H2S|ANOXIC|OIL|CHEMICAL|OTHER.*			
PHAB	ODOR_DESC	Description of Odor				
PROF	ODOR	Odor present	|Y|N			
PROF	ODOR_DESC	Description of odor				
DESIGN	STATE	State lake is assigned to for sampling in NLA 2012				
SUBBENT	SUBSTRATE	Substrate Code	|ROCKY/COBBLE/WOODY_DEBRIS|MACROPHYTE_BEDS|ORGANIC/FINE_MUDS|LEAF_PACK|OTHER			
ASSESS	REVIEWED_BY_INITIAL	Intials of form reviewer				
PHAB	REVIEWED_BY_INITIAL	Intials of form reviewer				
VERIF	DATE_COL	Date of sample collection				None
VERIF	REVIEWED_BY_INITIAL	Initial of reviewer of forms				
VERIF	SITE_ID	Identification code for site				
VERIF	VISIT_NO	Sequential number of visit to site	|1|2			
	FORM_TYPE	Form type				
	PUBLICATION_DATE	Publication Date				
	SAMPLE_TYPE	Sample type				
	UID	Unique site visit ID				
