SAMPLE_TYPE	DATA_COLUMN	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	UNITS
PHAB	FCFCSNAG	Fish cover: fractional cover of snags 				
PHAB	FCFCSNAGS_DD	Fish cover: fractional cover of snags in the drawdown zone				
PHAB	FCFCSNAGS_LIT	Fish cover: fractional cover of snags in the littoral zone				
PHAB	FCFCSNAGS_SIM	Fish cover: fractional cover of snags simulating 2007 protocol				
PHAB	FCFCSTRUCTURES	Fish cover: fractional cover of artificial structures 				
PHAB	FCFCSTRUCTURES_DD	Fish cover: fractional cover of artificial structures in the drawdown zone				
PHAB	FCFCSTRUCTURES_LIT	Fish cover: fractional cover of artificial structures in the littoral zone				
PHAB	FCFCSTRUCTURES_SIM	Fish cover: fractional cover of artificial structures simulating 2007 protocol				
PHAB	FCFPALL	Fish cover: fractional presence of any fish cover				
PHAB	FCFPALL_DD	Fish cover: fractional cover of any fish cover in the drawdown zone				
PHAB	FCFPALL_LIT	Fish cover: fractional cover of any fish cover in the littoral zone				
PHAB	FCFPALL_SIM	Fish cover: fractional cover of any fish cover simulating 2007 protocol				
PHAB	FCFPAQUATIC	Fish cover: fractional presence of aquatic vegetation				
PHAB	FCFPAQUATIC_DD	Fish cover: fractional presence of aquatic vegetation in the drawdown zone				
PHAB	FCFPAQUATIC_LIT	Fish cover: fractional presence of aquatic vegetation in the littoral zone				
PHAB	FCFPAQUATIC_SIM	Fish cover: fractional presence of aquatic vegetation simulating 2007 protocol				
PHAB	FCFPBOULDERS	Fish cover: fractional presence of boulders 				
PHAB	FCFPBOULDERS_DD	Fish cover: fractional presence of boulders in the drawdown zone				
PHAB	FCFPBOULDERS_LIT	Fish cover: fractional presence of boulders in the littoral zone				
PHAB	FCFPBOULDERS_SIM	Fish cover: fractional presence of boulders simulating 2007 protocol				
PHAB	FCFPBRUSH	Fish cover: fractional presence of brush 				
PHAB	FCFPBRUSH_DD	Fish cover: fractional presence of brush in the drawdown zone				
PHAB	FCFPBRUSH_LIT	Fish cover: fractional presence of brush in the littoral zone				
PHAB	FCFPBRUSH_SIM	Fish cover: fractional presence of brush simulating 2007 protocol				
PHAB	FCFPLEDGES	Fish cover: fractional presence of ledges 				
PHAB	FCFPLEDGES_DD	Fish cover: fractional presence of ledges in the drawdown zone				
PHAB	FCFPLEDGES_LIT	Fish cover: fractional presence of ledges in the littoral zone				
PHAB	FCFPLEDGES_SIM	Fish cover: fractional presence of ledges simulating 2007 protocol				
PHAB	FCFPLIVETREES	Fish cover: fractional presence of live trees 				
PHAB	FCFPLIVETREES_DD	Fish cover: fractional presence of live trees in the drawdown zone				
PHAB	FCFPLIVETREES_LIT	Fish cover: fractional presence of live trees in the littoral zone				
PHAB	FCFPLIVETREES_SIM	Fish cover: fractional presence of live trees simulating 2007 protocol				
PHAB	FCFPOVERHANG	Fish cover: fractional presence of overhangs 				
PHAB	FCFPOVERHANG_DD	Fish cover: fractional presence of overhangs in the drawdown zone				
PHAB	FCFPOVERHANG_LIT	Fish cover: fractional presence of overhangs in the littoral zone				
PHAB	FCFPOVERHANG_SIM	Fish cover: fractional presence of overhangs simulating 2007 protocol				
PHAB	FCFPSNAG	Fish cover: fractional presence of snags 				
PHAB	FCFPSNAGS_DD	Fish cover: fractional presence of snags in the drawdown zone				
PHAB	FCFPSNAGS_LIT	Fish cover: fractional presence of snags in the littoral zone				
PHAB	FCFPSNAGS_SIM	Fish cover: fractional presence of snags simulating 2007 protocol				
PHAB	FCFPSTRUCTURES	Fish cover: fractional presence of artificial structures 				
PHAB	FCFPSTRUCTURES_DD	Fish cover: fractional presence of artificial structures in the drawdown zone				
PHAB	FCFPSTRUCTURES_LIT	Fish cover: fractional presence of artificial structures in the littoral zone				
PHAB	FCFPSTRUCTURES_SIM	Fish cover: fractional presence of artificial structures simulating 2007 protocol				
PHAB	FCIALL	Fish cover: index of total fish cover				
PHAB	FCIALL_DD	Fish cover: index of total fish cover in the drawdown zone				
PHAB	FCIALL_LIT	Fish cover: index of total fish cover in the littoral zone				
PHAB	FCIALL_SIM	Fish cover: index of total fish cover simulating 2007 protocol				
PHAB	FCIBIG	Fish cover: index of fish cover due to large structures				
PHAB	FCIBIG_DD	Fish cover: index of fish cover due to large structures in the drawdown zone				
PHAB	FCIBIG_LIT	Fish cover: index of fish cover due to large structures in the littoral zone				
PHAB	FCIBIG_SIM	Fish cover: index of fish cover due to large structures simulating 2007 protocol				
PHAB	FCINATURAL	Fish cover: index of fish cover due to natural structures				
PHAB	FCINATURAL_DD	Fish cover: index of fish cover due to natural structures in the drawdown zone				
PHAB	FCINATURAL_LIT	Fish cover: index of fish cover due to natural structures in the littoral zone				
PHAB	FCINATURAL_SIM	Fish cover: index of fish cover due to natural structures simulating 2007 protocol				
PHAB	FCIRIPVEG	Fish cover: index of fish cover due to riparian vegetation				
PHAB	FCIRIPVEG_DD	Fish cover: index of fish cover due to riparian vegetation in the drawdown zone				
PHAB	FCIRIPVEG_LIT	Fish cover: index of fish cover due to riparian vegetation in the littoral zone				
PHAB	FCIRIPVEG_SIM	Fish cover: index of fish cover due to riparian vegetation simulating 2007 protocol				
PHAB	FCNALL	Fish cover: number of fish cover data				
PHAB	FCNALL_DD	Fish cover: number of fish cover values in the drawdown				
PHAB	FCNALL_LIT	Fish cover: number of fish cover values in the littoral zone				
PHAB	FCNALL_SIM	Fish cover: number of fish cover data simulating the 2007 protocol				
PHAB	FCNAQUATIC	Fish cover: number of aquatic vegetation				
PHAB	FCNAQUATIC_DD	Fish cover: number of aquatic vegetation values in the drawdown				
PHAB	FCNAQUATIC_LIT	Fish cover: number of aquatic vegetation values in the littoral zone				
PHAB	FCNAQUATIC_SIM	Fish cover: number of aquatic vegetation data simulating the 2007 protocol				
PHAB	FCNBOULDERS	Fish cover: number of boulders 				
PHAB	FCNBOULDERS_DD	Fish cover: number of boulders values in the drawdown				
PHAB	FCNBOULDERS_LIT	Fish cover: number of boulders values in the littoral zone				
PHAB	FCNBOULDERS_SIM	Fish cover: number of boulders data simulating the 2007 protocol				
PHAB	FCNBRUSH	Fish cover: number of brush 				
PHAB	FCNBRUSH_DD	Fish cover: number of brush values in the drawdown				
PHAB	FCNBRUSH_LIT	Fish cover: number of brush values in the littoral zone				
PHAB	FCNBRUSH_SIM	Fish cover: number of brush data simulating the 2007 protocol				
PHAB	FCNLEDGES	Fish cover: number of ledges 				
PHAB	FCNLEDGES_DD	Fish cover: number of ledges values in the drawdown				
PHAB	FCNLEDGES_LIT	Fish cover: number of ledges values in the littoral zone				
PHAB	FCNLEDGES_SIM	Fish cover: number of ledges data simulating the 2007 protocol				
PHAB	FCNLIVETREES	Fish cover: number of live trees 				
PHAB	FCNLIVETREES_DD	Fish cover: number of live trees values in the drawdown				
PHAB	FCNLIVETREES_LIT	Fish cover: number of live trees values in the littoral zone				
PHAB	FCNLIVETREES_SIM	Fish cover: number of live trees data simulating the 2007 protocol				
PHAB	FCNOVERHANG	Fish cover: number of overhangs 				
PHAB	FCNOVERHANG_DD	Fish cover: number of overhangs values in the drawdown				
PHAB	FCNOVERHANG_LIT	Fish cover: number of overhangs values in the littoral zone				
PHAB	FCNOVERHANG_SIM	Fish cover: number of overhangs data simulating the 2007 protocol				
PHAB	FCNSNAG	Fish cover: number of snags 				
PHAB	FCNSNAGS_DD	Fish cover: number of snags values in the drawdown				
PHAB	FCNSNAGS_LIT	Fish cover: number of snags values in the littoral zone				
PHAB	FCNSNAGS_SIM	Fish cover: number of snags data simulating the 2007 protocol				
PHAB	FCNSTRUCTURES	Fish cover: number of artificial structures 				
PHAB	FCNSTRUCTURES_DD	Fish cover: number of artificial structures values in the drawdown				
PHAB	FCNSTRUCTURES_LIT	Fish cover: number of artificial structures values in the littoral zone				
PHAB	FCNSTRUCTURES_SIM	Fish cover: number of artificial structures data simulating the 2007 protocol				
PHAB	FCVAQUATIC	Fish cover: std dev. of aquatic vegetation				
PHAB	FCVAQUATIC_DD	Fish cover: std dev. of aquatic vegetation in the drawdown zone				
PHAB	FCVAQUATIC_LIT	Fish cover: std dev. of aquatic vegetation in the littoral zone				
PHAB	FCVAQUATIC_SIM	Fish cover: std dev. of aquatic vegetation simulating the 2007 protocol				
PHAB	FCVBOULDERS	Fish cover: std dev. of boulders 				
PHAB	FCVBOULDERS_DD	Fish cover: std dev. of boulders in the drawdown zone				
PHAB	FCVBOULDERS_LIT	Fish cover: std dev. of boulders in the littoral zone				
PHAB	FCVBOULDERS_SIM	Fish cover: std dev. of boulders simulating the 2007 protocol				
PHAB	FCVBRUSH	Fish cover: std dev. of brush 				
PHAB	FCVBRUSH_DD	Fish cover: std dev. of brush in the drawdown zone				
PHAB	FCVBRUSH_LIT	Fish cover: std dev. of aquatic vegetation in the littoral zone				
PHAB	FCVBRUSH_SIM	Fish cover: std dev. of aquatic vegetation simulating the 2007 protocol				
PHAB	FCVLEDGES	Fish cover: std dev. of ledges 				
PHAB	FCVLEDGES_DD	Fish cover: std dev. of ledges in the drawdown zone				
PHAB	FCVLEDGES_LIT	Fish cover: std dev. of ledges in the littoral zone				
PHAB	FCVLEDGES_SIM	Fish cover: std dev. of ledges simulating the 2007 protocol				
PHAB	FCVLIVETREES	Fish cover: std dev. of live trees 				
PHAB	FCVLIVETREES_DD	Fish cover: std dev. of live trees in the drawdown zone				
PHAB	FCVLIVETREES_LIT	Fish cover: std dev. of live trees in the littoral zone				
PHAB	FCVLIVETREES_SIM	Fish cover: std dev. of live trees simulating the 2007 protocol				
PHAB	FCVOVERHANG	Fish cover: std dev. of overhangs 				
PHAB	FCVOVERHANG_DD	Fish cover: std dev. of overhangs in the drawdown zone				
PHAB	FCVOVERHANG_LIT	Fish cover: std dev. of overhangs in the littoral zone				
PHAB	FCVOVERHANG_SIM	Fish cover: std dev. of overhangs simulating the 2007 protocol				
PHAB	FCVSNAG	Fish cover: std dev. of snags 				
PHAB	FCVSNAGS_DD	Fish cover: std dev. of snags in the drawdown zone				
PHAB	FCVSNAGS_LIT	Fish cover: std dev. of snags in the littoral zone				
PHAB	FCVSNAGS_SIM	Fish cover: std dev. of snags simulating the 2007 protocol				
PHAB	FCVSTRUCTURES	Fish cover: std dev. of artificial structures 				
PHAB	FCVSTRUCTURES_DD	Fish cover: std dev. of artificial structures in the drawdown zone				
PHAB	FCVSTRUCTURES_LIT	Fish cover: std dev. of artificial structures in the littoral zone				
PHAB	FCVSTRUCTURES_SIM	Fish cover: std dev. of artificial structures simulating the 2007 protocol				
PHAB	HIFPANY	Human influence: fractional presence of any influence				
PHAB	HIFPANY_DD	Human influence: fractional presence of any influence in the drawdown zone				
PHAB	HIFPANY_RIP	Human influence: fractional presence of any influence in the riparian zone				
PHAB	HIFPANY_SYN	Human influence: fractional presence of any influence synthesizing the 2007 protocol				
PHAB	HIFPANYCIRCA	Human influence: fractional presence of any influence occuring in station plots				
PHAB	HIFPANYCIRCA_DD	Human influence: fractional presence of any influence occuring in station plots in the drawdown zone				
PHAB	HIFPANYCIRCA_RIP	Human influence: fractional presence of any influence occuring in station plots in the riparian zone				
PHAB	HIFPANYCIRCA_SYN	Human influence: fractional presence of any influence occuring in station plots synthesizing the 2007 protocol				
PHAB	HIIAG	Human influence: index of agricultural influences				
PHAB	HIIAG_DD	Human influence: index of agricultural influences in the drawdown zone				
PHAB	HIIAG_RIP	Human influence: index of agricultural influences in the riparian zone				
PHAB	HIIAG_SYN	Human influence: index of agricultural influences synthesizing the 2007 protocol				
PHAB	HIIAGCIRCA	Human influence: index of agricultural influences occuring close to shore				
PHAB	HIIAGCIRCA_DD	Human influence: index of agricultural influences occuring close to shore in the drawdown zone				
PHAB	HIIAGCIRCA_RIP	Human influence: index of agricultural influences occuring close to shore in the riparian zone				
PHAB	HIIAGCIRCA_SYN	Human influence: index of agricultural influences occuring close to shore synthesizing the 2007 protocol				
PHAB	HIIALL	Human influence: index of all human influences				
PHAB	HIIALL_DD	Human influence: index of all human influences in the drawdown zone				
PHAB	HIIALL_RIP	Human influence: index of all human influences in the riparian zone				
PHAB	HIIALL_SYN	Human influence: index of all human influences synthesizing the 2007 protocol				
PHAB	HIIALLCIRCA	Human influence: index of all influences occuring close to shore				
PHAB	HIIALLCIRCA_DD	Human influence: index of all influences occuring close to shore in the drawdown zone				
PHAB	HIIALLCIRCA_RIP	Human influence: index of all influences occuring close to shore in the riparian zone				
PHAB	HIIALLCIRCA_SYN	Human influence: index of all influences occuring close to shore synthesizing the 2007 protocol				
PHAB	HIINONAG	Human influence: index of nonagricultural influences				
PHAB	HIINONAG_DD	Human influence: index of nonagricultural influences in the drawdown zone				
PHAB	HIINONAG_RIP	Human influence: index of nonagricultural influences in the riparian zone				
PHAB	HIINONAG_SYN	Human influence: index of nonagricultural influences synthesizing the 2007 protocol				
PHAB	HIINONAGCIRCA	Human influence: index of nonagricultural influences occuring close to shore				
PHAB	HIINONAGCIRCA_DD	Human influence: index of nonagricultural influences occuring close to shore in the drawdown zone				
PHAB	HIINONAGCIRCA_RIP	Human influence: index of nonagricultural influences occuring close to shore in the riparian zone				
PHAB	HIINONAGCIRCA_SYN	Human influence: index of nonagricultural influences occuring close to shore synthesizing the 2007 protocol				
PHAB	HINAG	Human influence: count of all values used				
PHAB	HINAG_DD	Human influence: count of all values used in the drawdown zone				
PHAB	HINAG_RIP	Human influence: count of all values used in the riparian zone				
PHAB	HINAG_SYN	Human influence: count of all values used synthesizing the 2007 protocol				
PHAB	HINALL	Human influence: count of all values used				
PHAB	HINALL_DD	Human influence: count of all values used in the drawdown zone				
PHAB	HINALL_RIP	Human influence: count of all values used in the riparian zone				
PHAB	HINALL_SYN	Human influence: count of all values used synthesizing the 2007 protocol				
PHAB	HINBUILDINGS	Human influence: count of values				
PHAB	HINBUILDINGS_DD	Human influence: count of values in the drawdown zone				
PHAB	HINBUILDINGS_RIP	Human influence: count of values in the riparian zone				
PHAB	HINBUILDINGS_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINCOMMERCIAL	Human influence: count of values				
PHAB	HINCOMMERCIAL_DD	Human influence: count of values in the drawdown zone				
PHAB	HINCOMMERCIAL_RIP	Human influence: count of values in the riparian zone				
PHAB	HINCOMMERCIAL_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINCROPS	Human influence: count of values				
PHAB	HINCROPS_DD	Human influence: count of values in the drawdown zone				
PHAB	HINCROPS_RIP	Human influence: count of values in the riparian zone				
PHAB	HINCROPS_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINDOCKS	Human influence: count of values				
PHAB	HINDOCKS_DD	Human influence: count of values in the drawdown zone				
PHAB	HINDOCKS_RIP	Human influence: count of values in the riparian zone				
PHAB	HINDOCKS_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINLANDFILL	Human influence: count of values				
PHAB	HINLANDFILL_DD	Human influence: count of values in the drawdown zone				
PHAB	HINLANDFILL_RIP	Human influence: count of values in the riparian zone				
PHAB	HINLANDFILL_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINLAWN	Human influence: count of values				
PHAB	HINLAWN_DD	Human influence: count of values in the drawdown zone				
PHAB	HINLAWN_RIP	Human influence: count of values in the riparian zone				
PHAB	HINLAWN_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINNONAG	Human influence: count of all values used				
PHAB	HINNONAG_DD	Human influence: count of all values used in the drawdown zone				
PHAB	HINNONAG_RIP	Human influence: count of all values used in the riparian zone				
PHAB	HINNONAG_SYN	Human influence: count of all values used synthesizing the 2007 protocol				
PHAB	HINORCHARD	Human influence: count of values				
PHAB	HINORCHARD_DD	Human influence: count of values in the drawdown zone				
PHAB	HINORCHARD_RIP	Human influence: count of values in the riparian zone				
PHAB	HINORCHARD_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINOTHER_DD	Human influence: count of values in the drawdown zone				
PHAB	HINOTHER_RIP	Human influence: count of values in the riparian zone				
PHAB	HINOTHER_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINPARK	Human influence: count of values				
PHAB	HINPARK_DD	Human influence: count of values in the drawdown zone				
PHAB	HINPARK_RIP	Human influence: count of values in the riparian zone				
PHAB	HINPARK_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINPASTURE	Human influence: count of values				
PHAB	HINPASTURE_DD	Human influence: count of values in the drawdown zone				
PHAB	HINPASTURE_RIP	Human influence: count of values in the riparian zone				
PHAB	HINPASTURE_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINPOWERLINES	Human influence: count of values				
PHAB	HINPOWERLINES_DD	Human influence: count of values in the drawdown zone				
PHAB	HINPOWERLINES_RIP	Human influence: count of values in the riparian zone				
PHAB	HINPOWERLINES_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINROADS	Human influence: count of values				
PHAB	HINROADS_DD	Human influence: count of values in the drawdown zone				
PHAB	HINROADS_RIP	Human influence: count of values in the riparian zone				
PHAB	HINROADS_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HINWALLS	Human influence: count of values				
PHAB	HINWALLS_DD	Human influence: count of values in the drawdown zone				
PHAB	HINWALLS_RIP	Human influence: count of values in the riparian zone				
PHAB	HINWALLS_SYN	Human influence: count of values synthesizing the 2007 protocol				
PHAB	HIPWAG	Human influence: weighted presence of agricultural influences				
PHAB	HIPWAG_DD	Human influence: weighted presence of agricultural influences in the drawdown zone				
PHAB	HIPWAG_RIP	Human influence: weighted presence of agricultural influences in the riparian zone				
PHAB	HIPWAG_SYN	Human influence: weighted presence of agricultural influences synthesizing the 2007 protocol				
PHAB	HIPWALL	Human influence: w1_hall				
PHAB	HIPWALL_DD	Human influence: w1_hall in the drawdown zone				
PHAB	HIPWALL_RIP	Human influence: w1_hall in the riparian zone				
PHAB	HIPWALL_SYN	Human influence: w1_hall synthesizing the 2007 protocol				
PHAB	HIPWBUILDINGS	Human influence: weighted presence of Buildings				
PHAB	HIPWBUILDINGS_DD	Human influence: weighted presence of Buildings in the drawdown zone				
PHAB	HIPWBUILDINGS_RIP	Human influence: weighted presence of Buildings in the riparian zone				
PHAB	HIPWBUILDINGS_SYN	Human influence: weighted presence of Buildings synthesizing the 2007 protocol				
PHAB	HIPWCOMMERCIAL	Human influence: weighted presence of Commercial				
PHAB	HIPWCOMMERCIAL_DD	Human influence: weighted presence of Commercial in the drawdown zone				
PHAB	HIPWCOMMERCIAL_RIP	Human influence: weighted presence of Commercial in the riparian zone				
PHAB	HIPWCOMMERCIAL_SYN	Human influence: weighted presence of Commercial synthesizing the 2007 protocol				
PHAB	HIPWCROPS	Human influence: weighted presence of Crops				
PHAB	HIPWCROPS_DD	Human influence: weighted presence of Crops in the drawdown zone				
PHAB	HIPWCROPS_RIP	Human influence: weighted presence of Crops in the riparian zone				
PHAB	HIPWCROPS_SYN	Human influence: weighted presence of Crops synthesizing the 2007 protocol				
PHAB	HIPWDOCKS	Human influence: weighted presence of Docks				
PHAB	HIPWDOCKS_DD	Human influence: weighted presence of Docks in the drawdown zone				
PHAB	HIPWDOCKS_RIP	Human influence: weighted presence of Docks in the riparian zone				
