SITE_ID,VISIT_NO,UID,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,AREA_HA,AREACLS,BORD_LAKE,CAT_UNIQUE,CH0712_CAT,CH0712_USE,CH0712_WGT,CNTYNAME,COMID2007,COMID2012,COMIDS2007,DES_FTYPE,DSGN12,ELEVATION,EPA_REG,EVAL_NAME,EVALSTAT,FEOW_ID,FS_EW,FW_ECO3,FW_ECO9,GNIS_ID,GNIS_NAME,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,MAJ_BASIN,MDCATY,MISS_BASIN,NA_L1CODE,NA_L2CODE,NA_L3CODE,NARS_NAME,NES_LAKE,NESLAKE_ID,NESSTORET,OWN_TYPE,OWNSHP,PANEL,PERIM_KM,RCHCODE,RT_NLA12,SITEID_07,SITESAMP,SITETYPE,SIZE_CLASS,ST_DSGN,ST_MDCATY,ST_PANEL,ST_SITEID,ST_STRATUM,ST_WGT_ALL,ST_WGT_CAT,ST_WGT_DSGN,STATE,STATE_NLA,STATE_PCNT,STATECTY,STATUS,STATUS_ST,STRATUM,TNT,TNT_ST,URBAN,US_L3CODE,US_L3CODE_2015,US_L4CODE,US_L4CODE_2015,WGT_ALL,WGT_CAT,WGT_DSGN,XCOORD,YCOORD,ECO_BIO,IM_COMMENT,INDEX_NLA,INDXSAMP_BENT,INDXSAMP_CHEM,INDXSAMP_CHLA,INDXSAMP_CORE,INDXSAMP_ENTE,INDXSAMP_MICR,INDXSAMP_PHAB,INDXSAMP_SDHG,INDXSAMP_ZOOP,REF_NLA12_NUTR,RT_NLA12_BENT,RT_NLA12_ZOOP,SAMPLED_BENT,SAMPLED_CORE,SAMPLED_ENTE,SAMPLED_MICR,SAMPLED_PHAB,SAMPLED_PHYT,SAMPLED_PROFILE,SAMPLED_SDHG,SAMPLED_ZOCN,SAMPLED_ZOCR,SAMPLED_ZOFN,SAMPLED_ZOFR,SAMPLED_ZOOP,PUBLICATION_DATE
NLA12_AL-109,,,,PLNLOW,CPL,10.65408828,,No,NLA12NEW,NLA12_BASE,Include,150.3432224,ESCAMBIA,445080,445080,445080,Lake/Pond: Hydrographic Category = Perennial,Included,83.23,Region_4,,Nontarget-NotLake,154,,PLNLOW,CPL,,,3,3140305,,,31.07411321,-87.40975524,3,"(10,20]",No,8,8.3,8.3.5,,,,,Non Federal,Non-Federal,NLA12ST,1.53303592,3.14031E+12,,,N,PROB,"(10,20]",,,,NLA12_AL-109,AL_NLA12NEW,0,,0,AL,AL,100,1053,Not_Lake,,AL_NLA12NEW,NonTarget,,No,65,65,65f,65f,150.3432224,AL_>4,39.44444444,816052.2952,-681169.8078,CPL,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,8/23/2016
NLA12_AL-110,,,,EHIGH,SAP,12.81513476,,No,NLA12NEW,NLA12_BASE,Include,150.3432224,JACKSON,19644250,19644250,19644250,Lake/Pond: Hydrographic Category = Perennial,Included,181.82,Region_4,,Nontarget-NotLake,152,,EHIGH,SAP,,,6,6030001,,,34.87348351,-85.77044459,05_06,"(10,20]",Yes,8,8.4,8.4.9,,,,,Non Federal,Non-Federal,NLA12ST,2.377971274,6.03E+12,,,N,PROB,"(10,20]",,,,NLA12_AL-110,AL_NLA12NEW,0,,0,AL,AL,100,1071,Not_Lake,,AL_NLA12NEW,NonTarget,,No,68,68,68b,68b,150.3432224,AL_>4,39.44444444,925683.9696,-244270.5613,EHIGH,LAKE_ORIGIN changed (UNCERTAIN),Y,,,,,,,,,,,,,,,,,,,,,,,,,,8/23/2016
NLA12_AL-111,,,,PLNLOW,CPL,4.177936778,,No,NLA12NEW,NLA12_BASE,Include,546.5717263,RUSSELL,3434760,3434760,3434760,Lake/Pond: Hydrographic Category = Perennial,Included,122.24,Region_4,Lake Lenora,Nontarget-Ephemeral,155,,PLNLOW,CPL,133275,Lake Lenora,3,3130003,,,32.34571752,-85.23421352,3,"(4,10]",No,8,8.3,8.3.5,Lake Lenora,,,,Non Federal,Non-Federal,NLA12ST,1.527309271,3.13E+12,,,N,PROB,"(4,10]",,,,NLA12_AL-111,AL_NLA12NEW,0,,0,AL,AL,100,1113,Non_Target,,AL_NLA12NEW,NonTarget,,No,65,65,65d,65d,546.5717263,AL_>4,143.4,1005921.257,-519435.2001,CPL,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,8/23/2016
NLA12_AL-112,1,7375,7/22/2012,PLNLOW,CPL,5.55544262,B:4-10,No,NLA12NEW,NLA12_BASE,Include,546.5717263,PICKENS,18628452,18628452,18628452,Lake/Pond: Hydrographic Category = Perennial,Included,78.07,Region_4,Shepherds Lake,TargetSampleable,153,,PLNLOW,CPL,131479,Shepherds Lake,3,3160106,MAN_MADE,RESERVOIR,33.36486204,-88.16688028,3,"(4,10]",No,8,8.3,8.3.5,Shepherds Lake,,,,Non Federal,Non-Federal,NLA12ST,1.293121817,3.16011E+12,R,,Y,PROB,"(4,10]",,,,NLA12_AL-112,AL_NLA12NEW,0,,0,AL,AL,100,1107,Target_Sampled,,AL_NLA12NEW,Target,,No,65,65,65i,65i,546.5717263,AL_>4,143.4,723277.5477,-432936.8207,CPL,,Y,,,,,,,,,,R,R,R,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AL-113,1,7769,8/8/2012,PLNLOW,CPL,29.40501835,C:10-50,No,NLA12NEW,NLA12_BASE,Include,83.37696313,MOBILE,18522817,18522817,18522817,Lake/Pond: Hydrographic Category = Perennial,Included,13.99,Region_4,Salco Lake,TargetSampleable,153,,PLNLOW,CPL,,,3,3160204,MAN_MADE,RESERVOIR,30.97184148,-88.0527428,3,"(20,50]",No,8,8.3,8.3.5,,,,,Non Federal,Non-Federal,NLA12ST,3.81355553,3.1602E+12,S,,Y,PROB,"(20,50]",,,,NLA12_AL-113,AL_NLA12NEW,0,,0,AL,AL,100,1097,Target_Sampled,,AL_NLA12NEW,Target,,No,65,65,65f,65f,83.37696313,AL_>4,21.875,756068.3337,-697819.2195,CPL,,Y,,,,,,,,,,,S,S,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AL-114,1,7459,7/26/2012,EHIGH,SAP,18.10471487,C:10-50,No,NLA12NEW,NLA12_BASE,Include,150.3432224,CALHOUN,22200659,22200659,22200659,Lake/Pond: Hydrographic Category = Perennial,Included,171.04,Region_4,Lees Lake,TargetSampleable,153,,EHIGH,SAP,,,3,3150106,MAN_MADE,RESERVOIR,33.88200988,-85.9316179,3,"(10,20]",No,8,8.4,8.4.1,,,,,Non Federal,Non-Federal,NLA12ST,3.585987135,3.15011E+12,S,,Y,PROB,"(10,20]",,,,NLA12_AL-114,AL_NLA12NEW,0,,0,AL,AL,100,1015,Target_Sampled,,AL_NLA12NEW,Target,,No,67,67,67g,67g,150.3432224,AL_>4,39.44444444,922876.9685,-356061.8371,EHIGH,,Y,,,,,,,,,,,S,S,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AL-R03,1,7291,7/18/2012,EHIGH,SAP,22.42053898,C:10-50,No,,,,,CLAY,22033983,22033983,22033983,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Excluded,317.68,Region_4,NO NAME,TargetSampleable,153,,EHIGH,SAP,,,3,3150109,MAN_MADE,MAN_MADE,33.32192301,-85.81071637,3,,No,8,8.3,8.3.4,,,,,,Non-Federal,,4.766510605,3.15011E+12,R,NLA06608-1871,Y,HAND,,,,,NLA12_AL-R03,,0,,0,AL,AL,100,1027,Target_Sampled,,,Target,,No,45,45,45a,45a,,,0,940611.5175,-417082.6656,EHIGH,LAKE_ORIGIN inferred from HYDRO_TYPE and OUTLET_DAMS,N,,,,,,,,,,R,R,R,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AL-R05,1,7376,7/21/2012,PLNLOW,CPL,91.03472955,D:50-100,No,,,,,TUSCALOOSA,18203922,18203922,18203922,Lake/Pond: Hydrographic Category = Perennial,Included,71.04,Region_4,LAKE LURLEEN,TargetSampleable,153,,PLNLOW,CPL,152173,Lake Lurleen,3,3160113,MAN_MADE,MAN_MADE,33.28949519,-87.68596227,3,>50,No,8,8.3,8.3.5,Lake Lurleen,,,,,Non-Federal,OverSamp,11.21361901,3.16011E+12,R,NLA06608-4509,Y,HAND,,,,,NLA12_AL-R05,AL_NLA12NEW,0,,0,AL,AL,100,1125,Target_Sampled,,AL_NLA12NEW,Target,,Yes,65,65,65i,65i,,,0,768308.7168,-437547.5639,CPL,LAKE_ORIGIN inferred from HYDRO_TYPE and OUTLET_DAMS,N,,,,,,,,,,R,B,R,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AR-101,1,7392,7/23/2012,PLNLOW,CPL,105.7849996,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,140.6756261,SALINE,22845861,22845861,22845861,Lake/Pond: Hydrographic Category = Perennial,Included,74.14,Region_6,Ferguson Lake,TargetSampleable,145,,PLNLOW,CPL,79360,Ferguson Lake,11,11110207,MAN_MADE,RESERVOIR,34.53435079,-92.26882632,11,REF07,Yes,8,8.3,8.3.7,Ferguson Lake,,,,Non Federal,Non-Federal,NLA07RVT2,9.08146137,1.11102E+13,S,NLA06608-1808,Y,PROB,>50,,,,NLA12_AR-101,AR_NLA07RVT,0,,0,AR,AR,100,5125,Target_Sampled,,AR_NLA07RVT,Target,,No,35,35,35a,35a,140.6756261,AR_>4,2,339693.0075,-325402.8385,CPL,,Y,,,,,,,,,,,S,S,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AR-101,2,8021,8/17/2012,PLNLOW,CPL,105.7849996,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,140.6756261,SALINE,22845861,22845861,22845861,Lake/Pond: Hydrographic Category = Perennial,Included,74.14,Region_6,Ferguson Lake,TargetSampleable,145,,PLNLOW,CPL,79360,Ferguson Lake,11,11110207,MAN_MADE,RESERVOIR,34.53435079,-92.26882632,11,REF07,Yes,8,8.3,8.3.7,Ferguson Lake,,,,Non Federal,Non-Federal,NLA07RVT2,9.08146137,1.11102E+13,S,NLA06608-1808,Y,PROB,>50,,,,NLA12_AR-101,AR_NLA07RVT,0,,0,AR,AR,100,5125,Target_Sampled,,AR_NLA07RVT,Target,,No,35,35,35a,35a,140.6756261,AR_>4,2,339693.0075,-325402.8385,CPL,,N,,,,,,,,,,,S,S,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AR-102,1,8144,8/21/2012,PLNLOW,CPL,95.89252695,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,170.3424876,POINSETT,9272602,9272602,9272602,Lake/Pond: Hydrographic Category = Perennial,Included,69.01,Region_6,Lake Hogue,TargetSampleable,149,,PLNLOW,CPL,81237,Lake Hogue,8,8020302,MAN_MADE,RESERVOIR,35.58318947,-90.96294056,8,NonREF07,Yes,8,8.5,8.5.2,Lake Hogue,,,,Non Federal,Non-Federal,NLA07RVT,3.883137271,8.0203E+12,S,NLA06608-0208,Y,PROB,>50,,,,NLA12_AR-102,AR_NLA07RVT,0,,0,AR,AR,100,5111,Target_Sampled,,AR_NLA07RVT,Target,,No,73,73,73g,73g,170.3424876,AR_>4,2.666666667,452269.0854,-202728.2053,CPL,,Y,,,,,,,,,,,S,S,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AR-103,1,8217,8/24/2012,EHIGH,SAP,2428.921192,F:500+,No,NLA07RVT,NLA07_RVT12,Include,20.64042006,GARLAND,15237662,167794922,15237662 ; 21996100,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,118.4,Region_6,Lake Hamilton,TargetSampleable,145,,EHIGH,SAP,,,8,8040101,MAN_MADE,RESERVOIR,34.41755034,-93.07012469,8,NonREF07,Yes,8,8.4,8.4.8,,NESLake,510,510,Non Federal,Non-Federal,NLA07RVT,180.208525,8.0401E+12,T,NLA06608-1204,Y,PROB,>50,,,,NLA12_AR-103,AR_NLA07RVT,0,,0,AR,AR,100,5051,Target_Sampled,,AR_NLA07RVT,Target,,Yes,36,36,36b,36b,20.64042006,AR_>4,2.666666667,267170.1912,-341014.3283,EHIGH,,Y,,,,,,,,,,,T,T,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AR-104,1,7812,8/9/2012,EHIGH,SAP,44.682124,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,174.9925497,JOHNSON,7764393,7764393,7764393,Lake/Pond: Hydrographic Category = Perennial,Included,203.73,Region_6,Horsehead Lake,TargetSampleable,147,,EHIGH,SAP,,,11,11110202,MAN_MADE,RESERVOIR,35.5624593,-93.63756822,11,REF07,Yes,8,8.4,8.4.7,,,,,Non Federal,National Forest FS,NLA07RVT,4.738604684,1.11102E+13,R,NLA06608-1484,Y,PROB,"(20,50]",,,,NLA12_AR-104,AR_NLA07RVT,0,,0,AR,AR,100,5071,Target_Sampled,,AR_NLA07RVT,Target,,No,37,37,37c,37c,174.9925497,AR_>4,2,212253.9491,-214399.1481,EHIGH,,Y,,,,,,,,,,R,B,R,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AR-105,1,7409,7/24/2012,PLNLOW,CPL,7.29500254,B:4-10,No,NLA12NEW,NLA12_BASE,Include,549.2845394,UNION,15219066,15219066,15219066,Lake/Pond: Hydrographic Category = Perennial,Included,55.37,Region_6,Wingfield Lake Number 3,TargetSampleable,145,,PLNLOW,CPL,,,8,8040206,MAN_MADE,RESERVOIR,33.07556301,-92.66059625,8,"(4,10]",Yes,8,8.3,8.3.7,,,,,Non Federal,Non-Federal,NLA12RVT,1.551513244,8.04021E+12,R,,Y,PROB,"(4,10]",,,,NLA12_AR-105,AR_NLA12NEW,0,,0,AR,AR,100,5139,Target_Sampled,,AR_NLA12NEW,Target,,No,35,35,35a,35a,549.2845394,AR_>4,144.3,309767.1491,-489615.7372,CPL,,Y,,,,,,,,,,R,R,R,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AR-105,2,8022,8/16/2012,PLNLOW,CPL,7.29500254,B:4-10,No,NLA12NEW,NLA12_BASE,Include,549.2845394,UNION,15219066,15219066,15219066,Lake/Pond: Hydrographic Category = Perennial,Included,55.37,Region_6,Wingfield Lake Number 3,TargetSampleable,145,,PLNLOW,CPL,,,8,8040206,MAN_MADE,RESERVOIR,33.07556301,-92.66059625,8,"(4,10]",Yes,8,8.3,8.3.7,,,,,Non Federal,Non-Federal,NLA12RVT,1.551513244,8.04021E+12,R,,Y,PROB,"(4,10]",,,,NLA12_AR-105,AR_NLA12NEW,0,,0,AR,AR,100,5139,Target_Sampled,,AR_NLA12NEW,Target,,No,35,35,35a,35a,549.2845394,AR_>4,144.3,309767.1491,-489615.7372,CPL,,N,,,,,,,,,,,R,R,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AR-106,1,8121,8/20/2012,EHIGH,SAP,222.5927542,E:100-500,No,NLA12NEW,NLA12_BASE,Include,154.1650994,LAWRENCE,7548451,7548451,7548451,Lake/Pond: Hydrographic Category = Perennial,Included,82.69,Region_6,Lake Charles,TargetSampleable,147,,EHIGH,SAP,79903,Lake Charles,11,11010009,MAN_MADE,RESERVOIR,36.06720319,-91.14242843,11,>50,Yes,8,8.4,8.4.5,Lake Charles,,,,Non Federal,Non-Federal,NLA12NAT,17.23630001,1.101E+13,S,,Y,PROB,>50,,,,NLA12_AR-106,AR_NLA12NEW,0,,0,AR,AR,100,5075,Target_Sampled,,AR_NLA12NEW,Target,,No,39,39,39d,39d,154.1650994,AR_>4,40.5,433398.5805,-149444.0312,EHIGH,,Y,,,,,,,,,,,S,S,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AR-107,1,1000181,8/28/2012,PLNLOW,CPL,62.35713698,,No,NLA12NEW,NLA12_BASE,Include,154.1650994,PHILLIPS,14861265,14861265,14861265,Lake/Pond: Hydrographic Category = Perennial,Included,42.28,Region_6,,Nontarget-TooShallow,149,,PLNLOW,CPL,,,8,8020303,MAN_MADE,MAN_MADE,34.15969851,-91.06794934,8,>50,Yes,8,8.5,8.5.2,,,,,US FWS,National Wildlife Refuge FWS,NLA12NAT,8.390642771,8.0203E+12,,,N,PROB,>50,,,,NLA12_AR-107,AR_NLA12NEW,0,,0,AR,AR,100,5107,Lake_Shallow,,AR_NLA12NEW,NonTarget,,No,73,73,73g,73g,154.1650994,AR_>4,40.5,451109.8208,-362251.8565,CPL,Too shallow on day of visit,Y,,,,,,,,,,,,,,,,,,,,,,,,,,8/23/2016
